window,method,policy,metric_id,metric_cn,direction,mean,std,p10,p50,p90,ci95_low,ci95_high,n,matched_k,stat_basis,rank
全程,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,11.666666666666666,7.051233080474796,5.0,10.0,20.0,10.416666666666666,13.0,120,120,matched_tail_raw_baseline,1.0
全程,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,25.5,9.424623568703671,15.0,25.0,35.50000000000004,23.791666666666668,27.25,120,120,matched_tail_raw_baseline,2.0
全程,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,40.708333333333336,22.07032146652727,10.0,40.0,70.0,36.875,44.56354166666666,120,120,matched_tail_raw_baseline,3.0
全程,Static,Static,deadline_miss_rate,超时失败率,lower,46.541666666666664,22.66671043413141,15.0,50.0,75.0,42.458333333333336,50.458333333333336,120,120,matched_tail_raw_baseline,4.0
全程,EFT,EFT,deadline_miss_rate,超时失败率,lower,75.70833333333333,11.399834757267193,60.0,75.0,90.0,73.75,77.771875,120,120,matched_tail_raw_baseline,5.0
全程,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,78.41666666666667,10.431516026476892,65.0,80.0,90.0,76.58333333333333,80.375,120,120,matched_tail_raw_baseline,6.0
全程,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,82.0,10.854267642287994,70.0,85.0,95.0,80.01979166666666,83.875,120,120,matched_tail_raw_baseline,7.0
全程,Random,Random,deadline_miss_rate,超时失败率,lower,99.70833333333333,1.3434924595231335,100.0,100.0,100.0,99.45833333333333,99.91666666666667,120,120,matched_tail_raw_baseline,8.0
末100,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,11.35,6.584915421712804,5.0,10.0,20.0,10.1,12.65,100,100,matched_tail_raw_baseline,1.0
末100,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,26.05,9.219407505229107,15.0,25.0,35.50000000000004,24.2,27.8,100,100,matched_tail_raw_baseline,2.0
末100,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,42.05,22.519295878616784,10.0,40.0,70.0,37.65,46.426249999999996,100,100,matched_tail_raw_baseline,3.0
末100,Static,Static,deadline_miss_rate,超时失败率,lower,48.3,22.90979235738696,15.0,50.0,75.0,44.05,52.75,100,100,matched_tail_raw_baseline,4.0
末100,EFT,EFT,deadline_miss_rate,超时失败率,lower,75.05,11.64489310185093,60.0,75.0,90.0,73.05,77.32624999999999,100,100,matched_tail_raw_baseline,5.0
末100,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,78.7,10.289251035361461,65.0,80.0,90.0,76.72375,80.75,100,100,matched_tail_raw_baseline,6.0
末100,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,81.85,10.816537095922833,70.0,85.0,95.0,79.72375,83.8,100,100,matched_tail_raw_baseline,7.0
末100,Random,Random,deadline_miss_rate,超时失败率,lower,99.65,1.4659433478105144,100.0,100.0,100.0,99.35,99.9,100,100,matched_tail_raw_baseline,8.0
末300,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,11.666666666666666,7.051233080474796,5.0,10.0,20.0,10.458333333333334,12.958333333333334,120,120,matched_tail_raw_baseline,1.0
末300,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,25.5,9.424623568703671,15.0,25.0,35.50000000000004,23.791666666666668,27.041666666666668,120,120,matched_tail_raw_baseline,2.0
末300,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,40.708333333333336,22.07032146652727,10.0,40.0,70.0,36.791666666666664,45.06354166666666,120,120,matched_tail_raw_baseline,3.0
末300,Static,Static,deadline_miss_rate,超时失败率,lower,46.541666666666664,22.66671043413141,15.0,50.0,75.0,42.561458333333334,50.58541666666665,120,120,matched_tail_raw_baseline,4.0
末300,EFT,EFT,deadline_miss_rate,超时失败率,lower,75.70833333333333,11.399834757267193,60.0,75.0,90.0,73.60312499999999,77.79166666666667,120,120,matched_tail_raw_baseline,5.0
末300,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,78.41666666666667,10.431516026476892,65.0,80.0,90.0,76.45833333333333,80.16666666666667,120,120,matched_tail_raw_baseline,6.0
末300,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,82.0,10.854267642287994,70.0,85.0,95.0,80.04166666666667,83.91666666666667,120,120,matched_tail_raw_baseline,7.0
末300,Random,Random,deadline_miss_rate,超时失败率,lower,99.70833333333333,1.3434924595231335,100.0,100.0,100.0,99.45833333333333,99.91666666666667,120,120,matched_tail_raw_baseline,8.0
末500,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,11.666666666666666,7.051233080474796,5.0,10.0,20.0,10.416666666666666,12.958333333333334,120,120,matched_tail_raw_baseline,1.0
末500,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,25.5,9.424623568703671,15.0,25.0,35.50000000000004,23.853125,27.083333333333332,120,120,matched_tail_raw_baseline,2.0
末500,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,40.708333333333336,22.07032146652727,10.0,40.0,70.0,36.89479166666666,44.541666666666664,120,120,matched_tail_raw_baseline,3.0
末500,Static,Static,deadline_miss_rate,超时失败率,lower,46.541666666666664,22.66671043413141,15.0,50.0,75.0,42.375,50.68854166666666,120,120,matched_tail_raw_baseline,4.0
末500,EFT,EFT,deadline_miss_rate,超时失败率,lower,75.70833333333333,11.399834757267193,60.0,75.0,90.0,73.5,77.66666666666667,120,120,matched_tail_raw_baseline,5.0
末500,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,78.41666666666667,10.431516026476892,65.0,80.0,90.0,76.5,80.25,120,120,matched_tail_raw_baseline,6.0
末500,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,82.0,10.854267642287994,70.0,85.0,95.0,80.08333333333333,83.91666666666667,120,120,matched_tail_raw_baseline,7.0
末500,Random,Random,deadline_miss_rate,超时失败率,lower,99.70833333333333,1.3434924595231335,100.0,100.0,100.0,99.45833333333333,99.91666666666667,120,120,matched_tail_raw_baseline,8.0
全程,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,1.5854556179145978,0.05133663246807583,1.500189905166626,1.6000000000000003,1.601315455436707,1.5762895583460732,1.5938315116251514,120,120,matched_tail_raw_baseline,1.0
全程,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,14.387687710762005,1.7822712544927433,12.262037096977211,14.377313232421852,16.811162261962874,14.086823093064606,14.719848561302804,120,120,matched_tail_raw_baseline,2.0
全程,Static,Static,mean_cft_est,平均完工时间估计,lower,15.198972160895648,1.858142942888199,12.748764784812906,15.22733676910398,17.373341042518607,14.87143393015065,15.55292661901115,120,120,matched_tail_raw_baseline,3.0
全程,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,16.173364286422704,1.6071905148154242,14.205151466369605,16.176020832061734,18.114737340927107,15.900247340450662,16.45287193093496,120,120,matched_tail_raw_baseline,4.0
