episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,EFT,-0.3284275957803575,-65.6855191560715,0.15,0.15,0.43028846153846156,0.7727272727272727,0.94525,0.027,0.02775,0.94525,0.027,0.02775,0.00985682920811752,0.18003341019392732,1.0,20.000000000000014,24.53990573883057,6.833333333333325,6.833333333333325,7.779999999999989,0.85,1.0,0.0,0.93775,0.06225000000000003,0.06225000000000003,0.0,9.066254733625101e-07,0.0,1.3237750451366992e-08,9.066254733625101e-07,1.3237750451366992e-08,0.6532369256019592,0.5,0.1116708293557167,,,,,0.2071184664964676,0.5,217,0.0,0.0,0.0,197,45,0.22842639593908629,45,0.12425,1.72
2,EFT,-0.5815576578712083,-116.31153157424166,0.2,0.2,0.5480093676814989,0.7807017543859649,0.93325,0.03425,0.0325,0.93325,0.03425,0.0325,0.01462396241704504,0.21908557928157363,1.0,20.000000000000014,23.463063049316407,7.724999999999989,7.724999999999989,11.274999999999974,0.8,1.0,0.0,0.9235,0.07650000000000001,0.07650000000000001,0.0,1.9606079604272963e-06,0.0,1.458014681210429e-10,1.9606079604272963e-06,1.458014681210429e-10,0.6950693726539612,0.5,0.09201507270336151,,,,,0.187770277261734,0.5,265,0.0,0.0,0.0,239,45,0.18828451882845187,45,0.1345,1.74
3,EFT,-0.4534844297983316,-90.69688595966632,0.15,0.15,0.5536992840095465,0.794392523364486,0.92525,0.037,0.03775,0.92525,0.037,0.03775,0.010921899086605775,0.14611236236261904,0.9488397774637438,20.000000000000014,24.513362693786622,10.133333333333313,10.133333333333313,13.209999999999969,0.85,1.0,0.0,0.918,0.08199999999999996,0.08199999999999996,0.0,1.5985068557711202e-06,0.0,2.2584371872635955e-10,1.5985068557711202e-06,2.2584371872635955e-10,0.6759071350097656,0.3333333432674408,0.10413190722465515,,,,,0.16930973529815674,0.5,297,0.0,0.0,0.0,273,70,0.2564102564102564,70,0.14425,2.07
4,EFT,-0.6598965783308841,-131.97931566617683,0.2,0.2,0.516209476309227,0.79,0.94025,0.0295,0.03025,0.94025,0.0295,0.03025,0.009734180953698627,0.16291516240499793,0.9517732309725047,20.000000000000014,23.918288898468017,6.8999999999999915,6.8999999999999915,7.964999999999987,0.8,1.0,0.0,0.932,0.06799999999999995,0.06799999999999995,0.0,1.9103395061392803e-06,0.0,9.045423077225223e-09,1.9103395061392803e-06,9.045423077225223e-09,0.6779732704162598,0.5,0.10186530649662018,,,,,0.20377682149410248,0.5,238,0.0,0.0,0.0,217,38,0.17511520737327188,38,0.122,1.865
5,EFT,-0.31326353494161774,-62.652706988323544,0.15,0.15,0.45023696682464454,0.7070707070707071,0.9405,0.03,0.0295,0.9405,0.03,0.0295,0.010229807863082831,0.17192954391735848,1.0,20.000000000000014,23.818403720855713,6.8999999999999915,6.8999999999999915,7.38999999999999,0.85,1.0,0.0,0.931,0.06899999999999995,0.06899999999999995,0.0,1.1064237241953379e-06,0.0,2.570954560354721e-10,1.1064237241953379e-06,2.570954560354721e-10,0.6281043887138367,0.5,0.11855273693799973,,,,,0.217411071062088,0.5,233,0.0,0.0,0.0,204,54,0.2647058823529412,54,0.12675,1.64
6,EFT,-1.1796102021696082,-235.92204043392164,0.1,0.1,0.4457831325301205,0.7291666666666666,0.943,0.02775,0.02925,0.943,0.02775,0.02925,0.010174454501124834,0.17849920177411985,1.0,20.000000000000014,23.610380840301513,7.899999999999988,7.899999999999988,11.139999999999976,0.9,1.0,0.0,0.93425,0.06574999999999998,0.06574999999999998,0.0,4.865048140345607e-06,0.0,3.2661489512975095e-08,4.865048140345607e-06,3.2661489512975095e-08,0.6395651698112488,0.5,0.1145687997341156,,,,,0.19818179309368134,0.5,228,0.0,0.0,0.0,199,47,0.23618090452261306,47,0.11075,1.905
7,EFT,-0.35538697564165117,-71.07739512833024,0.15,0.15,0.580046403712297,0.8387096774193549,0.924,0.037,0.039,0.924,0.037,0.039,0.013800227766375944,0.18158194429442032,1.0,20.000000000000014,25.460932064056397,7.8333333333333215,7.8333333333333215,8.689999999999985,0.85,1.0,0.0,0.9165,0.08350000000000002,0.08350000000000002,0.0,1.282371954403061e-06,0.0,2.672311850970832e-11,1.282371954403061e-06,2.672311850970832e-11,0.6581824421882629,0.5,0.10719338059425354,,,,,0.17833055555820465,0.5,304,0.0,0.0,0.0,283,62,0.21908127208480566,62,0.191,2.29
8,EFT,-0.4040875419354721,-80.81750838709442,0.4,0.4,0.6368038740920097,0.9,0.9245,0.04075,0.03475,0.9245,0.04075,0.03475,0.01427684725984886,0.1890973146999849,1.0,20.000000000000014,22.637258911132818,8.399999999999986,8.399999999999986,12.20499999999997,0.6,1.0,0.0,0.916,0.08399999999999996,0.08399999999999996,0.0,2.031561052717734e-06,0.0,9.402416345505316e-12,2.031561052717734e-06,9.402416345505316e-12,0.7134680151939392,0.5,0.08256711065769196,,,,,0.16102315485477448,0.5,302,0.0,0.0,0.0,289,56,0.19377162629757785,56,0.12775,2.25
9,EFT,-1.0788763814080182,-215.77527628160362,0.5,0.5,0.7868852459016393,0.9285714285714286,0.914,0.043,0.043,0.914,0.043,0.043,0.014962720523983203,0.17398512237189767,0.9964840381458085,20.000000000000014,21.884811401367195,9.709999999999983,9.709999999999983,13.884999999999966,0.5,1.0,0.0,0.902,0.09799999999999998,0.09799999999999998,0.0,3.564587814253173e-06,0.0,4.3179193554010453e-10,3.564587814253173e-06,4.3179193554010453e-10,0.7463416457176208,0.5,0.07361950725317001,,,,,0.16614292562007904,0.5,338,0.0,0.0,0.0,325,43,0.13230769230769232,43,0.18375,2.16
10,EFT,-1.2126507050864108,-242.53014101728215,0.25,0.25,0.6555819477434679,0.8695652173913043,0.9205,0.04325,0.03625,0.9205,0.04325,0.03625,0.01316253940608801,0.16556653340991206,1.0,20.000000000000014,23.464473247528076,8.319999999999986,8.319999999999986,11.379999999999976,0.75,1.0,0.0,0.911,0.08899999999999997,0.08899999999999997,0.0,7.665271368750837e-06,0.0,2.2086359408035605e-09,7.665271368750837e-06,2.2086359408035605e-09,0.707375168800354,0.5,0.08840817958116531,,,,,0.16057756543159485,0.5,315,0.0,0.0,0.0,298,60,0.20134228187919462,60,0.187,2.285
11,EFT,-1.2574661992154639,-251.4932398430928,0.2,0.2,0.587378640776699,0.8373983739837398,0.921,0.0425,0.0365,0.921,0.0425,0.0365,0.015108125379272839,0.19124209340851697,1.0,20.000000000000014,24.33882942199707,9.124999999999984,9.124999999999984,13.454999999999966,0.8,1.0,0.0,0.911,0.08899999999999997,0.08899999999999997,0.0,8.359083949471824e-06,0.0,1.3860932845943807e-08,8.359083949471824e-06,1.3860932845943807e-08,0.6258255243301392,0.4618050456047058,0.12216658145189285,,,,,0.17468677461147308,0.5,314,0.0,0.0,0.0,291,88,0.3024054982817869,88,0.16025,2.1
12,EFT,-1.0213954885046568,-204.27909770093135,0.2,0.2,0.5794621026894865,0.8125,0.92775,0.0355,0.03675,0.92775,0.0355,0.03675,0.016780546400313182,0.2322566975821894,1.0,20.000000000000014,25.67646722793579,8.724999999999984,8.724999999999984,13.784999999999965,0.8,1.0,0.0,0.91925,0.08074999999999999,0.08074999999999999,0.0,3.6597027701645857e-06,0.0,1.101520985535842e-09,3.6597027701645857e-06,1.101520985535842e-09,0.6444842219352722,0.5,0.11455640196800232,,,,,0.18770469725131989,0.5,286,0.0,0.0,0.0,264,62,0.23484848484848486,62,0.159,1.95
13,EFT,-0.6357850271517274,-116.98444499591783,0.25,0.25,0.6705607476635514,0.8807339449541285,0.9127717391304347,0.04483695652173913,0.042391304347826085,0.9127717391304347,0.04483695652173913,0.042391304347826085,0.012801371415861082,0.14675715517248838,0.9521834522953875,18.39999999999999,21.344961738586424,9.139999999999983,9.139999999999983,11.159999999999975,0.75,0.0,0.0,0.8956521739130435,0.10434782608695647,0.10434782608695647,0.0,2.1285466118570184e-06,0.0,1.2606479748988875e-10,2.1285466118570184e-06,1.2606479748988875e-10,0.6903467774391174,0.5,0.09696871042251587,,,,,0.16631057858467102,0.5,321,0.0,0.0,0.0,303,77,0.25412541254125415,77,0.19184782608695652,2.489130434782609
14,EFT,-0.6414875343528369,-128.2975068705674,0.2,0.2,0.5164319248826291,0.8076923076923077,0.9355,0.03075,0.03375,0.9355,0.03075,0.03375,0.012116770243540492,0.18785690300062777,1.0,20.000000000000014,23.433293151855473,8.124999999999988,8.124999999999988,9.559999999999981,0.8,1.0,0.0,0.92475,0.07525000000000004,0.07525000000000004,0.0,1.456750396755524e-06,0.0,6.32938493283497e-11,1.456750396755524e-06,6.32938493283497e-11,0.6482602953910828,0.4000000059604645,0.11243367940187454,,,,,0.1837622970342636,0.5,256,0.0,0.0,0.0,235,57,0.2425531914893617,57,0.13075,1.905
