episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,CP-EFT,-1.2098016387280006,-241.96032774560013,0.35,0.35,0.6658653846153846,0.8651685393258427,0.92875,0.03975,0.0315,0.92875,0.03975,0.0315,0.0093376669695017,0.1310549750105507,0.8888347818570514,20.000000000000018,22.427556610107427,10.114285714285696,10.114285714285696,12.72999999999997,0.65,1.0,0.0,0.9135,0.0865,0.0865,0.0,7.5049792940262705e-06,0.0,1.6265879310140008e-08,7.5049792940262705e-06,1.6265879310140008e-08,0.717175304889679,0.5,0.0842209607362747,,,,,0.1528543084859848,0.5,284,0.0,0.0,0.0,271,56,0.2066420664206642,56,0.16575,1.97
1,EFT,-0.3284275957803575,-65.6855191560715,0.15,0.15,0.4302884615384615,0.7727272727272727,0.94525,0.027,0.02775,0.94525,0.027,0.02775,0.0098568292081175,0.1800334101939273,1.0,20.000000000000018,24.53990573883057,6.833333333333325,6.833333333333325,7.779999999999989,0.85,1.0,0.0,0.93775,0.06225,0.06225,0.0,9.0662547336251e-07,0.0,1.3237750451366992e-08,9.0662547336251e-07,1.3237750451366992e-08,0.6532369256019592,0.5,0.1116708293557167,,,,,0.2071184664964676,0.5,217,0.0,0.0,0.0,197,45,0.2284263959390862,45,0.12425,1.72
1,Greedy,-0.0016782938954838,-0.2399960270541927,0.65,0.65,0.875,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,14.299999999999963,15.152137441635109,9.099999999999984,9.099999999999984,13.699999999999966,0.35,0.0,0.0,0.8349650349650349,0.165034965034965,0.165034965034965,0.0,0.0,0.0,0.0,0.0,0.0,0.751995861530304,0.604651153087616,0.070344254374504,,,,,0.0527243874967098,0.1099999323487281,472,0.0,0.0,0.0,456,92,0.2017543859649122,92,0.0,24.216783216783217
1,LB-Greedy,-0.4297348132757537,-85.94696265515074,0.25,0.25,0.5793269230769231,0.803921568627451,0.92225,0.04025,0.0375,0.92225,0.04025,0.0375,0.0157715625591332,0.2028496792171473,1.0,20.000000000000018,22.748966503143315,9.93999999999998,9.93999999999998,12.87999999999997,0.75,1.0,0.0,0.91625,0.0837499999999999,0.0837499999999999,0.0,8.598599379183725e-07,0.0,1.9995002875639043e-10,8.598599379183725e-07,1.9995002875639043e-10,0.6841376423835754,0.5,0.0995384752750396,,,,,0.1632045954465866,0.5,311,0.0,0.0,0.0,289,71,0.245674740484429,71,0.1575,2.0
1,Local-Only,-0.1665919402450679,-29.986549244112233,0.65,0.65,0.8942307692307693,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,17.999999999999986,19.17533273696899,8.507692307692293,8.507692307692293,13.539999999999964,0.35,0.0,0.0,0.8927777777777778,0.1072222222222222,0.1072222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.1141666666666667,0.0
1,Random,-1.3787477714517502,-275.74955429035003,0.0,0.0,0.1274038461538461,0.5384615384615384,0.095,0.112,0.793,0.095,0.112,0.793,0.6417893869790388,0.6041871679326399,0.9598003174894124,20.000000000000018,25.790353775024418,0.0,0.0,0.0,1.0,1.0,0.0,0.97525,0.02475,0.02475,0.0,4.980442099622451e-06,3.5564639341151287e-12,8.52787565008839e-08,4.980442099622451e-06,8.52787565008839e-08,0.5922958254814148,0.5,0.1340657770633697,,,,,0.3950009644031524,0.5,82,0.0,0.0,0.0,52,7,0.1346153846153846,7,0.08025,0.06
1,Static,-0.0083058594469544,-1.2375730575962058,0.65,0.65,0.8701923076923077,0.0,0.1050335570469798,0.8949664429530201,0.0,0.1050335570469798,0.8949664429530201,0.0,1.0,1.0,1.0,14.899999999999965,15.703728446960426,9.653846153846134,9.653846153846134,14.239999999999965,0.35,0.0,0.0,0.8429530201342282,0.1570469798657717,0.1570469798657717,0.0,0.0,0.0,0.0,0.0,0.0,0.7416702508926392,0.6181818246841431,0.0720607638359069,,,,,0.0558295659720897,0.125,451,0.0,0.0,0.0,440,94,0.2136363636363636,94,0.0389261744966442,22.57718120805369
2,CP-EFT,-1.001760679062111,-200.3521358124222,0.15,0.15,0.5620608899297423,0.7619047619047619,0.9475,0.02775,0.02475,0.9475,0.02775,0.02475,0.0075271071489337,0.1433734695035007,1.0,20.000000000000018,23.6123722076416,11.099999999999978,11.099999999999978,13.119999999999967,0.85,1.0,0.0,0.92875,0.07125,0.07125,0.0,6.2215590332925785e-06,7.420270859348142e-14,4.6982826518160445e-09,6.2215590332925785e-06,4.6982826518160445e-09,0.7384346723556519,0.5,0.080289140343666,,,,,0.1859420984983444,0.5,207,0.0,0.0,0.0,186,20,0.1075268817204301,20,0.11225,1.24
2,EFT,-0.5815576578712083,-116.31153157424166,0.2,0.2,0.5480093676814989,0.7807017543859649,0.93325,0.03425,0.0325,0.93325,0.03425,0.0325,0.014623962417045,0.2190855792815736,1.0,20.000000000000018,23.463063049316407,7.724999999999989,7.724999999999989,11.274999999999974,0.8,1.0,0.0,0.9235,0.0765,0.0765,0.0,1.9606079604272963e-06,0.0,1.458014681210429e-10,1.9606079604272963e-06,1.458014681210429e-10,0.6950693726539612,0.5,0.0920150727033615,,,,,0.187770277261734,0.5,265,0.0,0.0,0.0,239,45,0.1882845188284518,45,0.1345,1.74
2,Greedy,-0.0115131433465818,-1.6463794985611973,0.7,0.7,0.9508196721311476,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,14.299999999999963,14.67502717971799,10.326666666666648,10.326666666666648,13.809999999999969,0.3,0.0,0.0,0.8076923076923077,0.1923076923076923,0.1923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.7108314037322998,0.5384615659713745,0.0815445482730865,,,,,0.045346476137638,0.0918179601430893,550,0.0,0.0,0.0,543,137,0.2523020257826888,137,0.0,23.426573426573427
