episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,r_time,r_interf,r_risk,r_illegal,r_pbrs,r_term,r_step,r_total,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_risk,abs_ratio_r_illegal,abs_ratio_r_pbrs,abs_ratio_r_term,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,uncertainty_selected_mean,uncertainty_selected_p90,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,risk_penalty_mean,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,top_illegal_reason,top_illegal_reason_count,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,24.150211095809937,42,False,True,time_limit,1.0,20.000000000000014,21.15141487121582,0.0,20,True,53.52185835500852,1.4188765160350176,326623966.9919032,-0.027324989974065104,-0.06560722915123411,-0.0011089987749703348,0.0,0.0013570910913821264,-0.000605052480969735,-0.0941331198450918,-0.09338108123467882,0.28435308524940706,0.0009563627132259234,0.6827310107533366,0.011540616245419754,0.0,0.01412254433124912,0.006296380707361587,3.833483930293369e-08,2.3695977092400705e-13,2.285554648318031e-10,3.833483930293369e-08,2.285554648318031e-10,0.5243055820465088,0.5,0.4704860746860504,0.5,0.5,0.6666666865348816,0.8541666666666666,1.0,0.09241656213998795,48,0.0,0.0,0.0,22,4,0.18181818181818182,4,20,20,228,-0.09338107705116272,-0.025995740666985512,-0.025208857282996176,-1.4100055694580078,-0.024120064452290535,0.09338107705116272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005688221240437701,0.0005056347351596694,0.0,0.0,21.15141487121582,,,1.151414871215806,0.0,0.0,0.10526315789473684,1.0,0.0,,0,0.9855,0.014499999999999957,0.014499999999999957,0.0,0.0,0.1724137931034483,0.06896551724137931,0.7586206896551724,0.1724137931034483,0.06896551724137931,0.7586206896551724,0.4952314259266601,0.8651102662086486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145,58,4000,-3.9823689460754395,7.544198513031006,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.6427368421052643,12.212000000000016,47125099.855347745,1.0,0.0,0.14795703473000552,0.005245389089493771,0.1532024238194991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.190194482168907e-05,0.0,0.4950833548132796,0.0,0.0,True,-1.0,1.151414871215806,0.0
2,200,23.054887294769287,42,False,True,time_limit,1.0,20.000000000000014,20.831247329711914,0.0,20,True,52.10374429784821,1.523030367325073,360772862.8972417,-0.02572386836877224,-0.28765731592270694,-0.001969201873518968,0.0,0.0013170033402030842,-0.00045598377244744414,-0.31555247846530043,-0.31469145889754546,0.08106433095427715,0.0006368590011535353,0.9065023784558551,0.006205599799465279,0.0,0.004153877637969983,0.0014369541512789063,2.860055019482388e-07,0.0,1.8819129588010146e-09,2.860055019482388e-07,1.8819129588010146e-09,0.531589150428772,0.5,0.4335270822048187,0.5,0.5,0.6666666865348816,0.7325581395348837,0.9534883720930233,0.09159078449010849,86,0.0,0.0,0.0,39,7,0.1794871794871795,7,20,20,259,-0.3147650957107544,-0.2703041136264801,-0.02459239587187767,-0.7543002367019653,-0.023233773186802864,0.3147650957107544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010578264357043868,0.0003186582574403592,0.0,0.0,20.831247329711914,,,0.8312473297118999,0.0,0.0,0.16602316602316602,1.0,0.0,,0,0.9735,0.026499999999999968,0.026499999999999968,0.0,0.0,0.18867924528301888,0.09433962264150944,0.7169811320754716,0.18867924528301888,0.09433962264150944,0.7169811320754716,0.5017789938256462,0.872904360294342,2.2660207748413086,-0.04607758903875947,0.08333333475249154,0.08393918297120503,15.8605238369533,8.006277114152908,35.048452769007,2.2660207748413086,-2.2660207748413086,0.0265,106,4000,-2.6250956058502197,6.853025913238525,-2.8256747722625732,3.591801534805979,-0.3059214933642319,0.05632489600351879,0.6269841279302325,0,1.0,1.0,0.46813157894736823,8.894499999999997,50336456.21669203,1.0,0.0,0.10155798108215197,0.00539248271364937,0.10695046379580136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002020923003038358,0.0,0.5057890749208164,0.0,0.0,True,-1.0,0.8312473297118999,0.0
3,200,23.72575855255127,42,False,True,time_limit,1.0,20.000000000000014,20.80170249938965,0.0,20,True,53.40070357277816,1.4402816534071787,329171198.73216796,-0.026678141470431516,-0.29635883751146713,-0.0017329610776280148,0.0,0.0012250465412984772,-0.0007879921661625348,-0.32504521299456723,-0.3246081586194296,0.08156972510248037,0.0008416604906411552,0.9061316709147059,0.0052986134312274814,0.0,0.003749005391607712,0.0024093246693374826,1.8760964337616315e-07,1.5109376965728727e-12,1.923856469687733e-08,1.8760964337616315e-07,1.923856469687733e-08,0.5262222290039062,0.5,0.44377776980400085,0.5,0.5,0.6666666865348816,0.8266666666666667,0.96,0.09242458641529083,75,0.0,0.0,0.0,36,12,0.3333333333333333,12,20,20,228,-0.3251224458217621,-0.0329612772911787,-0.025238844286650422,-1.6727615594863892,-0.020252522081136703,0.3251224458217621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013921462688286945,0.00023667017049403365,0.0,0.0,20.80170249938965,,,0.8017024993896342,0.0,0.0,0.2149122807017544,1.0,0.0,,0,0.973,0.027000000000000024,0.027000000000000024,0.0,0.0,0.3055555555555556,0.07407407407407407,0.6203703703703703,0.3055555555555556,0.07407407407407407,0.6203703703703703,0.48945159200246924,0.8551743507385254,2.35859751701355,0.03308224678039551,0.0,0.560036838054657,2.146486520767212,1.6250380277633667,2.3454153537750244,2.35859751701355,-2.35859751701355,0.027,108,4000,-4.244365215301514,6.089408874511719,-8.636194229125977,7.478995323181152,-0.6222518086433411,0.051835302263498306,0.0,0,1.0,1.0,0.5725526315789466,10.8785,48740795.90935789,1.0,0.0,0.22205324507749166,0.005357028987045273,0.22741027406453695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002752729350403899,0.0,0.4921167351147742,0.0,0.0,True,-1.0,0.8017024993896342,0.0
4,172,18.88862919807434,42,True,False,all_finished,0.0,17.199999999999974,17.71666145324707,0.0,20,True,50.28876323121408,1.4694916034275471,360936223.40362805,-0.026601764443791615,-0.0032718431910939683,-0.0018542890113018814,0.0,0.001318900107967969,-0.0005991033766679535,-0.031920352177445786,-0.03120055544614584,0.7861179588094432,0.0056873200916454335,0.09668737186069017,0.054796737099430066,0.0,0.03900630066061124,0.017704311478179854,4.066977032923802e-10,0.0,7.231830273513026e-11,4.066977032923802e-10,7.231830273513026e-11,0.5400462746620178,0.5,0.4412037134170532,0.5,0.5,0.75,0.7916666666666666,0.9305555555555556,0.08859381079673767,72,0.0,0.0,0.0,39,7,0.1794871794871795,7,20,20,224,-0.031212354078888893,-0.025302340276539326,-0.02396512134000659,-0.592883825302124,-0.02330366149544716,0.031212354078888893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001126785448260646,0.0003173845807659929,0.0,0.0,17.71666145324707,,,0.5166614532470959,0.0,0.0,0.23214285714285715,1.0,0.0,,0,0.9709302325581395,0.029069767441860517,0.029069767441860517,0.0,0.0,0.28,0.14,0.58,0.28,0.14,0.58,0.499134572806845,0.8672395944595337,2.3215896685918174,-0.0004660568665713072,0.20952381193637848,-0.018592628339926403,4.150574962298076,2.048589120308558,23.779267927010853,2.3215896685918174,-2.3215896685918174,0.029069767441860465,100,3440,-0.8265824913978577,1.589542269706726,-1.4316059947013855,0.9197706455985705,-0.8835983475049337,0.052823979407548904,0.5357142860690752,0,1.0,1.0,0.5185434516523872,9.852325581395359,42319129.71668262,1.0,0.0,0.08178713500589666,0.005569244904612768,0.0873563799105094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00019245553125834245,0.0,0.5040044311413725,0.0,0.0,False,0.0,0.0,0.0
5,181,21.95334529876709,42,True,False,all_finished,0.0,18.099999999999987,18.550533294677734,0.0,20,True,50.5754375182456,1.5655260405041738,376115568.2833755,-0.024580653075498112,-0.04709814168989332,-0.0017470008890092279,0.0,0.0012046633524763054,-0.0006568989756237704,-0.07362445149606002,-0.07307668711920777,0.32563117427089,0.0026316849595755844,0.6239306635731416,0.023143321261363016,0.0,0.015960914210503264,0.008702241724526614,2.5529618596920045e-07,0.0,1.0805265397706426e-10,2.5529618596920045e-07,1.0805265397706426e-10,0.5420634746551514,0.5,0.4492063522338867,0.5,0.5,0.7041666775941852,0.7638888888888888,0.9444444444444444,0.08783532679080963,72,0.0,0.0,0.0,30,5,0.16666666666666666,5,20,20,252,-0.07321710884571075,-0.023331012576818466,-0.023005731403827667,-1.3111220598220825,-0.0220174603164196,0.07321710884571075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010326434784405842,0.0005145868286115412,0.0,0.0,18.550533294677734,,,0.45053329467774716,0.0,0.0,0.16666666666666666,1.0,0.0,,0,0.9743093922651934,0.02569060773480658,0.02569060773480658,0.0,0.0,0.22580645161290322,0.08602150537634409,0.6881720430107527,0.22580645161290322,0.08602150537634409,0.6881720430107527,0.49750744548571835,0.8594765424728392,2.569171190261841,0.05313665419816971,0.0,0.2812787592411041,1.9909660816192627,1.2677971124649048,2.0025105476379395,2.569171190261841,-2.569171190261841,0.02569060773480663,93,3620,-6.266132354736328,8.959043502807617,-10.35986328125,9.359909057617188,-1.0435848236083984,0.03365052118897438,0.0,0,1.0,1.0,0.5926432102355338,11.260220994475144,42725621.93072964,1.0,0.0,0.08194376397007144,0.005418302228744978,0.08736206619881642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00019865584165943472,0.0,0.496017982661261,0.0,0.0,False,0.0,0.0,0.0
6,200,23.31822919845581,42,False,True,time_limit,1.0,20.000000000000014,21.92224884033203,0.0,20,True,51.174525168764106,1.5269533984053223,368142360.6450138,-0.025452024703030544,-0.09293490430039777,-0.0015723361038402577,0.0,0.001342624020801382,-0.0005511866757062126,-0.12030783951164692,-0.11951640216655236,0.2082780997922977,0.0028524416201560947,0.7605015906558172,0.012866684665117454,0.0,0.010990732141941123,0.004510451124670418,4.643839304208086e-07,6.043404166856947e-13,1.8647839161722837e-09,4.643839304208086e-07,1.8647839161722837e-09,0.5289855599403381,0.5,0.47101449966430664,0.5,0.5,0.6666666865348816,0.8260869565217391,1.0,0.09114991128444672,69,0.0,0.0,0.0,25,4,0.16,4,20,20,242,-0.11989349126815796,-0.025790329091250896,-0.024228631798177958,-1.1008468866348267,-0.021642807871103287,0.11989349126815796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00148373791248008,0.000969899385199587,0.0,0.0,21.92224884033203,,,1.922248840332017,0.0,0.0,0.12396694214876033,1.0,0.0,,0,0.9775,0.022499999999999964,0.022499999999999964,0.0,0.0,0.23333333333333334,0.03333333333333333,0.7333333333333333,0.23333333333333334,0.03333333333333333,0.7333333333333333,0.503635783088819,0.8659449368715286,2.2694114446640015,0.05634930729866028,0.1666666716337204,-0.18848664313554764,7.875219225883484,3.741210639476776,58.10857582092285,2.2694114446640015,-2.2694114446640015,0.0225,90,4000,-0.890558123588562,2.501213312149048,-1.4490755796432495,0.20718249678611755,-1.027874231338501,0.04158118274062872,0.3333333432674408,0,1.0,1.0,0.5213157894736848,9.90500000000001,44573976.24816524,1.0,0.0,0.2516519238934896,0.0055522177098521475,0.25720414160334165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003485744043784013,0.0,0.502098080183845,0.0,0.0,True,-1.0,1.922248840332017,0.0
7,200,22.891462802886963,42,False,True,time_limit,1.0,20.000000000000014,20.712337493896484,0.0,20,True,49.73855952163503,1.5481989608999818,378100532.3864473,-0.02494806049048635,-0.06746779489073264,-0.0017721071683918467,0.0,0.0013266254804452863,-0.0004306871214876437,-0.09433925008619252,-0.09344331172723531,0.2596131546330503,0.0015743201618201544,0.7020797097392815,0.0184408055491724,0.0,0.013810216940749987,0.004481792975925851,5.523860124867497e-08,3.489916011343783e-14,1.0377726900046008e-09,5.523860124867497e-08,1.0377726900046008e-09,0.5234649181365967,0.5,0.4442981779575348,0.5,0.5,0.6666666865348816,0.8421052631578947,0.9605263157894737,0.09326879680156708,76,0.0,0.0,0.0,37,9,0.24324324324324326,9,20,20,249,-0.09356505423784256,-0.024267902597784996,-0.023448926396667957,-0.6685566902160645,-0.019893569871783257,0.09356505423784256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009667105819127773,0.0010700103862964383,0.0,0.0,20.712337493896484,,,0.7123374938964702,0.0,0.0,0.17670682730923695,1.0,0.0,,0,0.975,0.025000000000000022,0.025000000000000022,0.0,0.0,0.24,0.07,0.69,0.24,0.07,0.69,0.48989283137079875,0.8505291700363158,2.3555641174316406,0.052203815430402756,0.0,-0.06944022327661514,2.0440337657928467,0.9443701505661011,11.482970237731934,2.3555641174316406,-2.3555641174316406,0.025,100,4000,-0.7989376783370972,2.804555654525757,-1.7224220037460327,0.5755710005760193,-1.113616704940796,0.031066574156284332,0.0,0,1.0,1.0,0.5030526315789478,9.558000000000002,43903023.52521072,1.0,0.0,0.15462892212515178,0.005740272546986613,0.16036919467213837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00015128753658109656,0.0,0.49122176436614245,0.0,0.0,True,-1.0,0.7123374938964702,0.0
8,200,23.592634201049805,42,False,True,time_limit,1.0,20.000000000000014,20.649967193603516,0.0,20,True,52.80534475908246,1.5176876432113662,356031225.63941175,-0.025586279284194262,-0.04026274356776021,-0.001708424680902015,0.0,0.00127458659071843,-0.0005081874914888238,-0.06781620276819865,-0.06704980366896936,0.36761632947168577,0.0037177210797919376,0.5784835630236825,0.024546156297137148,0.0,0.018334737861886934,0.007301492265815703,6.027301768796178e-09,0.0,3.9812127552996046e-11,6.027301768796178e-09,3.9812127552996046e-11,0.5257883071899414,0.5,0.4530405104160309,0.5,0.5,0.6666666865348816,0.8243243243243243,0.9594594594594594,0.09234728664159775,74,0.0,0.0,0.0,29,8,0.27586206896551724,8,20,20,250,-0.06718335300683975,-0.024356410838663578,-0.023991535324603318,-0.5637338161468506,-0.02321273647248745,0.06718335300683975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012253815742999626,0.00037284666711731086,0.0,0.0,20.649967193603516,,,0.6499671936035014,0.0,0.0,0.164,1.0,0.0,,0,0.97525,0.02475000000000005,0.02475000000000005,0.0,0.0,0.25252525252525254,0.0707070707070707,0.6767676767676768,0.25252525252525254,0.0707070707070707,0.6767676767676768,0.4976382893504235,0.8553828805685042,2.086200988292694,-0.01718324040994048,0.14297619313001633,0.07228689044713973,2.0467153668403624,1.088382324576378,12.916225147247314,2.086200988292694,-2.086200988292694,0.02475,99,4000,-1.7731858491897583,7.17126989364624,-3.575226879119873,4.910461166501046,-1.3216141223907472,0.047507516108453274,0.4446428596973419,0,1.0,1.0,0.5811052631578948,11.041000000000002,45853495.28737068,1.0,0.0,0.10376165130977982,0.005259067058079561,0.10902071836785936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00025875523534277397,0.0,0.49571692710719073,0.0,0.0,True,-1.0,0.6499671936035014,0.0
9,200,23.626097440719604,42,False,True,time_limit,1.0,20.000000000000014,20.971416473388672,0.0,20,True,53.64668269562304,1.3863604655792152,319630663.4719563,-0.027837879728936827,-0.011974501998002006,-0.0013357659047630059,0.0,0.0013985479375039755,-0.0006350539305482217,-0.04128182206389229,-0.04051832805693663,0.6426779004581091,0.0030860684887470697,0.276448776919882,0.030838096706203473,0.0,0.03228801474174992,0.01466114268530854,4.255238383876758e-10,6.320907813546321e-14,2.655674749552083e-10,4.255238383876758e-10,2.655674749552083e-10,0.5258620977401733,0.5,0.4698275923728943,0.5,0.5,0.6666666865348816,0.8620689655172413,0.9655172413793104,0.09212178736925125,58,0.0,0.0,0.0,24,3,0.125,3,20,20,235,-0.040525760501623154,-0.026595134288072586,-0.025548314768821013,-0.5808481574058533,-0.02199469693005085,0.040525760501623154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007609195332342349,0.0007967081880591327,0.0,0.0,20.971416473388672,,,0.9714164733886577,0.0,0.0,0.14042553191489363,1.0,0.0,,0,0.98125,0.018750000000000044,0.018750000000000044,0.0,0.0,0.22666666666666666,0.12,0.6533333333333333,0.22666666666666666,0.12,0.6533333333333333,0.49707479434885077,0.8593790769577025,2.112705945968628,0.054970962926745415,0.0,-0.24844654649496078,0.7501944005489349,8296905.710157976,198529456.98886472,2.112705945968628,-2.112705945968628,0.01875,75,4000,-2.0834267139434814,3.908043146133423,-2.394167423248291,1.940535545349121,-1.262695848941803,0.03946638107299805,0.0,0,1.0,1.0,0.5657368421052633,10.748999999999992,45734415.73451391,1.0,0.0,0.23817168688452936,0.005620057025481535,0.24379174391001082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013367443219031692,0.0,0.49653149777150246,0.0,0.0,True,-1.0,0.9714164733886577,0.0
10,200,21.972786903381348,42,False,True,time_limit,1.0,20.000000000000014,20.52128028869629,0.0,20,True,48.94557514346097,1.554440354833575,389032902.42578536,-0.025139835761286613,-0.060263009976333465,-0.0021078687531677753,0.0,0.0012621030172674924,-0.0004940321935362005,-0.08787320264999765,-0.08710513182626028,0.28048434948322387,0.004044268884452271,0.6723524891575451,0.02351742476133105,0.0,0.014089566214029103,0.005511901499418533,1.5125239372082433e-07,0.0,1.2101464066938107e-10,1.5125239372082433e-07,1.2101464066938107e-10,0.5293219685554504,0.5,0.43198758363723755,0.5,0.5,0.7303571522235871,0.8478260869565217,0.9347826086956522,0.09164648503065109,92,0.0,0.0,0.0,47,11,0.23404255319148937,11,20,20,259,-0.08719076216220856,-0.023933904245495796,-0.02371164131909609,-1.1600733995437622,-0.02158254012465477,0.08719076216220856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016906142141883932,0.00032178615813987697,0.0,0.0,20.52128028869629,,,0.5212802886962749,0.0,0.0,0.23166023166023167,1.0,0.0,,0,0.96875,0.03125,0.03125,0.0,0.0,0.264,0.08,0.656,0.264,0.08,0.656,0.49192519344772584,0.8578566074371338,2.0882767836252847,-0.016786819013456505,0.13030303517977396,0.21030114591121674,1.7144607305526733,1.0602734486262004,1.6677303711573284,2.0882767836252847,-2.0882767836252847,0.03125,125,4000,-4.285668849945068,7.156773090362549,-7.220406691233317,7.092295328776042,-1.207303762435913,0.09900316844383876,0.0,0,1.0,1.0,0.40489473684210536,7.693000000000012,44507044.13439745,1.0,0.0,0.07512555284179148,0.005415671446525424,0.0805412242883169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00036248815920366734,0.0,0.4912645276254043,0.0,0.0,True,-1.0,0.5212802886962749,0.0
