baseline,metric_id,metric_cn,direction,n_total,n_effective,matched_k,wins,losses,ties,win_rate,p_value_sign_test,welch_t,welch_p_value,bootstrap_ci95_low,bootstrap_ci95_high,mean_oriented_diff,median_oriented_diff,stat_basis
CP-EFT,deadline_miss_rate,超时失败率,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,54.034043622667234,6.028565124161756e-123,61.791666666666664,66.25,64.0,65.0,matched_tail_raw_baseline
EFT,deadline_miss_rate,超时失败率,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,53.01828618292599,1.915322442431538e-119,62.26979166666667,67.04166666666667,64.70833333333333,65.0,matched_tail_raw_baseline
Greedy,deadline_miss_rate,超时失败率,lower,120,114,120,98,16,6,0.8596491228070176,1.4774163664785461e-15,13.228104210925942,2.0073521747698748e-26,25.791666666666664,34.25,29.875,32.5,matched_tail_raw_baseline
LB-Greedy,deadline_miss_rate,超时失败率,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,72.62481563019517,4.896368140063238e-161,70.875,74.79166666666667,72.95833333333333,75.0,matched_tail_raw_baseline
Local-Only,deadline_miss_rate,超时失败率,lower,120,113,120,97,16,7,0.8584070796460177,2.5449599180816333e-15,12.242743273702677,1.2160911469488112e-26,10.999999999999998,15.230208333333326,13.166666666666666,15.0,matched_tail_raw_baseline
Random,deadline_miss_rate,超时失败率,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,133.86881381781026,1.4036791341864693e-136,86.10312499999999,88.75,87.41666666666667,90.0,matched_tail_raw_baseline
Static,deadline_miss_rate,超时失败率,lower,120,116,120,99,17,4,0.853448275862069,2.956662638312641e-15,13.572324866810987,2.7067553107741104e-27,26.228125000000002,35.188541666666666,30.791666666666668,32.5,matched_tail_raw_baseline
CP-EFT,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,139.07910765849013,1.0591073256006292e-133,20.51931144660413,21.1213262370569,20.83616127635042,21.263919724822046,matched_tail_raw_baseline
EFT,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,131.74640814053387,6.762573758942325e-131,21.259047139277058,21.90125763587877,21.59287523675959,21.986797618865968,matched_tail_raw_baseline
Greedy,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,76.72005093213491,2.9343177465296755e-103,12.489501651305686,13.154115576778086,12.830053043136976,12.800529904365519,matched_tail_raw_baseline
LB-Greedy,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,160.6816256851981,3.672847085292162e-141,21.609234167732545,22.151009689934305,21.898088543504475,22.10114049255848,matched_tail_raw_baseline
Local-Only,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,99.39727400539331,1.7862158585410533e-116,14.308744985698137,14.865997970016522,14.587723252544777,14.641465774774522,matched_tail_raw_baseline
Random,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,492.40577256263646,8.366963995873518e-201,23.44396188031261,23.62946399770056,23.53696137564381,23.55134283185005,matched_tail_raw_baseline
Static,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,74.31052418187963,1.2458818283807084e-101,13.111448573083909,13.821562081080408,13.467101166099292,13.407052136063555,matched_tail_raw_baseline
CP-EFT,power_ratio_mean,远端功率比例,lower,120,120,120,108,12,0,0.9,1.7801264728411162e-20,3.6429634422317445,0.00039506144009630466,0.03306476902805651,0.11439220264559605,0.07515202363666913,0.13926141562353514,matched_tail_raw_baseline
EFT,power_ratio_mean,远端功率比例,lower,120,120,120,108,12,0,0.9,1.7801264728411162e-20,4.992418266869719,1.9566073769625836e-06,0.05696425335966454,0.13941883224188187,0.10328318575327979,0.1686395463693978,matched_tail_raw_baseline
Greedy,power_ratio_mean,远端功率比例,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,45.51514571045537,4.040000222602831e-77,0.8855456187451879,0.9663623836512367,0.9300211476782958,1.0,matched_tail_raw_baseline
LB-Greedy,power_ratio_mean,远端功率比例,lower,120,120,120,108,12,0,0.9,1.7801264728411162e-20,5.522441813117341,1.832752452033455e-07,0.07317748331695939,0.1516395216097539,0.11445624033641529,0.17567471477239716,matched_tail_raw_baseline
Local-Only,power_ratio_mean,远端功率比例,lower,120,12,120,0,12,108,0.0,0.0004882812500000003,-3.424758316543749,0.0008449530184248015,-0.11139240084215998,-0.03298911755904557,-0.06997885232170423,0.0,matched_tail_raw_baseline
