phase,method,policy,metric_id,metric_cn,direction,mean,std,n,matched_k,stat_basis
中期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,76.33333333333333,10.880043664437014,120,120,matched_tail_raw_baseline
中期,EFT,EFT,deadline_miss_rate,超时失败率,lower,77.04166666666667,11.348117108347177,120,120,matched_tail_raw_baseline
中期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,42.208333333333336,23.708629012151977,120,120,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,85.29166666666667,8.434020576286999,120,120,matched_tail_raw_baseline
中期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,25.5,9.424623568703671,120,120,matched_tail_raw_baseline
中期,Random,Random,deadline_miss_rate,超时失败率,lower,99.75,1.0942938323853602,120,120,matched_tail_raw_baseline
中期,Static,Static,deadline_miss_rate,超时失败率,lower,43.125,23.825895981635846,120,120,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,12.541666666666666,6.641979852313873,120,120,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,76.33333333333333,10.880043664437014,120,120,matched_tail_raw_baseline
前期,EFT,EFT,deadline_miss_rate,超时失败率,lower,77.04166666666667,11.348117108347177,120,120,matched_tail_raw_baseline
前期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,42.208333333333336,23.708629012151977,120,120,matched_tail_raw_baseline
前期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,85.29166666666667,8.434020576286999,120,120,matched_tail_raw_baseline
前期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,25.5,9.424623568703671,120,120,matched_tail_raw_baseline
前期,Random,Random,deadline_miss_rate,超时失败率,lower,99.75,1.0942938323853602,120,120,matched_tail_raw_baseline
前期,Static,Static,deadline_miss_rate,超时失败率,lower,43.125,23.825895981635846,120,120,matched_tail_raw_baseline
前期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,87.95833333333333,14.50146085560964,120,120,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,76.33333333333333,10.880043664437014,120,120,matched_tail_raw_baseline
后期,EFT,EFT,deadline_miss_rate,超时失败率,lower,77.04166666666667,11.348117108347177,120,120,matched_tail_raw_baseline
后期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,42.208333333333336,23.708629012151977,120,120,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,85.29166666666667,8.434020576286999,120,120,matched_tail_raw_baseline
后期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,25.5,9.424623568703671,120,120,matched_tail_raw_baseline
后期,Random,Random,deadline_miss_rate,超时失败率,lower,99.75,1.0942938323853602,120,120,matched_tail_raw_baseline
后期,Static,Static,deadline_miss_rate,超时失败率,lower,43.125,23.825895981635846,120,120,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,12.333333333333334,7.069086843116175,120,120,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,22.42180231022835,1.6406488361774174,120,120,matched_tail_raw_baseline
中期,EFT,EFT,mean_cft_est,平均完工时间估计,lower,23.17851627063751,1.7949527831008907,120,120,matched_tail_raw_baseline
中期,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,14.415694077014905,1.8314928292414496,120,120,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,mean_cft_est,平均完工时间估计,lower,23.483729577382405,1.4923563353582918,120,120,matched_tail_raw_baseline
中期,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,16.173364286422704,1.6071905148154242,120,120,matched_tail_raw_baseline
中期,Random,Random,mean_cft_est,平均完工时间估计,lower,25.12260240952174,0.522070962499421,120,120,matched_tail_raw_baseline
中期,Static,Static,mean_cft_est,平均完工时间估计,lower,15.05274219997722,1.9848378850772992,120,120,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,1.585638503124317,0.04794753855049356,120,120,matched_tail_raw_baseline
