episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,CP-EFT,-1.7827232832191884,-356.5446566438377,0.2,0.2,0.5625,0.797752808988764,0.93975,0.03275,0.0275,0.93975,0.03275,0.0275,0.006221557417647083,0.10326236377837483,0.7435278831522832,20.000000000000014,23.313428783416747,10.24999999999998,10.24999999999998,12.98499999999997,0.8,1.0,0.0,0.92325,0.07674999999999998,0.07674999999999998,0.0,1.0696474419091828e-05,2.4666961181973868e-12,7.865797670092434e-05,1.0696474419091828e-05,7.865797670092434e-05,0.7047179937362671,0.5,0.09103687107563019,,,,,0.1678486317396164,0.5,241,0.0,0.0,0.0,221,47,0.21266968325791855,47,0.141,1.615
2,CP-EFT,-0.9432752802227611,-188.65505604455223,0.2,0.2,0.6416861826697893,0.8514851485148515,0.9345,0.03375,0.03175,0.9345,0.03375,0.03175,0.01050328331748352,0.1603554704959316,1.0,20.000000000000014,22.668682098388672,9.97499999999998,9.97499999999998,11.499999999999975,0.8,1.0,0.0,0.91275,0.08725000000000005,0.08725000000000005,0.0,4.261828507878818e-06,0.0,8.859376565695243e-10,4.261828507878818e-06,8.859376565695243e-10,0.7079007625579834,0.5,0.08536793291568756,,,,,0.1636357307434082,0.5,258,0.0,0.0,0.0,241,51,0.21161825726141079,51,0.164,1.615
3,CP-EFT,-1.6642513850810168,-332.85027701620334,0.2,0.2,0.5035799522673031,0.7746478873239436,0.94675,0.0295,0.02375,0.94675,0.0295,0.02375,0.006019362912833018,0.1130396791142351,0.9113708581715461,20.000000000000014,23.364992809295657,8.624999999999986,8.624999999999986,9.94999999999998,0.8,1.0,0.0,0.9265,0.07350000000000001,0.07350000000000001,0.0,6.317930456134491e-06,0.0,4.4285837930146954e-07,6.317930456134491e-06,4.4285837930146954e-07,0.6222430467605591,0.5,0.12104453146457672,,,,,0.1759936362504959,0.5,213,0.0,0.0,0.0,197,63,0.3197969543147208,63,0.137,1.45
4,CP-EFT,-2.5167570753357023,-503.35141506714046,0.2,0.2,0.5985037406483791,0.8279569892473119,0.944,0.02775,0.02825,0.944,0.02775,0.02825,0.007175995380836212,0.12814277465778945,0.8585427967292922,20.000000000000014,22.906165504455565,8.849999999999984,8.849999999999984,10.754999999999978,0.8,1.0,0.0,0.92675,0.07325000000000004,0.07325000000000004,0.0,1.0720239515649155e-05,0.0,0.0001397491287207231,1.0720239515649155e-05,0.0001397491287207231,0.7424803376197815,0.5,0.07691098004579544,,,,,0.1732509285211563,0.5,223,0.0,0.0,0.0,206,31,0.15048543689320387,31,0.1445,1.655
5,CP-EFT,-0.9233673677024059,-184.67347354048118,0.35,0.35,0.6208530805687204,0.8611111111111112,0.93675,0.02925,0.034,0.93675,0.02925,0.034,0.012839510534585456,0.2029962139855407,1.0,20.000000000000014,22.730490207672126,7.571428571428561,7.571428571428561,10.559999999999977,0.65,1.0,0.0,0.9185,0.08150000000000002,0.08150000000000002,0.0,1.874446979854838e-06,0.0,5.515787382393e-09,1.874446979854838e-06,5.515787382393e-09,0.7151287198066711,0.5,0.08522465080022812,,,,,0.1739557534456253,0.5,252,0.0,0.0,0.0,236,45,0.1906779661016949,45,0.16525,1.515
6,CP-EFT,-0.939324195540613,-187.8648391081226,0.2,0.2,0.5927710843373494,0.8045977011494253,0.946,0.027,0.027,0.946,0.027,0.027,0.007967618352101363,0.1475484880018771,1.0,20.000000000000014,23.249273490905765,8.624999999999986,8.624999999999986,12.214999999999971,0.8,1.0,0.0,0.926,0.07399999999999995,0.07399999999999995,0.0,4.897089638689067e-06,0.0,2.3470578813800103e-09,4.897089638689067e-06,2.3470578813800103e-09,0.7310660481452942,0.5,0.07944776117801666,,,,,0.1919565200805664,0.5,216,0.0,0.0,0.0,196,28,0.14285714285714285,28,0.1415,1.305
7,CP-EFT,-0.9025543842782474,-180.51087685564949,0.3,0.3,0.6682134570765661,0.87,0.928,0.03875,0.03325,0.928,0.03875,0.03325,0.009935511784739542,0.13799321923249364,1.0,20.000000000000014,22.794870662689213,9.766666666666648,9.766666666666648,12.374999999999972,0.7,1.0,0.0,0.906,0.09399999999999997,0.09399999999999997,0.0,2.508105808374239e-06,0.0,1.400324578515466e-10,2.508105808374239e-06,1.400324578515466e-10,0.6715845465660095,0.5,0.09934603422880173,,,,,0.15028879046440125,0.5,288,0.0,0.0,0.0,269,68,0.2527881040892193,68,0.21725,2.06
8,CP-EFT,-0.6403834811813709,-128.0766962362742,0.25,0.25,0.585956416464891,0.8803418803418803,0.926,0.03825,0.03575,0.926,0.03825,0.03575,0.010417076247824246,0.14077130064627358,0.8988109151994885,20.000000000000014,23.107667160034183,10.639999999999977,10.639999999999977,13.07999999999997,0.75,1.0,0.0,0.9095,0.09050000000000002,0.09050000000000002,0.0,3.5651601137942635e-06,0.0,1.1278157574512448e-10,3.5651601137942635e-06,1.1278157574512448e-10,0.5699496269226074,0.3933333456516266,0.1494966596364975,,,,,0.14274504780769348,0.5,295,0.0,0.0,0.0,280,99,0.3535714285714286,99,0.17375,2.065
9,CP-EFT,-0.7004302131127801,-140.08604262255602,0.15,0.15,0.5620608899297423,0.8152173913043478,0.9435,0.0275,0.029,0.9435,0.0275,0.029,0.008526289874464044,0.15090778538874422,0.9714557446636425,20.000000000000014,23.27652463912964,9.333333333333316,9.333333333333316,13.679999999999966,0.85,1.0,0.0,0.92325,0.07674999999999998,0.07674999999999998,0.0,3.131237917841645e-06,0.0,1.2440593000206945e-10,3.131237917841645e-06,1.2440593000206945e-10,0.703187108039856,0.5,0.08856120705604553,,,,,0.166448712348938,0.5,222,0.0,0.0,0.0,202,40,0.19801980198019803,40,0.13725,1.24
10,CP-EFT,-0.6340409731461673,-126.80819462923345,0.45,0.45,0.8218527315914489,0.9545454545454546,0.914,0.04225,0.04375,0.914,0.04225,0.04375,0.012068600848540497,0.14033256800628482,0.9979140680106878,20.000000000000014,21.90331563949585,9.299999999999983,9.299999999999983,11.479999999999976,0.55,1.0,0.0,0.89525,0.10475000000000001,0.10475000000000001,0.0,2.8943643428647192e-06,0.0,8.093908321349375e-10,2.8943643428647192e-06,8.093908321349375e-10,0.7159275412559509,0.5,0.08861199766397476,,,,,0.1530664563179016,0.5,340,0.0,0.0,0.0,334,61,0.18263473053892215,61,0.3035,2.145
11,CP-EFT,-0.8762860392086291,-175.25720784172583,0.15,0.15,0.4975728155339806,0.6792452830188679,0.959,0.025,0.016,0.959,0.025,0.016,0.00441922218269312,0.10778590689495414,0.8348750832388464,20.000000000000014,23.160113906860353,8.599999999999985,8.599999999999985,10.879999999999978,0.85,1.0,0.0,0.93175,0.06825000000000003,0.06825000000000003,0.0,4.159081527177477e-06,2.328161535086748e-12,1.1853312997800458e-08,4.159081527177477e-06,1.1853312997800458e-08,0.577993631362915,0.284278005361557,0.15665975213050842,,,,,0.19796670973300934,0.5,164,0.0,0.0,0.0,147,46,0.3129251700680272,46,0.131,1.04
12,CP-EFT,-0.9973929350285219,-173.5463706949628,0.3,0.3,0.6234718826405868,0.8715596330275229,0.9278735632183908,0.03333333333333333,0.03879310344827586,0.9278735632183908,0.03333333333333333,0.03879310344827586,0.01051410164605966,0.1457732021047315,0.9187279302335867,17.399999999999977,20.09794036865234,7.93333333333332,7.93333333333332,9.174999999999983,0.7,0.0,0.0,0.9025862068965518,0.09741379310344822,0.09741379310344822,0.0,4.330910087446682e-06,0.0,4.0528136402429027e-10,4.330910087446682e-06,4.0528136402429027e-10,0.6478374600410461,0.3125,0.1250562220811844,,,,,0.16740575432777405,0.5,250,0.0,0.0,0.0,234,63,0.2692307692307692,63,0.19166666666666668,1.5517241379310345
