episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,EFT,-2.1785653588096876,-435.7130717619375,0.15,0.15,0.5336538461538461,0.7878787878787878,0.9345,0.03175,0.03375,0.9345,0.03175,0.03375,0.012960741267329757,0.19787391247831682,1.0,20.000000000000014,25.319029140472413,8.199999999999987,8.199999999999987,10.759999999999977,0.85,1.0,0.0,0.92575,0.07425000000000004,0.07425000000000004,0.0,1.629023245186545e-05,5.848748135112158e-13,0.0001995262282434851,1.629023245186545e-05,0.0001995262282434851,0.680686891078949,0.5,0.10243624448776245,,,,,0.2005680650472641,0.5,261,0.0,0.0,0.0,239,50,0.20920502092050208,50,0.17275,1.915
2,EFT,-0.715973808132168,-143.1947616264336,0.4,0.4,0.7259953161592506,0.8741258741258742,0.9125,0.0425,0.045,0.9125,0.0425,0.045,0.014666010816182747,0.1676115521849457,1.0,20.000000000000014,22.43611497879029,9.212499999999984,9.212499999999984,13.139999999999969,0.6,1.0,0.0,0.90275,0.09724999999999995,0.09724999999999995,0.0,2.7930811938858824e-06,0.0,3.006564441854209e-10,2.7930811938858824e-06,3.006564441854209e-10,0.7022421360015869,0.4285714328289032,0.0926310271024704,,,,,0.16316454112529755,0.5,347,0.0,0.0,0.0,329,61,0.18541033434650456,61,0.16775,2.04
3,EFT,-3.1015161393733504,-620.30322787467,0.1,0.1,0.45346062052505964,0.7619047619047619,0.949,0.02575,0.02525,0.949,0.02575,0.02525,0.010477970369585692,0.205450399403641,1.0,20.000000000000014,24.159158802032472,6.8999999999999915,6.8999999999999915,8.069999999999988,0.9,1.0,0.0,0.9375,0.0625,0.0625,0.0,1.4274675777414814e-05,6.632098949882481e-12,0.00019952624279540032,1.4274675777414814e-05,0.00019952624279540032,0.6477863192558289,0.5,0.10989736765623093,,,,,0.23103250563144684,0.5,203,0.0,0.0,0.0,183,35,0.1912568306010929,35,0.1215,1.575
4,EFT,-1.5223394800770707,-304.4678960154141,0.15,0.15,0.5087281795511222,0.7304347826086957,0.9355,0.02625,0.03825,0.9355,0.02625,0.03825,0.013049132881955703,0.2023121377047397,1.0,20.000000000000014,24.759022045135502,6.99999999999999,6.99999999999999,7.609999999999989,0.85,1.0,0.0,0.92875,0.07125000000000004,0.07125000000000004,0.0,7.632929737155791e-06,0.0,3.714781939834211e-07,7.632929737155791e-06,3.714781939834211e-07,0.6798305511474609,0.5,0.10342878103256226,,,,,0.19835196435451508,0.5,256,0.0,0.0,0.0,225,50,0.2222222222222222,50,0.1515,1.86
5,EFT,-0.3729860248947403,-74.59720497894806,0.25,0.25,0.5758293838862559,0.8,0.92375,0.04,0.03625,0.92375,0.04,0.03625,0.013984287198217059,0.1834004878454696,1.0,20.000000000000014,23.14878215789795,10.039999999999981,10.039999999999981,13.819999999999967,0.75,1.0,0.0,0.911,0.08899999999999997,0.08899999999999997,0.0,9.997089591706754e-07,0.0,5.434088734546094e-10,9.997089591706754e-07,5.434088734546094e-10,0.6019883155822754,0.5,0.12964250147342682,,,,,0.16959597170352936,0.5,304,0.0,0.0,0.0,281,84,0.298932384341637,84,0.158,2.035
6,EFT,-1.093915806191678,-218.7831612383356,0.2,0.2,0.5614457831325301,0.845360824742268,0.9375,0.03175,0.03075,0.9375,0.03175,0.03075,0.012473417991667336,0.19957468786667737,1.0,20.000000000000014,23.94403352737427,7.39999999999999,7.39999999999999,8.609999999999985,0.8,1.0,0.0,0.926,0.07399999999999995,0.07399999999999995,0.0,6.120333182479953e-06,0.0,3.1492757290862983e-09,6.120333182479953e-06,3.1492757290862983e-09,0.710918128490448,0.5,0.08794306963682175,,,,,0.19737914204597473,0.5,247,0.0,0.0,0.0,231,42,0.18181818181818182,42,0.1415,2.095
7,EFT,-0.7280601075168572,-145.61202150337144,0.15,0.15,0.5081206496519721,0.711340206185567,0.936,0.034,0.03,0.936,0.034,0.03,0.010998688285504075,0.1718545044610012,1.0,20.000000000000014,25.53028736114502,7.199999999999991,7.199999999999991,7.47999999999999,0.85,1.0,0.0,0.9225,0.07750000000000001,0.07750000000000001,0.0,1.0420759508633637e-06,0.0,6.145320252670672e-09,1.0420759508633637e-06,6.145320252670672e-09,0.6152451634407043,0.5,0.12573093175888062,,,,,0.19293923676013947,0.5,254,0.0,0.0,0.0,226,62,0.2743362831858407,62,0.1535,2.25
8,EFT,-0.5635550695590933,-112.71101391181865,0.15,0.15,0.5375302663438256,0.8173913043478261,0.92825,0.0345,0.03725,0.92825,0.0345,0.03725,0.01671504613011194,0.232962315402257,1.0,20.000000000000014,23.28584098815918,9.099999999999982,9.099999999999982,10.329999999999979,0.85,1.0,0.0,0.92125,0.07874999999999999,0.07874999999999999,0.0,1.0667962442312273e-06,0.0,1.5733489511227106e-10,1.0667962442312273e-06,1.5733489511227106e-10,0.6652108430862427,0.4000000059604645,0.10831031203269958,,,,,0.18003660440444946,0.5,287,0.0,0.0,0.0,264,66,0.25,66,0.14825,2.215
9,EFT,-1.1721904918160506,-234.43809836321012,0.25,0.25,0.585480093676815,0.7920792079207921,0.9275,0.03775,0.03475,0.9275,0.03775,0.03475,0.013286061719871354,0.18325602372236358,1.0,20.000000000000014,23.60547666549683,7.23999999999999,7.23999999999999,8.779999999999985,0.75,1.0,0.0,0.9135,0.08650000000000002,0.08650000000000002,0.0,6.069912615203066e-06,0.0,2.3793349512857276e-09,6.069912615203066e-06,2.3793349512857276e-09,0.62652587890625,0.4545454680919647,0.1282724291086197,,,,,0.18233904242515564,0.5,289,0.0,0.0,0.0,268,73,0.27238805970149255,73,0.13475,1.895
10,EFT,-0.6889315514600838,-137.78631029201676,0.05,0.05,0.6959619952494062,0.8918918918918919,0.899,0.05575,0.04525,0.899,0.05575,0.04525,0.014055303550128004,0.1391614212883961,1.0,20.000000000000014,23.310208988189697,8.799999999999985,8.799999999999985,8.799999999999985,0.95,1.0,0.0,0.882,0.118,0.118,0.0,3.44736804436252e-06,0.0,1.0597842048376549e-10,3.44736804436252e-06,1.0597842048376549e-10,0.5327920317649841,0.3076923191547394,0.1693234145641327,,,,,0.13997936248779297,0.5,403,0.0,0.0,0.0,385,159,0.412987012987013,159,0.2645,3.095
