episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,Static,-0.00519103148865079,-0.7526995658543645,0.5,0.5,0.8701923076923077,0.0,0.0996551724137931,0.9003448275862069,0.0,0.0996551724137931,0.9003448275862069,0.0,1.0,1.0,1.0,14.499999999999964,15.707005882263164,8.359999999999985,8.359999999999985,13.309999999999969,0.5,0.0,0.0,0.8403448275862069,0.15965517241379312,0.15965517241379312,0.0,0.0,0.0,0.0,0.0,0.0,0.7903026342391968,0.7200000286102295,0.05337442457675934,,,,,0.055744756013154984,0.1111111119389534,443,0.0,0.0,0.0,432,84,0.19444444444444445,84,0.06517241379310344,23.24137931034483
2,Static,-0.03069039001293209,-3.6214660215259866,0.95,0.95,0.9953161592505855,0.0,0.061016949152542375,0.9389830508474576,0.0,0.061016949152542375,0.9389830508474576,0.0,1.0,1.0,1.0,11.799999999999974,11.850796852111793,9.194736842105247,9.194736842105247,11.619999999999974,0.05,0.0,0.0,0.7970338983050848,0.20296610169491525,0.20296610169491525,0.0,0.0,0.0,0.0,0.0,0.0,0.8580964207649231,0.800000011920929,0.03176093101501465,,,,,0.05794686824083328,0.1428571492433548,461,0.0,0.0,0.0,460,53,0.11521739130434783,53,0.04025423728813559,25.796610169491526
3,Static,-0.053758560656925795,-6.77357864277265,0.95,0.95,1.0,0.0,0.15912698412698412,0.8408730158730159,0.0,0.15912698412698412,0.8408730158730159,0.0,1.0,1.0,1.0,12.599999999999971,12.59999999999997,9.039999999999983,9.039999999999983,12.409999999999972,0.05,0.0,0.0,0.8186507936507936,0.18134920634920637,0.18134920634920637,0.0,0.0,0.0,0.0,0.0,0.0,0.8573155999183655,0.75,0.03141120821237564,,,,,0.0648961290717125,0.25,396,0.0,0.0,0.0,396,38,0.09595959595959595,38,0.1488095238095238,21.261904761904763
4,Static,-0.026710274905241825,-3.36549463806047,0.6,0.6,0.9600997506234414,0.0,0.12857142857142856,0.8714285714285714,0.0,0.12857142857142856,0.8714285714285714,0.0,1.0,1.0,1.0,12.599999999999971,12.971135845184307,9.323076923076908,9.323076923076908,11.839999999999973,0.4,0.0,0.0,0.8162698412698413,0.18373015873015874,0.18373015873015874,0.0,0.0,0.0,0.0,0.0,0.0,0.7863566279411316,0.5,0.05653714761137962,,,,,0.05769426375627518,0.20000000298023224,433,0.0,0.0,0.0,427,69,0.16159250585480095,69,0.08015873015873017,25.166666666666668
5,Static,-0.058786182375162185,-8.700354991524003,0.55,0.55,0.8862559241706162,0.0,0.11756756756756757,0.8824324324324324,0.0,0.11756756756756757,0.8824324324324324,0.0,1.0,1.0,1.0,14.799999999999963,15.582085742950417,9.04545454545453,9.04545454545453,12.049999999999972,0.45,0.0,0.0,0.8172297297297297,0.18277027027027026,0.18277027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.6584278345108032,0.4639543294906616,0.11972129344940186,,,,,0.04993974417448044,0.10000000149011612,502,0.0,0.0,0.0,490,154,0.3142857142857143,154,0.10506756756756756,22.945945945945947
6,Static,-0.010943194329641416,-1.5320472061497983,0.75,0.75,0.9493975903614458,0.0,0.1075,0.8925,0.0,0.1075,0.8925,0.0,1.0,1.0,1.0,13.999999999999966,14.414953947067236,8.959999999999983,8.959999999999983,12.349999999999971,0.25,0.0,0.0,0.8432142857142857,0.1567857142857143,0.1567857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.8524354696273804,0.7272727489471436,0.033985067158937454,,,,,0.0605902336537838,0.13749967515468597,404,0.0,0.0,0.0,401,39,0.09725685785536159,39,0.1425,20.635714285714286
7,Static,-0.007600786358258391,-1.109714808305725,0.65,0.65,0.9396751740139211,0.0,0.13356164383561644,0.8664383561643836,0.0,0.13356164383561644,0.8664383561643836,0.0,1.0,1.0,1.0,14.599999999999964,15.166572132110574,9.015384615384601,9.015384615384601,12.89999999999997,0.35,0.0,0.0,0.8458904109589042,0.15410958904109584,0.15410958904109584,0.0,0.0,0.0,0.0,0.0,0.0,0.8657036423683167,0.800000011920929,0.02932850457727909,,,,,0.06271883845329285,0.20000000298023224,398,0.0,0.0,0.0,392,34,0.08673469387755102,34,0.1780821917808219,21.554794520547944
8,Static,-0.005424711787044255,-0.9384751391586561,0.25,0.25,0.8208232445520581,0.0,0.1531791907514451,0.846820809248555,0.0,0.1531791907514451,0.846820809248555,0.0,1.0,1.0,1.0,17.299999999999976,18.536287117004385,6.079999999999994,6.079999999999994,11.359999999999975,0.75,0.0,0.0,0.8736994219653179,0.1263005780346821,0.1263005780346821,0.0,0.0,0.0,0.0,0.0,0.0,0.7410809993743896,0.6190476417541504,0.07012864947319031,,,,,0.061142608523368835,0.1666666716337204,401,0.0,0.0,0.0,387,77,0.19896640826873385,77,0.15,19.45086705202312
9,Static,-0.1011335187199283,-12.641689839991038,0.7,0.7,0.9391100702576113,0.0,0.198,0.802,0.0,0.198,0.802,0.0,1.0,1.0,1.0,12.499999999999972,12.783382368087748,9.464285714285696,9.464285714285696,12.499999999999972,0.3,0.0,0.0,0.8216,0.1784,0.1784,0.0,0.0,0.0,0.0,0.0,0.0,0.8298631310462952,0.6666666865348816,0.04161283001303673,,,,,0.06442434340715408,0.20000000298023224,371,0.0,0.0,0.0,365,37,0.10136986301369863,37,0.1988,23.112
10,Static,-0.0290063911936562,-3.9448692023372436,0.55,0.55,0.9429928741092637,0.0,0.13455882352941176,0.8654411764705883,0.0,0.13455882352941176,0.8654411764705883,0.0,1.0,1.0,1.0,13.599999999999968,14.153603420257548,10.758333333333312,10.758333333333312,13.214999999999968,0.45,0.0,0.0,0.7948529411764705,0.20514705882352946,0.20514705882352946,0.0,0.0,0.0,0.0,0.0,0.0,0.6839750409126282,0.43589743971824646,0.10582761466503143,,,,,0.04730216786265373,0.10000000149011612,520,0.0,0.0,0.0,515,152,0.29514563106796116,152,0.1761029411764706,24.941176470588236
