episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,r_time,r_interf,r_risk,r_illegal,r_pbrs,r_term,r_step,r_total,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_risk,abs_ratio_r_illegal,abs_ratio_r_pbrs,abs_ratio_r_term,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,uncertainty_selected_mean,uncertainty_selected_p90,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,risk_penalty_mean,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,top_illegal_reason,top_illegal_reason_count,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,115,13.801624059677124,42,True,False,all_finished,0.0,11.499999999999975,11.955586433410645,0.0,20,True,53.52185835500852,1.4188765160350176,326623966.9919032,-0.028763147341121086,-0.16575436768165444,-0.0015770673429797305,0.0,0.0016261757788832256,-0.0010522651842951912,-0.19617976586809968,-0.19560585527351204,0.14464128891261654,0.000428362425956819,0.8335292761962326,0.007930601282442717,0.0,0.0081789434257477,0.005291527757003667,3.881237660152692e-07,0.0,6.8994995494618874e-09,3.881237660152692e-07,6.8994995494618874e-09,0.534166693687439,0.5,0.4441666603088379,0.5,0.5,0.7525000005960463,0.8,0.9,0.09068137407302856,40,0.0,0.0,0.0,16,2,0.125,2,20,20,228,-0.19560588896274567,-0.036731526255607605,-0.02699379324913025,-3.0092194080352783,-0.025989564135670662,0.19560588896274567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006421509819462527,0.0007387618282701069,0.0,0.0,11.955586433410645,,,0.4555864334106694,0.0,0.0,0.07017543859649122,1.0,0.0,,0,0.98,0.020000000000000018,0.020000000000000018,0.0,0.0,0.13043478260869565,0.021739130434782608,0.8478260869565217,0.13043478260869565,0.021739130434782608,0.8478260869565217,0.4940839539191163,0.8603465437889098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,46,2300,-7.958787441253662,13.786005020141602,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.6449885583524031,12.254782608695667,69470452.43307406,1.0,0.0004347826086956522,0.12207188400401175,0.006026125037654376,0.12809800904166616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.518350234447707e-05,0.0,0.49442380770514516,0.0,0.0,False,0.0,0.0,0.0
2,200,22.239060878753662,42,False,True,time_limit,1.0,20.000000000000014,20.59562873840332,0.0,20,True,52.10374429784821,1.523030367325073,360772862.8972417,-0.027077756177654795,-0.5765763533819471,-0.0013303620431003686,0.0,0.0015253838126147359,-0.00045598377244744414,-0.6051430312254448,-0.6040736311852747,0.044599992868584695,0.0002611648467867448,0.9496836104259734,0.002191250162887431,0.0,0.0025129271081601326,0.0007510545876075516,4.995292329112999e-06,0.0,2.0606186240001893e-06,4.995292329112999e-06,2.0606186240001893e-06,0.5331315398216248,0.5,0.45496368408203125,0.5,0.5,0.6666666865348816,0.8305084745762712,0.9661016949152542,0.09019403904676437,59,0.0,0.0,0.0,23,6,0.2608695652173913,6,20,20,259,-0.6040736436843872,-0.4725332409143448,-0.025519286282360554,-1.7355279922485352,-0.02535971812903881,0.6040736436843872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008774211524382205,0.0004597960898941267,0.0,0.0,20.59562873840332,,,0.5956287384033061,0.0,0.0,0.10810810810810811,1.0,0.0,,0,0.9815,0.01849999999999996,0.01849999999999996,0.0,0.0,0.20270270270270271,0.013513513513513514,0.7837837837837838,0.20270270270270271,0.013513513513513514,0.7837837837837838,0.5100188940499838,0.8825529664754866,2.1920132637023926,0.15701937675476074,0.0,-0.32589757442474365,102.20744323730469,50.76994705200195,876.041748046875,2.1920132637023926,-2.1920132637023926,0.0185,74,4000,-5.469374656677246,12.906009674072266,-0.6537822484970093,0.06428125500679016,-0.00698222778737545,0.0012015197426080704,1.0,0,1.0,1.0,0.46813157894736823,8.894499999999997,74940574.3235575,1.0,0.0,0.05724699971029341,0.00542415605017208,0.0626711557604655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00015855962274037146,0.0,0.5090092434058897,0.0,0.0,True,-1.0,0.5956287384033061,0.0
3,200,23.155601263046265,42,False,True,time_limit,1.0,20.000000000000014,20.592540740966797,0.0,20,True,53.40070357277816,1.4402816534071787,329171198.73216796,-0.028082254179401085,-0.4658292502235393,-0.001324371603856575,0.0,0.0015517226838888986,-0.0007879921661625348,-0.49532894777627623,-0.49456521725853914,0.05642760513741407,0.00018701550891815703,0.9360227574733864,0.0026611509688719863,0.0,0.0031181040449343284,0.0015833668664750828,1.0402088719274616e-06,8.31977227996189e-13,1.148496561853557e-07,1.0402088719274616e-06,1.148496561853557e-07,0.523391842842102,0.5,0.4707602262496948,0.5,0.5,0.6666666865348816,0.8596491228070176,0.9649122807017544,0.09293835610151291,57,0.0,0.0,0.0,22,3,0.13636363636363635,3,20,20,228,-0.49630680680274963,-0.3683697283267975,-0.026383978594094516,-4.178900241851807,-0.025978177785873413,0.49630680680274963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006212220622805211,0.0010352760605793062,0.0,0.0,20.592540740966797,,,0.5925407409667827,0.0,0.0,0.11403508771929824,1.0,0.0,,0,0.9835,0.01649999999999996,0.01649999999999996,0.0,0.0,0.13636363636363635,0.09090909090909091,0.7727272727272727,0.13636363636363635,0.09090909090909091,0.7727272727272727,0.494435540669278,0.8558314740657806,2.3555848598480225,-0.024575330317020416,0.10000000149011612,-0.29662036150693893,2.75037944316864,1.0700990408658981,2.037850022315979,2.3555848598480225,-2.3555848598480225,0.0165,66,4000,-23.540754318237305,36.51958084106445,-13.390545845031738,11.32314020395279,-0.47594502940773964,0.051419619005173445,0.0,0,1.0,1.0,0.5725526315789466,10.8785,74099666.13843787,1.0,0.0005,0.13544972065097866,0.005781378663993712,0.1412310993149724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.30717694670962e-05,0.0,0.4945353159303777,0.0,0.0,True,-1.0,0.5925407409667827,0.0
4,144,15.911426067352295,42,True,False,all_finished,0.0,14.399999999999965,14.936910629272461,0.0,20,True,50.28876323121408,1.4694916034275471,360936223.40362805,-0.028001857309254044,-0.7276970422776439,-0.0012119962927639246,0.0,0.0015784357154192787,-0.0007155956999089445,-0.7569600889523991,-0.7560972489369037,0.036880744612477714,6.47913148320003e-05,0.9584367377883811,0.0015962986044473506,0.0,0.0020789294033133105,0.0009424982765485025,2.2988094769971212e-06,0.0,1.3332980245195228e-06,2.2988094769971212e-06,1.3332980245195228e-06,0.5074074268341064,0.5,0.4870370626449585,0.5,0.5,0.5250000059604645,0.9444444444444444,1.0,0.09695970267057419,36,0.0,0.0,0.0,6,1,0.16666666666666666,1,20,20,224,-0.7611162662506104,-0.4854450821876526,-0.026259075105190276,-3.6363179683685303,-0.02624245546758175,0.7611162662506104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048005328508640894,0.0008371521520520953,0.0,0.0,14.936910629272461,,,0.5369106292724961,0.0,0.0,0.04017857142857143,1.0,0.0,,0,0.9847222222222223,0.015277777777777724,0.015277777777777724,0.0,0.0,0.18181818181818182,0.0,0.8181818181818182,0.18181818181818182,0.0,0.8181818181818182,0.5001007227559536,0.8659555375576018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015277777777777777,44,2880,-15.543301582336426,32.70701599121094,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.5230628654970759,9.938194444444445,63838165.36026556,1.0,0.00034722222222222224,0.11010079146770414,0.005907733402515594,0.11600852487021975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.919307275023971e-05,0.0,0.5025566797341323,0.0,0.0,False,0.0,0.0,0.0
5,200,22.447328567504883,42,False,True,time_limit,1.0,20.000000000000014,21.657859802246094,0.0,20,True,50.94428006691965,1.4686747739295087,352485588.71254236,-0.027608373355449526,-0.6042494885475481,-0.0014639969580597567,0.0,0.0014791209555700877,-0.00043117973151678043,-0.6334753510829658,-0.6324274098589134,0.04345136418888001,0.00024157332083688663,0.9509964332122273,0.002304107676938188,0.0,0.0023279105397636213,0.0006786110613540012,4.03829926653998e-06,5.132711475893531e-13,1.619443457911953e-06,4.03829926653998e-06,1.619443457911953e-06,0.5122950673103333,0.5,0.47267764806747437,0.5,0.5,0.6666666865348816,0.9016393442622951,0.9836065573770492,0.0959998071193695,61,0.0,0.0,0.0,25,5,0.2,5,20,20,250,-0.6399405002593994,-0.4904969185590744,-0.026010209787636997,-2.8263285160064697,-0.025986647233366966,0.6399405002593994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009012295665484577,0.000342081675742308,0.0,0.0,21.657859802246094,,,1.6578598022460795,0.0,0.0,0.148,1.0,0.0,,0,0.97925,0.020750000000000046,0.020750000000000046,0.0,0.0,0.26506024096385544,0.07228915662650602,0.6626506024096386,0.26506024096385544,0.07228915662650602,0.6626506024096386,0.49950003453472164,0.863721016049385,2.1935107707977295,0.06079950928688049,0.25,0.5080165714025497,2.013077974319458,1.5066777467727661,5.83032751083374,2.1935107707977295,-2.1935107707977295,0.02075,83,4000,-28.769672393798828,35.317779541015625,-47.0528564453125,45.786407470703125,-0.9337735772132874,0.03578566014766693,0.0,0,1.0,0.9942499999999987,0.4705263157894738,8.940000000000008,65453774.94336236,1.0,0.00025,0.28637922280585415,0.006081295590434302,0.29246051839628834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001534922219102017,0.0,0.5006102162739262,0.0,0.0,True,-1.0,1.6578598022460795,0.0
6,200,21.06165385246277,42,False,True,time_limit,1.0,20.000000000000014,20.427501678466797,0.0,20,True,53.54727255078857,1.40859682415391,326352522.8949749,-0.02909330203132823,-0.46039999321891567,-0.0010951760591512635,0.0,0.001371300700130747,-0.0005875110718000595,-0.4907732708272104,-0.48998948119887337,0.059044853175257664,0.0003750506004507823,0.9343817340578245,0.0022226596879244462,0.0,0.0027833488249104895,0.001192353653631975,3.565724682630389e-06,0.0,1.1559438313213358e-07,3.565724682630389e-06,1.1559438313213358e-07,0.5,0.5,0.47159090638160706,0.5,0.5,0.6416666835546496,0.9318181818181818,1.0,0.09956144541501999,44,0.0,0.0,0.0,15,4,0.26666666666666666,4,20,20,219,-0.4950657784938812,-0.028931510634720325,-0.02752081723883748,-2.88027024269104,-0.027499185875058174,0.4950657784938812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008179031312787192,0.0006242574097574768,0.0,0.0,20.427501678466797,,,0.42750167846678266,0.0,0.0,0.0821917808219178,1.0,0.0,,0,0.98575,0.014249999999999985,0.014249999999999985,0.0,0.0,0.22807017543859648,0.017543859649122806,0.7543859649122807,0.22807017543859648,0.017543859649122806,0.7543859649122807,0.4959455821762654,0.8530587077140805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01425,57,4000,-29.123106002807617,36.25960922241211,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.4776842105263153,9.076000000000006,79243512.54222912,1.0,0.00075,0.12394572486166727,0.005873133187320136,0.12981885804898738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018479951780992805,0.0,0.49735140665853395,0.0,0.0,True,-1.0,0.42750167846678266,0.0
7,76,8.88269567489624,42,True,False,all_finished,0.0,7.599999999999989,7.986330986022949,0.0,20,True,51.89198254022167,1.540655553897104,363864977.3420108,-0.026420879500468696,-0.285592353561465,-0.0031612995495486785,0.0,0.0013875755621254298,-0.0011587483392314515,-0.31548480239002175,-0.3152559751671306,0.08307630800765121,0.0009755946120995722,0.8980003231414534,0.009940210168934616,0.0,0.004364061818861538,0.003643502250999581,1.4365889455802971e-06,9.454109587206383e-13,2.0186775029351573e-09,1.4365889455802971e-06,2.0186775029351573e-09,0.496527761220932,0.5,0.496527761220932,0.5,0.5,0.5,1.0,1.0,0.1001078188419342,48,0.0,0.0,0.0,16,5,0.3125,5,20,20,239,-0.3194425702095032,-0.02489118743687868,-0.024715405888855457,-2.458347797393799,-0.024510333314538002,0.3194425702095032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017102929840287784,0.0005841224698504159,0.0,0.0,7.986330986022949,,,0.38633098602296023,0.0,0.0,0.0794979079497908,1.0,0.0,,0,0.9605263157894737,0.03947368421052633,0.03947368421052633,0.0,0.0,0.2,0.03333333333333333,0.7666666666666667,0.2,0.03333333333333333,0.7666666666666667,0.5009541421015813,0.8625182658433914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039473684210526314,60,1520,-9.282377243041992,16.888412475585938,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.5837950138504152,11.09210526315791,64642728.248205125,1.0,0.0,0.13309092931941965,0.00620412978143787,0.13929505910085752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003102697785416193,0.0,0.5009475267381946,0.0,0.0,False,0.0,0.0,0.0
8,145,15.94199824333191,42,True,False,all_finished,0.0,14.499999999999964,15.233087539672852,0.0,20,True,51.931564370259274,1.4677535638662884,345582467.7033944,-0.02779313615405962,-0.21405155755893393,-0.002201963879374917,0.0,0.0014587591990878955,-0.0008266646782557102,-0.24430018151953664,-0.24366808699870493,0.11271186541316162,0.001028137112693402,0.8680614599707986,0.008929811124625361,0.0,0.005916282903436327,0.0033524434752845453,9.996034577852697e-07,0.0,1.5628910832177088e-09,9.996034577852697e-07,1.5628910832177088e-09,0.5064102411270142,0.5,0.46282050013542175,0.5,0.5,0.6666666865348816,0.8923076923076924,0.9692307692307692,0.09824147075414658,65,0.0,0.0,0.0,32,6,0.1875,6,20,20,247,-0.24911750853061676,-0.04637974128127098,-0.02609233409166336,-1.722869873046875,-0.02602536976337433,0.24911750853061676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012662062112232316,0.00037788754653435427,0.0,0.0,15.233087539672852,,,0.7330875396728871,0.0,0.0,0.13765182186234817,1.0,0.0,,0,0.973103448275862,0.026896551724137963,0.026896551724137963,0.0,0.0,0.16666666666666666,0.038461538461538464,0.7948717948717948,0.16666666666666666,0.038461538461538464,0.7948717948717948,0.502405322950999,0.8717992484569549,2.1443521976470947,0.05735659599304199,0.0,-0.13849006593227386,1.831749439239502,0.7696966528892517,2.007265567779541,2.1443521976470947,-2.1443521976470947,0.02689655172413793,78,2900,-4.427327632904053,9.509206771850586,-4.021511077880859,3.3230812549591064,-1.0273144245147705,0.07909543812274933,0.0,0,1.0,1.0,0.48794918330308534,9.271034482758626,62474403.820855476,1.0,0.0,0.0707284581215264,0.005691744794975798,0.07642020291650216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002535239271693632,0.0,0.5031398267066106,0.0,0.0,False,0.0,0.0,0.0
9,200,22.381046533584595,42,False,True,time_limit,1.0,20.000000000000014,20.551265716552734,0.0,20,True,51.64752990515383,1.4936303834654858,357506143.3629792,-0.02742258584214849,-1.1365618762395113,-0.0009601845155961989,0.0,0.0016897491549844892,-0.0005565284207621512,-1.1650301093176731,-1.1638968885834522,0.02349272566184083,7.321527797279923e-05,0.9736841197215842,0.0008225829445660227,0.0,0.0014505826285258591,0.00047677376551001426,4.4769676605938e-06,0.0,2.4823099352033752e-06,4.4769676605938e-06,2.4823099352033752e-06,0.5116666555404663,0.5,0.4883333146572113,0.5,0.5,0.5083333343267437,0.95,0.975,0.09601844847202301,40,0.0,0.0,0.0,13,3,0.23076923076923078,3,20,20,259,-1.1869455575942993,-0.9450033903121948,-0.9372347623109818,-3.233759641647339,-0.49150222539901733,1.1869455575942993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040979255826367137,0.0005253910014440533,0.0,0.0,20.551265716552734,,,0.5512657165527202,0.0,0.0,0.05405405405405406,1.0,0.0,,0,0.9865,0.013499999999999956,0.013499999999999956,0.0,0.0,0.25925925925925924,0.09259259259259259,0.6481481481481481,0.25925925925925924,0.09259259259259259,0.6481481481481481,0.4985837234081847,0.8607526421546936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0135,54,4000,-32.686893463134766,45.16059875488281,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.4843947368421047,9.203499999999993,84704732.09830995,1.0,0.0,0.06883374293716546,0.006204294006339796,0.07503803694350523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.54627204210296e-05,0.0,0.49863621741975656,0.0,0.0,True,-1.0,0.5512657165527202,0.0
10,123,13.637872457504272,42,True,False,all_finished,0.0,12.299999999999972,12.750720977783203,0.0,20,True,51.24124558030909,1.484521470696056,354868231.87604415,-0.027484254038495377,-0.1395563382316104,-0.0019517315918835554,0.0,0.0014589774017604764,-0.0007599598412772296,-0.1692580134030107,-0.16855899584252704,0.16027944025441918,0.0015494170173471005,0.8138482399554857,0.011381878752678279,0.0,0.00850917959725432,0.004431844422815553,1.070188773155678e-06,0.0,3.926868233361479e-10,1.070188773155678e-06,3.926868233361479e-10,0.4993055760860443,0.5,0.47291669249534607,0.5,0.5,0.6083333462476728,0.9375,0.9791666666666666,0.10002624988555908,48,0.0,0.0,0.0,13,2,0.15384615384615385,2,20,20,246,-0.17424100637435913,-0.025880858302116394,-0.025815391354262827,-1.8948420286178589,-0.02476820908486843,0.17424100637435913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001292903519393436,0.0005180944935389985,0.0,0.0,12.750720977783203,,,0.45072097778323084,0.0,0.0,0.0975609756097561,1.0,0.0,,0,0.9739837398373984,0.026016260162601612,0.026016260162601612,0.0,0.0,0.25,0.03125,0.71875,0.25,0.03125,0.71875,0.49357281483847787,0.8663910031318665,1.9771376848220825,0.09865830093622208,0.0,-0.01593604125082493,1.6012513637542725,0.7776100039482117,1.1341315507888794,1.9771376848220825,-1.9771376848220825,0.026016260162601626,64,2460,-6.0892462730407715,12.891600608825684,-6.470402240753174,6.722005844116211,-1.2147995233535767,0.07201752066612244,0.0,0,1.0,1.0,0.5014548566538305,9.527642276422773,64167117.035182975,1.0,0.0,0.08114259089908739,0.005852845680026081,0.08699543657911346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00026568954102122516,0.0,0.4932339358101864,0.0,0.0,False,0.0,0.0,0.0
