baseline,metric_id,metric_cn,direction,n_total,n_effective,matched_k,wins,losses,ties,win_rate,p_value_sign_test,welch_t,welch_p_value,bootstrap_ci95_low,bootstrap_ci95_high,mean_oriented_diff,median_oriented_diff,stat_basis
CP-EFT,deadline_miss_rate,超时失败率,lower,120,120,120,119,1,0,0.9916666666666667,1.8206056505534481e-34,36.34049303389507,1.0142919196317658e-84,49.33333333333333,55.12500000000001,52.291666666666664,55.0,matched_tail_raw_baseline
EFT,deadline_miss_rate,超时失败率,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,36.46541555323347,7.510116698032933e-85,49.686458333333334,55.37499999999999,52.625,55.0,matched_tail_raw_baseline
Greedy,deadline_miss_rate,超时失败率,lower,120,105,120,86,19,15,0.819047619047619,2.303754634110027e-11,9.153156507428385,2.7453270123956263e-16,12.559375000000001,19.73020833333333,16.166666666666668,15.0,matched_tail_raw_baseline
LB-Greedy,deadline_miss_rate,超时失败率,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,46.68000930481978,4.1323339913891184e-108,57.58333333333333,62.56354166666666,60.125,62.5,matched_tail_raw_baseline
Local-Only,deadline_miss_rate,超时失败率,lower,120,110,120,102,8,10,0.9272727272727272,6.837785526896914e-22,15.373508264292996,1.2297915585916742e-36,15.144791666666668,19.396874999999994,17.333333333333332,20.0,matched_tail_raw_baseline
Random,deadline_miss_rate,超时失败率,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,127.77285920913933,1.7387870851847976e-141,86.54166666666666,89.125,87.83333333333333,90.0,matched_tail_raw_baseline
Static,deadline_miss_rate,超时失败率,lower,120,107,120,88,19,13,0.822429906542056,8.481335709263337e-12,9.832843717862485,6.417275350448621e-18,15.58125,22.958333333333336,19.166666666666668,20.0,matched_tail_raw_baseline
CP-EFT,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,87.71302265100933,4.844381112445376e-110,19.54187350945671,20.44203881781946,20.004781807859736,20.80394644737244,matched_tail_raw_baseline
EFT,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,85.34440010973886,1.2187737737591475e-108,20.36044519663006,21.291478216962766,20.844210132161777,21.383251821994783,matched_tail_raw_baseline
Greedy,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,89.70072563148004,2.519237163270454e-111,10.64469020634813,11.103899168003826,10.864783944249133,10.629980980157828,matched_tail_raw_baseline
LB-Greedy,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,97.23459718451953,2.646863198421244e-115,20.696728495684763,21.540795000588645,21.149973426461216,21.71537189483643,matched_tail_raw_baseline
Local-Only,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,94.88797499506411,3.9431688631169734e-114,13.732727494579033,14.280113984627501,14.005423269152619,13.986517062783216,matched_tail_raw_baseline
Random,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,415.8169520187942,8.53792504644439e-192,23.437867693978298,23.66301850797981,23.54637049019336,23.482187952399254,matched_tail_raw_baseline
Static,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,80.49452713458153,9.583141295618825e-106,11.61133770617791,12.20827700532474,11.90725342651206,11.651853833198523,matched_tail_raw_baseline
CP-EFT,power_ratio_mean,远端功率比例,lower,120,120,120,102,18,0,0.85,1.9758911914424334e-15,0.3631044399846497,0.7171559520206271,-0.034786044470637524,0.04443226895861326,0.007184429747340689,0.0875793953693324,matched_tail_raw_baseline
EFT,power_ratio_mean,远端功率比例,lower,120,120,120,102,18,0,0.85,1.9758911914424334e-15,1.3305952681739386,0.18580051011180562,-0.011705468869690714,0.06511723917177997,0.026344125652503318,0.1067250151759626,matched_tail_raw_baseline
Greedy,power_ratio_mean,远端功率比例,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,46.42049844299759,4.388346131310293e-78,0.8745393050896625,0.9489252182779213,0.913011921197176,1.0,matched_tail_raw_baseline
LB-Greedy,power_ratio_mean,远端功率比例,lower,120,120,120,102,18,0,0.85,1.9758911914424334e-15,1.7146750046314727,0.08893957723670602,-0.003964754414702494,0.0699154382341742,0.033951465077491985,0.1142097531291046,matched_tail_raw_baseline
Local-Only,power_ratio_mean,远端功率比例,lower,120,18,120,0,18,102,0.0,7.629394531250002e-06,-4.422757121649656,2.1686736648822307e-05,-0.1259825310173134,-0.052459329869598156,-0.08698807880282403,0.0,matched_tail_raw_baseline
Random,power_ratio_mean,远端功率比例,lower,120,120,120,110,10,0,0.9166666666666666,1.91732905143575e-22,26.05812911108322,5.0682177034388904e-51,0.47549355272404853,0.5508419300958605,0.5126025329734546,0.599335363421535,matched_tail_raw_baseline
Static,power_ratio_mean,远端功率比例,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,46.42049844299759,4.388346131310293e-78,0.8695788404718041,0.9472963135006527,0.913011921197176,1.0,matched_tail_raw_baseline
CP-EFT,reward_mean,平均步奖励,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,24.80362297638783,3.551952184695212e-50,0.3650785800550625,0.4250365038509653,0.3942504276067306,0.36123991375497855,matched_tail_raw_baseline
EFT,reward_mean,平均步奖励,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,37.664476616517334,1.729778955203962e-74,0.33504594183780123,0.3713642902760834,0.35271468304760384,0.3403509454612192,matched_tail_raw_baseline
Greedy,reward_mean,平均步奖励,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,45.82957615948619,4.784819693057514e-86,0.11669019699636178,0.12741186653105369,0.12209554069841227,0.12264132291047866,matched_tail_raw_baseline
LB-Greedy,reward_mean,平均步奖励,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,20.517114087538395,2.0424600749382143e-41,0.4059724546439423,0.49094646689483573,0.44715445183332797,0.3743244337495947,matched_tail_raw_baseline
Local-Only,reward_mean,平均步奖励,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,60.22013633454645,1.3937141494835148e-107,0.4281566489381909,0.45632098800608273,0.4418175024992294,0.4381619626422276,matched_tail_raw_baseline
Random,reward_mean,平均步奖励,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,14.56107838483226,2.2542828283919306e-28,0.35506274166727997,0.4655735127165711,0.40582657960312063,0.290355037526252,matched_tail_raw_baseline
Static,reward_mean,平均步奖励,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,43.58675757101209,3.4205442560737894e-113,0.16662923556879866,0.1820890343477447,0.17436578882935114,0.1701704314512935,matched_tail_raw_baseline
CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,120,108,120,0,108,12,0.0,6.1629758220391404e-33,-32.6659420795146,2.4207238466515503e-61,-0.47459268402929106,-0.4239728882908821,-0.4494425845642885,-0.5,matched_tail_raw_baseline
EFT,rho_selected_p10,远端信誉分位数(p10),higher,120,108,120,0,108,12,0.0,6.1629758220391404e-33,-32.65870879042344,2.302538424685287e-61,-0.47444219216704364,-0.42083333333333334,-0.4494421921670437,-0.5,matched_tail_raw_baseline
Greedy,rho_selected_p10,远端信誉分位数(p10),higher,120,120,120,0,120,0,0.0,1.5046327690525337e-36,-40.085638481950134,6.958526232045996e-86,-0.6276854854946334,-0.5687300022194783,-0.6000937064488728,-0.6363636255264282,matched_tail_raw_baseline
LB-Greedy,rho_selected_p10,远端信誉分位数(p10),higher,120,108,120,0,108,12,0.0,6.1629758220391404e-33,-32.72613634390714,2.430720624830606e-61,-0.475,-0.42083333333333334,-0.45,-0.5,matched_tail_raw_baseline
Local-Only,rho_selected_p10,远端信誉分位数(p10),higher,120,12,120,12,0,108,1.0,0.0004882812500000003,3.636237371545238,0.0004100582355212627,0.025,0.075,0.05,0.0,matched_tail_raw_baseline
Random,rho_selected_p10,远端信誉分位数(p10),higher,120,111,120,3,108,9,0.02702702702702703,1.7566946283140178e-28,-31.838411349470025,1.0880407519789683e-61,-0.46742916880796354,-0.41468214121957625,-0.4428781395157178,-0.5,matched_tail_raw_baseline
Static,rho_selected_p10,远端信誉分位数(p10),higher,120,120,120,0,120,0,0.0,1.5046327690525337e-36,-39.377453785207734,5.241193207298123e-84,-0.6123019809400041,-0.5564892071112991,-0.5868066931764285,-0.6363636255264282,matched_tail_raw_baseline
CP-EFT,subtask_success_rate,子任务成功率,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,32.43317251270526,3.7475042026158944e-61,30.76852021181963,34.63320665291569,32.63875611482301,32.96373418789713,matched_tail_raw_baseline
EFT,subtask_success_rate,子任务成功率,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,32.98045517953639,5.9853824313184445e-62,30.443046762571285,34.20557148848525,32.29277476731857,32.26059988139419,matched_tail_raw_baseline
Greedy,subtask_success_rate,子任务成功率,higher,120,118,120,108,10,2,0.9152542372881356,6.450875441382854e-22,10.645723725628558,3.9871159236820455e-19,4.330099476763523,6.169848253764297,5.253982004825016,3.2615291262135884,matched_tail_raw_baseline
LB-Greedy,subtask_success_rate,子任务成功率,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,39.38701792454017,2.1818827737035846e-70,37.989057281417274,42.00505973962632,40.03116507558968,39.76824494722187,matched_tail_raw_baseline
Local-Only,subtask_success_rate,子任务成功率,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,24.9431798499432,3.9275362783971485e-51,6.578799819978054,7.73431857385085,7.154185460640971,7.217948596471615,matched_tail_raw_baseline
Random,subtask_success_rate,子任务成功率,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,203.61525218167156,2.209730732365426e-158,80.36669368958327,81.90277877761761,81.1761827274016,81.56001665711561,matched_tail_raw_baseline
Static,subtask_success_rate,子任务成功率,higher,120,120,120,113,7,0,0.9416666666666667,9.530252940180773e-26,9.974859106007461,1.8554889988168844e-17,5.368440825369541,7.929404770640585,6.598064886486129,4.7643992117538545,matched_tail_raw_baseline
CP-EFT,task_success_rate,任务成功率,higher,120,120,120,119,1,0,0.9916666666666667,1.8206056505534481e-34,36.34049303389507,1.0142919196317658e-84,49.416666666666664,55.24999999999999,52.291666666666664,55.0,matched_tail_raw_baseline
EFT,task_success_rate,任务成功率,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,36.46541555323347,7.510116698032933e-85,49.70833333333333,55.31354166666666,52.625,55.0,matched_tail_raw_baseline
Greedy,task_success_rate,任务成功率,higher,120,105,120,86,19,15,0.819047619047619,2.303754634110027e-11,9.153156507428386,2.745327012395538e-16,12.811458333333334,19.5,16.166666666666668,15.0,matched_tail_raw_baseline
LB-Greedy,task_success_rate,任务成功率,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,46.68000930481978,4.1323339913891184e-108,57.54166666666667,62.60520833333332,60.125,62.5,matched_tail_raw_baseline
Local-Only,task_success_rate,任务成功率,higher,120,110,120,102,8,10,0.9272727272727272,6.837785526896914e-22,15.373508264292992,1.2297915585917091e-36,15.041666666666671,19.5,17.333333333333332,20.0,matched_tail_raw_baseline
Random,task_success_rate,任务成功率,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,127.77285920913933,1.7387870851847976e-141,86.5,89.16666666666667,87.83333333333333,90.0,matched_tail_raw_baseline
Static,task_success_rate,任务成功率,higher,120,107,120,88,19,13,0.822429906542056,8.481335709263337e-12,9.832843717862486,6.417275350448573e-18,15.416666666666671,23.125,19.166666666666668,20.0,matched_tail_raw_baseline
CP-EFT,time_limit_rate,时间上限截断率,lower,120,92,120,92,0,28,1.0,4.0389678347315764e-28,19.77371993328519,2.0629273314042025e-39,69.16666666666667,84.16666666666667,76.66666666666667,100.0,matched_tail_raw_baseline
EFT,time_limit_rate,时间上限截断率,lower,120,96,120,96,0,24,1.0,2.5243548967072524e-29,21.81742422927143,2.0994288182700206e-43,72.5,87.5,80.0,100.0,matched_tail_raw_baseline
Greedy,time_limit_rate,时间上限截断率,lower,120,0,120,0,0,120,,,,,0.0,0.0,0.0,0.0,matched_tail_raw_baseline
LB-Greedy,time_limit_rate,时间上限截断率,lower,120,98,120,98,0,22,1.0,6.310887241768107e-30,23.023703201068876,1.172992009281287e-45,74.16666666666667,88.33333333333333,81.66666666666667,100.0,matched_tail_raw_baseline
Local-Only,time_limit_rate,时间上限截断率,lower,120,0,120,0,0,120,,,,,0.0,0.0,0.0,0.0,matched_tail_raw_baseline
Random,time_limit_rate,时间上限截断率,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,inf,0.0,100.0,100.0,100.0,100.0,matched_tail_raw_baseline
Static,time_limit_rate,时间上限截断率,lower,120,0,120,0,0,120,,,,,0.0,0.0,0.0,0.0,matched_tail_raw_baseline
CP-EFT,trust_failure_rate,信誉失败率,lower,120,120,120,119,1,0,0.9916666666666667,1.8206056505534481e-34,24.138720651896957,1.0426483806746297e-65,0.12462729127917087,0.1461603320872034,0.13644960508644263,0.14201680672268904,matched_tail_raw_baseline
EFT,trust_failure_rate,信誉失败率,lower,120,120,120,119,1,0,0.9916666666666667,1.8206056505534481e-34,22.88154866053796,1.053954868264769e-61,0.13012384583567235,0.1542488017471252,0.1435334662462486,0.14737289088161454,matched_tail_raw_baseline
Greedy,trust_failure_rate,信誉失败率,lower,120,120,120,119,1,0,0.9916666666666667,1.8206056505534481e-34,18.11884752986423,5.293958749540584e-44,0.1266808869781955,0.15816054029040608,0.14277431170746666,0.158189262966333,matched_tail_raw_baseline
