episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,Random,-0.6871780831423929,-137.43561662847858,0.0,0.0,0.1875,0.5465116279069767,0.095,0.154,0.751,0.095,0.154,0.751,0.6431751218265166,0.6057183666591366,0.9618332858695493,20.000000000000014,25.738162994384766,0.0,0.0,0.0,1.0,1.0,0.0,0.9665,0.033499999999999974,0.033499999999999974,0.0,5.125954203322181e-07,9.561521496434522e-13,6.685755948865335e-09,5.125954203322181e-07,6.685755948865335e-09,0.5866024494171143,0.5,0.16394732892513275,,,,,0.1979956179857254,0.25,117,0.0,0.0,0.0,78,11,0.14102564102564102,11,0.098,0.18
2,Random,-0.05419751458494151,-10.839502916988302,0.0,0.0,0.23185011709601874,0.6697247706422018,0.08325,0.15925,0.7575,0.08325,0.15925,0.7575,0.6333441739851002,0.6000481854214362,0.9636900052657793,20.000000000000014,24.95988655090332,0.0,0.0,0.0,1.0,1.0,0.0,0.96175,0.038250000000000006,0.038250000000000006,0.0,4.8115379736035635e-11,0.0,6.524947249175739e-11,4.8115379736035635e-11,6.524947249175739e-11,0.5949482321739197,0.5,0.15892943739891052,,,,,0.19314242899417877,0.25,141,0.0,0.0,0.0,105,13,0.12380952380952381,13,0.1325,0.11
3,Random,-0.6769614912620392,-135.39229825240784,0.0,0.0,0.15035799522673032,0.5476190476190477,0.08025,0.13425,0.7855,0.08025,0.13425,0.7855,0.6332244629716733,0.6012225745818678,0.9615322279501656,20.000000000000014,25.61376953125,0.0,0.0,0.0,1.0,1.0,0.0,0.9715,0.02849999999999997,0.02849999999999997,0.0,1.4614530527978786e-06,2.2349036683799728e-12,5.903230793080638e-09,1.4614530527978786e-06,5.903230793080638e-09,0.5757225155830383,0.5,0.16891343891620636,,,,,0.20238341391086578,0.25,112,0.0,0.0,0.0,74,11,0.14864864864864866,11,0.079,0.12
4,Random,-0.6261549804875348,-125.23099609750697,0.0,0.0,0.14713216957605985,0.5,0.0675,0.1265,0.806,0.0675,0.1265,0.806,0.6246274257769046,0.5974556844792563,0.9560751947289428,20.000000000000014,25.382177352905273,0.0,0.0,0.0,1.0,1.0,0.0,0.974,0.026000000000000023,0.026000000000000023,0.0,1.0004955584008712e-06,1.4788271301968692e-11,4.678950116243641e-09,1.0004955584008712e-06,4.678950116243641e-09,0.5464026927947998,0.5,0.18540285527706146,,,,,0.2226320207118988,0.25,92,0.0,0.0,0.0,54,4,0.07407407407407407,4,0.064,0.08
5,Random,-0.14522655981968113,-29.04531196393623,0.05,0.05,0.26066350710900477,0.625,0.08625,0.14625,0.7675,0.08625,0.14625,0.7675,0.6356632136005528,0.601273010780358,0.9600498114604671,20.000000000000014,24.742402935028075,8.999999999999984,8.999999999999984,8.999999999999984,0.95,1.0,0.0,0.959,0.041000000000000036,0.041000000000000036,0.0,1.7849392008884024e-07,2.090083748435001e-13,1.2038932351021714e-10,1.7849392008884024e-07,1.2038932351021714e-10,0.5930532217025757,0.42500001192092896,0.1633310317993164,,,,,0.18217812478542328,0.25,148,0.0,0.0,0.0,109,13,0.11926605504587157,13,0.1195,0.205
6,Random,-0.08907242101387385,-17.814484202774768,0.0,0.0,0.1710843373493976,0.52,0.08875,0.1445,0.76675,0.08875,0.1445,0.76675,0.6358966101679971,0.600435237495745,0.9596466959931166,20.000000000000014,25.183277130126953,0.0,0.0,0.0,1.0,1.0,0.0,0.9685,0.03149999999999997,0.03149999999999997,0.0,1.6334726904432273e-09,6.464340781414668e-13,6.363783111584809e-11,1.6334726904432273e-09,6.363783111584809e-11,0.5288581252098083,0.5,0.19595658779144287,,,,,0.21116182208061218,0.25,111,0.0,0.0,0.0,75,17,0.22666666666666666,17,0.082,0.195
7,Random,-0.026809737011992678,-5.361947402398536,0.0,0.0,0.17633410672853828,0.5869565217391305,0.09325,0.163,0.74375,0.09325,0.163,0.74375,0.6367124272756035,0.5993520014067858,0.9604442593594227,20.000000000000014,26.289453506469727,0.0,0.0,0.0,1.0,1.0,0.0,0.9675,0.03249999999999997,0.03249999999999997,0.0,4.473223527701187e-11,1.385999605016397e-12,8.657237426934472e-11,4.473223527701187e-11,8.657237426934472e-11,0.569292426109314,0.5,0.17226141691207886,,,,,0.20406122505664825,0.25,115,0.0,0.0,0.0,77,8,0.1038961038961039,8,0.196,0.115
8,Random,-0.27087333785352874,-54.17466757070575,0.0,0.0,0.15738498789346247,0.4666666666666667,0.0715,0.14325,0.78525,0.0715,0.14325,0.78525,0.6252769959671162,0.5964211049726633,0.9570952367532137,20.000000000000014,25.395536422729492,0.0,0.0,0.0,1.0,1.0,0.0,0.97075,0.029249999999999998,0.029249999999999998,0.0,5.158156000106828e-07,1.0706946397195938e-12,5.980541062378109e-10,5.158156000106828e-07,5.980541062378109e-10,0.5686990022659302,0.5,0.17402750253677368,,,,,0.20120494067668915,0.25,108,0.0,0.0,0.0,68,10,0.14705882352941177,10,0.0745,0.15
9,Random,-0.07935347964965138,-15.870695929930275,0.0,0.0,0.15690866510538642,0.5568181818181818,0.07825,0.151,0.77075,0.07825,0.151,0.77075,0.6318141242954987,0.6005577697808503,0.9605167176959817,20.000000000000014,24.633331298828125,0.0,0.0,0.0,1.0,1.0,0.0,0.968,0.03200000000000003,0.03200000000000003,0.0,6.2032459169358845e-09,3.88496483247347e-12,8.93965013126774e-10,6.2032459169358845e-09,8.93965013126774e-10,0.5539819002151489,0.5,0.1809130758047104,,,,,0.2011844515800476,0.25,119,0.0,0.0,0.0,80,19,0.2375,19,0.08825,0.085
10,Random,-0.0586127447302641,-11.72254894605282,0.0,0.0,0.19714964370546317,0.5728155339805825,0.081,0.1485,0.7705,0.081,0.1485,0.7705,0.635378823814731,0.6032413752064526,0.9598333547809774,20.000000000000014,25.965198516845703,0.0,0.0,0.0,1.0,1.0,0.0,0.9605,0.03949999999999998,0.03949999999999998,0.0,2.7129057333930007e-10,1.261907028524134e-12,1.1220108175891141e-10,2.7129057333930007e-10,1.1220108175891141e-10,0.5562958717346191,0.5,0.18006683886051178,,,,,0.19470256567001343,0.25,146,0.0,0.0,0.0,102,27,0.2647058823529412,27,0.1505,0.115
11,Random,-0.17599124693057885,-35.19824938611577,0.0,0.0,0.16747572815533981,0.5730337078651685,0.087,0.15975,0.75325,0.087,0.15975,0.75325,0.6344380818167479,0.5996035945418933,0.9588444157154288,20.000000000000014,24.776447296142578,0.0,0.0,0.0,1.0,1.0,0.0,0.96775,0.03225,0.03225,0.0,6.315087119901364e-08,1.2369759079880471e-12,3.8840414218199726e-10,6.315087119901364e-08,3.8840414218199726e-10,0.5404345989227295,0.4285714328289032,0.19013382494449615,,,,,0.2041434496641159,0.25,118,0.0,0.0,0.0,80,17,0.2125,17,0.126,0.085
12,Random,-0.21802489853132428,-43.60497970626486,0.0,0.0,0.1784841075794621,0.6043956043956044,0.07675,0.14325,0.78,0.07675,0.14325,0.78,0.630288028287484,0.5995537809775093,0.9604149115550583,20.000000000000014,25.532546997070312,0.0,0.0,0.0,1.0,1.0,0.0,0.96775,0.03225,0.03225,0.0,2.830914240803395e-07,3.802910677336291e-12,2.431974621686095e-10,2.830914240803395e-07,2.431974621686095e-10,0.5668136477470398,0.5,0.17515815794467926,,,,,0.19786436855793,0.25,120,0.0,0.0,0.0,84,14,0.16666666666666666,14,0.0695,0.075
