episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,CP-EFT,-0.1501779464312208,-30.03558928624416,0.35,0.35,0.6754807692307693,0.8617021276595744,0.93225,0.04175,0.026,0.93225,0.04175,0.026,0.0056006506618739,0.0826664304335636,0.7091678954406861,20.000000000000018,22.876100444793707,7.442857142857133,7.442857142857133,10.40999999999998,0.65,1.0,0.0,0.918,0.0819999999999999,0.0819999999999999,0.0,3.127296679394931e-07,0.0,1.0622644257274327e-11,3.127296679394931e-07,1.0622644257274327e-11,0.7079771757125854,0.5,0.1074004918336868,,,,,0.1035510078072547,0.25,269,0.0,0.0,0.0,256,31,0.12109375,31,0.13325,2.13
1,EFT,-0.093414075193097,-18.6828150386194,0.2,0.2,0.6586538461538461,0.8981481481481481,0.9265,0.04475,0.02875,0.9265,0.04475,0.02875,0.0093747036927436,0.1275469890169206,0.8449381791939757,20.000000000000018,24.073449993133544,7.824999999999989,7.824999999999989,9.544999999999982,0.8,1.0,0.0,0.91875,0.08125,0.08125,0.0,4.9887159292438816e-08,0.0,7.417973353629481e-12,4.9887159292438816e-08,7.417973353629481e-12,0.7159383296966553,0.5,0.0996158495545387,,,,,0.1050866693258285,0.25,294,0.0,0.0,0.0,281,35,0.1245551601423487,35,0.1205,2.835
1,Greedy,-0.0091881815897043,-1.2220281514306834,0.75,0.75,0.96875,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,13.299999999999969,13.542548608779882,9.446666666666648,9.446666666666648,13.229999999999968,0.25,0.0,0.0,0.8086466165413534,0.1913533834586466,0.1913533834586466,0.0,0.0,0.0,0.0,0.0,0.0,0.7579008936882019,0.5935184955596924,0.0848494842648506,,,,,0.0326162278652191,0.0909090936183929,509,0.0,0.0,0.0,504,101,0.2003968253968254,101,0.0,22.62406015037594
1,LB-Greedy,-0.1158183109975313,-23.163662199506273,0.2,0.2,0.4903846153846153,0.7422680412371134,0.94225,0.032,0.02575,0.94225,0.032,0.02575,0.0078131929593545,0.1352933845775677,0.8781719941614581,20.000000000000018,26.000105762481688,6.974999999999991,6.974999999999991,8.924999999999983,0.8,1.0,0.0,0.93625,0.0637499999999999,0.0637499999999999,0.0,5.1694751590503074e-08,0.0,1.7502511592826228e-11,5.1694751590503074e-08,1.7502511592826228e-11,0.6951797008514404,0.5,0.1093887463212013,,,,,0.1240210384130477,0.25,231,0.0,0.0,0.0,206,24,0.116504854368932,24,0.09225,1.76
1,Local-Only,-0.179498042496529,-30.15567113941688,0.6,0.6,0.8725961538461539,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.79999999999997,18.119022159576396,8.00833333333332,8.00833333333332,11.524999999999974,0.4,0.0,0.0,0.8866071428571428,0.1133928571428571,0.1133928571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.174404761904762,0.0
1,Random,-0.6871780831423929,-137.43561662847858,0.0,0.0,0.1875,0.5465116279069767,0.095,0.154,0.751,0.095,0.154,0.751,0.6431751218265166,0.6057183666591366,0.9618332858695492,20.000000000000018,25.73816299438477,0.0,0.0,0.0,1.0,1.0,0.0,0.9665,0.0334999999999999,0.0334999999999999,0.0,5.125954203322181e-07,9.561521496434522e-13,6.685755948865335e-09,5.125954203322181e-07,6.685755948865335e-09,0.5866024494171143,0.5,0.1639473289251327,,,,,0.1979956179857254,0.25,117,0.0,0.0,0.0,78,11,0.141025641025641,11,0.098,0.18
1,Static,-0.0398553181912207,-5.539889228579679,0.6,0.6,0.90625,0.0,0.3079136690647482,0.6920863309352518,0.0,0.3079136690647482,0.6920863309352518,0.0,1.0,1.0,1.0,13.899999999999968,14.77571023941038,8.549999999999985,8.549999999999985,12.46999999999997,0.4,0.0,0.0,0.8262589928057554,0.1737410071942445,0.1737410071942445,0.0,0.0,0.0,0.0,0.0,0.0,0.7152058482170105,0.5529115200042725,0.1015604883432388,,,,,0.0401412732899189,0.125,406,0.0,0.0,0.0,403,96,0.238213399503722,96,0.3079136690647482,17.359712230215827
2,CP-EFT,-0.1998726879074708,-39.97453758149417,0.4,0.4,0.7681498829039812,0.9418604651162792,0.925,0.051,0.024,0.925,0.051,0.024,0.0048312886759434,0.0644171823459131,0.6070071764395278,20.000000000000018,21.79177694320679,9.933333333333316,9.933333333333316,13.859999999999966,0.6,1.0,0.0,0.90425,0.09575,0.09575,0.0,5.0994529487979896e-08,0.0,1.917003535079065e-11,5.0994529487979896e-08,1.917003535079065e-11,0.7156110405921936,0.5,0.0986391678452491,,,,,0.0877409502863884,0.25,300,0.0,0.0,0.0,293,45,0.1535836177474402,45,0.1075,2.485
2,EFT,-0.1849146813985572,-36.982936279711446,0.55,0.55,0.765807962529274,0.908256880733945,0.919,0.05125,0.02975,0.919,0.05125,0.02975,0.0092894927735548,0.1146850959698125,0.9932127020394858,20.000000000000018,22.231426620483404,7.154545454545445,7.154545454545445,11.599999999999977,0.45,1.0,0.0,0.907,0.0929999999999999,0.0929999999999999,0.0,1.995511240693304e-07,0.0,4.006137435674795e-12,1.995511240693304e-07,4.006137435674795e-12,0.7405531406402588,0.5,0.0887951105833053,,,,,0.0998387038707733,0.25,324,0.0,0.0,0.0,314,31,0.0987261146496815,31,0.1355,2.515
2,Greedy,-0.0179740970581335,-2.498399491080568,0.6,0.6,0.9437939110070258,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,13.899999999999968,14.264754705429056,10.635714285714265,10.635714285714265,13.834999999999969,0.4,0.0,0.0,0.7992805755395683,0.2007194244604316,0.2007194244604316,0.0,0.0,0.0,0.0,0.0,0.0,0.7096101641654968,0.6457983255386353,0.096263512969017,,,,,0.0355783700942993,0.1000000014901161,558,0.0,0.0,0.0,551,148,0.2686025408348457,148,0.0,24.58273381294964
