episode,steps,wall_time,sim_time,reward_mean,reward_total,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_est,episode_time_seconds,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,actor_loss,critic_loss,entropy,approx_kl,clip_frac,grad_norm,active_ratio,value_clip_fraction,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,200,24.33308506011963,20.0,-0.06032035872340202,-13.064072796715834,-0.026646731421351433,0.06032035872340202,0.0,0.0,0.12280701754385964,0.0,0.0,0,21.290081024169922,20.000000000000014,0.0006434176183356095,0.0005056343881811938,0.0,0.0,20,1.0,0.16666666666666666,0.06060606060606061,0.7727272727272727,0.16666666666666666,0.06060606060606061,0.7727272727272727,0.4950652985405177,0.0,0.0,0.49501199722456396,0.8650700747966766,1.0071631029173744e-12,1.6192993820829261e-10,4.035918976796893e-08,1.6192993820829261e-10,0.08695652173913043,0.5,0.25,53,11,0.07338530269999995,0.0,1.0,0.0,0.9835,0.01649999999999996,0.01649999999999996,0.0,0.0,-0.2864069441954295,23.789024353027344,2.2620691458384194,-0.013157404959201813,0.08333333333333333,45.696313401063286,0.0165,0.777777781089147,0,True,0.0003,0.0,1.2
2,200,23.395588874816895,20.0,-0.0716608315706253,-15.332164977079826,-0.024009077064692973,0.0716608315706253,0.0,0.0,0.20866141732283464,0.0,0.0,0,20.636703491210938,20.000000000000014,0.0011367278699817992,0.0003757137580390868,0.0,0.0,20,1.0,0.2376237623762376,0.1188118811881188,0.6435643564356436,0.2376237623762376,0.1188118811881188,0.6435643564356436,0.504362891769968,0.0,0.0,0.5021817944754773,0.8730626583099366,0.0,7.34842402205782e-11,3.195488602614205e-07,7.34842402205782e-11,0.046511627906976744,0.5,0.25,75,24,0.14179022474999992,0.0,1.0,0.0,0.97475,0.025249999999999995,0.025249999999999995,0.0,0.0,-0.06283082626760006,1.7301217317581177,2.2847704887390137,-0.010908723808825016,0.12351190857589245,3.0925396382808685,0.02525,0.0625,0,True,0.0003,0.0,1.2
3,200,21.342920064926147,20.0,-0.06130777671933174,-13.261556579745784,-0.027426424156874418,0.06130777671933174,0.0,0.0,0.27876106194690264,0.0,0.0,0,21.26682472229004,20.000000000000014,0.0013343889434887595,0.00042841457010413345,0.0,0.0,20,1.0,0.3418803418803419,0.11965811965811966,0.5384615384615384,0.3418803418803419,0.11965811965811966,0.5384615384615384,0.49400383369351036,0.0,0.0,0.4920085287422773,0.8576976656913757,0.0,4.023472978398333e-11,1.1319792747599422e-07,4.023472978398333e-11,0.07894736842105263,0.5,0.25,74,40,0.17863574539999988,0.0,1.0,0.0,0.97075,0.029249999999999998,0.029249999999999998,0.0,0.0,0.4618576765060425,1.326373815536499,2.0768606662750244,0.03638637065887451,0.1111111119389534,3.8515119552612305,0.02925,0.0,0,True,0.0003,0.0,1.2
4,200,22.572546243667603,20.0,-0.11203187704086304,-23.406375619236005,-0.025309214647859336,0.11203187704086304,0.0,0.0,0.24193548387096775,0.0,0.0,0,20.66888999938965,20.000000000000014,0.0013791451266954536,0.00037957329316726425,0.0,0.0,20,1.0,0.2912621359223301,0.10679611650485436,0.6019417475728155,0.2912621359223301,0.10679611650485436,0.6019417475728155,0.5075176587007009,0.0,0.0,0.502638099730327,0.8658501207828522,0.0,9.709225479159743e-10,3.153559546831275e-08,9.709225479159743e-10,0.027777777777777776,0.5,0.25,72,30,0.1628870814499999,0.0,1.0,0.0,0.97425,0.02575000000000005,0.02575000000000005,0.0,0.0,-0.29528772830963135,2.8050625324249268,2.2332279682159424,0.044848304241895676,0.1111111119389534,13.12824535369873,0.02575,0.3333333432674408,0,True,0.0003,0.0,1.2
5,64,7.110366106033325,6.4,-0.09830904006958008,-6.291778751535549,-0.0259221063926816,0.09830904006958008,0.0,0.0,0.211864406779661,0.0,0.0,0,6.871758460998535,6.399999999999993,0.002960305551364276,0.0006590172960008041,0.0,0.0,20,1.0,0.3225806451612903,0.11827956989247312,0.5591397849462365,0.3225806451612903,0.11827956989247312,0.5591397849462365,0.4952637028112804,0.0,0.0,0.5039971161784078,0.8575610816478729,5.071550547141451e-13,1.2464807450096588e-10,3.699494186548691e-07,1.2464807450096588e-10,0.15151515151515152,0.5,0.25,58,30,0.4668640938095243,0.015625000000000017,0.0,0.0,0.92734375,0.07265624999999998,0.07265624999999998,0.0,0.0,0.1768193542957306,1.1444145441055298,2.098836898803711,0.02236112952232361,0.05000000074505806,1.4846409559249878,0.07265625,0.0,0,True,0.0003,0.0,1.2
6,200,23.521751165390015,20.0,-0.03859506547451019,-8.719013394230146,-0.025986162014305595,0.03859506547451019,0.0,0.0,0.25862068965517243,0.0,0.0,0,20.732711791992188,20.000000000000014,0.001426337713853637,0.0004900054484534767,0.0,0.0,20,1.0,0.2912621359223301,0.1553398058252427,0.5533980582524272,0.2912621359223301,0.1553398058252427,0.5533980582524272,0.4989633756119292,0.0,0.0,0.5017112140386687,0.8532813251018523,0.0,4.0485408428492203e-11,7.444443639315068e-08,4.0485408428492203e-11,0.13333333333333333,0.5,0.25,67,30,0.1625351920499999,0.0,1.0,0.0,0.97425,0.02575000000000005,0.02575000000000005,0.0,0.0,-0.5081691145896912,1.9916398525238037,2.133310317993164,0.07402542978525162,0.2857142984867096,14.978421211242676,0.02575,0.4285714328289032,0,True,0.0003,0.0,1.2
7,200,22.859295129776,20.0,-0.03187353536486626,-7.374707402085363,-0.02497686855494976,0.03187353536486626,0.0,0.0,0.19215686274509805,0.0,0.0,0,20.765588760375977,20.000000000000014,0.0015284324626717635,0.00036977232711235726,0.0,0.0,20,1.0,0.32,0.12,0.56,0.32,0.12,0.56,0.5002329120358918,0.0,0.0,0.4992935473673781,0.8541224539279938,0.0,2.2749051167142403e-11,1.242446007188036e-10,2.2749051167142403e-11,0.2222222222222222,0.5,0.25,60,32,0.1482463261999999,0.0,1.0,0.0,0.975,0.025000000000000022,0.025000000000000022,0.0,0.0,0.5238615348935127,1.9382673501968384,2.1327970027923584,-0.0029822615906596184,0.10000000149011612,6.903571367263794,0.025,0.30000001192092896,0,True,0.0003,0.0,1.2
8,200,21.414429664611816,20.0,-0.2537139058113098,-51.7427797943774,-0.026721174642443658,0.2537139058113098,0.0,0.0,0.30735930735930733,0.0,0.0,0,20.634872436523438,20.000000000000014,0.0012649672795462363,0.00014663264130216903,0.0,0.0,20,1.0,0.2903225806451613,0.1774193548387097,0.532258064516129,0.2903225806451613,0.1774193548387097,0.532258064516129,0.499842453425983,0.0,0.0,0.497238839937378,0.867939680814743,2.154646253083037e-12,5.123094726222632e-10,1.9851438537443755e-06,5.123094726222632e-10,0.125,0.5,0.25,82,36,0.1894396165999999,0.0,1.0,0.0,0.969,0.031000000000000028,0.031000000000000028,0.0,0.0,-0.1808909084647894,1.222343623638153,2.115757703781128,-0.006859276443719864,0.0714285746216774,1.366190493106842,0.031,0.0,0,True,0.0003,0.0,1.2
9,200,21.720257997512817,20.0,-0.06547026336193085,-14.094052374763487,-0.02713084425777197,0.06547026336193085,0.0,0.0,0.391304347826087,0.0,0.0,0,20.595928192138672,20.000000000000014,0.0019709633787803617,0.0006758652750205781,0.0,0.0,20,1.0,0.32167832167832167,0.15384615384615385,0.5244755244755245,0.32167832167832167,0.15384615384615385,0.5244755244755245,0.5060161976448726,0.0,0.0,0.5039210283843379,0.8673352718353271,0.0,9.307913849398996e-11,3.9610347357665887e-07,9.307913849398996e-11,0.10714285714285714,0.5,0.25,91,46,0.24200715984999982,0.0,1.0,0.0,0.96425,0.03574999999999995,0.03574999999999995,0.0,0.0,0.1356472671031952,1.3207303881645203,2.059792160987854,-0.014138169586658478,0.10000000149011612,2.3632310032844543,0.03575,0.0,0,True,0.0003,0.0,1.2
10,200,22.093550205230713,20.0,-0.1110314354300499,-23.206288345988828,-0.02732985578477383,0.1110314354300499,0.0,0.0,0.2645739910313901,0.0,0.0,0,21.000476837158203,20.000000000000014,0.0012055528187418958,0.0004363449121837467,0.0,0.0,20,1.0,0.3944954128440367,0.14678899082568808,0.45871559633027525,0.3944954128440367,0.14678899082568808,0.45871559633027525,0.5021909574811579,0.0,0.0,0.5031725697419912,0.8618866741657256,0.0,4.1942345256617943e-11,1.4974307305237744e-06,4.1942345256617943e-11,0.16129032258064516,0.5,0.25,61,43,0.17311510924999987,0.0,1.0,0.0,0.97275,0.027249999999999996,0.027249999999999996,0.0,0.0,0.07878787145018577,2.486317253112793,2.0977182626724242,-0.013834665436297655,0.2150000035762787,31.780205607414246,0.02725,0.2,0,True,0.0003,0.0,1.2
