episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,-72.01798364813467,-0.8877247956016834,0.7177770818982806,0.0,0.0,0.0,0.06987951807228916,0.423728813559322,0.12987012987012986,0.012987012987012988,0.8571428571428571,0.4931968446416431,0.11875,0.11875,0.0125,0.2887251549024085,354.954944882328,25.757575757575758,-547112.0011962082,0.25757575757575757,0.4038566472754232,-0.5064129015976642,-355.4613577839257,4.923356649137514,20,20,18.489254236221313
2,,-129.608777465826,-1.6076097183228248,0.6483911722898483,0.0,0.0,0.0,0.13414634146341464,0.5308641975308642,0.1111111111111111,0.018518518518518517,0.8703703703703703,0.5049504031875404,0.424375,0.424375,0.025,0.3105745944497248,722.7405120108882,38.297872340425535,-1206019.2861239836,0.3829787234042553,0.5052712476096111,-2.6069389577918147,-725.34745096868,4.581626571586315,20,20,17.37553095817566
3,,-302.35488646267066,-3.7669360807833834,1.026843547821045,0.0,0.0,0.0,0.06712962962962964,0.35,0.06666666666666667,0.04,0.8933333333333333,0.5059094855489092,0.106875,0.106875,0.05,0.31275760665775976,1599.126998274691,28.35820895522388,-30454.26523616464,0.2835820895522388,0.2743598832965817,-1.232642064831,-1600.359640339522,4.709947383500669,20,20,20.23997402191162
4,,-246.29558534982593,-3.066194816872824,0.637738823890686,0.0,0.0,0.0,0.10070257611241218,0.39436619718309857,0.1595744680851064,0.05319148936170213,0.7872340425531915,0.5089938200134202,0.13375,0.13375,0.075,0.4081151637249716,985.7906895193698,37.83783783783784,-125697.81927633985,0.3783783783783784,0.31090141223954226,-1.0695800304755312,-986.8602695498454,5.006533632451727,20,20,19.03642988204956
5,,-171.1063598889255,-2.126329498611569,0.0,0.0,0.0,0.0,0.046296296296296294,0.3333333333333333,0.08620689655172414,0.05172413793103448,0.8620689655172413,0.5043307444936364,0.061875,0.061875,0.0375,0.17105500489433947,1443.4347265161516,24.0,-110040.49205919077,0.24,0.12914710677946875,-0.3073698302458857,-1443.7420963463976,5.745701725548058,20,20,18.219888925552368
6,,-159.9837916603963,-1.9872973957549536,0.36957335472106934,0.0,0.0,0.0,0.06960556844547564,0.43636363636363634,0.14473684210526316,0.039473684210526314,0.8157894736842105,0.49454391675943044,0.09,0.09,0.05,0.237829744970204,1038.2929540593477,25.806451612903224,-738248.8070208456,0.25806451612903225,0.40821810367401645,-0.3971416890867411,-1038.6900957484345,5.122547641585039,20,20,18.331822156906128
7,,-419.2606431781193,-5.228258039726492,0.0,0.0,0.0,0.0,0.04205607476635514,0.2558139534883721,0.12962962962962962,0.037037037037037035,0.8333333333333334,0.5018197620636784,0.0675,0.0675,0.0,0.3440227493077771,1774.6666753299899,26.666666666666668,-2147110.0888456935,0.26666666666666666,0.2561821694205009,-0.3462058962610807,-1775.012881226251,4.4456574775456135,20,20,20.654032945632935
8,,-414.55433624403406,-5.169429203050425,0.0,0.0,0.0,0.0,0.049528301886792456,0.32,0.05172413793103448,0.034482758620689655,0.9137931034482759,0.49869025907362813,0.071875,0.071875,0.0125,0.4653654498793173,1394.4503262911144,22.641509433962266,-903847.0223354262,0.22641509433962265,0.29909727136494163,-0.30356898543729427,-1394.7538952765517,4.920524937815652,20,20,18.938435077667236
9,,-158.50654047736097,-1.968831755967012,0.8283375203609467,0.0,0.0,0.0,0.10576923076923077,0.46153846153846156,0.13829787234042554,0.10638297872340426,0.7553191489361702,0.5150485270761419,0.140625,0.140625,0.2,0.28952033304873886,980.9444187923243,32.3943661971831,-418382.6014742606,0.323943661971831,0.19662413122025837,-1.355646803899987,-982.3000655962243,5.599447955546583,20,20,17.612593173980713
10,,-253.91198487678113,-3.161399810959764,0.9161974191665649,0.0,0.0,0.0,0.07565011820330969,0.2641509433962264,0.16883116883116883,0.07792207792207792,0.7532467532467533,0.4942309348216077,0.114375,0.114375,0.05,0.3432564844216001,1247.480616622152,25.862068965517242,-14696.671794973288,0.25862068965517243,0.3162997317346384,-0.3442082262279676,-1247.8248248483799,4.677164914466815,20,20,19.158379077911377
