episode,steps,wall_time,sim_time,reward_mean,reward_total,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_est,episode_time_seconds,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,actor_loss,critic_loss,entropy,approx_kl,clip_frac,grad_norm,active_ratio,value_clip_fraction,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,80,18.489254236221313,8.0,-0.8877248764038086,-72.01798364813467,-0.0017914946656674147,0.8877248764038086,0.0,0.0,0.06987951807228916,0.0,0.0,0,14.218416213989258,7.999999999999988,0.06827516186066154,0.4435145021933202,0.0,0.0,0,0.0,0.12987012987012986,0.012987012987012988,0.8571428571428571,0.12987012987012986,0.012987012987012988,0.8571428571428571,0.4931968446416431,0.0125,0.0,0.49282171517145207,0.8579294323921204,4.00594965185852e-12,4.591918401075645e-09,8.116522280943173e-07,4.591918401075645e-09,0.24242424242424243,0.5,0.5,59,10,8.010391552,0.0,1.0,0.0,0.951875,0.04812499999999997,0.04812499999999997,0.0,0.0,0.05915534100495279,1.3375731876918249,2.5412092208862305,-0.011524178819464785,0.09011119710547584,1.5114750862121582,0.048125,0.0,0,True,0.0003,0.0,1.2
2,80,17.37553095817566,8.0,-1.607609748840332,-129.608777465826,-0.04755762219429016,1.607609748840332,0.0,0.0,0.13414634146341464,0.0,0.0,0,13.562803268432617,7.999999999999988,0.10588746446085033,0.5117413506974591,0.0,0.0,0,0.0,0.1111111111111111,0.018518518518518517,0.8703703703703703,0.1111111111111111,0.018518518518518517,0.8703703703703703,0.5049504031875404,0.025,0.0,0.5050448192334033,0.880291223526001,2.4580489553505114e-12,5.358566568247625e-07,2.219120460722479e-06,5.358566568247625e-07,0.2413793103448276,0.5,0.5,82,12,15.9379456,0.0,1.0,0.0,0.9325,0.0675,0.0675,0.0,0.0,0.037168651819229126,1.2405623197555542,2.265625,0.009937762457411736,0.02380952425301075,1.4253122508525848,0.0675,0.0,0,True,0.0003,0.0,1.2
3,80,20.23997402191162,8.0,-3.7669360637664795,-302.35488646267066,-1.2641324996948242,3.7669360637664795,0.0,0.0,0.06712962962962964,0.0,0.0,0,13.838101387023926,7.999999999999988,0.05076975015521232,0.28568888847795887,0.0,0.0,0,0.0,0.06666666666666667,0.04,0.8933333333333333,0.06666666666666667,0.04,0.8933333333333333,0.5059094855489092,0.05,0.04999999999999716,0.5051584519030184,0.8586933374404907,1.0514551729290389e-10,4.201464253128506e-05,5.9604121815937106e-06,4.201464253128506e-05,0.22580645161290322,0.3333333432674408,0.5,63,5,7.667613696,0.0,1.0,0.0,0.953125,0.046875,0.046875,0.0,0.0,0.2141249179840088,1.6453323364257812,2.488996744155884,0.03936563804745674,0.09090909361839294,1.1705926656723022,0.046875,0.0,0,True,0.0003,0.0,1.2
4,80,19.03642988204956,8.0,-3.066195011138916,-246.29558534982593,-0.5415045619010925,3.066195011138916,0.0,0.0,0.10070257611241218,0.0,0.0,0,13.190427780151367,7.999999999999988,0.10105293645717546,0.7199188232421875,0.0,0.0,1,0.05,0.1595744680851064,0.05319148936170213,0.7872340425531915,0.1595744680851064,0.05319148936170213,0.7872340425531915,0.5089938200134202,0.075,1.0,0.5114254775708864,0.8604505538940428,2.6533192309941e-11,0.00019952631555497646,1.5530660675722174e-05,0.00019952631555497646,0.08333333333333333,0.5,0.5,76,15,11.750981632,0.0,1.0,0.0,0.94125,0.05874999999999997,0.05874999999999997,0.0,0.0,0.04884140193462372,1.196885108947754,2.38935923576355,0.05367519333958626,0.05263157933950424,1.3997048139572144,0.05875,0.0,0,True,0.0003,0.0,1.2
5,80,18.219888925552368,8.0,-2.1263294219970703,-171.1063598889255,-0.018811175599694252,2.1263294219970703,0.0,0.0,0.046296296296296294,0.0,0.0,0,13.014636039733887,7.999999999999988,0.06272314190185498,0.3085965745903996,0.0,0.0,1,0.05,0.08620689655172414,0.05172413793103448,0.8620689655172413,0.08620689655172414,0.05172413793103448,0.8620689655172413,0.5043307444936364,0.0375,0.0,0.5056445409541858,0.8692226171493528,1.341699668033769e-11,7.699724733356561e-07,6.085946097300621e-06,7.699724733356561e-07,0.21739130434782608,0.3666667342185974,0.5,48,5,6.375145472,0.0,1.0,0.0,0.96375,0.036250000000000004,0.036250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03625,0.0,1,,0.0003,0.0,1.2
6,80,18.331822156906128,8.0,-1.9872974157333374,-159.9837916603963,-0.0265482347458601,1.9872974157333374,0.0,0.0,0.06960556844547564,0.0,0.0,0,13.25993824005127,7.999999999999988,0.08408251681588343,0.35511283255399045,0.0,0.0,0,0.0,0.14473684210526316,0.039473684210526314,0.8157894736842105,0.14473684210526316,0.039473684210526314,0.8157894736842105,0.49454391675943044,0.05,0.04999999999999716,0.4956754031827894,0.8500379770994186,3.568345618987223e-11,8.069897739915177e-05,9.065867743629497e-06,8.069897739915177e-05,0.20588235294117646,0.5,0.5,58,11,8.384806912,0.0,1.0,0.0,0.9525,0.04749999999999999,0.04749999999999999,0.0,0.0,-0.2957703173160553,1.3487876653671265,2.2673819065093994,0.039869412779808044,0.0,0.6547120809555054,0.0475,0.0,0,True,0.0003,0.0,1.2
7,80,20.654032945632935,8.0,-5.228257656097412,-419.2606431781193,-2.059788465499878,5.228257656097412,0.0,0.0,0.04205607476635514,0.0,0.0,0,14.618219375610352,7.999999999999988,0.029727857994931453,0.06470991116874432,0.0,0.0,0,0.0,0.12962962962962962,0.037037037037037035,0.8333333333333334,0.12962962962962962,0.037037037037037035,0.8333333333333334,0.5018197620636784,0.0,0.0,0.5013247223868555,0.8651193827390671,1.1179303316399825e-10,0.00011615975381573662,1.4038296285434626e-05,0.00011615975381573662,0.2,0.5,0.5,44,7,4.060102656,0.0,1.0,0.0,0.96625,0.03374999999999995,0.03374999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03375,0.0,1,,0.0003,0.0,1.2
8,80,18.938435077667236,8.0,-5.169428825378418,-414.55433624403406,-1.2880338430404663,5.169428825378418,0.0,0.0,0.049528301886792456,0.0,0.0,0,13.55186653137207,7.999999999999988,0.05993193347671781,0.4011895244046817,0.0,0.0,0,0.0,0.05172413793103448,0.034482758620689655,0.9137931034482759,0.05172413793103448,0.034482758620689655,0.9137931034482759,0.49869025907362813,0.0125,0.0,0.49945828467426157,0.8685204893350601,1.594929570358783e-11,5.487786256708205e-05,6.590173597942339e-06,5.487786256708205e-05,0.14285714285714285,0.5,0.5,52,3,6.377111552,0.0,1.0,0.0,0.96375,0.036250000000000004,0.036250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03625,0.0,1,,0.0003,0.0,1.2
9,80,17.612593173980713,8.0,-1.9688316583633423,-158.50654047736097,-0.05382413789629936,1.9688316583633423,0.0,0.0,0.10576923076923077,0.0,0.0,0,12.659266471862793,7.999999999999988,0.11028124237951353,0.9856068929036458,0.0,0.0,0,0.0,0.13829787234042554,0.10638297872340426,0.7553191489361702,0.13829787234042554,0.10638297872340426,0.7553191489361702,0.5150485270761419,0.2,1.0,0.5177599948378937,0.8663412362337112,2.2926656233213105e-12,2.0693249098258093e-05,5.174007583264029e-06,2.0693249098258093e-05,0.21739130434782608,0.5,0.5,71,13,11.528052736,0.0,1.0,0.0,0.94125,0.05874999999999997,0.05874999999999997,0.0,0.0,0.10066521912813187,1.4739168882369995,2.3295093774795532,0.025105902925133705,0.0,1.1760083436965942,0.05875,0.0,0,True,0.0003,0.0,1.2
10,80,19.158379077911377,8.0,-3.1613998413085938,-253.91198487678113,-1.4693297147750854,3.1613998413085938,0.0,0.0,0.07565011820330969,0.0,0.0,0,14.177340507507324,7.999999999999988,0.041698740405676143,0.11857287055522316,0.0,0.0,0,0.0,0.16883116883116883,0.07792207792207792,0.7532467532467533,0.16883116883116883,0.07792207792207792,0.7532467532467533,0.4942309348216077,0.05,0.04999999999999716,0.4931626765994228,0.86792249083519,9.074966472732982e-11,9.356522059533745e-05,1.087794589693658e-05,9.356522059533745e-05,0.2,0.5,0.5,59,13,8.139685888,0.0,1.0,0.0,0.951875,0.04812499999999997,0.04812499999999997,0.0,0.0,0.17623203992843628,1.4994282126426697,2.4466246366500854,0.01636984059587121,0.0,1.8260145783424377,0.048125,0.0,0,True,0.0003,0.0,1.2
