episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,r_time,r_interf,r_risk,r_illegal,r_pbrs,r_term,r_step,r_total,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_risk,abs_ratio_r_illegal,abs_ratio_r_pbrs,abs_ratio_r_term,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,uncertainty_selected_mean,uncertainty_selected_p90,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,risk_penalty_mean,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,top_illegal_reason,top_illegal_reason_count,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,80,18.489254236221313,42,False,True,time_limit,1.0,7.999999999999988,14.218416213989258,0.0,20,True,1.3406324935953386,11.482704431218782,23773150942.36216,-0.001783502402050128,-1.4089675471747907,-0.006568524593030294,0.0,0.00014491210731728933,0.0,-1.4537760418992172,-0.8877247956016828,0.0012266754428043884,0.02507440059714988,0.9690740465731493,0.004517766729366303,0.0,0.0001071106575302769,0.0,8.116522280943173e-07,4.00594965185852e-12,4.591918401075645e-09,8.116522280943173e-07,4.591918401075645e-09,0.5420398116111755,0.5,0.4519900381565094,0.5,0.5,0.6666666865348816,0.7611940298507462,0.9552238805970149,0.15686029195785522,67,0.0,0.0,0.0,33,8,0.24242424242424243,8,20,20,415,-0.8877248764038086,-0.11735284328460693,-0.0017914946656674147,-3.8319590091705322,-0.0013620797544717789,0.8877248764038086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06827516186066154,0.4435145021933202,0.0,0.0,14.218416213989258,,,6.21841621398927,0.0,0.0,0.06987951807228916,0.0,0.0,,0,0.951875,0.04812499999999997,0.04812499999999997,0.0,0.0,0.12987012987012986,0.012987012987012988,0.8571428571428571,0.12987012987012986,0.012987012987012988,0.8571428571428571,0.49282171517145207,0.8579294323921204,2.5412092208862305,-0.011524178819464785,0.09011119710547584,0.05915534100495279,1.3375731876918249,0.7177770818982806,1.5114750862121582,2.5412092208862305,-2.5412092208862305,0.048125,77,1600,-13.460526466369629,28.6502742767334,-15.190361295427595,27.290869985307967,-0.31772700058562414,0.04291430461619582,0.0,0,1.0,1.0,0.691617933723196,13.140740740740748,63092411.44443877,1.0,0.0,0.3955849769654533,0.1717629054812933,0.5673478824444474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036456467729349726,0.0,0.4931968446416431,0.0125,0.0,True,-1.0,6.21841621398927,0.0
2,80,17.37553095817566,42,False,True,time_limit,1.0,7.999999999999988,13.562803268432617,0.0,20,True,1.3561384030291355,11.040917049747877,21942632332.89555,-0.0018468245599594724,-2.652332719823266,-0.00917733097743575,0.0,0.00012490300549797357,0.0,-2.710753248024743,-1.6076097183228282,0.0006812601155525362,0.01748366304951578,0.9783974798506161,0.003385351103566085,0.0,5.224588074956393e-05,0.0,2.219120460722479e-06,2.4580489553505114e-12,5.358566568247625e-07,2.219120460722479e-06,5.358566568247625e-07,0.5556754469871521,0.5,0.3877273499965668,0.5,0.5,0.8083333373069763,0.6979166666666666,0.8541666666666666,0.15295551717281342,96,0.0,0.0,0.0,58,14,0.2413793103448276,14,20,20,410,-1.607609748840332,-1.2828607559204102,-0.04755762219429016,-7.807007312774658,-0.0251686442643404,1.607609748840332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10588746446085033,0.5117413506974591,0.0,0.0,13.562803268432617,,,5.56280326843263,0.0,0.0,0.13414634146341464,0.0,0.0,,0,0.9325,0.0675,0.0675,0.0,0.0,0.1111111111111111,0.018518518518518517,0.8703703703703703,0.1111111111111111,0.018518518518518517,0.8703703703703703,0.5050448192334033,0.880291223526001,2.265625,0.009937762457411736,0.02380952425301075,0.037168651819229126,1.2405623197555542,0.6483911722898483,1.4253122508525848,2.265625,-2.265625,0.0675,108,1600,-15.249839782714844,29.176084518432617,-16.528549671173096,31.029818534851074,-0.8084898889064789,0.06507537327706814,0.0,0,1.0,1.0,0.5111760883690707,9.71234567901235,79114165.28707664,1.0,0.0,0.3923264542658842,0.16656742206309152,0.5588938763312751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04739637266407921,0.0,0.5049504031875404,0.025,0.0,True,-1.0,5.56280326843263,0.0
3,80,20.23997402191162,42,False,True,time_limit,1.0,7.999999999999988,13.838101387023926,0.0,20,True,1.3347274913834348,11.018584255597336,22669544394.81159,-0.001849894389280005,-6.408477408419929,-0.00781655650641553,0.0,0.00013232525866772646,0.0,-6.441520583000128,-3.766936080783381,0.0002871769739267183,0.0036289946101461697,0.9948498467223634,0.0012134395655490815,0.0,2.0542128014701508e-05,0.0,5.9604121815937106e-06,1.0514551729290389e-10,4.201464253128506e-05,5.9604121815937106e-06,4.201464253128506e-05,0.5020237565040588,0.3333333432674408,0.4246428310871124,0.5,0.5,0.75,0.9,0.9142857142857143,0.17866413295269012,70,0.0,0.0,0.0,31,7,0.22580645161290322,7,20,20,432,-3.7669360637664795,-3.3708462715148926,-1.2641324996948242,-7.154121398925781,-1.2552499771118164,3.7669360637664795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05076975015521232,0.28568888847795887,0.0,0.0,13.838101387023926,,,5.838101387023938,0.0,0.0,0.06712962962962964,0.0,0.0,,0,0.953125,0.046875,0.046875,0.0,0.0,0.06666666666666667,0.04,0.8933333333333333,0.06666666666666667,0.04,0.8933333333333333,0.5051584519030184,0.8586933374404907,2.488996744155884,0.03936563804745674,0.09090909361839294,0.2141249179840088,1.6453323364257812,1.026843547821045,1.1705926656723022,2.488996744155884,-2.488996744155884,0.046875,75,1600,-32.83538055419922,60.338966369628906,-45.606178283691406,55.53064727783203,-0.9717916250228882,0.08501632511615753,0.0,0,1.0,1.0,0.7400259909031837,14.060493827160482,76710719.41874473,1.0,0.0,0.4134347781448928,0.15957169445418182,0.5730064725990748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023376723684503567,0.0,0.5059094855489092,0.05,0.04999999999999716,True,-1.0,5.838101387023938,0.0
4,80,19.03642988204956,42,False,True,time_limit,1.0,7.999999999999988,13.190427780151367,0.0,20,True,1.350764589794378,11.70098273909181,22575894499.85752,-0.001746332893909197,-5.155771151993009,-0.007477276833944752,0.0,0.00014308960439469252,-7.115746082286631e-06,-5.221970437422037,-3.066194816872829,0.000334410650957927,0.010910447181320752,0.9872944575123673,0.0014318467127047703,0.0,2.7475326570811833e-05,1.362616078370978e-06,1.5530660675722174e-05,2.6533192309941e-11,0.00019952631555497646,1.5530660675722174e-05,0.00019952631555497646,0.554852306842804,0.5,0.44092825055122375,0.5,0.5,0.800000011920929,0.7215189873417721,0.9113924050632911,0.15143850445747375,79,0.0,0.0,0.0,36,3,0.08333333333333333,3,20,20,427,-3.066195011138916,-3.468275785446167,-0.5415045619010925,-5.010528564453125,-0.01582515425980091,3.066195011138916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10105293645717546,0.7199188232421875,0.0,0.0,13.190427780151367,,,5.19042778015138,0.0,0.0,0.10070257611241218,0.05,0.0,,0,0.94125,0.05874999999999997,0.05874999999999997,0.0,0.0,0.1595744680851064,0.05319148936170213,0.7872340425531915,0.1595744680851064,0.05319148936170213,0.7872340425531915,0.5114254775708864,0.8604505538940428,2.38935923576355,0.05367519333958626,0.05263157933950424,0.04884140193462372,1.196885108947754,0.637738823890686,1.3997048139572144,2.38935923576355,-2.38935923576355,0.05875,94,1600,-34.03756332397461,65.3092041015625,-36.537540435791016,79.7681655883789,-1.161818504333496,0.07193872332572937,0.0,0,1.0,1.0,0.5831708901884337,11.080246913580256,72003584.08449017,1.0,0.0,0.34706907397737785,0.17032188829093417,0.5173909622775101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05697567570117989,0.0,0.5089938200134202,0.075,1.0,True,-1.0,5.19042778015138,0.0
5,80,18.219888925552368,42,False,True,time_limit,1.0,7.999999999999988,13.014636039733887,0.0,20,True,1.340156362188324,11.416415584631924,22599436075.59321,-0.001783267155091071,-3.5293392440459286,-0.005808516033762906,0.0,0.00013477889943361816,-3.0754839330085623e-06,-3.5740492733421068,-2.1263294986115735,0.000498929421319948,0.01038508728087514,0.9874522623525186,0.0016251292102696547,0.0,3.773126415870997e-05,8.604708579945755e-07,6.085946097300621e-06,1.341699668033769e-11,7.699724733356561e-07,6.085946097300621e-06,7.699724733356561e-07,0.5066037774085999,0.3666667342185974,0.4424528479576111,0.5,0.5,0.6666666865348816,0.8490566037735849,0.9811320754716981,0.17535145580768585,53,0.0,0.0,0.0,23,5,0.21739130434782608,5,20,20,432,-2.1263294219970703,-2.349453926086426,-0.018811175599694252,-5.1287055015563965,-0.018317334353923798,2.1263294219970703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06272314190185498,0.3085965745903996,0.0,0.0,13.014636039733887,,,5.014636039733899,0.0,0.0,0.046296296296296294,0.05,0.0,,0,0.96375,0.036250000000000004,0.036250000000000004,0.0,0.0,0.08620689655172414,0.05172413793103448,0.8620689655172413,0.08620689655172414,0.05172413793103448,0.8620689655172413,0.5056445409541858,0.8692226171493528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03625,58,1600,-28.670066833496094,69.27091217041016,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.6611435997400903,12.561728395061731,68591577.04280837,1.0,0.0,0.3659054706339561,0.16484267986942716,0.5307481505033833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.037118246107324206,0.0,0.5043307444936364,0.0375,0.0,True,-1.0,5.014636039733899,0.0
6,80,18.331822156906128,42,False,True,time_limit,1.0,7.999999999999988,13.25993824005127,0.0,20,True,1.3213845046860533,11.226306271268884,23561164900.108727,-0.0018212070684956888,-3.3528223724449036,-0.006489486816703566,0.0,0.0001346894425782433,0.0,-3.414186414126014,-1.9872973957549547,0.0005334023992623875,0.01553847637249441,0.9819880060315915,0.0019006668148232643,0.0,3.944838182837231e-05,0.0,9.065867743629497e-06,3.568345618987223e-11,8.069897739915177e-05,9.065867743629497e-06,8.069897739915177e-05,0.5371795296669006,0.5,0.45192307233810425,0.5,0.5,0.75,0.8153846153846154,0.8923076923076924,0.15974120795726776,65,0.0,0.0,0.0,34,7,0.20588235294117646,7,20,20,431,-1.9872974157333374,-2.533447265625,-0.0265482347458601,-5.634456634521484,-0.015801716595888138,1.9872974157333374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08408251681588343,0.35511283255399045,0.0,0.0,13.25993824005127,,,5.259938240051282,0.0,0.0,0.06960556844547564,0.0,0.0,,0,0.9525,0.04749999999999999,0.04749999999999999,0.0,0.0,0.14473684210526316,0.039473684210526314,0.8157894736842105,0.14473684210526316,0.039473684210526314,0.8157894736842105,0.4956754031827894,0.8500379770994186,2.2673819065093994,0.039869412779808044,0.0,-0.2957703173160553,1.3487876653671265,0.36957335472106934,0.6547120809555054,2.2673819065093994,-2.2673819065093994,0.0475,76,1600,-26.838624954223633,64.63540649414062,-8.216428756713867,11.707544326782227,-1.2558485269546509,0.09798619896173477,0.0,0,1.0,1.0,0.6740740740740747,12.80740740740739,62831636.09257923,1.0,0.0,0.33629763363508947,0.16453726074711356,0.5008348943822029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05305334779590958,0.0,0.49454391675943044,0.05,0.04999999999999716,True,-1.0,5.259938240051282,0.0
7,80,20.654032945632935,42,False,True,time_limit,1.0,7.999999999999988,14.618219375610352,0.0,20,True,1.3757146861777731,11.926594490277585,22701332499.27252,-0.0017120431002466852,-9.032631377451827,-0.005092125861299082,0.0,0.00011716904789224334,0.0,-9.056481089652012,-5.2282580397265,0.0001890382074309257,0.001882113212025417,0.9973536552507317,0.0005622559062291929,0.0,1.2937423582821305e-05,0.0,1.4038296285434626e-05,1.1179303316399825e-10,0.00011615975381573662,1.4038296285434626e-05,0.00011615975381573662,0.5070921778678894,0.5,0.4929078221321106,0.5,0.5,0.5,0.9574468085106383,1.0,0.17334899306297302,47,0.0,0.0,0.0,15,3,0.2,3,20,20,428,-5.228257656097412,-6.005521774291992,-2.059788465499878,-9.86394214630127,-0.023150019347667694,5.228257656097412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029727857994931453,0.06470991116874432,0.0,0.0,14.618219375610352,,,6.618219375610364,0.0,0.0,0.04205607476635514,0.0,0.0,,0,0.96625,0.03374999999999995,0.03374999999999995,0.0,0.0,0.12962962962962962,0.037037037037037035,0.8333333333333334,0.12962962962962962,0.037037037037037035,0.8333333333333334,0.5013247223868555,0.8651193827390671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03375,54,1600,-61.54395294189453,89.11996459960938,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.806887589343729,15.330864197530884,75749562.55818962,1.0,0.0,0.48076879119800103,0.16888888178931288,0.6496576729873139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017045543238705597,0.0,0.5018197620636784,0.0,0.0,True,-1.0,6.618219375610364,0.0
8,80,18.938435077667236,42,False,True,time_limit,1.0,7.999999999999988,13.55186653137207,0.0,20,True,1.3493029662837446,11.553116081957995,23276058572.05412,-0.001759406222583147,-8.980619863698927,-0.005673940648663393,0.0,0.00012628489642608888,0.0,-9.021356892437701,-5.169429203050428,0.00019502405226794973,0.0036915971478837266,0.9954704349772963,0.0006289365602024178,0.0,1.40072623496766e-05,0.0,6.590173597942339e-06,1.594929570358783e-11,5.487786256708205e-05,6.590173597942339e-06,5.487786256708205e-05,0.5242424011230469,0.5,0.4757575988769531,0.5,0.5,0.6666666865348816,0.8545454545454545,1.0,0.16506008803844452,55,0.0,0.0,0.0,21,3,0.14285714285714285,3,20,20,424,-5.169428825378418,-6.252289772033691,-1.2880338430404663,-7.595667839050293,-1.2607293128967285,5.169428825378418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05993193347671781,0.4011895244046817,0.0,0.0,13.55186653137207,,,5.551866531372083,0.0,0.0,0.049528301886792456,0.0,0.0,,0,0.96375,0.036250000000000004,0.036250000000000004,0.0,0.0,0.05172413793103448,0.034482758620689655,0.9137931034482759,0.05172413793103448,0.034482758620689655,0.9137931034482759,0.49945828467426157,0.8685204893350601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03625,58,1600,-64.6397933959961,91.03104400634766,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.6518518518518521,12.385185185185174,79774152.79732224,1.0,0.0,0.45389038817331445,0.1695020629475735,0.6233924511208878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033303681867573515,0.0,0.49869025907362813,0.0125,0.0,True,-1.0,5.551866531372083,0.0
9,80,17.612593173980713,42,False,True,time_limit,1.0,7.999999999999988,12.659266471862793,0.0,20,True,1.3345365752952616,11.10760819357389,21728665417.3776,-0.0018395313774458343,-3.317696396298936,-0.008132753963330932,0.0,0.00012660029931687994,0.0,-3.3945356430714173,-1.9688317559670117,0.0005418893679446776,0.019697677305686674,0.977327391783347,0.002395747612067431,0.0,3.729393095413569e-05,0.0,5.174007583264029e-06,2.2926656233213105e-12,2.0693249098258093e-05,5.174007583264029e-06,2.0693249098258093e-05,0.5351852178573608,0.5,0.4337448179721832,0.5,0.5,0.6666666865348816,0.8024691358024691,0.9506172839506173,0.1606469750404358,81,0.0,0.0,0.0,46,10,0.21739130434782608,10,20,20,416,-1.9688316583633423,-1.4259648323059082,-0.05382413789629936,-6.309966564178467,-0.006877011153846979,1.9688316583633423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11028124237951353,0.9856068929036458,0.0,0.0,12.659266471862793,,,4.659266471862805,0.0,0.0,0.10576923076923077,0.0,0.0,,0,0.94125,0.05874999999999997,0.05874999999999997,0.0,0.0,0.13829787234042554,0.10638297872340426,0.7553191489361702,0.13829787234042554,0.10638297872340426,0.7553191489361702,0.5177599948378937,0.8663412362337112,2.3295093774795532,0.025105902925133705,0.0,0.10066521912813187,1.4739168882369995,0.8283375203609467,1.1760083436965942,2.3295093774795532,-2.3295093774795532,0.05875,94,1600,-23.070449829101562,45.825531005859375,-28.865755081176758,40.381248474121094,-1.544459581375122,0.11440752446651459,0.0,0,1.0,1.0,0.5551007147498377,10.546913580246914,65912179.81322416,1.0,0.0,0.3878425232918559,0.16751827083181808,0.5553607941236741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06686696143171535,0.0,0.5150485270761419,0.2,1.0,True,-1.0,4.659266471862805,0.0
10,80,19.158379077911377,42,False,True,time_limit,1.0,7.999999999999988,14.177340507507324,0.0,20,True,1.3547081002918488,11.584531248147952,23232807598.103424,-0.0017418957070376535,-5.245310787350305,-0.006475118909066363,0.0,0.00012359702011638005,0.0,-5.271818591477808,-3.161399810959765,0.0003304083362498106,0.003469455322003461,0.9949472883821369,0.001228221217332651,0.0,2.4626742277198407e-05,0.0,1.087794589693658e-05,9.074966472732982e-11,9.356522059533745e-05,1.087794589693658e-05,9.356522059533745e-05,0.53125,0.5,0.453125,0.5,0.5,0.6666666865348816,0.828125,0.96875,0.16187795996665955,64,0.0,0.0,0.0,25,5,0.2,5,20,20,423,-3.1613998413085938,-2.773223876953125,-1.4693297147750854,-6.643843650817871,-1.3090325593948364,3.1613998413085938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041698740405676143,0.11857287055522316,0.0,0.0,14.177340507507324,,,6.177340507507337,0.0,0.0,0.07565011820330969,0.0,0.0,,0,0.951875,0.04812499999999997,0.04812499999999997,0.0,0.0,0.16883116883116883,0.07792207792207792,0.7532467532467533,0.16883116883116883,0.07792207792207792,0.7532467532467533,0.4931626765994228,0.86792249083519,2.4466246366500854,0.01636984059587121,0.0,0.17623203992843628,1.4994282126426697,0.9161974191665649,1.8260145783424377,2.4466246366500854,-2.4466246366500854,0.048125,77,1600,-48.2008171081543,88.15816497802734,-66.62869644165039,93.7336540222168,-1.895658791065216,0.14961155503988266,0.0,0,1.0,1.0,0.6076673164392467,11.545679012345685,73056783.2065739,1.0,0.0,0.4374586015089779,0.16942512714763008,0.6068837286543087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018290789511398814,0.0,0.4942309348216077,0.05,0.04999999999999716,True,-1.0,6.177340507507337,0.0
