episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,mode_match_rate,oracle_match_rate,oracle_match_eps_abs_rate,oracle_match_eps_rel_rate,action_regret_mean,action_regret_p95,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,-1.212612940313697,-0.0007087098010456563,1918.5616455078125,0.05,0.05,0.05,0.572139303482587,0.7446808510638298,0.3269230769230769,0.3717948717948718,0.30128205128205127,0.4970588725246489,0.0275,0.0275,0.09666666666666666,0.6986958099305883,0.6566008872644116,29.78723404255319,-0.9749328400653059,0.2978723404255319,0.08902913980043971,0.14102564102564102,0.532051282051282,0.3269230769230769,0.36538461538461536,0.36538461538461536,nan,nan,0.43971215127874247,2.198400804493561,0.30120481927710846,0.29411764705882354,0.3333333333333333,0.3916451271619816,-0.26495576010243,1.6340377031700886,20,20,26.093326091766357
2,,-0.9399723291750723,0.00020009223608309225,70.84146728515626,0.45,0.45,0.45,0.7238805970149254,0.8387096774193549,0.3082706766917293,0.40601503759398494,0.2857142857142857,0.5010570173772673,0.0021666666666666666,0.0021666666666666666,0.03333333333333333,0.017653573113579707,1.4890449165864608,60.526315789473685,-0.1068438493868276,0.6052631578947368,0.014009541507723136,0.19548872180451127,0.3458646616541353,0.45864661654135336,0.39849624060150374,0.39849624060150374,nan,nan,0.08467204852412684,0.3610981582956257,0.2608695652173913,0.3442622950819672,0.36065573770491804,0.8928379692247399,-0.5962069473617209,2.1159006638091116,20,20,16.897102117538452
3,,-0.7141570390671346,0.000952809869776218,730.5708618164062,0.75,0.75,0.75,0.9157088122605364,0.9166666666666666,0.3943217665615142,0.40063091482649843,0.20504731861198738,0.5029294827571139,0.084,0.084,0.21333333333333335,0.422080194219184,1.1147575054200363,43.07692307692308,-0.06313260253331875,0.4307692307692308,0.2581383070312674,0.11041009463722397,0.7034700315457413,0.1861198738170347,0.40063091482649843,0.40063091482649843,nan,nan,0.1612891618228276,0.5973824939407932,0.21076233183856502,0.3220338983050847,0.23728813559322035,0.8761154121739207,-0.23864209324611543,2.2977095406577472,20,20,17.505627870559692
4,,-0.7238242233165921,0.0009205859222780262,282.6486785888672,0.5,0.5,0.5,0.7985074626865671,0.9824561403508771,0.34411764705882353,0.40294117647058825,0.2529411764705882,0.4997493430053194,0.082,0.082,0.24333333333333335,0.24633905997382793,1.503107073461347,46.51162790697674,-0.33205728527392037,0.46511627906976744,0.1832873078962151,0.11764705882352941,0.6264705882352941,0.25588235294117645,0.36470588235294116,0.36470588235294116,nan,nan,0.21807032380832084,0.564332948563389,0.25821596244131456,0.367816091954023,0.2413793103448276,1.2760755383775257,-0.2270315350838213,2.280094224917368,20,20,17.47055220603943
5,,-1.0342595411139588,-0.00011419847037986282,296.33690185546874,0.3,0.3,0.3,0.7658536585365854,0.7567567567567568,0.39,0.37,0.24,0.4960983564897906,0.035,0.035,0.09666666666666666,0.014165274800745814,0.7750370915705167,31.25,-0.10276323844834828,0.3125,0.13721855451888978,0.16,0.645,0.195,0.37,0.37,nan,nan,0.12261783740677544,0.394410978720081,0.2248062015503876,0.3333333333333333,0.28205128205128205,0.49576819578756015,-0.27926889578295655,1.8381329534015438,20,20,19.827320098876953
6,,0.06727497426144122,0.0011028684305154299,115.59004211425781,0.5,0.5,0.5,0.816793893129771,0.8611111111111112,0.35537190082644626,0.32231404958677684,0.32231404958677684,0.4891766393740402,0.020491803278688523,0.020491803278688523,0.13114754098360656,0.03366180336734358,0.7608824510650061,38.46153846153847,-0.22527937860440475,0.38461538461538464,0.015558757659789658,0.2066115702479339,0.30578512396694213,0.48760330578512395,0.2892561983471074,0.2892561983471074,nan,nan,0.10432681749832123,0.17675947976011927,0.3783783783783784,0.3389830508474576,0.288135593220339,0.4615678842553878,-0.29931456680961827,2.138680659951833,20,20,3.3995869159698486
7,,0.40598446433749724,0.019332593539880823,17.25345344543457,1.0,1.0,1.0,1.0,1.0,0.4153846153846154,0.34615384615384615,0.23846153846153847,0.49529001393488475,0.04523809523809524,0.04523809523809524,0.19047619047619047,0.9825201122355554,0.14839095818774622,25.806451612903224,-0.1435195119201498,0.25806451612903225,0.007716856143414012,0.2076923076923077,0.5384615384615384,0.25384615384615383,0.3769230769230769,0.3769230769230769,nan,nan,0.054000987919667745,0.11593430859745876,0.2,0.30303030303030304,0.3333333333333333,0.4632579922452627,0.3148670340575165,2.1966842305546246,20,20,1.794438123703003
8,,-0.6214059212597858,0.0012619802624673807,2.3304512977600096,0.8,0.8,0.8,0.9289340101522843,0.9666666666666667,0.42358078602620086,0.40611353711790393,0.1703056768558952,0.5007732914709486,0.0475,0.0475,0.15,0.619960661132298,1.104761793452049,53.84615384615385,0.008570028707263928,0.5384615384615384,0.10395822812844135,0.12663755458515283,0.5021834061135371,0.37117903930131,0.32751091703056767,0.32751091703056767,nan,nan,0.11282880222875888,0.42861846820741106,0.17391304347826086,0.4235294117647059,0.16470588235294117,0.8489494285117376,-0.2558123649403115,2.3473902203983057,20,20,13.382482051849365
9,,-0.6397554135093941,0.0012008152883020195,117.8906967163086,0.7,0.7,0.7,0.8917525773195877,0.9523809523809523,0.424,0.424,0.152,0.4999432424167171,0.042666666666666665,0.042666666666666665,0.17333333333333334,0.431009991732598,1.1540804237888163,36.84210526315789,-0.05372798658384034,0.3684210526315789,0.0628881575311917,0.116,0.616,0.268,0.304,0.304,nan,nan,0.09409878677289095,0.37527801865498817,0.16233766233766234,0.5074626865671642,0.08955223880597014,0.8789823809377508,-0.27509804285106537,2.2012550961182757,20,20,13.741104125976562
10,,-0.6078483607823865,0.0013071721307253785,1.9071203231811524,0.85,0.85,0.85,0.9072164948453608,0.9444444444444444,0.3794466403162055,0.43873517786561267,0.18181818181818182,0.49998992376355456,0.043666666666666666,0.043666666666666666,0.18666666666666668,0.57857072923255,1.5686912114463702,41.30434782608695,-0.035669300433025034,0.41304347826086957,0.11879763737753672,0.16600790513833993,0.41106719367588934,0.42292490118577075,0.21739130434782608,0.21739130434782608,nan,nan,0.11815480678589428,0.4217623618203191,0.21153846153846154,0.4672897196261682,0.1308411214953271,1.3108193082140354,-0.2578719032323349,2.4153915343199825,20,20,12.522067308425903
