episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,mode_match_rate,oracle_match_rate,oracle_match_eps_abs_rate,oracle_match_eps_rel_rate,action_regret_mean,action_regret_p95,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,0.00232976231606662,8.320579700237928e-05,1.1866644382476808,0.15,0.15,0.15,0.61,0.85,0.35374149659863946,0.3741496598639456,0.272108843537415,0.5007046649731429,0.33214285714285713,0.33214285714285713,0.8571428571428571,0.0008917015754543776,0.2815160083786346,35.0,-0.1870720817420457,0.35,0.10077085364761877,0.17687074829931973,0.4965986394557823,0.32653061224489793,0.3741496598639456,0.3741496598639456,nan,nan,0.19630251918573105,0.5255327725613892,0.2602739726027397,0.3541666666666667,0.3333333333333333,0.19309835973398676,-0.08841764864464786,2.2319200234824303,20,20,20.227558851242065
2,,0.06280348198175606,0.0026168117492398357,0.8442697882652282,0.55,0.55,0.55,0.8222222222222222,0.84375,0.38016528925619836,0.35537190082644626,0.2644628099173554,0.494436051993398,0.025,0.025,0.3333333333333333,0.20513954941292376,0.29992940543577046,40.625,-0.32566812668056744,0.40625,0.021726527851370223,0.21487603305785125,0.30578512396694213,0.4793388429752066,0.38016528925619836,0.38016528925619836,nan,nan,0.11640775875028289,0.26674493822104745,0.1891891891891892,0.3448275862068966,0.3103448275862069,0.1986195471832516,-0.10130985825251886,2.5211030322875745,20,20,7.6546101570129395
3,,0.05174770711566324,0.0013268642850170062,0.5385208050409953,0.25,0.25,0.25,0.654275092936803,0.7857142857142857,0.4396135265700483,0.2463768115942029,0.3140096618357488,0.49899874589382076,0.5807692307692308,0.5807692307692308,0.5897435897435898,0.16261139769867716,0.35282294450232315,38.46153846153847,-0.39068646123425865,0.38461538461538464,0.2375584055756426,0.1111111111111111,0.7053140096618358,0.18357487922705315,0.23671497584541062,0.23671497584541062,nan,nan,0.3137329442845464,0.8241761320034225,0.3424657534246575,0.21052631578947367,0.21052631578947367,0.24632201743737375,-0.1065009270649494,2.197578646995832,20,20,16.245755910873413
4,,0.05884121480376006,0.0015484530211515805,0.5721596211194993,0.25,0.25,0.25,0.8321167883211679,0.8813559322033898,0.476,0.264,0.26,0.49701292093500105,0.7539473684210526,0.7539473684210526,0.7368421052631579,0.24111829494361442,0.2887117820543367,35.38461538461539,-0.15656815877947916,0.35384615384615387,0.21978881638595854,0.132,0.556,0.312,0.292,0.292,nan,nan,0.22381037173845095,0.8172603159275724,0.23741007194244604,0.20512820512820512,0.2692307692307692,0.2402724893792804,-0.04843929267505629,2.2467026256188234,20,20,17.259496212005615
5,,0.06593250418143234,0.0023547322921940125,0.3440446510910988,0.4,0.4,0.4,0.7330097087378641,0.7857142857142857,0.36,0.37714285714285717,0.26285714285714284,0.49656504640754845,0.3142857142857143,0.3142857142857143,1.2857142857142858,0.24391929744013485,0.32844942810888683,41.30434782608695,-0.17282928935642158,0.41304347826086957,0.10751907657632882,0.16,0.6228571428571429,0.21714285714285714,0.38857142857142857,0.38857142857142857,nan,nan,0.15232955722177216,0.45609773092914374,0.27522935779816515,0.3157894736842105,0.2631578947368421,0.23531489701983485,-0.093134531089052,2.0879312417386022,20,20,13.154799699783325
6,,0.15240254996785466,0.006927388634902484,0.4274670660495758,0.9,0.9,0.9,0.9694656488549618,0.9310344827586207,0.4883720930232558,0.2868217054263566,0.2248062015503876,0.4990551991303536,0.07272727272727272,0.07272727272727272,0.18181818181818182,0.7863294044907979,0.2782678130480554,31.03448275862069,-0.01045865430796727,0.3103448275862069,0.034696862018949136,0.1937984496124031,0.3178294573643411,0.4883720930232558,0.29457364341085274,0.29457364341085274,nan,nan,0.03085880954490219,0.0885958290414541,0.21951219512195122,0.2857142857142857,0.19047619047619047,0.19564048185595265,-0.08262733119210278,1.9843929540730885,20,20,4.029900074005127
7,,0.11544333704682724,0.004810139043617802,0.24322995245456697,0.7,0.7,0.7,0.8818897637795275,0.8275862068965517,0.45454545454545453,0.2892561983471074,0.256198347107438,0.5134680479881354,0.04375,0.04375,0.041666666666666664,0.5373665537538597,0.2979626335479948,35.483870967741936,-0.39976177122275264,0.3548387096774194,0.0163028628757618,0.23140495867768596,0.5041322314049587,0.2644628099173554,0.2892561983471074,0.2892561983471074,nan,nan,0.12556027293068725,0.1192001710586132,0.21311475409836064,0.25,0.21875,0.2028897447467865,-0.09507288880120826,2.0185184687246065,20,20,4.396186590194702
8,,0.09991531434334909,0.0037005671979018183,0.3122546344995499,0.45,0.45,0.45,0.8622448979591837,0.7727272727272727,0.40425531914893614,0.3404255319148936,0.2553191489361702,0.508315754585244,0.5092592592592593,0.5092592592592593,0.7037037037037037,0.4326179383356715,0.31099658760027216,41.66666666666667,-0.26560627123044245,0.4166666666666667,0.12681073361101888,0.14361702127659576,0.4946808510638298,0.3617021276595745,0.3191489361702128,0.3191489361702128,nan,nan,0.18717908793417198,0.4826177225178935,0.3118279569892473,0.38235294117647056,0.20588235294117646,0.23766830083938295,-0.07332828676088923,2.239764400994361,20,20,8.282212734222412
9,,0.11664805056167026,0.004022346571092078,0.3158984392881393,0.6,0.6,0.6,0.8846153846153846,0.9285714285714286,0.4127906976744186,0.313953488372093,0.27325581395348836,0.4945798592513491,0.42758620689655175,0.42758620689655175,1.206896551724138,0.5496048112698079,0.29514707322034917,38.297872340425535,-0.14685829791592034,0.3829787234042553,0.11741861600188168,0.1569767441860465,0.4941860465116279,0.3488372093023256,0.3081395348837209,0.3081395348837209,nan,nan,0.14671143682887275,0.43242801543584736,0.29411764705882354,0.3333333333333333,0.23333333333333334,0.22713843768089498,-0.06800863553945419,2.2082772669055593,20,20,7.98336124420166
10,,0.1750217612215703,0.006731606200829627,0.19356236457824708,0.85,0.85,0.85,0.9533678756476683,0.9722222222222222,0.4270833333333333,0.3645833333333333,0.20833333333333334,0.494452189335313,0.5211538461538462,0.5211538461538462,1.1923076923076923,0.8651016292684768,0.2538688037111861,52.5,-0.0204152301315129,0.525,0.23070590805854638,0.203125,0.3020833333333333,0.4947916666666667,0.3229166666666667,0.3229166666666667,nan,nan,0.14309123230687476,0.4289995657105517,0.20689655172413793,0.3263157894736842,0.25263157894736843,0.23400693173622583,-0.01986187197496027,2.462467435464118,20,20,6.874302387237549
