episode,steps,physical_steps,decision_steps,active_decision_ratio,wall_time,sim_time,termination_reason_raw,termination_reason_bucket,reward_mean,reward_total,episode_reward,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_completed,episode_time_seconds,mean_r_prog,mean_r_term,mean_cost_power,mean_cost_trust,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,illegal_action_ratio,no_task_rate,on_task_rate,has_task_available_rate,v2v_link_break_rate,unified_illegal_trigger_rate,hard_trigger_rate,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_term,reward_clip_hit_count,reward_clip_hit_rate,abs_ratio_basis,r_prog_on_task_mean,r_prog_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_term,actor_loss,critic_loss,critic_loss_raw_mean,normalized_value_loss,entropy,approx_kl,clip_frac,cost_power_value_loss,cost_trust_value_loss,lambda_power,lambda_trust,grad_norm,grad_norm_preclip,grad_norm_postclip,active_ratio,actor_update_active_frac,value_clip_fraction,critic_loss_active,critic_loss_inactive,mode_aux_loss,mode_aux_acc,ppo_epochs_executed,num_minibatches_executed,mb_kl_max,mb_kl_p95,early_stop_epoch_idx,early_stop_batch_idx,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,28,28,129,4.607142857142857,20.800599813461304,2.8000000000000003,all_failed,terminated,0.004393297713249922,0.12301233542462083,0.12301233542462083,0.03506389390677212,0.01116944756358862,0.05,0.05,0.36,1.3793882902578871,1.3793882902578871,1,1.3793882902578871,2.800000000000001,0.07580003558983142,-0.031867058652466855,0.4631036599887138,0.0,0.4631036599887141,0.9975543176430691,0.049511281072513756,0.0,19,0.95,0.11627906976744186,0.07751937984496124,0.8062015503875969,0.11627906976744186,0.07751937984496124,0.8062015503875969,0.49713907856826806,0.32142857142857145,0.6499999999999986,0.49690711196569515,0.8413589626550673,0.0,2.8562814613496075e-10,9.477982843009158e-10,4.1885406427966086e-11,114,15,0.0,0.0,0.0,0.0,0.0,0.7696428571428572,0.23035714285714282,0.23035714285714282,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.3290544180643842,0.33791354919540106,0.9453638107623303,0.05463618923766964,-0.0029302418231964113,1.6156554102897644,1.6156554102897644,1.6156556963920594,2.9170951366424562,0.002741676871664822,0.0078125,0.010581126296892762,0.006122516794130206,0.0,0.0,16.10234266339034,16.10234266339034,16.102342748641966,1.0,1.0,0.795703125,1.6156554102897644,0.0,,,5,10,0.008935385383665562,0.008100339537486432,-1,-1,0,False,0.0002,0.0,0.09998755555555557
2,24,24,107,4.458333333333333,9.659616947174072,2.4000000000000004,all_failed,terminated,0.0005971149075776339,0.014330759375908633,0.014330759375908633,0.027122495323419534,0.007844265550374985,0.1,0.1,0.4666666666666667,0.5271409895152076,0.6207155604058081,2,0.5271409895152076,2.400000000000001,0.04150280740766557,-0.035531657667703644,0.5490298145775198,0.0,0.5490298145775208,0.9975967354722612,0.05594841309046688,0.0,16,0.8,0.1308411214953271,0.1308411214953271,0.7383177570093458,0.1308411214953271,0.1308411214953271,0.7383177570093458,0.5042943800566718,0.4166666666666667,0.0,0.5048049007627097,0.8731755971908567,0.0,2.2681430345006213e-11,2.0094433061945693e-11,4.9137737281878415e-12,86,14,0.0,0.0,0.0,0.0,0.0,0.7770833333333333,0.22291666666666665,0.22291666666666665,0.04964539007092199,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.1861808182773782,0.18939601111041324,0.7320309012302125,0.26796909876978753,0.0037364330142736434,2.067488932609558,2.067488932609558,2.0674892902374267,2.633897304534912,0.0017599417828023435,0.00234375,0.008477636007592082,0.0014404334360733628,0.0,0.0,17.05440249876368,17.05440249876368,17.054402923583986,1.0,1.0,0.71015625,2.067488932609558,0.0,,,5,5,0.007484409958124161,0.006904645264148712,-1,-1,0,False,0.0002,0.0,0.09997688888888889
3,39,39,159,4.076923076923077,17.947227478027344,3.9000000000000004,all_failed,terminated,0.0018865352030843496,0.07357486793699874,0.07357486793699874,0.01883867122232915,0.0073486389592289925,0.0,0.0,0.39776951672862454,0.0,0.0,0,0.0,3.900000000000002,0.04488775198641974,-0.026022401233343168,0.5359461683534915,0.0,0.5359461683534914,0.997509661865513,0.05591607700540739,0.0,20,1.0,0.12578616352201258,0.1320754716981132,0.7421383647798742,0.12578616352201258,0.1320754716981132,0.7421383647798742,0.4860208015387448,0.3076923076923077,1.2000000000000028,0.484265837229756,0.8476354241371155,0.0,1.8702002023852217e-13,5.551079127613656e-12,3.788462074025314e-14,130,19,0.0,0.0,0.0,0.0,0.0,0.7961538461538461,0.2038461538461539,0.2038461538461539,0.037383177570093455,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.2202040663484744,0.26225891068392665,1.0,0.0,-0.0015624530613422393,0.6048511505126953,0.6048511505126953,0.6048512836297353,2.134654935201009,0.00693400246091187,0.005989583333333334,0.002394646561394135,0.0009305563658320655,0.0,0.0,5.269848009162123,5.269848009162123,5.269847949345906,1.0,1.0,0.5041666666666667,0.6048511505126953,0.0,,,5,15,0.019780326634645462,0.015425863862037653,-1,-1,0,False,0.0002,0.0,0.09995955555555557
4,39,39,169,4.333333333333333,21.387190580368042,3.9000000000000004,all_failed,terminated,0.001190940965898335,0.046446692041542205,0.046446692041542205,0.016482561081647876,0.006177644245326519,0.05,0.05,0.3686131386861314,2.524325720000001,2.524325720000001,1,2.524325720000001,3.900000000000002,0.03625562497539298,-0.024346216759612946,0.36740032824462127,0.0,0.3674003282446219,0.9919326016358067,0.03919849485728995,0.0,18,0.9,0.07692307692307693,0.17159763313609466,0.7514792899408284,0.07692307692307693,0.17159763313609466,0.7514792899408284,0.488825049271616,0.1794871794871795,1.0,0.48767120004506437,0.8686667501926418,0.0,4.966359219487821e-13,2.927983203115936e-11,2.8408336067656926e-13,136,13,0.0,0.0,0.0,0.0,0.0,0.7833333333333333,0.21666666666666667,0.21666666666666667,0.06167400881057269,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.16733365373258294,0.18374429548820367,0.9043271337064553,0.09567286629354468,-0.001874898870786031,0.7370976249376933,0.7370976249376933,0.7370977560679118,2.287363084157308,0.0033073197739819688,0.007552083333333333,0.0010234731870392957,0.0005101211194414645,0.0,0.0,4.347594790778166,4.347594790778166,4.347594666481018,1.0,1.0,0.41953125,0.7370976249376933,0.0,,,5,15,0.01057671383023262,0.009405167959630487,-1,-1,0,False,0.0002,0.0,0.09994222222222222
5,28,28,156,5.571428571428571,17.494057178497314,2.8000000000000003,all_failed,terminated,0.004273117054253817,0.11964727727895094,0.11964727727895094,0.029830956924706692,0.008988423272967339,0.1,0.1,0.49029126213592233,1.354038980583417,1.414324291162105,2,1.354038980583417,2.800000000000001,0.0701300439923398,-0.027398873535571674,0.5136378710012843,0.0,0.5136378710012843,0.9961283761624118,0.05403711996206635,0.0,18,0.9,0.15384615384615385,0.16025641025641027,0.6858974358974359,0.15384615384615385,0.16025641025641027,0.6858974358974359,0.495336760761815,0.32142857142857145,0.0,0.4947350524730169,0.8477560132741928,0.0,5.676003167476271e-10,2.3102188564938508e-11,1.19826695007399e-11,121,24,0.0,0.0,0.0,0.0,0.0,0.7214285714285714,0.2785714285714286,0.2785714285714286,0.05641025641025641,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.251748875869938,0.2672467225190394,0.9125250540499809,0.08747494595001912,0.00045186895877122877,0.7435092031955719,0.7435092031955719,0.7435093224048615,2.5019652128219603,0.0010541864088736475,0.005859375,0.0007450419012457133,0.0005527847970370203,0.0,0.0,4.203312114973728,4.203312114973728,4.203312110900879,1.0,1.0,0.425390625,0.7435092031955719,0.0,,,5,10,0.006776044145226479,0.005752177909016607,-1,-1,0,False,0.0002,0.0,0.09992977777777778
6,25,25,116,4.64,6.417612552642822,2.5,all_failed,terminated,0.0008572716033086181,0.021431788898320505,0.021431788898320505,0.01805553473532198,0.007857352495193481,0.1,0.1,0.648854961832061,1.286553930844026,1.3299888626558702,2,1.286553930844026,2.500000000000001,0.040166949009780906,-0.03159423345045274,0.48648353504033715,0.0,0.4864835350403369,0.9960610107764197,0.04988841649316231,0.0,18,0.9,0.11206896551724138,0.1206896551724138,0.7672413793103449,0.11206896551724138,0.1206896551724138,0.7672413793103449,0.4896183658055961,0.04,0.0,0.48838743378702026,0.8297960996627808,0.0,3.8038402045163415e-13,7.69245951659503e-12,1.805328212227047e-13,95,13,0.0,0.0,0.0,0.0,0.0,0.768,0.23199999999999998,0.23199999999999998,0.011764705882352941,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.1731334009042282,0.1779214231664282,0.9380947852991258,0.0619052147008741,-0.026223250851035117,0.9066947221755981,0.9066947221755981,0.9066949844360351,2.386051559448242,0.005788371618837118,0.0015625,0.0005753548350185156,0.0005676978908013552,0.0,0.0,8.438299797728089,8.438299797728089,8.438299655914307,1.0,1.0,0.51171875,0.9066947221755981,0.0,,,5,5,0.00786500982940197,0.007740692142397165,-1,-1,0,False,0.0002,0.0,0.09991866666666667
7,24,24,104,4.333333333333333,6.549630880355835,2.4000000000000004,all_failed,terminated,0.0007988244178704917,0.01917178479261747,0.01917178479261747,0.024312078859657048,0.008906346745789051,0.0,0.0,0.5433070866141733,2.207990343505884,2.207990343505884,1,2.207990343505884,2.400000000000001,0.05052376335036381,-0.042535519686773236,0.5096450945812868,0.0,0.5096450945812872,0.9971721804314416,0.051982017910565635,0.0,20,1.0,0.0673076923076923,0.04807692307692308,0.8846153846153846,0.0673076923076923,0.04807692307692308,0.8846153846153846,0.5103993389483852,0.0,0.0,0.5113190083791948,0.8955956101417542,0.0,3.8218281621024654e-13,2.8531799318998186e-12,1.6368561372862312e-13,94,7,0.0,0.0,0.0,0.0,0.0,0.7833333333333333,0.21666666666666667,0.21666666666666667,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.2331866000786023,0.23661786740071603,0.9593561532551411,0.040643846744858866,0.016476847976446152,0.7921625852584839,0.7921625852584839,0.792162823677063,2.3860172271728515,0.0024189708754420282,0.0046875,0.00044883458758704364,0.00043626220431178806,0.0,0.0,6.209379918116052,6.209379918116052,6.2093799114227295,1.0,1.0,0.50703125,0.7921625852584839,0.0,,,5,5,0.006810569204390049,0.006602991838008165,-1,-1,0,False,0.0002,0.0,0.09990800000000001
8,29,29,184,6.344827586206897,10.738264560699463,2.9000000000000004,all_failed,terminated,0.0025196706410497427,0.07307044880434808,0.07307044880434808,0.01628083251416683,0.0077033271081745625,0.15,0.15,0.7346938775510204,2.25718513157384,2.757564075489673,3,2.25718513157384,2.9000000000000012,0.05127345210411894,-0.02607674561986098,0.3432052737576686,0.0,0.343205273757669,0.99388511817798,0.036632124304495424,0.0,16,0.8,0.11956521739130435,0.20108695652173914,0.6793478260869565,0.11956521739130435,0.20108695652173914,0.6793478260869565,0.4975697133015713,0.27586206896551724,1.5999999999999979,0.49729449849311197,0.879198431968689,0.0,1.121057864594802e-10,1.990361521431172e-11,8.749735380675359e-11,145,22,0.0,0.0,0.0,0.0,0.0,0.6827586206896552,0.3172413793103448,0.3172413793103448,0.07048458149779736,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.16162283815428805,0.1780962930969197,0.8856377615415567,0.11436223845844322,0.010638511506840587,0.7381995499134064,0.7381995499134064,0.7381997287273407,2.2098339557647706,0.0031720826867967845,0.003515625,0.0005389617348555475,0.0004442555858986452,0.0,0.0,4.127403126345775,4.127403126345775,4.127403044700623,1.0,1.0,0.4265625,0.7381995499134064,0.0,,,5,10,0.016465160995721817,0.012196409422904243,-1,-1,0,False,0.0002,0.0,0.09989511111111112
9,29,29,165,5.689655172413793,9.628666877746582,2.9000000000000004,all_failed,terminated,0.0023526004515588284,0.06822541521886816,0.06822541521886816,0.01978545077145098,0.008216779679059982,0.05,0.05,0.6538461538461539,1.7826318058959187,1.7826318058959187,1,1.7826318058959187,2.9000000000000012,0.05641921588388412,-0.03289321063599858,0.3799207835224707,0.0,0.37992078352247094,0.9927734136072955,0.04002489131675459,0.0,18,0.9,0.10303030303030303,0.12727272727272726,0.7696969696969697,0.10303030303030303,0.12727272727272726,0.7696969696969697,0.4867970633352625,0.2413793103448276,1.5999999999999979,0.4854416287727229,0.8614514917135239,0.0,2.0101389018481225e-13,6.53552776133659e-12,9.845130421082405e-14,126,17,0.0,0.0,0.0,0.0,0.0,0.7155172413793104,0.2844827586206896,0.2844827586206896,0.05508474576271186,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.1983220921978959,0.21091831942598968,0.8468590513119417,0.1531409486880583,-0.011698890663683414,0.6420702040195465,0.6420702040195465,0.6420703530311584,2.220308041572571,0.0024371789768338203,0.001953125,0.00042908198665827515,0.0003938812587875873,0.0,0.0,4.408800045826993,4.408800045826993,4.408800041675567,1.0,1.0,0.440625,0.6420702040195465,0.0,,,5,10,0.007109928876161575,0.006756629352457821,-1,-1,0,False,0.0002,0.0,0.09988222222222223
10,29,29,171,5.896551724137931,9.458714485168457,2.9000000000000004,all_failed,terminated,0.0022921802010387182,0.06647323330247218,0.06647323330247218,0.01513041742146015,0.008052374236285686,0.2,0.2,0.6528497409326425,1.857588551834115,2.315537333375739,4,1.857588551834115,2.9000000000000012,0.047803026928261556,-0.0248812223412022,0.3519489357581812,0.0,0.351948935758181,0.992461094861839,0.03770002857351264,0.0,13,0.65,0.16374269005847952,0.15789473684210525,0.6783625730994152,0.16374269005847952,0.15789473684210525,0.6783625730994152,0.49090311208354503,0.4827586206896552,1.5999999999999979,0.48936251009769377,0.8420533835887909,0.0,2.7595481103112216e-13,1.837701171791828e-11,9.524921067258349e-14,121,27,0.0,0.0,0.0,0.0,0.0,0.7051724137931035,0.29482758620689653,0.29482758620689653,0.08733624454148471,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.1621389217449807,0.19010590139693875,0.7890114203867995,0.21098857961320053,0.008078965544700622,0.9251633822917938,0.9251633822917938,0.9251635313034058,2.1301116943359375,-0.00018811537884175778,0.0015625,0.00036654019204434006,0.0003288168692961335,0.0,0.0,5.187569532533468,5.187569532533468,5.18756947517395,1.0,1.0,0.368359375,0.9251633822917938,0.0,,,5,10,0.00816081091761589,0.007460175803862511,-1,-1,0,False,0.0002,0.0,0.09986933333333334
