episode,steps,physical_steps,decision_steps,active_decision_ratio,wall_time,sim_time,termination_reason_raw,termination_reason_bucket,reward_mean,reward_total,episode_reward,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_completed,episode_time_seconds,mean_r_prog,mean_r_term,mean_cost_power,mean_cost_trust,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,illegal_action_ratio,no_task_rate,on_task_rate,has_task_available_rate,v2v_link_break_rate,unified_illegal_trigger_rate,hard_trigger_rate,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_term,reward_clip_hit_count,reward_clip_hit_rate,abs_ratio_basis,r_prog_on_task_mean,r_prog_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_term,actor_loss,critic_loss,critic_loss_raw_mean,normalized_value_loss,entropy,approx_kl,clip_frac,cost_power_value_loss,cost_trust_value_loss,lambda_power,lambda_trust,grad_norm,grad_norm_preclip,grad_norm_postclip,active_ratio,actor_update_active_frac,value_clip_fraction,critic_loss_active,critic_loss_inactive,mode_aux_loss,mode_aux_acc,ppo_epochs_executed,num_minibatches_executed,mb_kl_max,mb_kl_p95,early_stop_epoch_idx,early_stop_batch_idx,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,28,28,172,6.142857142857143,18.562950372695923,2.8000000000000003,all_failed,terminated,-0.0004567052819766104,-0.012787747963669192,-0.012787747963669192,0.009905742621049284,0.0066633219830691814,0.05,0.05,0.74,1.4839098862186868,1.4839098862186868,1,1.4839098862186868,2.800000000000001,0.027365395690781214,-0.031932448534948796,0.3829998063253262,0.0,0.38299980632532615,0.9969342230408943,0.042470958997607666,0.0,19,0.95,0.29651162790697677,0.4011627906976744,0.3023255813953488,0.29651162790697677,0.4011627906976744,0.3023255813953488,0.49122604100765394,1.6071428571428572,7.0,0.48774708968649927,0.8653540015220642,0.0,9.223253272239158e-10,1.3328294024006482e-10,8.378299581890393e-10,121,51,0.0,0.0,0.0,0.0,0.0,0.6928571428571428,0.30714285714285716,0.30714285714285716,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.08909663713277607,0.10884393373697565,0.8826704591370464,0.11732954086295361,-0.010074399970471859,3.24276487827301,3.24276487827301,3.24276602268219,2.2529539108276366,0.00533507764339447,0.0609375,0.004790526814758778,0.005081364000216126,0.0,0.0,44.936579290189016,44.936579290189016,44.93657932281494,1.0,1.0,0.88828125,3.24276487827301,0.0,,,5,10,0.017094362527132034,0.015563022345304486,-1,-1,0,False,0.0002,0.0,0.09998755555555557
2,24,24,117,4.875,8.258409976959229,2.4000000000000004,all_failed,terminated,0.0025088058318942785,0.06021133296600807,0.06021133296600807,0.022803951893001783,0.00740045914426446,0.45,0.45,0.7185185185185186,0.849675111005244,1.514856128735459,9,0.849675111005244,2.400000000000001,0.01914514990365952,0.005942905498843868,0.35951993805969235,0.0,0.3595199380596927,0.9955410846903154,0.037574347051395576,0.0,11,0.55,0.19658119658119658,0.36752136752136755,0.4358974358974359,0.19658119658119658,0.36752136752136755,0.4358974358974359,0.5018656987541665,0.4166666666666667,0.0,0.5024875983388888,0.8583156287670136,0.0,4.3614329786612044e-10,5.0290851344447773e-11,4.1593395533334693e-10,94,23,0.0,0.0,0.0,0.0,0.0,0.75625,0.24375000000000002,0.24375000000000002,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.07854420473296209,0.0989717402061764,0.4691597011559228,0.5308402988440771,0.0016363173723220824,0.9354334235191345,0.9354334235191345,0.9354335784912109,2.105912923812866,0.003656619507819414,0.04453125,0.0032603529281914232,0.0012684685527347029,0.0,0.0,6.252873038332392,6.252873038332392,6.252873229980469,1.0,1.0,0.71015625,0.9354334235191345,0.0,,,5,5,0.012226790189743042,0.01119927316904068,-1,-1,0,False,0.0002,0.0,0.09997688888888889
3,39,39,223,5.717948717948718,15.9649178981781,3.9000000000000004,all_failed,terminated,0.0009767048759385943,0.03809149654413839,0.03809149654413839,0.011987738963216546,0.00557177048176527,0.1,0.1,0.7211895910780669,2.759858729252458,3.3673448992758126,2,2.759858729252458,3.900000000000002,0.03016054742280064,-0.020393497026867685,0.3356993050933596,0.0,0.33569930509335955,0.9864097388152617,0.03574861860754565,0.0,18,0.9,0.3094170403587444,0.3004484304932735,0.3901345291479821,0.3094170403587444,0.3004484304932735,0.3901345291479821,0.4998179550975179,1.1025641025641026,6.100000000000001,0.49973801656100364,0.8692585915327068,0.0,1.2566983009776317e-10,1.935059230906422e-11,1.1459499599242287e-10,148,68,0.0,0.0,0.0,0.0,0.0,0.7141025641025641,0.2858974358974359,0.2858974358974359,0.029069767441860465,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.10549429143401101,0.13233346311646124,0.9250853474979123,0.07491465250208772,-0.005408613197505474,0.7431649406750996,0.7431649406750996,0.7431651433308919,1.8533710797627767,0.006345165055245161,0.038802083333333334,0.0013939289376139641,0.0009731686402422687,0.0,0.0,4.846094611342323,4.846094611342323,4.846094536781311,1.0,1.0,0.5908854166666667,0.7431649406750996,0.0,,,5,15,0.019344396889209747,0.016539103444665665,-1,-1,0,False,0.0002,0.0,0.09995955555555557
4,39,39,220,5.641025641025641,23.24252724647522,3.9000000000000004,all_failed,terminated,0.0015331204049289227,0.059791684537140635,0.059791684537140635,0.013511288259178404,0.006148371379822493,0.05,0.05,0.6678832116788321,3.0892992498246947,3.0892992498246947,1,3.0892992498246947,3.900000000000002,0.03862362383795029,-0.023292422674580912,0.492476274147427,0.0,0.492476274147426,0.9873566755064248,0.052660774747197193,0.0,19,0.95,0.3090909090909091,0.33636363636363636,0.35454545454545455,0.3090909090909091,0.33636363636363636,0.35454545454545455,0.4999650569537129,0.7692307692307693,3.0,0.4999492447372366,0.8637888550758361,0.0,3.48599105137736e-10,3.8669123458845434e-11,1.934947500836775e-10,146,68,0.0,0.0,0.0,0.0,0.0,0.717948717948718,0.28205128205128205,0.28205128205128205,0.034482758620689655,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.13693830269818744,0.15416509692843824,1.0,0.0,-0.005648293967048327,0.715360140800476,0.715360140800476,0.7153602997461955,1.995804246266683,0.004944024374708533,0.07760416666666667,0.0006452930043451488,0.0008231374726165086,0.0,0.0,4.502201721621802,4.502201721621802,4.502201668421427,1.0,1.0,0.5401041666666667,0.715360140800476,0.0,,,5,15,0.01967203989624977,0.016465090401470657,-1,-1,0,False,0.0002,0.0,0.09994222222222222
5,28,28,150,5.357142857142857,17.17201280593872,2.8000000000000003,all_failed,terminated,0.0015856984537094831,0.04439955740985578,0.04439955740985578,0.018266086839139446,0.007215944584459066,0.2,0.2,0.5242718446601942,1.4968157073893773,1.8851743032408623,4,1.4968157073893773,2.800000000000001,0.03484216854693239,-0.018985183757698143,0.3652948539235356,0.0,0.3652948539235351,0.9831128709067516,0.0397027934778774,0.0,16,0.8,0.24666666666666667,0.3333333333333333,0.42,0.24666666666666667,0.3333333333333333,0.42,0.49722914047971634,0.6071428571428571,3.5999999999999943,0.4960617225092415,0.8536346167325972,0.0,3.4654816516432625e-10,3.636691642272538e-11,2.6283104304080976e-10,104,37,0.0,0.0,0.0,0.0,0.0,0.7321428571428571,0.2678571428571429,0.2678571428571429,0.04918032786885246,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.13007742924188073,0.14388855958870284,0.772760894159922,0.2272391058400779,-0.008007107488811015,0.738010048866272,0.738010048866272,0.7380102336406708,2.0544305562973024,0.006564463512040675,0.065625,0.0005256374482996762,0.00045012626505922524,0.0,0.0,6.721227927436995,6.721227927436995,6.721227836608887,1.0,1.0,0.560546875,0.738010048866272,0.0,,,5,10,0.017778873443603516,0.0174626175314188,-1,-1,0,False,0.0002,0.0,0.09992977777777778
6,25,25,118,4.72,5.9890830516815186,2.5,all_failed,terminated,0.0018270439468324184,0.045676099562859326,0.045676099562859326,0.018542644381523126,0.006366591434925795,0.45,0.45,0.7862595419847328,0.9689319108565545,1.9142702619978333,10,0.9689319108565545,2.500000000000001,0.012446835379542772,0.005823604445600964,0.38234050562003474,0.0,0.3823405056200349,0.9909364035244012,0.03981731215646697,0.0,11,0.55,0.2966101694915254,0.3135593220338983,0.3898305084745763,0.2966101694915254,0.3135593220338983,0.3898305084745763,0.49547285213321446,0.2,0.0,0.49326317281728344,0.8705604672431946,0.0,1.037377531099004e-10,1.1476998171278119e-11,5.281938289525237e-11,80,35,0.0,0.0,0.0,0.0,0.0,0.764,0.236,0.236,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.05274082787941851,0.05633769082974694,0.3748307037227453,0.6251692962772547,0.00532427653670311,0.7825430870056153,0.7825430870056153,0.7825432419776917,1.970740008354187,0.015146261313930154,0.02578125,0.0005021999415475876,0.00042565474868752064,0.0,0.0,5.815047650404064,5.815047650404064,5.815047693252564,1.0,1.0,0.5203125,0.7825430870056153,0.0,,,5,5,0.024493176490068436,0.024076898396015168,-1,-1,0,False,0.0002,0.0,0.09991866666666667
7,24,24,128,5.333333333333333,4.640324592590332,2.4000000000000004,all_failed,terminated,0.005696187261492014,0.13670850694137357,0.13670850694137357,0.02034656209871173,0.006953491363674402,0.8,0.8,0.9448818897637795,0.9772474482731096,1.7871703142588728,16,0.9772474482731096,2.400000000000001,0.014407890141028673,0.042553987751210304,0.2219424851082955,0.0,0.22194248510829537,0.9906959149602899,0.023238813802419843,0.0,4,0.2,0.2578125,0.3359375,0.40625,0.2578125,0.3359375,0.40625,0.5012632164017607,0.4583333333333333,4.249999999999989,0.5017677663931346,0.8575393199920653,0.0,9.316394877778525e-11,1.3749662866602286e-11,8.336856933965892e-11,91,33,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.2666666666666667,0.2666666666666667,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.05402958802885752,0.055357582340719996,0.25228829933802066,0.7477117006619793,0.015618260204792022,0.8685578107833862,0.8685578107833862,0.8685579895973206,1.893068552017212,0.006460903026163578,0.03515625,0.0005463644571136683,0.0004483037395402789,0.0,0.0,7.9120154864544165,7.9120154864544165,7.9120152473449705,1.0,1.0,0.534375,0.8685578107833862,0.0,,,5,5,0.01046518050134182,0.010361502319574356,-1,-1,0,False,0.0002,0.0,0.09990800000000001
8,27,27,187,6.925925925925926,10.210334777832031,2.7,all_failed,terminated,0.004516860470175743,0.12195524295965327,0.12195524295965327,0.02208382422104477,0.006344352383166552,0.65,0.65,0.8724489795918368,1.7022531800699692,2.393293331364557,13,1.7022531800699692,2.700000000000001,0.02671276950769265,0.018455838995882667,0.14717240725919253,0.0,0.14717240725919248,0.9909677085768551,0.01948532612156455,0.0,7,0.35,0.23529411764705882,0.4919786096256685,0.2727272727272727,0.23529411764705882,0.4919786096256685,0.2727272727272727,0.4935325868531234,1.7037037037037037,5.0,0.49118080025425914,0.8623305559158325,0.0,3.2442909470020683e-10,5.234863237335574e-11,3.226639219700011e-10,139,44,0.0,0.0,0.0,0.0,0.0,0.6537037037037037,0.3462962962962963,0.3462962962962963,0.03225806451612903,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.07713847879226739,0.08913105261489329,0.6469490259516644,0.3530509740483357,-0.004910384491086006,0.7833543181419372,0.7833543181419372,0.7833544671535492,1.7379273533821107,0.002511247480288148,0.08359375,0.0004587955481838435,0.0004244417796144262,0.0,0.0,3.419213317910919,3.419213317910919,3.419213426113129,1.0,1.0,0.46953125,0.7833543181419372,0.0,,,5,10,0.01859688200056553,0.015901245595887296,-1,-1,0,False,0.0002,0.0,0.099896
9,29,29,174,6.0,8.044749736785889,2.9000000000000004,all_failed,terminated,0.0043455068953335285,0.12601968292615695,0.12601968292615695,0.013987988792359829,0.006465882528573275,0.7,0.7,0.8846153846153846,1.6810023341696245,2.3231702189572867,14,1.6810023341696245,2.9000000000000012,0.02212564986212327,0.02132941321586183,0.18140583582879208,0.0,0.18140583582879208,0.9961216012139522,0.020737740409579,0.0,6,0.3,0.27011494252873564,0.47701149425287354,0.25287356321839083,0.27011494252873564,0.47701149425287354,0.25287356321839083,0.48905837049964684,1.896551724137931,8.599999999999998,0.48474484348508456,0.8718488812446594,0.0,2.472361204652884e-10,3.8256724177454515e-11,1.54227264986817e-10,120,47,0.0,0.0,0.0,0.0,0.0,0.7,0.30000000000000004,0.30000000000000004,0.056818181818181816,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.07375216620707774,0.07993375377205078,0.6147688392774099,0.38523116072259,-0.0015572873875498773,0.6819064974784851,0.6819064974784851,0.6819066047668457,1.6200281500816345,0.004883920820429921,0.02578125,0.0004638013837393373,0.0004265197174390778,0.0,0.0,7.078427035646316,7.078427035646316,7.078426790237427,1.0,1.0,0.45078125,0.6819064974784851,0.0,,,5,10,0.0111516322940588,0.0106138598639518,-1,-1,0,False,0.0002,0.0,0.09988311111111112
10,27,27,176,6.518518518518518,7.93765664100647,2.7,all_failed,terminated,0.0035817499738186598,0.09670724704058534,0.09670724704058534,0.016980019211769098,0.006354316603392363,0.6,0.6,0.8393782383419689,1.6256462221012002,2.2510951829923873,12,1.6256462221012002,2.700000000000001,0.02112802279604795,0.014689476107872492,0.14207136427073594,0.0,0.14207136427073594,0.9968409168049278,0.017640792762222836,0.0,8,0.4,0.2784090909090909,0.5,0.2215909090909091,0.2784090909090909,0.5,0.2215909090909091,0.5065981531377743,2.5185185185185186,7.699999999999999,0.5099525214927323,0.8513243317604064,0.0,1.907125311839673e-10,2.6522273960383203e-11,1.7127108134506978e-10,123,49,0.0,0.0,0.0,0.0,0.0,0.674074074074074,0.32592592592592595,0.32592592592592595,0.02564102564102564,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.06482461539696538,0.08054595013840357,0.7074448720896568,0.2925551279103432,0.002880533318966627,0.5694937765598297,0.5694937765598297,0.5694938719272613,1.5611308097839356,0.007935374754015356,0.02890625,0.0003105918498476967,0.00033279063063673675,0.0,0.0,5.108562805526214,5.108562805526214,5.108562850952149,1.0,1.0,0.373046875,0.5694937765598297,0.0,,,5,10,0.01434008777141571,0.013415607437491414,-1,-1,0,False,0.0002,0.0,0.09987111111111112
