episode,steps,physical_steps,decision_steps,active_decision_ratio,wall_time,sim_time,termination_reason_raw,termination_reason_bucket,reward_mean,reward_total,episode_reward,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_completed,episode_time_seconds,mean_r_prog,mean_r_term,mean_cost_power,mean_cost_trust,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,illegal_action_ratio,no_task_rate,on_task_rate,has_task_available_rate,v2v_link_break_rate,unified_illegal_trigger_rate,hard_trigger_rate,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_term,reward_clip_hit_count,reward_clip_hit_rate,abs_ratio_basis,r_prog_on_task_mean,r_prog_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_term,actor_loss,critic_loss,critic_loss_raw_mean,normalized_value_loss,entropy,approx_kl,clip_frac,cost_power_value_loss,cost_trust_value_loss,lambda_power,lambda_trust,grad_norm,grad_norm_preclip,grad_norm_postclip,active_ratio,actor_update_active_frac,value_clip_fraction,critic_loss_active,critic_loss_inactive,mode_aux_loss,mode_aux_acc,ppo_epochs_executed,num_minibatches_executed,mb_kl_max,mb_kl_p95,early_stop_epoch_idx,early_stop_batch_idx,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,28,28,147,5.25,20.698861598968506,2.8000000000000003,all_failed,terminated,0.0003624383534770459,0.010148269003673844,0.010148269003673844,0.013439024053514003,0.007356895599514246,0.05,0.05,0.565,1.2174560322815822,1.2174560322815822,1,1.2174560322815822,2.800000000000001,0.03539013380308217,-0.031765752016055776,0.4818122871912391,0.0,0.4818122871912396,0.9880164666360849,0.05053841914493874,0.0,19,0.95,0.3401360544217687,0.3401360544217687,0.3197278911564626,0.3401360544217687,0.3401360544217687,0.3197278911564626,0.5046918212170047,1.2142857142857142,6.649999999999999,0.5064555771044783,0.8677142322063445,0.0,3.4016597455499393e-10,4.236216238906465e-11,3.911360055286462e-10,97,50,0.0,0.0,0.0,0.0,0.0,0.7375,0.26249999999999996,0.26249999999999996,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.13481955734507478,0.14990683676874575,0.9333550009294292,0.06664499907057075,-0.013820313848555088,2.3933218359947204,2.3933218359947204,2.3933223366737364,2.396215057373047,0.012151209043804557,0.0921875,0.0017329944646917283,0.003413204161915928,0.0,0.0,29.225261150591468,29.225261150591468,29.22526159286499,1.0,1.0,0.8515625,2.3933218359947204,0.0,,,5,10,0.02841155417263508,0.02359361695125698,-1,-1,0,False,0.0002,0.0,0.09998755555555557
2,24,24,110,4.583333333333333,10.099255323410034,2.4000000000000004,all_failed,terminated,-7.474515587091446e-05,-0.0017938828376610205,-0.0017938828376610205,0.018032437842339263,0.006380891893059015,0.25,0.25,0.562962962962963,0.569224897608769,0.783958328507349,5,0.569224897608769,2.400000000000001,0.013756511506627104,-0.014503962688985872,0.3681304231509497,0.0,0.3681304231509499,0.9916085287938705,0.03863989979625577,0.0,15,0.75,0.41818181818181815,0.20909090909090908,0.37272727272727274,0.41818181818181815,0.20909090909090908,0.37272727272727274,0.5075575987730796,0.2916666666666667,0.0,0.5105454866601111,0.8657307177782059,0.0,4.0091302777600195e-10,3.245994098510785e-11,1.4498005525058476e-13,61,46,0.0,0.0,0.0,0.0,0.0,0.7708333333333334,0.22916666666666663,0.22916666666666663,0.011235955056179775,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.060028413847100136,0.0877746899296379,0.5308901282551296,0.46910987174487034,0.02601054571568966,1.4488054990768433,1.4488054990768433,1.4488059520721435,2.272806406021118,0.005745930457487702,0.03203125,0.0009749325457960367,0.00196220432408154,0.0,0.0,20.560371504013453,20.560371504013453,20.56037139892578,1.0,1.0,0.77421875,1.4488054990768433,0.0,,,5,5,0.010295402258634567,0.010148641467094422,-1,-1,0,False,0.0002,0.0,0.09997688888888889
3,38,38,191,5.026315789473684,16.503997802734375,3.8000000000000003,all_failed,terminated,0.0011321589117869735,0.04302203148112305,0.04302203148112305,0.011192525457590818,0.006354494020342827,0.0,0.0,0.5650557620817844,0.0,0.0,0,0.0,3.800000000000002,0.03931261660701345,-0.027991029375138962,0.44519939905732503,0.0,0.4451993990573236,0.9895712491380003,0.04732419937080446,0.0,19,0.95,0.25654450261780104,0.23036649214659685,0.5130890052356021,0.25654450261780104,0.23036649214659685,0.5130890052356021,0.49739920381750713,0.4473684210526316,2.0,0.49648915613020506,0.8583412826061249,0.0,1.6032992126860632e-13,8.490741096323084e-12,2.7561244912298182e-14,136,49,0.0,0.0,0.0,0.0,0.0,0.7486842105263158,0.25131578947368416,0.25131578947368416,0.015873015873015872,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.15642716555670277,0.187851540469337,0.8764613446552721,0.12353865534472785,0.01687694825232029,1.1492976009845735,1.1492976009845735,1.1492977678775786,1.9896111845970155,0.009208497568033635,0.032421875,0.0007280508056282997,0.0010847641213331371,0.0,0.0,6.101304172070263,6.101304172070263,6.1013041019439695,1.0,1.0,0.598828125,1.1492976009845735,0.0,,,5,10,0.015173714607954025,0.013935328647494314,-1,-1,0,False,0.0002,0.0,0.09996000000000001
4,39,39,202,5.17948717948718,19.409936904907227,3.9000000000000004,all_failed,terminated,0.000727173057384789,0.028359731726871014,0.028359731726871014,0.012593283504247672,0.004899898078292608,0.1,0.1,0.5912408759124088,2.897827616901671,3.118549040797721,2,2.897827616901671,3.900000000000002,0.0290365735982409,-0.02176484751442782,0.35524460251982276,0.0,0.3552446025198224,0.9884887132708932,0.03756541331611104,0.0,17,0.85,0.2524752475247525,0.2871287128712871,0.4603960396039604,0.2524752475247525,0.2871287128712871,0.4603960396039604,0.5004712764334937,0.7435897435897436,4.200000000000003,0.5006116399636024,0.861893355846405,0.0,1.8777816732096172e-10,3.272056237069165e-11,1.1149372813878898e-10,142,51,0.0,0.0,0.0,0.0,0.0,0.7410256410256411,0.25897435897435894,0.25897435897435894,0.021164021164021163,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.11212142280508863,0.1393069812404383,0.9015077785271866,0.09849222147281345,0.0005061270669102669,0.7421123425165812,0.7421123425165812,0.7421124895413717,2.154063065846761,0.006611928964654605,0.05755208333333333,0.00043470228168492514,0.0005625746018874148,0.0,0.0,6.781642176026647,6.781642176026647,6.781642230351766,1.0,1.0,0.54140625,0.7421123425165812,0.0,,,5,15,0.02263917587697506,0.020871013589203354,-1,-1,0,False,0.0002,0.0,0.09994266666666667
5,28,28,159,5.678571428571429,15.342822790145874,2.8000000000000003,all_failed,terminated,0.0016497868346050382,0.046194032750994665,0.046194032750994665,0.01752287084236741,0.006727647501975298,0.15,0.15,0.5922330097087378,2.052288547575147,2.646652275734106,3,2.052288547575147,2.800000000000001,0.042799871180122455,-0.026302002340481488,0.457884705809352,0.0,0.45788470580935264,0.9925540513885931,0.04797686731179413,0.0,16,0.8,0.27672955974842767,0.2578616352201258,0.46540880503144655,0.27672955974842767,0.2578616352201258,0.46540880503144655,0.5097392860716874,0.5357142857142857,2.0,0.5132700734796714,0.8697240948677063,0.0,8.980756416310173e-10,5.638572248001239e-11,3.227283870699259e-10,111,44,0.0,0.0,0.0,0.0,0.0,0.7160714285714286,0.2839285714285714,0.2839285714285714,0.028169014084507043,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.1507416846595508,0.1956427864882163,0.8484154970136236,0.1515845029863765,-0.004159346781671047,0.7527182579040528,0.7527182579040528,0.7527183949947357,2.2383804321289062,0.0066936063347384335,0.038671875,0.00032237702107522636,0.0004898190614767373,0.0,0.0,6.208771479838188,6.208771479838188,6.208771395683288,1.0,1.0,0.50078125,0.7527182579040528,0.0,,,5,10,0.010403389111161232,0.010135365603491663,-1,-1,0,False,0.0002,0.0,0.09993022222222223
6,25,25,110,4.4,6.14809250831604,2.5,all_failed,terminated,-0.001235930947586894,-0.03089827368154808,-0.03089827368154808,0.01000222545117139,0.00616243714466691,0.1,0.1,0.6335877862595419,0.8589995429683707,0.905938205696837,2,0.8589995429683707,2.500000000000001,0.01832586119466135,-0.030685170667280565,0.48412164454974055,0.0,0.48412164454974044,0.9953565631888477,0.04947249726322164,0.0,18,0.9,0.23636363636363636,0.17272727272727273,0.5909090909090909,0.23636363636363636,0.17272727272727273,0.5909090909090909,0.49198459374904635,0.12,0.0,0.4897762675370489,0.8482049226760864,0.0,3.7487506452998416e-13,8.905967109618107e-12,3.510270619642083e-14,79,26,0.0,0.0,0.0,0.0,0.0,0.78,0.21999999999999997,0.21999999999999997,0.007874015748031496,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.0832993690666424,0.08798764305203868,0.8600676677029405,0.13993233229705943,-0.02931954152882099,1.145483672618866,1.145483672618866,1.1454840183258057,2.2009836196899415,0.004714811081066727,0.04375,0.00039797037607058883,0.0006665132939815521,0.0,0.0,16.87684405815173,16.87684405815173,16.87684440612793,1.0,1.0,0.746875,1.145483672618866,0.0,,,5,5,0.010776696726679802,0.010294922441244124,-1,-1,0,False,0.0002,0.0,0.09991911111111111
7,24,24,121,5.041666666666667,4.886902093887329,2.4000000000000004,all_failed,terminated,0.00337920431047678,0.08110090344831368,0.08110090344831368,0.02270526532083749,0.007180474698543549,0.55,0.55,0.8582677165354331,0.9068080683761494,1.1332724942380166,11,0.9068080683761494,2.400000000000001,0.01716397762282218,0.016628065480641854,0.2728718851038738,0.0,0.27287188510387367,0.9953810143775116,0.0281638554659591,0.0,9,0.45,0.19834710743801653,0.21487603305785125,0.5867768595041323,0.19834710743801653,0.21487603305785125,0.5867768595041323,0.5008698189475884,0.125,0.0,0.5010705463970319,0.8717913746833799,0.0,1.6068378249603563e-13,4.463597026715949e-12,1.287159174547227e-13,94,24,0.0,0.0,0.0,0.0,0.0,0.7479166666666667,0.2520833333333333,0.2520833333333333,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.06808850627235244,0.06934764324782645,0.43141595416302575,0.5685840458369742,-0.017924385890364648,0.8574888110160828,0.8574888110160828,0.8574889779090882,2.2183391094207763,0.010451534343883396,0.0484375,0.00040522998315282164,0.0006111943745054305,0.0,0.0,11.100783578081213,11.100783578081213,11.100783729553223,1.0,1.0,0.63046875,0.8574888110160828,0.0,,,5,5,0.023276032879948616,0.021182374097406864,-1,-1,0,False,0.0002,0.0,0.09990844444444445
8,28,28,174,6.214285714285714,10.63316822052002,2.8000000000000003,all_failed,terminated,0.002337438752874732,0.06544828482970985,0.06544828482970985,0.014336520247161385,0.00741482013836503,0.25,0.25,0.6938775510204082,1.978499167595198,2.130166029018288,5,1.978499167595198,2.800000000000001,0.039866106402419714,-0.016491718963237628,0.4019107893427023,0.0,0.4019107893427026,0.9961322811836333,0.041634579930355096,0.0,15,0.75,0.27011494252873564,0.20689655172413793,0.5229885057471264,0.27011494252873564,0.20689655172413793,0.5229885057471264,0.5011418780677819,0.2857142857142857,1.6499999999999986,0.5014402065719772,0.8571807384490966,0.0,4.928535878023703e-13,2.1402031188944015e-11,1.0036089154012401e-13,113,47,0.0,0.0,0.0,0.0,0.0,0.6892857142857143,0.3107142857142857,0.3107142857142857,0.05945945945945946,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.1283047102606611,0.1529313306677255,0.859271136935489,0.14072886306451096,-0.0020297184586524964,0.7916284620761871,0.7916284620761871,0.7916286170482636,2.0992801427841186,0.006446547922678292,0.054296875,0.0003102003727690317,0.0003867776249535382,0.0,0.0,8.77086135403001,8.77086135403001,8.770861434936524,1.0,1.0,0.52265625,0.7916284620761871,0.0,,,5,10,0.015936696901917458,0.015140982298180459,-1,-1,0,False,0.0002,0.0,0.099896
9,28,28,175,6.25,8.179431200027466,2.8000000000000003,all_failed,terminated,0.003726865630596876,0.10435223079454495,0.10435223079454495,0.01259469836950302,0.00691363587975502,0.45,0.45,0.8736263736263736,1.888392759567712,2.265203113848246,9,1.888392759567712,2.800000000000001,0.03737742238663914,-0.00010876853144448916,0.2693235926478991,0.0,0.26932359264789907,0.9892855177258106,0.02824690043026765,0.0,11,0.55,0.2914285714285714,0.26857142857142857,0.44,0.2914285714285714,0.26857142857142857,0.44,0.5107213969957749,0.7857142857142857,4.649999999999999,0.5135836704018867,0.8745005398988723,0.0,7.491910564150217e-11,1.9132778694697095e-11,3.044640321109206e-11,117,51,0.0,0.0,0.0,0.0,0.0,0.6875,0.3125,0.3125,0.018633540372670808,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.1196077516372453,0.14031450085053693,0.8154155740478038,0.18458442595219618,0.005376005731523037,1.0573260128498077,1.0573260128498077,1.0573263108730315,2.0636083364486693,0.0061325764050707225,0.050390625,0.0003188741073245183,0.0003500802326016128,0.0,0.0,13.736860666558092,13.736860666558092,13.736860418319703,1.0,1.0,0.560546875,1.0573260128498077,0.0,,,5,10,0.014522163197398186,0.013182362914085385,-1,-1,0,False,0.0002,0.0,0.09988355555555556
10,27,27,189,7.0,8.527408123016357,2.7,all_failed,terminated,0.00354762957431376,0.09578600849174684,0.09578600849174684,0.013901144266128538,0.007355985231697559,0.5,0.5,0.8601036269430051,2.0177274328338246,2.388651750829988,11,2.0177274328338246,2.700000000000001,0.032195946402197424,0.0032803530391902905,0.2676147897709592,0.0,0.26761478977095904,0.9854430150328876,0.029214841642603885,0.0,10,0.5,0.24867724867724866,0.2751322751322751,0.47619047619047616,0.24867724867724866,0.2751322751322751,0.47619047619047616,0.49473674220412417,0.8518518518518519,4.399999999999999,0.4931678865149689,0.8664237409830093,0.0,1.7981572134062565e-10,3.345082891237361e-11,1.435850757736112e-10,130,47,0.0,0.0,0.0,0.0,0.0,0.65,0.35,0.35,0.0546448087431694,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.09198841829199267,0.12027008627538092,0.7517152691499016,0.24828473085009833,0.007779401261359453,0.8550865828990937,0.8550865828990937,0.855086749792099,1.9524303078651428,0.00010219351388514042,0.046484375,0.00028273930656723677,0.000349799296236597,0.0,0.0,7.802054587314615,7.802054587314615,7.802054381370544,1.0,1.0,0.468359375,0.8550865828990937,0.0,,,5,10,0.008884451352059841,0.007808709098026154,-1,-1,0,False,0.0002,0.0,0.09987155555555556
