episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,mean_cost_power,mean_cost_trust,episode_time_seconds,mean_cft_completed,act_seconds,makespan_seconds,task_duration_mean,task_duration_p95,deadline_miss_rate,deadline_meet_ratio,time_limit_rate,energy_mean,energy_p95,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,v2v_link_break_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,avg_queue_len,avg_rsu_queue,completed_tasks_count,t_tx_mean,dT_eff_mean,dT_eff_p95,deadline_seconds_mean,deadline_gamma_mean,critical_path_cycles_mean,terminated_reason,idle_terminate_count,task_success_count,task_completion_count,audit_deadline_misses,physical_steps,decision_steps,active_decision_ratio,deadlock_vehicle_count,episode_vehicle_count,episode_task_count,tx_tasks_created_count,same_node_no_tx_count,idle_fraction,service_rate_when_active,fallback_rate,not_in_candidate_fallback_cnt,illegal_by_connectivity_cnt,candidate_reachable_cnt_mean,candidate_reachable_cnt_p95,candidate_dropped_cnt_mean,candidate_dropped_cnt_p95,rsu_gate_total,rsu_gate_blocked,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,best_mode_compare_rate,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,oracle_match_rate,mode_match_rate,oracle_match_rate_on_task,target_match_within_mode_rate,target_regret_within_mode_mean,oracle_valid_count,oracle_local_chosen_local_rate,oracle_local_chosen_rsu_rate,oracle_local_chosen_v2v_rate,oracle_rsu_chosen_local_rate,oracle_rsu_chosen_rsu_rate,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_local_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,action_regret_mean,action_regret_p50,action_regret_p95,action_regret_mean_on_task,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,rho_selected_mean,rho_selected_p10,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,risk_penalty_mean,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,malicious_count,edge_rate_recompute_cnt_mean,edge_rate_delta_mean,edge_rate_delta_p95,v2v_tx_jobs,v2v_link_break_count,delta_phi_mean,delta_phi_p50,delta_phi_p95,delta_phi_min,delta_phi_max,shape_clip_hit_rate,r_total_clip_hit_rate,reward_clip_hit_rate,reward_clip_hit_count,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dt_used_mean,implied_dt_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dCFT_prog_mean,dCFT_prog_p95,r_prog_mean,mean_r_prog,mean_r_term,reward_step_p95,r_prog_on_task_mean,r_prog_on_task_abs_mean,r_term_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_term,abs_ratio_basis
1,Greedy,0.003105504360116401,0.07453210464279363,0.6,0.6,0.8740740740740741,1.0,0.11904761904761904,0.8412698412698413,0.03968253968253968,0.11904761904761904,0.8412698412698413,0.03968253968253968,0.23125,1.0,1.0,0.02807166899697059,0.0,2.400000000000001,0.6674836963888889,0.6674836963888889,2.400000000000001,0.6674836963888889,0.7631455017333334,0.4,0.6,0.0,0.02807166899697058,0.18867776334790243,0.0,0.7375,0.26249999999999996,0.26249999999999996,0.0,0.0,7.292307035999812e-11,0.0,5.68988689497728e-10,7.135566443272623e-11,4.404329984053482e-10,111,0.0,0.0,0.0,0.0020833333333333333,1.7916666666666667,12,0.0028138324255784306,0.0,0.0,2.0623289479139064,3.018292952028032,325809730.3192524,all_failed,0,,,8,24,126,5.25,0,20,20,111,15,0.0,0.0,0.0,0,0,12.9,16.0,0.0,0.0,680,0,1.0,1.0,0.6789473684210526,12.899999999999999,42969876.87238424,1.0,1.0,0.18253968253968253,0.09523809523809523,0.7222222222222222,0.8333333333333334,-0.01697132898962155,0.06855520282323849,0.051583873833616956,0.25396825396825395,0.25396825396825395,0.25396825396825395,0.8809523809523809,0.0002375636914235386,126,0.6521739130434783,0.34782608695652173,0.0,0.0,1.0,0.0,0.0,0.945054945054945,0.054945054945054944,0.01799954675743001,0.013841729633348012,0.049901966516103055,0.01799954675743001,0.021440745320544685,1.0,0.021440745320544685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,5,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000085,0.10000000000000085,0.0,0.0,0.0,0.0,0.0,0.0,0.0064813167048491105,0.0064813167048491105,0.024573726896314887,0.035893050935588436,0.024690730304187093,0.02501930172135751,0.15902550213521155,0.13594136426071396,0.864058635739286,unified_mainline
2,Greedy,0.005843858582076045,0.19869119179058553,0.95,0.95,0.9925650557620818,1.0,0.03345724907063197,0.9368029739776952,0.02973977695167286,0.03345724907063197,0.9368029739776952,0.02973977695167286,0.38235294117647056,1.0,1.0,0.09721673315640407,0.0,3.4000000000000017,2.0762068535438605,2.0762068535438605,3.4000000000000017,2.0762068535438605,2.435916481866667,0.05,0.95,0.0,0.09721673315640396,0.9976311574844399,0.0,0.6044117647058823,0.3955882352941177,0.3955882352941177,0.0,0.0,6.351876663535094e-11,0.0,2.899636572517572e-10,6.333840396610668e-11,2.970914222966135e-10,260,0.0,0.0,0.0,0.03529411764705882,11.294117647058824,19,0.009744757110587766,0.0,0.0,3.4040447527612705,3.775225371978306,1989789412.820533,all_failed,0,,,1,34,269,7.911764705882353,0,20,20,259,9,0.0,0.0,0.0,0,0,6.817647058823529,9.0,0.0,0.0,714,0,1.0,1.0,0.35882352941176476,6.817647058823534,38029561.723190956,1.0,1.0,0.17843866171003717,0.17843866171003717,0.6431226765799256,0.8104089219330854,-0.13743851795658224,0.29400824826659905,0.15656973031001684,0.241635687732342,0.241635687732342,0.241635687732342,0.9925650557620818,0.00023155169758761986,269,0.1875,0.8125,0.0,0.0,1.0,0.0,0.0,0.953757225433526,0.046242774566473986,0.09419971766824996,0.07003419104091252,0.25213684457248675,0.09419971766824996,0.08284544967930275,1.0,0.08284544967930275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,8,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1000000000000006,0.1000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.021079926698581813,0.021079926698581813,0.03735865912217862,0.11289306908842758,0.0532875470447422,0.07136915249146181,0.05563228709267235,0.5619554607031219,0.4380445392968782,unified_mainline
3,Greedy,0.004726727743454999,0.18434238199474495,0.85,0.85,0.9051094890510949,1.0,0.04743083003952569,0.9051383399209486,0.04743083003952569,0.04743083003952569,0.9051383399209486,0.04743083003952569,0.308974358974359,1.0,1.0,0.0635431202545323,0.0,3.900000000000002,1.9007963434074586,1.9007963434074586,3.900000000000002,1.9007963434074586,2.306136461866667,0.15,0.85,0.0,0.06354312025453229,0.604074727937855,0.0,0.6756410256410257,0.3243589743589743,0.3243589743589743,0.0,0.0,7.50040515806738e-11,0.0,3.5954690197348415e-10,7.463488854719813e-11,3.539405241115278e-10,241,0.0,0.0,0.0,0.02564102564102564,9.743589743589743,17,0.006369400131282828,0.0,0.0,3.3922975606242445,3.745097232963097,2054570593.275755,all_failed,0,,,3,39,253,6.487179487179487,0,20,20,241,12,0.0,0.0,0.0,0,0,7.597435897435897,9.0,0.0,0.0,865,0,1.0,1.0,0.3998650472334685,7.597435897435896,36076251.9671443,1.0,1.0,0.19367588932806323,0.11067193675889328,0.6956521739130435,0.8774703557312253,-0.1791042026389984,0.32438190131109873,0.14527769867210033,0.2015810276679842,0.2015810276679842,0.2015810276679842,0.9367588932806324,0.003537585097724287,253,0.22448979591836735,0.7755102040816326,0.0,0.0,1.0,0.0,0.005681818181818182,0.9261363636363636,0.06818181818181818,0.10624679672271059,0.1087909753271411,0.22422595272698675,0.10624679672271059,0.08939057135762757,1.0,0.08939057135762757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,12,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0999999999999998,0.0999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.019890561145754278,0.019890561145754278,0.0273767162887957,0.12086000297300405,0.061322678631179274,0.08397596141602387,0.06860242685874184,0.5503791353779315,0.44962086462206846,unified_mainline
4,Greedy,0.005651296685113268,0.15258501049805825,0.8,0.8,0.9320388349514563,1.0,0.06565656565656566,0.9292929292929293,0.005050505050505051,0.06565656565656566,0.9292929292929293,0.005050505050505051,0.3425925925925926,1.0,1.0,0.08964854587394554,0.0,2.700000000000001,1.4575843504583335,1.4575843504583335,2.700000000000001,1.4575843504583335,2.018053970666667,0.2,0.8,0.0,0.0896485458739455,0.8826127966613755,0.0,0.6333333333333333,0.3666666666666667,0.3666666666666667,0.0,0.0,1.254372994363706e-10,0.0,6.294424897967935e-10,1.241584474120927e-10,6.147475528628375e-10,185,0.0,0.0,0.0,0.016666666666666666,7.851851851851852,16,0.008986141341054073,0.0,0.0,2.490900958385048,3.1232477277343844,1239079237.646943,all_failed,0,,,4,27,198,7.333333333333333,0,20,20,185,13,0.0,0.0,0.0,0,0,10.996296296296297,16.0,0.0,0.0,686,0,1.0,1.0,0.5787524366471736,10.996296296296295,36866621.71112474,0.9499999999999995,1.0,0.18181818181818182,0.2474747474747475,0.5707070707070707,0.7112299465240641,-0.10768511642139184,0.25287881553078406,0.13956668346193446,0.31313131313131315,0.31313131313131315,0.31313131313131315,0.8585858585858586,0.00872696161609245,198,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,0.008849557522123894,0.9823008849557522,0.008849557522123894,0.06031469820216524,0.05232686151324956,0.14865554160281685,0.06031469820216524,0.048622886874687146,1.0,0.048622886874687146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,1,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000092,0.10000000000000092,0.0,0.0,0.0,0.0,0.0,0.0,0.022132593495963672,0.022132593495963672,0.03438037335516904,0.14441166901845298,0.060361618625355495,0.07389768838006769,0.06567789696762351,0.5294456634087121,0.4705543365912878,unified_mainline
5,Greedy,0.02059330985221099,0.18533978866989892,1.0,1.0,1.0,1.0,0.10687022900763359,0.8702290076335878,0.022900763358778626,0.10687022900763359,0.8702290076335878,0.022900763358778626,0.65,1.0,1.0,0.03837555697568395,0.0,0.8999999999999999,0.6523064628999999,0.6523064628999999,0.8999999999999999,0.6523064628999999,0.7490592189833334,0.0,1.0,0.0,0.038375556975683955,0.17770142452114085,0.0,0.2722222222222222,0.7277777777777779,0.7277777777777779,0.0,0.0,7.75116290596678e-11,6.848924899438558e-11,1.8926244321759707e-10,7.75116290596678e-11,1.6035375527412282e-10,117,0.0,0.0,0.0,0.011111111111111112,3.5555555555555554,20,0.0038466678479097635,0.0,0.0,2.0901968415728556,2.993599827111143,365288006.59110206,success_all_done,0,,,0,9,131,14.555555555555555,0,20,20,117,14,0.0,0.0,0.0,0,0,9.3,11.0,0.0,0.0,180,0,1.0,1.0,0.48947368421052645,9.299999999999999,40721669.839640476,1.0,1.0,0.16793893129770993,0.2366412213740458,0.5954198473282443,0.7175572519083969,-0.030992296584625295,0.09609578124475444,0.06510348466012915,0.366412213740458,0.366412213740458,0.366412213740458,1.0,0.0,131,0.6363636363636364,0.36363636363636365,0.0,0.0,1.0,0.0,0.0,0.9615384615384616,0.038461538461538464,0.015314818788915961,0.008800668457174893,0.04819618243985167,0.015314818788915961,0.04021291010765461,1.0,0.04021291010765461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,3,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09999999999999992,0.09999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.018336825367053333,0.018336825367053333,0.18759627315505664,0.05312957965289449,0.025195637908928245,0.02834284912762253,0.25776587151076485,0.09906321297855523,0.9009367870214448,unified_mainline
6,Greedy,0.020863972292213324,0.1877757506299199,1.0,1.0,1.0,0.0,0.13385826771653545,0.8661417322834646,0.0,0.13385826771653545,0.8661417322834646,0.0,0.6111111111111112,1.0,1.0,0.03624422494747328,0.0,0.8999999999999999,0.6137642419833333,0.6137642419833333,0.8999999999999999,0.6137642419833333,0.7188393503333333,0.0,1.0,0.0,0.03624422494747328,0.15990981801366924,0.0,0.29444444444444445,0.7055555555555555,0.7055555555555555,0.0,0.0,8.005769658314676e-11,7.242997868139867e-11,1.5445558859683536e-10,8.005770352204067e-11,1.5469510325494248e-10,110,0.0,0.0,0.0,0.0,3.4444444444444446,20,0.00363302856727774,0.0,0.0,2.0569971770834004,2.9666987341059636,329610992.3451273,success_all_done,0,,,0,9,127,14.11111111111111,0,20,20,110,17,0.0,0.0,0.0,0,0,9.1,10.0,0.0,0.0,180,0,1.0,1.0,0.4789473684210527,9.1,41147386.62855696,1.0,1.0,0.1968503937007874,0.33070866141732286,0.47244094488188976,0.6692913385826772,-0.0427923528119362,0.0903715723414214,0.04757921952948521,0.4566929133858268,0.4566929133858268,0.4566929133858268,1.0,0.0,127,0.64,0.36,0.0,0.0,1.0,0.0,0.016666666666666666,0.9833333333333333,0.0,0.009374835130232698,0.0016373656103077644,0.03806618586524691,0.009374835130232698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09999999999999992,0.09999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.019560391640835804,0.019560391640835804,0.18907933128129742,0.06330425284368876,0.027723389727168875,0.030448774850439324,0.25488611137180844,0.10671241520296515,0.8932875847970347,unified_mainline
7,Greedy,0.006823537204685085,0.18423550452649728,0.9,0.9,0.9642857142857143,1.0,0.025906735751295335,0.9689119170984456,0.0051813471502590676,0.025906735751295335,0.9689119170984456,0.0051813471502590676,0.34814814814814815,1.0,1.0,0.10491826975411354,0.0,2.700000000000001,1.4565862040740742,1.4565862040740742,2.700000000000001,1.4565862040740742,1.7749193821333336,0.1,0.9,0.0,0.10491826975411349,0.9976311574844399,0.0,0.6425925925925926,0.3574074074074074,0.3574074074074074,0.0,0.0,8.693282205207709e-11,0.0,3.378427190781074e-10,8.693280817428928e-11,3.936172068841336e-10,188,0.0,0.0,0.0,0.001851851851851852,7.666666666666667,18,0.01051673947500481,0.0,0.0,2.469863596938154,3.1726825099569775,1363156040.5526867,all_failed,0,,,2,27,193,7.148148148148148,0,20,20,188,5,0.0,0.0,0.0,0,0,6.985185185185185,9.0,0.0,0.0,595,0,1.0,1.0,0.3676413255360622,6.985185185185185,35919765.74554508,1.0,1.0,0.15544041450777202,0.19689119170984457,0.6476683937823834,0.7927461139896373,-0.11587200172205772,0.23661120503229974,0.12073920331024204,0.22797927461139897,0.22797927461139897,0.22797927461139897,0.9378238341968912,0.00261789329263082,193,0.16666666666666666,0.8333333333333334,0.0,0.0,1.0,0.0,0.0,0.992,0.008,0.08366814254139003,0.06512452009516802,0.2677556504697225,0.08366814254139003,0.011049538896368769,1.0,0.011049538896368769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,1,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000092,0.10000000000000092,0.0,0.0,0.0,0.0,0.0,0.0,0.025105861714458128,0.025105861714458128,0.04312951033239269,0.13828091106263815,0.07024437992646326,0.07450529905254749,0.08875186404429285,0.4563677185077183,0.5436322814922816,unified_mainline
8,Greedy,0.006152747900206786,0.1784296891059968,0.9,0.9,0.9285714285714286,1.0,0.04046242774566474,0.9421965317919075,0.017341040462427744,0.04046242774566474,0.9421965317919075,0.017341040462427744,0.28620689655172415,1.0,1.0,0.06793784669244725,0.0,2.9000000000000012,1.4102613862222222,1.4102613862222222,2.9000000000000012,1.4102613862222222,1.6365058142666669,0.1,0.9,0.0,0.0679378466924472,0.6814895641383374,0.0,0.7017241379310345,0.2982758620689655,0.2982758620689655,0.0,0.0,5.553741841413107e-11,0.0,2.8058055323576486e-10,5.553742188357802e-11,2.5770769962463167e-10,166,0.0,0.0,0.0,0.008620689655172414,7.655172413793103,18,0.006809916288476269,0.0,0.0,2.4728655247334532,3.154650449065335,1446202027.587773,all_failed,0,,,2,29,173,5.9655172413793105,0,20,20,166,7,0.0,0.0,0.0,0,0,7.075862068965518,9.0,0.0,0.0,618,0,1.0,1.0,0.3724137931034481,7.075862068965514,36723351.87847686,1.0,1.0,0.1791907514450867,0.2138728323699422,0.6069364161849711,0.7803468208092486,-0.13440353751061684,0.27839791616312776,0.1439943786525109,0.27167630057803466,0.27167630057803466,0.27167630057803466,0.953757225433526,0.003688255428571143,173,0.22580645161290322,0.7741935483870968,0.0,0.0,1.0,0.0,0.0,0.9714285714285714,0.02857142857142857,0.08055164175334299,0.05764607158174648,0.23624272784351413,0.08055164175334299,0.07742406090013061,1.0,0.07742406090013061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,3,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000095,0.10000000000000095,0.0,0.0,0.0,0.0,0.0,0.0,0.02087135127292444,0.02087135127292444,0.04065612772914341,0.11976188755759613,0.06997331640633625,0.07823878627684797,0.06622589517884693,0.5415772594967622,0.4584227405032377,unified_mainline
9,Greedy,0.00701510945736286,0.18239284589143434,0.9,0.9,0.9326424870466321,1.0,0.07567567567567568,0.9135135135135135,0.010810810810810811,0.07567567567567568,0.9135135135135135,0.010810810810810811,0.32884615384615384,1.0,1.0,0.06267217695671559,0.0,2.600000000000001,1.2640673541792689,1.2640673541792689,2.600000000000001,1.2640673541792689,1.4985725393333333,0.1,0.9,0.0,0.0626721769567156,0.5819720149316113,0.0,0.6442307692307693,0.3557692307692307,0.3557692307692307,0.0,0.0,6.48616368947863e-11,0.0,2.9375382265550687e-10,6.48616368947863e-11,2.6856059043289794e-10,171,0.0,0.0,0.0,0.01730769230769231,8.307692307692308,18,0.006282098998867035,0.0,0.0,2.482074756847032,3.2099058322362084,1363801377.7431183,all_failed,0,,,2,26,185,7.115384615384615,0,20,20,171,14,0.0,0.0,0.0,0,0,6.15,9.0,0.0,0.0,529,0,1.0,1.0,0.3236842105263158,6.149999999999998,32426680.974045537,1.0,1.0,0.21621621621621623,0.07567567567567568,0.7081081081081081,0.8972972972972973,-0.19723153633453538,0.3064267722133587,0.10919523587882331,0.16216216216216217,0.16216216216216217,0.16216216216216217,0.9891891891891892,0.00021598572045948883,185,0.35,0.65,0.0,0.0,1.0,0.0,0.0,0.9847328244274809,0.015267175572519083,0.09414437792796028,0.10432084032004302,0.17848594305219495,0.09414437792796028,0.0864667682740398,1.0,0.0864667682740398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,2,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000091,0.10000000000000091,0.0,0.0,0.0,0.0,0.0,0.0,0.02250433030978581,0.02250433030978581,0.04764676426384278,0.11715034717426454,0.06325541492480337,0.06809282689992499,0.0960493337290785,0.41484056648815165,0.5851594335118484,unified_mainline
10,Greedy,0.006444879704007195,0.20623615052823024,0.95,0.95,0.9586776859504132,1.0,0.0425531914893617,0.9234042553191489,0.03404255319148936,0.0425531914893617,0.9234042553191489,0.03404255319148936,0.3515625,1.0,1.0,0.10133782115036905,0.0,3.2000000000000015,1.996937200561313,1.996937200561313,3.2000000000000015,1.996937200561313,2.3510165296000007,0.05,0.95,0.0,0.101337821150369,0.9976311574844399,0.0,0.6328125,0.3671875,0.3671875,0.0,0.0,6.192742846300447e-11,0.0,2.4680895521767e-10,6.192742846300447e-11,2.5839592687759644e-10,225,0.0,0.0,0.0,0.0328125,13.0625,19,0.010157844448833744,0.0,0.0,3.2905810686654595,3.8580289333004556,2255306666.731142,all_failed,0,,,1,32,235,7.34375,0,20,20,225,10,0.0,0.0,0.0,0,0,6.746875,8.0,0.0,0.0,672,0,1.0,1.0,0.3550986842105264,6.746874999999998,40677051.990319476,1.0,1.0,0.16170212765957448,0.17446808510638298,0.6638297872340425,0.8085106382978723,-0.16881819966599215,0.3650866829373335,0.19626848327134133,0.251063829787234,0.251063829787234,0.251063829787234,0.9872340425531915,0.0004186531457446091,235,0.2631578947368421,0.7368421052631579,0.0,0.0,1.0,0.0,0.0,0.9487179487179487,0.05128205128205128,0.10930969630685838,0.10865160958562792,0.24567511317840196,0.10930969630685838,0.0706903176972596,1.0,0.0706903176972596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,8,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.100000000000001,0.100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.02465761638967039,0.02465761638967039,0.03979118065040156,0.15026424189208235,0.06715265740165557,0.08871787561223242,0.0413356503317543,0.6821643240218084,0.3178356759781916,unified_mainline
