episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,mode_match_rate,oracle_match_rate,oracle_match_eps_abs_rate,oracle_match_eps_rel_rate,action_regret_mean,action_regret_p95,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,0.06958413362528978,0.0024851476294746352,1.4116703271865845,0.2,0.2,0.2,0.675,0.8108108108108109,0.36477987421383645,0.4025157232704403,0.23270440251572327,0.4952783987425002,0.2892857142857143,0.2892857142857143,1.1071428571428572,0.26521594098361145,0.3792933803089701,45.94594594594595,-0.5047813215596637,0.4594594594594595,0.12167092496870584,0.06918238993710692,0.6037735849056604,0.3270440251572327,0.29559748427672955,0.29559748427672955,nan,nan,0.3302976153962444,2.093027604516098,0.2708333333333333,0.4807692307692308,0.21153846153846154,0.30272590713808323,-0.07656747317088683,2.2325543631945592,20,20,22.53669047355652
2,,0.014590275328195328,0.0006079281386748053,0.6200192987918853,0.2,0.2,0.2,0.6370370370370371,0.7142857142857143,0.3211009174311927,0.29357798165137616,0.3853211009174312,0.5184769658294196,0.0125,0.0125,0.2916666666666667,0.013983949401455387,0.33668956533565475,35.714285714285715,-0.6032810223629463,0.35714285714285715,0.015286011611233722,0.25688073394495414,0.3211009174311927,0.42201834862385323,0.27522935779816515,0.27522935779816515,nan,nan,0.2777250619538895,2.006108832384272,0.45714285714285713,0.30434782608695654,0.34782608695652173,0.23734963964781436,-0.09933992568784038,2.3728367561694363,20,20,9.097022771835327
3,,0.05805170634705671,0.0014885052909501722,0.4625008702278137,0.25,0.25,0.25,0.6468401486988847,0.7662337662337663,0.2912621359223301,0.3106796116504854,0.39805825242718446,0.4972259199843766,0.4269230769230769,0.4269230769230769,0.7948717948717948,0.19963437171288118,0.3762333425147545,29.268292682926827,-0.3865695020641851,0.2926829268292683,0.29144955089917685,0.11165048543689321,0.6941747572815534,0.1941747572815534,0.33495145631067963,0.33495145631067963,nan,nan,0.29092714423409427,1.7510721261714661,0.4195804195804196,0.3,0.325,0.28991049736613045,-0.08632284514862404,2.1000608974623702,20,20,17.505358934402466
4,,0.03082511131673498,0.0007903874696598712,0.2638715108235677,0.0,0.0,0.0,0.6094890510948905,0.8214285714285714,0.3051643192488263,0.2347417840375587,0.460093896713615,0.4930530137263047,0.6115384615384616,0.6115384615384616,0.38461538461538464,0.11249190745655893,0.3970128768672709,32.6530612244898,-0.6198567194312244,0.32653061224489793,0.23329288293012126,0.16901408450704225,0.539906103286385,0.29107981220657275,0.323943661971831,0.323943661971831,nan,nan,0.44258064434349004,1.2152127463356335,0.45217391304347826,0.24193548387096775,0.46774193548387094,0.28891323831302085,-0.10809963855425003,2.075105598516013,20,20,19.81433629989624
5,,0.01676295297168702,0.000598676891845965,0.4782517790794373,0.1,0.1,0.1,0.529126213592233,0.6521739130434783,0.18543046357615894,0.2781456953642384,0.5364238410596026,0.48563412408277923,0.21428571428571427,0.21428571428571427,0.5,0.019293311448054132,0.4865828280039243,34.5679012345679,-0.33061926233534655,0.345679012345679,0.128703302557529,0.16556291390728478,0.6556291390728477,0.17880794701986755,0.36423841059602646,0.36423841059602646,nan,nan,0.28539954865228495,2.0725999474464887,0.47474747474747475,0.2222222222222222,0.7037037037037037,0.37728113834530425,-0.10930168965862001,2.1726513743631344,20,20,16.591693878173828
6,,-0.010590286126022289,-0.00042361144504089157,0.4777158319950104,0.15,0.15,0.15,0.6412213740458015,0.7164179104477612,0.1875,0.17857142857142858,0.6339285714285714,0.4716638628169894,0.086,0.086,0.12,0.011632336319836368,0.2932517445405085,32.3943661971831,-0.2282932839336386,0.323943661971831,0.020249110625225684,0.20535714285714285,0.4107142857142857,0.38392857142857145,0.3482142857142857,0.3482142857142857,nan,nan,0.1760798307031208,1.3799999819133715,0.6739130434782609,0.18604651162790697,0.6511627906976745,0.19501976847375024,-0.09823197606675829,1.8014602033824731,20,20,6.684081315994263
7,,0.0951273054425684,0.003963637726773683,0.4471718013286591,0.6,0.6,0.6,0.8346456692913385,0.8591549295774648,0.19834710743801653,0.18181818181818182,0.6198347107438017,0.49484455602553984,0.09166666666666666,0.09166666666666666,0.041666666666666664,0.37774247314852716,0.36104150285227604,33.33333333333333,-0.4045018978984263,0.3333333333333333,0.029761605417134317,0.2231404958677686,0.5867768595041323,0.19008264462809918,0.30578512396694213,0.30578512396694213,nan,nan,0.27774938702120516,0.4058791189944286,0.5915492957746479,0.043478260869565216,0.6521739130434783,0.2716279353235295,-0.0894135675287465,1.803954198276442,20,20,5.394246816635132
8,,0.08804445228641833,0.0031444447245149404,0.4846702992916107,0.3,0.3,0.3,0.7142857142857143,0.8526315789473684,0.13368983957219252,0.22459893048128343,0.6417112299465241,0.48730593644514947,0.48392857142857143,0.48392857142857143,0.42857142857142855,0.229880725840732,0.5900296268744541,34.166666666666664,-0.4962312944056158,0.3416666666666667,0.14424141311840402,0.1925133689839572,0.5401069518716578,0.26737967914438504,0.3315508021390374,0.3315508021390374,nan,nan,0.4492825968703171,1.8872634740986252,0.6138613861386139,0.24,0.68,0.4832444773670762,-0.10678514950737795,2.1179221827670367,20,20,10.569761991500854
9,,0.01665714796670587,0.00057438441264503,0.367194402217865,0.15,0.15,0.15,0.6483516483516484,0.8470588235294118,0.10596026490066225,0.2582781456953642,0.6357615894039735,0.48178747040219605,0.5189655172413793,0.5189655172413793,0.6551724137931034,0.03169234282949042,0.29656215195827884,35.41666666666667,-0.14682900187812842,0.3541666666666667,0.19692917565825807,0.19205298013245034,0.5165562913907285,0.2913907284768212,0.31788079470198677,0.31788079470198677,nan,nan,0.23461073449750408,1.0203620389853572,0.6282051282051282,0.25,0.6363636363636364,0.22853705689316833,-0.06802509506511051,2.111521810511965,20,20,10.53406834602356
10,,0.013828603805157056,0.0005121705113021132,0.483987432718277,0.05,0.05,0.05,0.694300518134715,0.8421052631578947,0.143646408839779,0.19337016574585636,0.6629834254143646,0.49885051926528967,0.5722222222222222,0.5722222222222222,0.7777777777777778,0.013481192110683124,0.4644473082420184,35.833333333333336,-0.3170116514266831,0.35833333333333334,0.27083936650634666,0.20441988950276244,0.39226519337016574,0.40331491712707185,0.3867403314917127,0.3867403314917127,nan,nan,0.3917307553602581,1.3280678140942255,0.6619718309859155,0.1780821917808219,0.6986301369863014,0.3351326966249068,-0.1293146116171116,2.0770590229299337,20,20,8.694627523422241
