episode,steps,physical_steps,decision_steps,active_decision_ratio,wall_time,sim_time,termination_reason_raw,termination_reason_bucket,reward_mean,reward_total,episode_reward,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_completed,episode_time_seconds,mean_r_prog,mean_r_term,mean_cost_power,mean_cost_trust,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,illegal_action_ratio,no_task_rate,on_task_rate,has_task_available_rate,v2v_link_break_rate,unified_illegal_trigger_rate,hard_trigger_rate,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_term,reward_clip_hit_count,reward_clip_hit_rate,abs_ratio_basis,r_prog_on_task_mean,r_prog_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_term,actor_loss,critic_loss,critic_loss_raw_mean,normalized_value_loss,entropy,approx_kl,clip_frac,cost_power_value_loss,cost_trust_value_loss,lambda_power,lambda_trust,grad_norm,grad_norm_preclip,grad_norm_postclip,active_ratio,actor_update_active_frac,value_clip_fraction,critic_loss_active,critic_loss_inactive,mode_aux_loss,mode_aux_acc,ppo_epochs_executed,num_minibatches_executed,mb_kl_max,mb_kl_p95,early_stop_epoch_idx,early_stop_batch_idx,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,35,35,115,3.2857142857142856,28.936434507369995,3.5,all_failed,terminated,-0.0010375678539276123,-0.036314874703798135,-0.036314874703798135,0.005861864844337098,0.00368897314183414,0.1,0.1,0.46766169154228854,2.2824410549607803,2.969726790296079,2,2.2824410549607803,3.5000000000000018,0.01221237884698429,-0.02258805733378375,0.38082776377328326,0.0,0.3808277637732831,0.9976311574844395,0.04399580385541378,0.0,18,0.9,0.26956521739130435,0.4608695652173913,0.26956521739130435,0.26956521739130435,0.4608695652173913,0.26956521739130435,0.5044699616198028,0.7714285714285715,3.299999999999997,0.5059713227745458,0.8567319303750991,0.0,3.7835704985722513e-10,7.466496865227157e-11,3.9450089028836273e-10,84,31,0.0,0.0,0.0,0.0,0.0,0.8357142857142857,0.16428571428571426,0.16428571428571426,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.07433621906859997,0.08823019419855117,0.904315089769785,0.09568491023021491,0.0013557951897382736,2.7776010036468506,2.7776010036468506,2.7776023626327513,2.080522859096527,0.02578884530812502,0.12734375,0.005247039720416069,0.0014490712899714708,0.0,0.0,30.819080014198306,30.819080014198306,30.819079780578612,1.0,1.0,0.833203125,2.7776010036468506,0.0,,,5,10,0.038192614912986755,0.03586348015815019,-1,-1,0,False,0.0002,0.0,0.09998444444444445
2,25,25,122,4.88,6.879091262817383,2.5,all_failed,terminated,0.004715912975370884,0.11789782946646807,0.11789782946646807,0.018733347579836836,0.0067551154643297195,0.75,0.75,0.8615384615384616,0.9927879571429852,1.8424440066519738,15,0.9927879571429852,2.500000000000001,0.010216375871352287,0.03694275591523494,0.08070519132649041,0.0,0.08070519132649036,0.7465347877517955,0.010244799490919505,0.0,5,0.25,0.16393442622950818,0.4180327868852459,0.4180327868852459,0.16393442622950818,0.4180327868852459,0.4180327868852459,0.5101353441290557,0.44,0.7999999999999972,0.5133009765473172,0.8574594855308533,0.0,2.838705354113454e-10,3.013145982722065e-11,2.2943703048561208e-10,97,20,0.0,0.0,0.0,0.0,0.0,0.756,0.244,0.244,0.023809523809523808,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.04187039291537827,0.04288820669738926,0.21900536910549478,0.7809946308945052,-4.782900214195252e-06,1.4444278240203858,1.4444278240203858,1.444428038597107,1.890853261947632,0.005485992459580302,0.05,0.004198300465941429,0.0017173418775200844,0.0,0.0,14.126551394141634,14.126551394141634,14.126551532745362,1.0,1.0,0.72578125,1.4444278240203858,0.0,,,5,5,0.01066548377275467,0.010405679419636726,-1,-1,0,False,0.0002,0.0,0.09997333333333334
3,51,51,156,3.0588235294117645,24.04542589187622,5.1000000000000005,all_failed,terminated,-0.00024723869864828885,-0.01260917297812378,-0.01260917297812378,0.00655454327352345,0.0029632782097905874,0.15,0.15,0.5217391304347826,3.168923434384896,3.567180240855918,3,3.168923434384896,5.099999999999998,0.010903533575312832,-0.013375920433768474,0.31684763875872823,0.0,0.31684763875872773,0.9959532511464019,0.032837335319132674,0.0,17,0.85,0.2564102564102564,0.30128205128205127,0.4423076923076923,0.2564102564102564,0.30128205128205127,0.4423076923076923,0.5101482073849469,0.39215686274509803,2.0,0.513443079912527,0.865870890021324,0.0,0.0,1.5641331979621143e-11,0.0,112,40,0.0,0.0,0.0,0.0,0.0,0.8470588235294118,0.15294117647058825,0.15294117647058825,0.029411764705882353,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.07129233491550697,0.09283133438315654,1.0,0.0,0.012018917687237262,1.3305575291315714,1.3305575291315714,1.3305581331253051,1.8269907395044962,0.01123444844658176,0.06145833333333333,0.0015387016853007178,0.0007196561006518701,0.0,0.0,15.861673151342279,15.861673151342279,15.861673323313395,1.0,1.0,0.67578125,1.3305575291315714,0.0,,,5,15,0.02464291825890541,0.020139026269316667,-1,-1,0,False,0.0002,0.0,0.09995066666666667
4,51,51,224,4.392156862745098,22.599992036819458,5.1000000000000005,all_failed,terminated,0.001176550518721342,0.06000407512314564,0.06000407512314564,0.006964128231629729,0.00313388928771019,0.45,0.45,0.7952755905511811,3.5662887028041603,4.634678954191318,10,3.5662887028041603,5.099999999999998,0.012045943456498816,-0.0002804385303918486,0.2011251583852713,0.0,0.20112515838527145,0.9971148399640112,0.02131448909732124,0.0,11,0.55,0.3080357142857143,0.3169642857142857,0.375,0.3080357142857143,0.3169642857142857,0.375,0.4968071028024104,0.7254901960784313,4.0,0.4953072692484995,0.8792460530996323,0.0,0.0,1.2848641421647766e-11,0.0,144,69,0.0,0.0,0.0,0.0,0.0,0.7803921568627451,0.2196078431372549,0.2196078431372549,0.04878048780487805,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.054852063953700056,0.06974501957453327,0.8186213199645546,0.18137868003544544,-0.011966940015554428,1.1191646297772726,1.1191646297772726,1.119165094693502,1.9329686403274535,0.009409793404241402,0.06197916666666667,0.0007569506337555747,0.0006368846787760655,0.0,0.0,10.604217037933001,10.604217037933001,10.60421698888143,1.0,1.0,0.6515625,1.1191646297772726,0.0,,,5,15,0.020851803943514824,0.017930911667644975,-1,-1,0,False,0.0002,0.0,0.099928
5,35,35,129,3.6857142857142855,17.163583040237427,3.5,all_failed,terminated,-0.0002723665093071759,-0.00953282860649398,-0.00953282860649398,0.008137147314846516,0.004416764713823795,0.2,0.2,0.5544041450777202,1.8011877997789763,2.500377614687909,4,1.8011877997789763,3.5000000000000018,0.012761779809244419,-0.015485445125385555,0.3162247376263477,0.0,0.31622473762634795,0.9959661660410749,0.03273257862038723,0.0,16,0.8,0.4263565891472868,0.23255813953488372,0.34108527131782945,0.4263565891472868,0.23255813953488372,0.34108527131782945,0.4974833622075883,0.45714285714285713,1.2999999999999972,0.4961869124357399,0.876637002825737,0.0,0.0,1.951568247282598e-11,0.0,72,55,0.0,0.0,0.0,0.0,0.0,0.8157142857142857,0.18428571428571427,0.18428571428571427,0.011235955056179775,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.0692499679571403,0.08738669566544435,0.802947671540632,0.197052328459368,-0.007157491380348801,0.767648184299469,0.767648184299469,0.7676484405994415,1.9893726348876952,0.007766985287889838,0.102734375,0.000635049951961264,0.00047428306133951993,0.0,0.0,6.027846208785114,6.027846208785114,6.027846240997315,1.0,1.0,0.5609375,0.767648184299469,0.0,,,5,10,0.02067544125020504,0.018797134701162573,-1,-1,0,False,0.0002,0.0,0.09991244444444446
6,27,27,127,4.703703703703703,5.798699617385864,2.7,all_failed,terminated,0.003116827690973878,0.08415434823131128,0.08415434823131128,0.014808863680809735,0.005755155812948942,0.65,0.65,0.8666666666666667,1.1293684450765302,1.757744995387367,13,1.1293684450765302,2.700000000000001,0.00800760305371549,0.023160674068992394,0.21558288594579011,0.0,0.21558288594579003,0.9957341092156091,0.022353615990905337,0.0,7,0.35,0.4251968503937008,0.1889763779527559,0.3858267716535433,0.4251968503937008,0.1889763779527559,0.3858267716535433,0.4971482929877109,0.0,0.0,0.4952907590622749,0.8481646358966827,0.0,0.0,1.0132193695167047e-11,0.0,71,54,0.0,0.0,0.0,0.0,0.0,0.7648148148148148,0.23518518518518516,0.23518518518518516,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.034048075976428074,0.03468082710708096,0.24156809006167435,0.7584319099383258,0.005234589613974094,0.9397133648395538,0.9397133648395538,0.9397135555744172,1.8731277346611024,0.008632986177690326,0.026953125,0.000672696839319542,0.000652466993778944,0.0,0.0,6.552365110693953,6.552365110693953,6.5523652076721195,1.0,1.0,0.607421875,0.9397133648395538,0.0,,,5,10,0.023690320551395416,0.020619169436395163,-1,-1,0,False,0.0002,0.0,0.09990044444444444
7,29,29,118,4.068965517241379,5.955121994018555,2.9000000000000004,all_failed,terminated,0.0036486710887402296,0.10581147024088078,0.10581147024088078,0.023584783822298033,0.005750843323767185,0.7,0.7,0.8333333333333334,0.7427912296174973,0.9815378110739165,14,0.7427912296174973,2.9000000000000012,0.006461983585737833,0.030024730290427955,0.19852476122502757,0.0,0.19852476122502766,0.997204074894771,0.020155883039971158,0.0,6,0.3,0.5847457627118644,0.1440677966101695,0.2711864406779661,0.5847457627118644,0.1440677966101695,0.2711864406779661,0.5022215768582476,0.0,0.0,0.5040647147564152,0.8490440964698791,0.0,0.0,4.4959222976481694e-12,0.0,48,69,0.0,0.0,0.0,0.0,0.0,0.7965517241379311,0.20344827586206893,0.20344827586206893,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.03176229220108422,0.032379057199174194,0.17136386899974004,0.82863613100026,-0.013435373455286026,0.6253432989120483,0.6253432989120483,0.6253434240818023,1.7569961905479432,0.00743201591540128,0.075390625,0.00041955165506806224,0.0003890000400133431,0.0,0.0,6.533028507843836,6.533028507843836,6.533028554916382,1.0,1.0,0.51875,0.6253432989120483,0.0,,,5,10,0.0189981572329998,0.018595567718148232,-1,-1,0,False,0.0002,0.0,0.09988755555555556
8,35,35,178,5.085714285714285,10.622186660766602,3.5,all_failed,terminated,0.0033528879284858704,0.11735108474029446,0.11735108474029446,0.014973767288029188,0.004998035728931427,0.7,0.7,0.8882978723404256,2.0280718730297487,2.5303560028342678,14,2.0280718730297487,3.5000000000000018,0.016132722734373262,0.017396158619996577,0.1147821633823631,0.0,0.11478216338236304,0.9975440427401232,0.01190594028451718,0.0,6,0.3,0.6235955056179775,0.16292134831460675,0.21348314606741572,0.6235955056179775,0.16292134831460675,0.21348314606741572,0.5066864783582943,0.11428571428571428,0.5999999999999943,0.514446095218537,0.8878437161445617,0.0,0.0,1.0801044954267258e-11,0.0,62,111,0.0,0.0,0.0,0.0,0.0,0.7457142857142857,0.25428571428571434,0.25428571428571434,0.031914893617021274,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.06344329165202965,0.06608615671666733,0.5749678356762731,0.4250321643237269,-0.005242639314383268,0.7005563735961914,0.7005563735961914,0.7005564928054809,1.4453180193901063,0.006491729477420449,0.09375,0.0004349331808043644,0.00050427621754352,0.0,0.0,5.72120224182781,5.72120224182781,5.721202325820923,1.0,1.0,0.57734375,0.7005563735961914,0.0,,,5,10,0.019192619249224663,0.018857471365481614,-1,-1,0,False,0.0002,0.0,0.099872
9,35,35,191,5.457142857142857,8.151034355163574,3.5,all_failed,terminated,0.004894689191132784,0.1713141128500745,0.1713141128500745,0.01632108837366104,0.005213516298681498,0.9,0.9,0.9742268041237113,1.7432009846358412,2.4061543230760862,18,1.7432009846358412,3.5000000000000018,0.015081718911443906,0.03386517047429166,0.0254438855032946,0.0,0.0254438855032946,0.12477648168319928,0.0031645986005946623,0.0,2,0.1,0.6649214659685864,0.18324607329842932,0.1518324607329843,0.6649214659685864,0.18324607329842932,0.1518324607329843,0.49708320363291675,0.3142857142857143,2.0,0.4927597253299351,0.830113476514816,0.0,0.0,1.670220559080171e-11,0.0,64,127,0.0,0.0,0.0,0.0,0.0,0.7271428571428571,0.2728571428571429,0.2728571428571429,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.05527331538225516,0.059588473119070326,0.5559123295777638,0.44408767042223624,-0.0071126680821180345,0.716640830039978,0.716640830039978,0.7166409075260163,1.4409043669700623,0.008670524298213422,0.091015625,0.00042735067836474627,0.0004954213189193978,0.0,0.0,6.913241763271611,6.913241763271611,6.913241815567017,1.0,1.0,0.5265625,0.716640830039978,0.0,,,5,10,0.02798645943403244,0.0235040908679366,-1,-1,0,False,0.0002,0.0,0.09985644444444446
10,32,32,166,5.1875,10.709092378616333,3.2,all_failed,terminated,0.002182606840506196,0.06984342013743411,0.06984342013743411,0.01323050665669143,0.0050023216754198074,0.5,0.5,0.8181818181818182,2.180847096504607,2.6705739692276733,10,2.180847096504607,3.2000000000000015,0.01745935581696343,0.004366712975984739,0.1610451023922104,0.0,0.16104510239221026,0.9976286341770376,0.01727125033071112,0.0,10,0.5,0.5662650602409639,0.24096385542168675,0.1927710843373494,0.5662650602409639,0.24096385542168675,0.1927710843373494,0.5068308229034301,0.71875,3.8999999999999986,0.5128959488442338,0.85773167014122,0.0,1.1512927139411963e-10,3.9662075707047606e-11,1.1512927139411963e-10,69,94,0.0,0.0,0.0,0.0,0.0,0.740625,0.259375,0.259375,0.013513513513513514,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.06731317905335292,0.07507280574191834,0.6638772718246613,0.3361227281753388,0.0046765783336013556,0.6810991883277893,0.6810991883277893,0.6810993194580078,1.5920889019966125,0.00800284359138459,0.037890625,0.0003565524239093065,0.00043094397697132083,0.0,0.0,5.028403382767264,5.028403382767264,5.028403329849243,1.0,1.0,0.548828125,0.6810991883277893,0.0,,,5,10,0.021235862746834755,0.017078646225854744,-1,-1,0,False,0.0002,0.0,0.09984222222222222
