episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,mode_match_rate,oracle_match_rate,oracle_match_eps_abs_rate,oracle_match_eps_rel_rate,action_regret_mean,action_regret_p95,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,0.0016302006781881186,5.8221452792432804e-05,2.9802905321121216,0.15,0.15,0.15,0.665,0.8857142857142857,0.2721518987341772,0.5063291139240507,0.22151898734177214,0.5087393589800091,0.2767857142857143,0.2767857142857143,2.0357142857142856,0.0002454272480563023,0.35227387033545804,40.0,-0.3545830125574999,0.4,0.17994848096419247,0.18354430379746836,0.4810126582278481,0.33544303797468356,0.46835443037974683,0.46835443037974683,nan,nan,0.18509446524141485,0.6322073599286699,0.21052631578947367,0.4528301886792453,0.2830188679245283,0.25391021451801565,-0.0983636558174424,2.31859400004751,20,20,19.876474380493164
2,,-0.01416175314650682,-0.0005900730477711175,0.6676285862922668,0.2,0.2,0.2,0.6814814814814815,0.75,0.24786324786324787,0.39316239316239315,0.358974358974359,0.4959566445827174,0.025,0.025,0.625,0.01698913055336201,0.29218632755251994,50.0,-0.3214250722893028,0.5,0.017333702022553885,0.2222222222222222,0.24786324786324787,0.5299145299145299,0.36752136752136755,0.36752136752136755,nan,nan,0.17719903102784562,0.5665513924833433,0.3793103448275862,0.3225806451612903,0.3709677419354839,0.19430481545397493,-0.09788151209854498,2.5494154041715547,20,20,8.253695487976074
3,,0.08955410067440579,0.0022962589916514305,0.5027374207973481,0.4,0.4,0.4,0.8401486988847584,0.9,0.2804878048780488,0.4146341463414634,0.3048780487804878,0.5008181403391063,0.6166666666666667,0.6166666666666667,1.6153846153846154,0.4037828572843461,0.30058212736505907,41.333333333333336,-0.12600630337674448,0.41333333333333333,0.2457169433151852,0.10975609756097561,0.5934959349593496,0.2967479674796748,0.32926829268292684,0.32926829268292684,nan,nan,0.20428113433642733,0.7805284069188468,0.3219178082191781,0.4931506849315068,0.273972602739726,0.24104153982272405,-0.05954058754233502,2.373107068515748,20,20,14.543577194213867
4,,0.046535363559167424,0.0012246148305044059,0.3609811425209045,0.2,0.2,0.2,0.6751824817518248,0.8484848484848485,0.23113207547169812,0.4339622641509434,0.33490566037735847,0.49909532823060687,0.48289473684210527,0.48289473684210527,1.236842105263158,0.08072746472990124,0.6393313660271792,40.845070422535215,-0.2419886914329273,0.4084507042253521,0.25493659559789417,0.15566037735849056,0.4669811320754717,0.37735849056603776,0.3443396226415094,0.3443396226415094,nan,nan,0.2988284940737021,1.084729830384514,0.31313131313131315,0.45,0.3125,0.5480558349436987,-0.0912755310834805,2.5418604755712724,20,20,18.71077251434326
5,,0.09594935509293698,0.0034267626818906063,0.34544962346553804,0.5,0.5,0.5,0.7961165048543689,0.8888888888888888,0.30601092896174864,0.4808743169398907,0.21311475409836064,0.49287228333747146,0.26964285714285713,0.26964285714285713,1.6428571428571428,0.3846956101780877,0.35594828381788113,46.15384615384615,-0.15943841875210987,0.46153846153846156,0.06304725149832638,0.16939890710382513,0.546448087431694,0.28415300546448086,0.4371584699453552,0.4371584699453552,nan,nan,0.17130540744441822,0.6923885240121381,0.2,0.38461538461538464,0.23076923076923078,0.272183740095874,-0.08376454372200717,2.426710919422608,20,20,16.966001272201538
6,,0.1815775284391428,0.011348595527446425,0.7193435907363892,1.0,1.0,1.0,1.0,1.0,0.3939393939393939,0.42424242424242425,0.18181818181818182,0.5042041125634569,0.084375,0.084375,0.3125,0.975838136263529,0.12817906886280858,29.166666666666668,-0.09677924820797444,0.2916666666666667,0.0369708572311933,0.1893939393939394,0.3560606060606061,0.45454545454545453,0.30303030303030304,0.30303030303030304,nan,nan,0.0476734676615953,0.11291706108777892,0.1276595744680851,0.4166666666666667,0.18333333333333332,0.2734454855044951,0.14526641664168652,2.2643153152772153,20,20,3.596053123474121
7,,0.18524729087896694,0.011577955679935433,0.25970728099346163,1.0,1.0,1.0,1.0,1.0,0.3779527559055118,0.3937007874015748,0.2283464566929134,0.4791627646656707,0.075,0.075,0.25,0.9926595926840028,0.05965628555502267,37.93103448275862,-0.04104522172719536,0.3793103448275862,0.019766168014196436,0.1968503937007874,0.5196850393700787,0.28346456692913385,0.2755905511811024,0.2755905511811024,nan,nan,0.036988709166234306,0.13157648703032152,0.2727272727272727,0.3611111111111111,0.1388888888888889,0.20327929729170896,0.1436230117366863,2.0883918951502354,20,20,3.364809513092041
8,,0.1055496183144382,0.00390924512275697,0.40129991471767423,0.55,0.55,0.55,0.8571428571428571,0.9615384615384616,0.45108695652173914,0.375,0.17391304347826086,0.5003662929818448,0.44074074074074077,0.44074074074074077,0.9629629629629629,0.438745967064583,0.3397914163004958,46.875,-0.05128059131417681,0.46875,0.09816649848721995,0.18478260869565216,0.42934782608695654,0.3858695652173913,0.30434782608695654,0.30434782608695654,nan,nan,0.1186706249987862,0.46192264040295095,0.21518987341772153,0.36619718309859156,0.16901408450704225,0.24727460410100824,-0.09251681219948758,2.2288690717672677,20,20,8.590604066848755
9,,0.10064800873513363,0.003470620990866677,0.33282323032617567,0.55,0.55,0.55,0.8351648351648352,0.896551724137931,0.5182926829268293,0.29878048780487804,0.18292682926829268,0.48447490755853984,0.3810344827586207,0.3810344827586207,0.6551724137931034,0.36316245994474966,0.40897419949317654,50.0,0.010313127789170507,0.5,0.15918432362329163,0.14634146341463414,0.524390243902439,0.32926829268292684,0.36585365853658536,0.36585365853658536,nan,nan,0.10553323557848593,0.31145056015477324,0.10465116279069768,0.14814814814814814,0.2777777777777778,0.3224259982467379,-0.08654820124643865,2.3366666309545336,20,20,7.93431544303894
10,,0.1785041724723353,0.0068655450950898195,0.2461498498916626,0.8,0.8,0.8,0.9378238341968912,1.0,0.5291005291005291,0.32275132275132273,0.14814814814814814,0.4941806137919999,0.5769230769230769,0.5769230769230769,1.1538461538461537,0.8210219397570957,0.3686165358037203,46.42857142857143,0.014889051409053349,0.4642857142857143,0.1968862969169032,0.20634920634920634,0.31746031746031744,0.47619047619047616,0.31216931216931215,0.31216931216931215,nan,nan,0.15213520501293387,0.6055149990861122,0.1,0.32222222222222224,0.2,0.3144177417341105,-0.05419879406960974,2.4067341206618496,20,20,6.74582052230835
