episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,mode_match_rate,oracle_match_rate,oracle_match_eps_abs_rate,oracle_match_eps_rel_rate,action_regret_mean,action_regret_p95,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,-0.0026041547343922,-9.300552622829286e-05,0.7300464987754822,0.1,0.1,0.1,0.725,0.8636363636363636,0.37423312883435583,0.3558282208588957,0.26993865030674846,0.5032025941780636,0.425,0.425,1.3928571428571428,0.0008320744332551202,0.34534651914546355,52.27272727272727,-0.07514246364858607,0.5227272727272727,0.14508936593756977,0.15950920245398773,0.34355828220858897,0.49693251533742333,0.32515337423312884,0.32515337423312884,nan,nan,0.1950753949096401,0.6420470122405882,0.19642857142857142,0.3950617283950617,0.30864197530864196,0.2625264197763674,-0.08282009936909615,2.2535051965083692,20,20,21.538718461990356
2,,0.01565399216311322,0.0006522496734630508,0.6260490655899048,0.3,0.3,0.3,0.7407407407407407,0.8333333333333334,0.29411764705882354,0.3949579831932773,0.31092436974789917,0.4845256560792526,0.025,0.025,0.7083333333333334,0.01688521004724491,0.28991963803978904,56.75675675675676,-0.16934721588878998,0.5675675675675675,0.012302619798357003,0.19327731092436976,0.20168067226890757,0.6050420168067226,0.31092436974789917,0.31092436974789917,nan,nan,0.12377239492409864,0.5135101895698143,0.375,0.3194444444444444,0.3333333333333333,0.194224986753186,-0.09569465128660307,2.3757301622762914,20,20,8.628696203231812
3,,0.11414840909198681,0.0029268822844099184,0.24587005575497944,0.4,0.4,0.4,0.7434944237918215,0.8428571428571429,0.3744292237442922,0.2968036529680365,0.3287671232876712,0.500509970740248,0.6371794871794871,0.6371794871794871,0.9230769230769231,0.4689074512142074,0.4018337148073733,26.38888888888889,-0.4543032839639414,0.2638888888888889,0.3154138446717094,0.1506849315068493,0.680365296803653,0.1689497716894977,0.3242009132420091,0.3242009132420091,nan,nan,0.32283708475789014,1.2134303328704763,0.3624161073825503,0.2972972972972973,0.24324324324324326,0.3259431278061202,-0.07589058700125306,2.2108477457480826,20,20,15.225762367248535
4,,0.042381221228380554,0.001086697980214886,0.25402912894884744,0.2,0.2,0.2,0.6824817518248175,0.7666666666666667,0.4017857142857143,0.29910714285714285,0.29910714285714285,0.49422724997290435,0.4705128205128205,0.4705128205128205,0.8205128205128205,0.14777616561401669,0.34995213612240794,47.76119402985074,-0.3762681435550554,0.47761194029850745,0.1531159484990742,0.16071428571428573,0.5580357142857143,0.28125,0.3482142857142857,0.3482142857142857,nan,nan,0.2622534984799826,1.0151053913335781,0.28,0.30158730158730157,0.3968253968253968,0.28603120342052923,-0.06392093270187874,2.2673850414511914,20,20,17.73945951461792
5,,0.019314127187691855,0.0006897902567032805,0.2862219661474228,0.15,0.15,0.15,0.7330097087378641,0.8125,0.3220338983050847,0.3785310734463277,0.2994350282485876,0.5047351143988116,0.3607142857142857,0.3607142857142857,1.0,0.03431616721463518,0.40456742413905206,37.735849056603776,-0.36386408834822337,0.37735849056603776,0.139262449350925,0.1638418079096045,0.655367231638418,0.1807909604519774,0.3446327683615819,0.3446327683615819,nan,nan,0.2258866756174875,0.736707994960064,0.3275862068965517,0.3125,0.28125,0.22404551012486573,-0.18052191401418632,2.16864468551644,20,20,13.745285749435425
6,,0.18886453899796538,0.018886453899796537,0.8009347200393677,1.0,1.0,1.0,1.0,1.0,0.44274809160305345,0.3053435114503817,0.25190839694656486,0.4787366904877126,0.15,0.15,0.6,0.9984503428264072,0.030445225300364726,48.484848484848484,-0.0013503710125130567,0.48484848484848486,0.03636208910946379,0.15267175572519084,0.25190839694656486,0.5954198473282443,0.26717557251908397,0.26717557251908397,nan,nan,0.036701170842917366,0.12497949273677059,0.45454545454545453,0.2692307692307692,0.19230769230769232,0.20789096393442608,0.17744573863406135,2.074926125448995,20,20,2.729893207550049
7,,0.18096492745923504,0.010644995732896179,0.304442697763443,1.0,1.0,1.0,1.0,1.0,0.3937007874015748,0.3858267716535433,0.2204724409448819,0.498140094182728,0.05588235294117647,0.05588235294117647,0.29411764705882354,0.991524001578883,0.05916275837484583,46.42857142857143,-0.043862933287700454,0.4642857142857143,0.016200030368223668,0.1889763779527559,0.5433070866141733,0.2677165354330709,0.33070866141732286,0.33070866141732286,nan,nan,0.03244323878437843,0.10996074405733566,0.2463768115942029,0.4117647058823529,0.17647058823529413,0.20023010953127546,0.14106735115642963,2.0867377257577386,20,20,3.280001640319824
8,,0.14886009618708876,0.005513336895818102,0.247235569357872,0.7,0.7,0.7,0.8928571428571429,0.9767441860465116,0.3172043010752688,0.43548387096774194,0.24731182795698925,0.49964384655295696,0.5092592592592593,0.5092592592592593,1.2592592592592593,0.6264404430069132,0.3884489745949292,43.47826086956522,-0.08706063770391906,0.43478260869565216,0.18140663015504108,0.15591397849462366,0.489247311827957,0.3548387096774194,0.3817204301075269,0.3817204301075269,nan,nan,0.16411684799571857,0.6094600137646585,0.1978021978021978,0.4090909090909091,0.2878787878787879,0.3051117447907271,-0.0833372298042021,2.4869099243181427,20,20,9.032386302947998
9,,0.061293483897551404,0.002113568410260393,0.2835310697555542,0.45,0.45,0.45,0.8131868131868132,0.8888888888888888,0.3939393939393939,0.37575757575757573,0.23030303030303031,0.5034536206580955,0.2827586206896552,0.2827586206896552,1.2413793103448276,0.20980583725407081,0.29652981805786793,47.368421052631575,-0.018905591448224245,0.47368421052631576,0.09938252509597052,0.17575757575757575,0.46060606060606063,0.36363636363636365,0.3212121212121212,0.3212121212121212,nan,nan,0.0900838175023606,0.29823509151853295,0.19736842105263158,0.4166666666666667,0.23333333333333334,0.2184021047014723,-0.0781277133563956,2.2789958899598943,20,20,8.310004234313965
10,,0.1150058208443819,0.004259474846088219,0.24734398424625398,0.6,0.6,0.6,0.9015544041450777,0.8787878787878788,0.3723404255319149,0.425531914893617,0.20212765957446807,0.4758980067274361,0.3592592592592593,0.3592592592592593,2.111111111111111,0.5419714003769989,0.3061239004935099,44.73684210526316,-0.13192766098334166,0.4473684210526316,0.14916742382666548,0.21808510638297873,0.2712765957446808,0.5106382978723404,0.26595744680851063,0.26595744680851063,nan,nan,0.12927685533348632,0.4588807721860493,0.29411764705882354,0.4583333333333333,0.17708333333333334,0.2303304098363792,-0.07579349065713067,2.5280689049125757,20,20,7.278485298156738
