episode,steps,physical_steps,decision_steps,active_decision_ratio,wall_time,sim_time,termination_reason_raw,termination_reason_bucket,reward_mean,reward_total,episode_reward,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_completed,episode_time_seconds,mean_r_prog,mean_r_term,mean_cost_power,mean_cost_trust,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,illegal_action_ratio,no_task_rate,on_task_rate,has_task_available_rate,v2v_link_break_rate,unified_illegal_trigger_rate,hard_trigger_rate,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_term,reward_clip_hit_count,reward_clip_hit_rate,abs_ratio_basis,r_prog_on_task_mean,r_prog_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_term,actor_loss,critic_loss,critic_loss_raw_mean,normalized_value_loss,entropy,approx_kl,clip_frac,cost_power_value_loss,cost_trust_value_loss,lambda_power,lambda_trust,grad_norm,grad_norm_preclip,grad_norm_postclip,active_ratio,actor_update_active_frac,value_clip_fraction,critic_loss_active,critic_loss_inactive,mode_aux_loss,mode_aux_acc,ppo_epochs_executed,num_minibatches_executed,mb_kl_max,mb_kl_p95,early_stop_epoch_idx,early_stop_batch_idx,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,28,28,163,5.821428571428571,21.538718461990356,2.8000000000000003,all_failed,terminated,-9.300540114054456e-05,-0.0026041547343922,-0.0026041547343922,0.010748550482094287,0.006423715502023697,0.1,0.1,0.725,1.6466580456115398,1.9429373183152856,2,1.6466580456115398,2.800000000000001,0.026788914458107885,-0.02771896972039084,0.2943774955571592,0.0,0.29437749555715975,0.984489100911308,0.032806365592656865,0.0,18,0.9,0.37423312883435583,0.3558282208588957,0.26993865030674846,0.37423312883435583,0.3558282208588957,0.26993865030674846,0.5032025941780636,1.3928571428571428,7.0,0.5046704498430093,0.8727825403213499,0.0,7.557685532955102e-10,9.874022433020713e-11,6.748170383596951e-10,102,61,0.0,0.0,0.0,0.0,0.0,0.7089285714285715,0.29107142857142854,0.29107142857142854,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.09203553433460383,0.10810844177272838,0.8731036180672556,0.1268963819327445,-0.010274338722229003,1.5511940717697144,1.5511940717697144,1.551194393634796,2.151247763633728,0.004827861674129963,0.008984375,0.010164094250649213,0.005333100841380656,0.0,0.0,40.46477390596159,40.46477390596159,40.464774417877194,1.0,1.0,0.7328125,1.5511940717697144,0.0,,,5,10,0.010449755005538464,0.00948686166666448,-1,-1,0,False,0.0002,0.0,0.09998755555555557
2,24,24,119,4.958333333333333,8.628696203231812,2.4000000000000004,all_failed,terminated,0.0006522494950331748,0.01565399216311322,0.01565399216311322,0.018642237409949282,0.0062279291450977325,0.3,0.3,0.7407407407407407,0.950647877906936,1.8752456394681982,6,0.950647877906936,2.400000000000001,0.017177986628182176,-0.010655489893551655,0.2701614901227749,0.0,0.27016149012277485,0.9912253050676747,0.0306009931695168,0.0,14,0.7,0.29411764705882354,0.3949579831932773,0.31092436974789917,0.29411764705882354,0.3949579831932773,0.31092436974789917,0.4845256560792526,0.7083333333333334,5.0,0.4768607941372001,0.8343681693077087,0.0,4.943385256694907e-10,7.087685993667492e-11,5.135332575845169e-10,83,35,0.0,0.0,0.0,0.0,0.0,0.7520833333333333,0.24791666666666667,0.24791666666666667,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.06928935782796165,0.06999420245459681,0.5577623706492788,0.44223762935072125,0.03313409201800823,1.26121826171875,1.26121826171875,1.2612186670303345,1.9933590173721314,0.003670556703582406,0.00234375,0.0023166195256635546,0.0020290476502850653,0.0,0.0,23.108724218459056,23.108724218459056,23.10872459411621,1.0,1.0,0.38203125,1.26121826171875,0.0,,,5,5,0.009835397824645042,0.008877336233854293,-1,-1,0,False,0.0002,0.0,0.09997688888888889
3,39,39,219,5.615384615384615,15.225762367248535,3.9000000000000004,all_failed,terminated,0.002926881890743971,0.11414840909198681,0.11414840909198681,0.0127244308590889,0.005559913814067841,0.4,0.4,0.7434944237918215,2.709767541777203,3.2357235240673514,8,2.709767541777203,3.900000000000002,0.03281195016741971,-0.0035431273233204785,0.3093837499854218,0.0,0.3093837499854216,0.9875048559224913,0.03243724809780075,0.0,12,0.6,0.3744292237442922,0.2968036529680365,0.3287671232876712,0.3744292237442922,0.2968036529680365,0.3287671232876712,0.500509970740248,0.9230769230769231,4.300000000000004,0.5007814875783761,0.8492891073226929,0.0,1.2623162376490505e-10,2.1786706119741872e-11,1.0493598663618983e-10,135,81,0.0,0.0,0.0,0.0,0.0,0.7192307692307692,0.28076923076923077,0.28076923076923077,0.013422818791946308,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.11686448004834396,0.146246369887876,0.9023231707002531,0.09767682929974682,0.0011410834888617198,0.5581122001012166,0.5581122001012166,0.5581123371918996,1.7519421100616455,0.0022527809254825116,0.0109375,0.0006665444661242266,0.0007567479527400186,0.0,0.0,8.507897184370973,8.507897184370973,8.507897249857585,1.0,1.0,0.43255208333333334,0.5581122001012166,0.0,,,5,15,0.011716839857399464,0.011471936106681823,-1,-1,0,False,0.0002,0.0,0.09995955555555557
4,39,39,224,5.743589743589744,17.73945951461792,3.9000000000000004,all_failed,terminated,0.0010866981465369463,0.042381221228380554,0.042381221228380554,0.01018845606595278,0.004979344550520182,0.2,0.2,0.6824817518248175,2.6426688048393516,3.4429835252016634,5,2.6426688048393516,3.900000000000002,0.025313029874216016,-0.014446050072067165,0.3475763193223944,0.0,0.34757631932239513,0.9926916514625646,0.03666358499649936,0.0,16,0.8,0.4017857142857143,0.29910714285714285,0.29910714285714285,0.4017857142857143,0.29910714285714285,0.29910714285714285,0.49422724997290435,0.8205128205128205,4.0,0.49058003133653844,0.8756732344627379,0.0,1.9581316845762502e-10,4.6852847990219715e-11,1.6483260451005564e-10,127,90,0.0,0.0,0.0,0.0,0.0,0.7128205128205128,0.28717948717948716,0.28717948717948716,0.03289473684210526,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.08814358616914512,0.11972786710007556,0.9110269524296758,0.0889730475703241,-0.00034774417678515117,0.579737909634908,0.579737909634908,0.5797380685806275,1.787843942642212,0.002787680815284451,0.011979166666666667,0.0002571872357899944,0.00027225016771505276,0.0,0.0,12.340511766779626,12.340511766779626,12.340511671702068,1.0,1.0,0.26197916666666665,0.579737909634908,0.0,,,5,15,0.01694416254758835,0.010335521586239328,-1,-1,0,False,0.0002,0.0,0.09994222222222222
5,28,28,177,6.321428571428571,13.745285749435425,2.8000000000000003,all_failed,terminated,0.0006897900602780282,0.019314127187691855,0.019314127187691855,0.014216601476073261,0.006829879246652126,0.15,0.15,0.7330097087378641,1.4467016218279916,1.5238944956348817,3,1.4467016218279916,2.800000000000001,0.03017934851340633,-0.02328144594637351,0.3203991188447961,0.0,0.320399118844796,0.9932629942189509,0.035469747125934974,0.0,17,0.85,0.3220338983050847,0.3785310734463277,0.2994350282485876,0.3220338983050847,0.3785310734463277,0.2994350282485876,0.5047351143988116,1.0,3.6499999999999986,0.507386250872798,0.8449610829353331,0.0,7.759589915057297e-10,8.998379819047386e-11,5.449270784607646e-10,115,57,0.0,0.0,0.0,0.0,0.0,0.6839285714285714,0.31607142857142856,0.31607142857142856,0.020833333333333332,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.09548268456218946,0.11796508816447436,0.8096425169950863,0.1903574830049137,-0.0024777092039585114,0.649433296918869,0.649433296918869,0.6494334161281585,1.8118956446647645,0.002565847581718117,0.015625,0.0002102747981552966,0.00023148282634792848,0.0,0.0,14.526067423717013,14.526067423717013,14.526067543029786,1.0,1.0,0.31171875,0.649433296918869,0.0,,,5,10,0.007839019410312176,0.007516044145449995,-1,-1,0,False,0.0002,0.0,0.09992977777777778
6,10,10,131,13.1,2.729893207550049,1.0,success_all_done,terminated,0.018886452540755272,0.18886453899796538,0.18886453899796538,0.0495161153376102,0.018886452540755272,1.0,1.0,1.0,0.7253770540061877,0.9375148466385431,20,0.7253770540061877,0.9999999999999999,0.023514368527692075,0.16535017047027323,0.08222964342703659,0.0,0.08222964342703663,0.5043800038643649,0.009366258231680174,0.0,0,0.0,0.44274809160305345,0.3053435114503817,0.25190839694656486,0.44274809160305345,0.3053435114503817,0.25190839694656486,0.4787366904877126,0.6,3.2999999999999936,0.46269594822405724,0.8470761030912399,0.0,1.920652387132904e-10,3.0293250546931105e-11,2.0000664874286743e-10,73,58,0.0,0.0,0.0,0.0,0.0,0.345,0.655,0.655,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.035899799278919266,0.03606272243124234,0.1508586048685678,0.8491413951314322,0.0032243818743154405,1.6681104183197022,1.6681104183197022,1.6681108474731445,1.8381367206573487,0.01234376970678568,0.020999999530613423,0.00042754789465107026,0.0004077645833604038,0.0,0.0,27.82354938191553,27.82354938191553,27.823549222946166,1.0,1.0,0.574999988079071,1.6681103706359863,0.0,,,5,5,0.021771902218461037,0.020394522510468957,-1,-1,0,False,0.0002,0.0,0.09992533333333334
7,17,17,127,7.470588235294118,3.280001640319824,1.7000000000000002,success_all_done,terminated,0.010644995607435703,0.18096492745923504,0.18096492745923504,0.03707051798701286,0.010644995607435703,1.0,1.0,1.0,0.882038378290312,1.610459127437224,20,0.882038378290312,1.7000000000000004,0.013873028256309409,0.09257692907265236,0.12228500881000914,0.0,0.12228500881000914,0.9942080745012417,0.012902181020123103,0.0,0,0.0,0.3937007874015748,0.3858267716535433,0.2204724409448819,0.3937007874015748,0.3858267716535433,0.2204724409448819,0.498140094182728,0.29411764705882354,0.9999999999999964,0.4971124749868836,0.8922204554080964,0.0,1.421898071507501e-10,2.2281256700784624e-11,1.7438197830177416e-10,77,50,0.0,0.0,0.0,0.0,0.0,0.6264705882352941,0.3735294117647059,0.3735294117647059,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.03714039060744251,0.03714039060744251,0.1636033469841982,0.8363966530158018,0.015525397658348084,0.6460623860359191,0.6460623860359191,0.6460625290870666,1.7215258121490478,0.010233965003862977,0.0171875,0.0003751020296476781,0.00025801908050198107,0.0,0.0,17.450667157076015,17.450667157076015,17.450666427612305,1.0,1.0,0.59375,0.6460623860359191,0.0,,,5,5,0.017711728811264038,0.016749806888401508,-1,-1,0,False,0.0002,0.0,0.09991777777777779
8,27,27,186,6.888888888888889,9.032386302947998,2.7,all_failed,terminated,0.005513337440788746,0.14886009618708876,0.14886009618708876,0.019556936807930466,0.007037041708827019,0.7,0.7,0.8928571428571429,1.7931034917897688,2.4454831159102364,14,1.7931034917897688,2.700000000000001,0.03335999658048733,0.0217733723776937,0.1268776694746183,0.0,0.12687766947461832,0.9958918426036819,0.014099501076191514,0.0,6,0.3,0.3172043010752688,0.43548387096774194,0.24731182795698925,0.3172043010752688,0.43548387096774194,0.24731182795698925,0.49964384655295696,1.2592592592592593,5.399999999999999,0.4994489316292171,0.858535087108612,0.0,3.4579441254845e-10,3.499509362847597e-11,2.8139743868393905e-10,124,59,0.0,0.0,0.0,0.0,0.0,0.6555555555555556,0.34444444444444444,0.34444444444444444,0.010869565217391304,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.09685160297560838,0.10426088202715433,0.6175220142164322,0.3824779857835679,-0.005568927899003029,0.57270467877388,0.57270467877388,0.5727047860622406,1.6893086552619934,0.002242622757330537,0.013671875,0.0003140883462037891,0.0001624697782972362,0.0,0.0,15.045921707351667,15.045921707351667,15.045921754837035,1.0,1.0,0.38203125,0.57270467877388,0.0,,,5,10,0.010345468297600746,0.010335537418723107,-1,-1,0,False,0.0002,0.0,0.09990577777777779
9,29,29,165,5.689655172413793,8.310004234313965,2.9000000000000004,all_failed,terminated,0.0021135685965418816,0.061293483897551404,0.061293483897551404,0.014191110245883461,0.005993792321532965,0.45,0.45,0.8131868131868132,1.6351703787592347,2.171482391474556,9,1.6351703787592347,2.9000000000000012,0.019520491532244867,0.0016151925703590743,0.30750535998933615,0.0,0.3075053599893363,0.9937914516701218,0.032139435399218236,0.0,11,0.55,0.3939393939393939,0.37575757575757573,0.23030303030303031,0.3939393939393939,0.37575757575757573,0.23030303030303031,0.5034536206580955,1.2413793103448276,6.0,0.5055487534118986,0.8713454008102417,0.0,1.7058961188087807e-10,3.169848064588088e-11,1.2446899205764694e-10,98,65,0.0,0.0,0.0,0.0,0.0,0.7155172413793104,0.2844827586206896,0.2844827586206896,0.02247191011235955,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.06861748538607285,0.08423464582800728,0.6654470447259574,0.33455295527404266,0.010492990911006927,0.6106780171394348,0.6106780171394348,0.6106781363487244,1.6208298921585083,0.005309990257956088,0.028125,0.00012468363493098878,0.00010652821110852528,0.0,0.0,13.939684673986283,13.939684673986283,13.939684963226318,1.0,1.0,0.303125,0.6106780171394348,0.0,,,5,10,0.020928047597408295,0.017729276139289134,-1,-1,0,False,0.0002,0.0,0.09989288888888889
10,27,27,188,6.962962962962963,7.278485298156738,2.7,all_failed,terminated,0.004259474575519562,0.1150058208443819,0.1150058208443819,0.013253154698759317,0.007316679693758488,0.6,0.6,0.9015544041450777,1.6043047051420267,2.1817235072088295,12,1.6043047051420267,2.700000000000001,0.027677243339493215,0.014917505121388966,0.17367192707716098,0.0,0.17367192707716095,0.9910930698839919,0.018932195680919178,0.0,8,0.4,0.3723404255319149,0.425531914893617,0.20212765957446807,0.3723404255319149,0.425531914893617,0.20212765957446807,0.4758980067274361,2.111111111111111,9.7,0.45920038756368486,0.8263583421707151,0.0,1.5401857567098887e-10,2.7677402036907495e-11,1.1749387712756131e-10,113,70,0.0,0.0,0.0,0.0,0.0,0.6518518518518519,0.3481481481481481,0.3481481481481481,0.0375,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.07949846491131032,0.09110577691692347,0.6146253979989975,0.38537460200100243,0.006147063616663217,0.5432402521371842,0.5432402521371842,0.543240350484848,1.5263630747795105,0.014049130282364786,0.020703125,7.529366739618126e-05,0.00013271969983179587,0.0,0.0,6.355727131458687,6.355727131458687,6.355727052688598,1.0,1.0,0.146484375,0.5432402521371842,0.0,,,5,10,0.021079307422041893,0.020860538072884082,-1,-1,0,False,0.0002,0.0,0.0998808888888889
