episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,mean_cost_power,mean_cost_trust,episode_time_seconds,mean_cft_completed,act_seconds,makespan_seconds,task_duration_mean,task_duration_p95,deadline_miss_rate,deadline_meet_ratio,time_limit_rate,energy_mean,energy_p95,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,v2v_link_break_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,avg_queue_len,avg_rsu_queue,completed_tasks_count,t_tx_mean,dT_eff_mean,dT_eff_p95,deadline_seconds_mean,deadline_gamma_mean,critical_path_cycles_mean,terminated_reason,idle_terminate_count,task_success_count,task_completion_count,audit_deadline_misses,physical_steps,decision_steps,active_decision_ratio,deadlock_vehicle_count,episode_vehicle_count,episode_task_count,tx_tasks_created_count,same_node_no_tx_count,idle_fraction,service_rate_when_active,fallback_rate,not_in_candidate_fallback_cnt,illegal_by_connectivity_cnt,candidate_reachable_cnt_mean,candidate_reachable_cnt_p95,candidate_dropped_cnt_mean,candidate_dropped_cnt_p95,rsu_gate_total,rsu_gate_blocked,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,best_mode_compare_rate,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,oracle_match_rate,mode_match_rate,oracle_match_rate_on_task,target_match_within_mode_rate,target_regret_within_mode_mean,oracle_valid_count,oracle_local_chosen_local_rate,oracle_local_chosen_rsu_rate,oracle_local_chosen_v2v_rate,oracle_rsu_chosen_local_rate,oracle_rsu_chosen_rsu_rate,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_local_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,action_regret_mean,action_regret_p50,action_regret_p95,action_regret_mean_on_task,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,rho_selected_mean,rho_selected_p10,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,risk_penalty_mean,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,malicious_count,edge_rate_recompute_cnt_mean,edge_rate_delta_mean,edge_rate_delta_p95,v2v_tx_jobs,v2v_link_break_count,delta_phi_mean,delta_phi_p50,delta_phi_p95,delta_phi_min,delta_phi_max,shape_clip_hit_rate,r_total_clip_hit_rate,reward_clip_hit_rate,reward_clip_hit_count,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dt_used_mean,implied_dt_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dCFT_prog_mean,dCFT_prog_p95,r_prog_mean,mean_r_prog,mean_r_term,reward_step_p95,r_prog_on_task_mean,r_prog_on_task_abs_mean,r_term_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_term,abs_ratio_basis
1,Local-Only,0.02423754663103211,0.19390037304825689,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999999,0.6074987826016505,0.6074987826016505,0.7999999999999999,0.6074987826016505,0.7674052224484591,0.0,1.0,0.0,0.0,0.0,0.0,0.1625,0.8375,0.8375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0125,0.625,10,0.0,0.0,0.0,2.0360844514834726,2.9168844751273113,334558088.1769085,success_all_done,0,,,0,8,67,8.375,0,10,10,0,67,0.0,0.0,0.0,0,0,6.8,8.0,0.0,0.0,128,0,1.0,1.0,0.35789473684210515,6.799999999999999,33435519.468416896,0.9000000000000001,1.0,0.1791044776119403,0.746268656716418,0.07462686567164178,0.22580645161290322,0.0026361509422279834,0.04441327752384187,0.045841190316155585,0.1791044776119403,0.1791044776119403,0.1791044776119403,1.0,0.0,67,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.021279605094026995,0.019242812284430023,0.05151275935621697,0.021279605094026995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09999999999999984,0.09999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.02932760390611654,0.02932760390611654,0.21304786240420462,0.06805174926843068,0.03501803451476601,0.03501803451476601,0.254385507348304,0.12100071163377342,0.8789992883662265,unified_mainline
2,Local-Only,0.006619718319023357,0.23169014116581751,0.9,0.9,0.9925925925925926,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5000000000000018,2.665895304705026,2.665895304705026,3.5000000000000018,2.665895304705026,3.376936929234812,0.1,0.9,0.0,0.0,0.0,0.0,0.6142857142857143,0.3857142857142857,0.3857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.2942857142857143,0.05714285714285714,9,0.0,0.0,0.0,3.411411144018847,3.804118545175097,1927060315.745699,all_failed,0,,,1,35,135,3.857142857142857,0,10,10,0,135,0.0,0.0,0.0,0,0,2.8,4.0,0.0,0.0,350,0,1.0,1.0,0.1473684210526315,2.7999999999999985,23145326.57095983,1.0,1.0,0.05185185185185185,0.9407407407407408,0.007407407407407408,0.014814814814814815,0.2704291315744555,0.08499235926302065,0.3554214908374761,0.05185185185185185,0.05185185185185185,0.05185185185185185,1.0,0.0,135,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.30384629757015247,0.2989728044544714,0.6086692574861761,0.30384629757015247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000064,0.10000000000000064,0.0,0.0,0.0,0.0,0.0,0.0,0.03770460477011056,0.03770460477011056,0.028492578420123038,0.20571080867023647,0.09775267903361998,0.11218515457839565,0.034695037855743384,0.7637868164470127,0.23621318355298734,unified_mainline
3,Local-Only,0.005805132667954088,0.22640017405020943,0.7,0.7,0.95,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.900000000000002,2.407127957576096,2.407127957576096,3.900000000000002,2.407127957576096,3.064306915596926,0.3,0.7,0.0,0.0,0.0,0.0,0.6461538461538462,0.3538461538461538,0.3538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.3,0.10256410256410256,7,0.0,0.0,0.0,3.458684561648552,3.7726548814869325,1994555939.4611645,all_failed,0,,,3,39,138,3.5384615384615383,0,10,10,0,138,0.0,0.0,0.0,0,0,3.0,4.0,0.0,0.0,397,0,1.0,1.0,0.15789473684210528,3.0,26401698.52703148,1.0,1.0,0.057971014492753624,0.927536231884058,0.014492753623188406,0.028985507246376812,0.19941278760229122,0.08507464390051801,0.28448743150280925,0.057971014492753624,0.057971014492753624,0.057971014492753624,1.0,0.0,138,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3377993643434532,0.22684441525098165,0.9828799464472694,0.3377993643434532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000073,0.10000000000000073,0.0,0.0,0.0,0.0,0.0,0.0,0.04265143404725765,0.04265143404725765,0.015399892632283243,0.24965719605670483,0.12053666143790204,0.13000179591989125,0.007429960801222925,0.9459370892253068,0.0540629107746931,unified_mainline
4,Local-Only,0.006569675364030184,0.18395091019284515,0.6,0.6,0.9797979797979798,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.800000000000001,1.8194789506428277,1.8194789506428277,2.800000000000001,1.8194789506428277,2.655297317578367,0.4,0.6,0.0,0.0,0.0,0.0,0.65,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.9071428571428571,0.25,8,0.0,0.0,0.0,2.466897333653712,3.095062800010293,1322471295.9708302,all_failed,0,,,4,28,98,3.5,0,10,10,0,98,0.0,0.0,0.0,0,0,7.2,8.0,0.0,0.0,426,0,1.0,1.0,0.37894736842105253,7.199999999999997,32275300.484076034,0.8999999999999996,1.0,0.061224489795918366,0.9183673469387755,0.02040816326530612,0.05747126436781609,0.11756574264505862,0.07819759921423874,0.19625890899138232,0.061224489795918366,0.061224489795918366,0.061224489795918366,1.0,0.0,98,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.24283573801462627,0.20291068890156283,0.6163118970833894,0.24283573801462627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000046,0.10000000000000046,0.0,0.0,0.0,0.0,0.0,0.0,0.05091454852447455,0.05091454852447455,0.014782205115827273,0.2721778437571064,0.14547013864135586,0.1512633781366725,0.04091487797729156,0.7870993378510598,0.21290066214894018,unified_mainline
5,Local-Only,0.024688480313461877,0.19750784250769501,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999999,0.6410581278778965,0.6410581278778965,0.7999999999999999,0.6410581278778965,0.7720717676882478,0.0,1.0,0.0,0.0,0.0,0.0,0.1625,0.8375,0.8375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1125,0.0,10,0.0,0.0,0.0,2.0805250344883963,2.9770180904058545,312245507.3434259,success_all_done,0,,,0,8,67,8.375,0,10,10,0,67,0.0,0.0,0.0,0,0,4.2,5.0,0.0,0.0,80,0,1.0,1.0,0.22105263157894736,4.2,31893529.48352483,1.0,1.0,0.13432835820895522,0.7910447761194029,0.07462686567164178,0.14925373134328357,0.019714117645781973,0.03576749349283223,0.05548161113861419,0.13432835820895522,0.13432835820895522,0.13432835820895522,1.0,0.0,67,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.03465831629282476,0.025218214092222205,0.12299136022020195,0.03465831629282476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09999999999999984,0.09999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.03535952287256774,0.03535952287256774,0.21152528026205109,0.11628833479171617,0.042220325817991296,0.042220325817991296,0.22877183760108644,0.15579906549806527,0.8442009345019348,unified_mainline
6,Local-Only,0.02456028381554233,0.19648227052433864,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999999,0.5665161547637159,0.5665161547637159,0.7999999999999999,0.5665161547637159,0.7350116452804326,0.0,1.0,0.0,0.0,0.0,0.0,0.2625,0.7375,0.7375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0625,0.0,10,0.0,0.0,0.0,1.9836941692461167,3.013278765563665,331132202.34733284,success_all_done,0,,,0,8,59,7.375,0,10,10,0,59,0.0,0.0,0.0,0,0,4.2,5.0,0.0,0.0,80,0,1.0,1.0,0.22105263157894736,4.2,29970114.01699838,1.0,1.0,0.15254237288135594,0.7457627118644068,0.1016949152542373,0.22033898305084745,0.010947675054370207,0.03959976623183242,0.050547441286202636,0.15254237288135594,0.15254237288135594,0.15254237288135594,1.0,0.0,59,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.030303787814316238,0.017749581650742,0.11136804375034105,0.030303787814316238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09999999999999984,0.09999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.031329237802638694,0.031329237802638694,0.2142736003527846,0.09506440683505842,0.042480322444255834,0.042480322444255834,0.26266124498307514,0.13921512825148763,0.8607848717485125,unified_mainline
7,Local-Only,0.008077621430635841,0.2180957786271677,0.8,0.8,0.968421052631579,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.700000000000001,1.7318306708338762,1.7318306708338762,2.700000000000001,1.7318306708338762,2.4860292122618444,0.2,0.8,0.0,0.0,0.0,0.0,0.6518518518518519,0.3481481481481481,0.3481481481481481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.9592592592592593,0.0,8,0.0,0.0,0.0,2.422936529844388,3.192088561299391,1359135920.8480573,all_failed,0,,,2,27,94,3.4814814814814814,0,10,10,0,94,0.0,0.0,0.0,0,0,2.7777777777777777,4.0,0.0,0.0,297,0,1.0,1.0,0.14619883040935674,2.7777777777777763,21494453.49175129,1.0,1.0,0.11702127659574468,0.8085106382978723,0.07446808510638298,0.09574468085106383,0.13051303517413096,0.08003624749500587,0.21054928266913683,0.11702127659574468,0.11702127659574468,0.11702127659574468,1.0,0.0,94,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.25537234897168015,0.20226057664422853,0.6659910905081656,0.25537234897168015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000042,0.10000000000000042,0.0,0.0,0.0,0.0,0.0,0.0,0.050466223454365675,0.050466223454365675,0.030309990851992735,0.26657530032121707,0.14495617375190134,0.1471889262879948,0.058053397993328364,0.7171470446136866,0.2828529553863134,unified_mainline
8,Local-Only,0.008400472236478081,0.2268127503849082,0.9,0.9,0.978021978021978,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.700000000000001,1.5199814357895474,1.5199814357895474,2.700000000000001,1.5199814357895474,2.3395066100989093,0.1,0.9,0.0,0.0,0.0,0.0,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.737037037037037,0.07407407407407407,9,0.0,0.0,0.0,2.4784609061887948,3.1851786483317097,1358848744.1022868,all_failed,0,,,1,27,90,3.3333333333333335,0,10,10,0,90,0.0,0.0,0.0,0,0,2.8,4.0,0.0,0.0,308,0,1.0,1.0,0.14736842105263157,2.799999999999999,23656750.531701777,1.0,1.0,0.12222222222222222,0.8555555555555555,0.022222222222222223,0.05555555555555555,0.0736842195986717,0.08562394786187139,0.1593081674605431,0.12222222222222222,0.12222222222222222,0.12222222222222222,1.0,0.0,90,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.19370499259677565,0.09698650026405702,0.6075516830209422,0.19370499259677565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000042,0.10000000000000042,0.0,0.0,0.0,0.0,0.0,0.0,0.04156160222589817,0.04156160222589817,0.042443120138882594,0.23660188151973616,0.12468480667769462,0.12637655170911374,0.05239147260583466,0.7069304043236901,0.2930695956763099,unified_mainline
9,Local-Only,0.007062647089828509,0.18362882433554123,0.6,0.6,0.970873786407767,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.600000000000001,1.7777625912767747,1.7777625912767747,2.600000000000001,1.7777625912767747,2.468867697414747,0.4,0.6,0.0,0.0,0.0,0.0,0.6076923076923076,0.39230769230769236,0.39230769230769236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0538461538461539,0.2692307692307692,8,0.0,0.0,0.0,2.5073700774535364,3.221324331512826,1382883219.9131186,all_failed,0,,,4,26,102,3.923076923076923,0,10,10,0,102,0.0,0.0,0.0,0,0,2.8,5.0,0.0,0.0,268,0,1.0,1.0,0.14736842105263157,2.799999999999999,21942550.78169217,1.0,1.0,0.16666666666666666,0.7352941176470589,0.09803921568627451,0.13725490196078433,0.11736339779823314,0.08211423975766213,0.19947763755589526,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0.0,102,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.25078824036982283,0.17974624458336788,0.7759265072937684,0.25078824036982283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000038,0.10000000000000038,0.0,0.0,0.0,0.0,0.0,0.0,0.05447969493179957,0.05447969493179957,0.016146775966485498,0.30250374253137474,0.1388698106104696,0.14220760202363064,0.041450003458216166,0.774308265919795,0.22569173408020496,unified_mainline
10,Local-Only,0.0037152970335615314,0.14118128727533819,0.4,0.4,0.925,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.800000000000002,2.5720723426451424,2.5720723426451424,3.800000000000002,2.5720723426451424,2.7251829262253073,0.6,0.4,0.0,0.0,0.0,0.0,0.6947368421052632,0.3052631578947368,0.3052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.4684210526315788,0.21052631578947367,4,0.0,0.0,0.0,3.3259668572654917,3.874220043873276,2327576294.0781794,all_failed,0,,,6,38,116,3.0526315789473686,0,10,10,0,116,0.0,0.0,0.0,0,0,3.110526315789474,4.0,0.0,0.0,380,0,1.0,1.0,0.16371191135734078,3.1105263157894742,24828593.604909383,1.0,1.0,0.05172413793103448,0.9482758620689655,0.0,0.008620689655172414,0.30368663605113977,0.1071450748408396,0.4108317108919794,0.05172413793103448,0.05172413793103448,0.05172413793103448,1.0,0.0,116,1.0,0.0,0.0,1.0,0.0,0.0,nan,nan,nan,0.4262131809545051,0.3869528790364697,0.959124120338219,0.4262131809545051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000071,0.10000000000000071,0.0,0.0,0.0,0.0,0.0,0.0,0.040307153643905226,0.040307153643905226,-0.0031541833082898755,0.247175131205317,0.13204067573003428,0.14261148482257763,0.011164716769971961,0.9273963288574759,0.0726036711425241,unified_mainline
