episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,mode_match_rate,oracle_match_rate,oracle_match_eps_abs_rate,oracle_match_eps_rel_rate,action_regret_mean,action_regret_p95,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,0.021816670687220558,0.000779166810257877,1.8993375182151795,0.15,0.15,0.15,0.695,0.8333333333333334,0.2962962962962963,0.4444444444444444,0.25925925925925924,0.491673908750194,0.3,0.3,1.7857142857142858,0.029465540818742048,0.4628858854592274,38.095238095238095,-0.5464725332060019,0.38095238095238093,0.13125368889651445,0.12962962962962962,0.41358024691358025,0.4567901234567901,0.38271604938271603,0.38271604938271603,nan,nan,0.254334590322511,0.691253704499384,0.2537313432835821,0.4864864864864865,0.28378378378378377,0.3763258756056133,-0.08656000985361406,2.224187559596095,20,20,18.43124556541443
2,,0.010579267547784248,0.00044080281449101035,1.5611674070358277,0.3,0.3,0.3,0.674074074074074,0.8292682926829268,0.2807017543859649,0.3508771929824561,0.3684210526315789,0.4919871052183832,0.041666666666666664,0.041666666666666664,0.3333333333333333,0.00963402403209549,0.29104661357885386,38.095238095238095,-0.34110241509948774,0.38095238095238093,0.013070340025997097,0.2982456140350877,0.24561403508771928,0.45614035087719296,0.3333333333333333,0.3333333333333333,nan,nan,0.20435327060988798,0.37163855854152233,0.32142857142857145,0.36538461538461536,0.3076923076923077,0.19097800271544083,-0.10006861086341307,2.4333017201219573,20,20,9.477400541305542
3,,0.05982655929351455,0.0015340143408593475,0.44858989914258324,0.2,0.2,0.2,0.6022304832713755,0.6984126984126984,0.41025641025641024,0.24102564102564103,0.3487179487179487,0.4911442346966419,0.46153846153846156,0.46153846153846156,0.7948717948717948,0.18627975304572175,0.3803106311863315,39.705882352941174,-0.7584024998430486,0.39705882352941174,0.14237111652550258,0.1076923076923077,0.7794871794871795,0.11282051282051282,0.2717948717948718,0.2717948717948718,nan,nan,0.4370880088623377,2.107584934204268,0.32894736842105265,0.22727272727272727,0.5,0.2801828999120527,-0.10012773127427882,2.215378671970851,20,20,16.118953227996826
4,,0.04669769145521071,0.0011973767039797619,0.410676376024882,0.2,0.2,0.2,0.7299270072992701,0.8135593220338984,0.3448275862068966,0.3620689655172414,0.29310344827586204,0.5070267551459181,0.47307692307692306,0.47307692307692306,1.4871794871794872,0.1919645790435906,0.3016747319239289,41.17647058823529,-0.222592510343776,0.4117647058823529,0.1728184254063349,0.15948275862068967,0.4482758620689655,0.3922413793103448,0.3706896551724138,0.3706896551724138,nan,nan,0.2194659906046631,0.9759710906597775,0.3173076923076923,0.4175824175824176,0.34065934065934067,0.2288868183288412,-0.07278791359508774,2.3268227876577114,20,20,16.70754623413086
5,,0.05252443789140241,0.0018758727818358003,0.4067507177591324,0.3,0.3,0.3,0.7135922330097088,0.7692307692307693,0.4228571428571429,0.32,0.2571428571428571,0.4950877528238509,0.31607142857142856,0.31607142857142856,0.8214285714285714,0.1899644865178253,0.3142398825335667,24.444444444444443,-0.45555745222823174,0.24444444444444444,0.17415528539456837,0.18285714285714286,0.5885714285714285,0.22857142857142856,0.30857142857142855,0.30857142857142855,nan,nan,0.23054563358346522,0.6233072819748218,0.22330097087378642,0.3,0.25,0.2188609514989554,-0.09537893103461129,2.050203320852467,20,20,13.748937129974365
6,,0.0912036404135516,0.0041456200187978,0.24353692829608917,0.65,0.65,0.65,0.8931297709923665,0.8857142857142857,0.46511627906976744,0.24031007751937986,0.29457364341085274,0.49118534870107067,0.07272727272727272,0.07272727272727272,0.2727272727272727,0.33860794738469574,0.285730468339797,28.947368421052634,-0.038810217628017195,0.2894736842105263,0.03321816943109635,0.20930232558139536,0.34108527131782945,0.4496124031007752,0.2713178294573643,0.2713178294573643,nan,nan,0.044992861274726445,0.12818209270586436,0.3409090909090909,0.1724137931034483,0.25862068965517243,0.197157042157586,-0.088573426182211,1.9548585445594873,20,20,4.522624492645264
7,,0.08774037739105955,0.0036558490579608146,0.4064814805984497,0.65,0.65,0.65,0.905511811023622,0.8823529411764706,0.5121951219512195,0.2032520325203252,0.2845528455284553,0.5109524456163247,0.06041666666666667,0.06041666666666667,0.041666666666666664,0.34234146904926804,0.29195008857595867,45.714285714285715,-0.028025144222814057,0.45714285714285713,0.02480108118889599,0.22764227642276422,0.4959349593495935,0.2764227642276423,0.3252032520325203,0.3252032520325203,nan,nan,0.03295375049928797,0.11072721910795,0.29508196721311475,0.23529411764705882,0.3235294117647059,0.20031422324883522,-0.09163586532712345,1.784542139130364,20,20,4.459120512008667
8,,0.04499510456620415,0.0016069680202215767,0.4648121505975723,0.25,0.25,0.25,0.8367346938775511,0.8421052631578947,0.510989010989011,0.2692307692307692,0.21978021978021978,0.4959594973945059,0.5428571428571428,0.5428571428571428,0.5714285714285714,0.2088065334675689,0.24984504821922301,37.5,-0.10560057316943842,0.375,0.1279432095765681,0.15934065934065933,0.5494505494505495,0.29120879120879123,0.25824175824175827,0.25824175824175827,nan,nan,0.17208698187580812,0.5374783001975324,0.2,0.2830188679245283,0.24528301886792453,0.20864881514384254,-0.041196233075380485,2.0873492354516703,20,20,8.723857402801514
9,,0.17496926993086584,0.00603342310106434,0.3480698108673096,0.85,0.85,0.85,0.9120879120879121,0.9629629629629629,0.5542857142857143,0.2742857142857143,0.17142857142857143,0.5013825812409151,0.5086206896551724,0.5086206896551724,0.8620689655172413,0.7847638721924466,0.35553881359401757,23.333333333333332,-0.12781770670685827,0.23333333333333334,0.3091924025341434,0.15428571428571428,0.5657142857142857,0.28,0.30857142857142855,0.30857142857142855,nan,nan,0.143963803068195,0.5579975850069561,0.13131313131313133,0.20408163265306123,0.22448979591836735,0.27272977816561433,-0.08280903542840322,2.1228762874729865,20,20,8.14240312576294
10,,0.17773370750109624,0.00683591182696524,0.2915306776762009,0.9,0.9,0.9,0.9637305699481865,0.9375,0.5572916666666666,0.2604166666666667,0.18229166666666666,0.50332624056878,0.5461538461538461,0.5461538461538461,1.0384615384615385,0.9004395766848874,0.25852823008655346,51.42857142857142,0.043629861389159176,0.5142857142857142,0.22097090712151107,0.17708333333333334,0.2760416666666667,0.546875,0.20833333333333334,0.20833333333333334,nan,nan,0.13200778526152965,0.46961674781800306,0.24528301886792453,0.3238095238095238,0.13333333333333333,0.2338331723442023,-0.024695057742351173,2.237580134221035,20,20,6.779397487640381
