episode,steps,physical_steps,decision_steps,active_decision_ratio,wall_time,sim_time,termination_reason_raw,termination_reason_bucket,reward_mean,reward_total,episode_reward,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_completed,episode_time_seconds,mean_r_prog,mean_r_term,mean_cost_power,mean_cost_trust,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,illegal_action_ratio,no_task_rate,on_task_rate,has_task_available_rate,v2v_link_break_rate,unified_illegal_trigger_rate,hard_trigger_rate,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_term,reward_clip_hit_count,reward_clip_hit_rate,abs_ratio_basis,r_prog_on_task_mean,r_prog_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_term,actor_loss,critic_loss,critic_loss_raw_mean,normalized_value_loss,entropy,approx_kl,clip_frac,cost_power_value_loss,cost_trust_value_loss,lambda_power,lambda_trust,grad_norm,grad_norm_preclip,grad_norm_postclip,active_ratio,actor_update_active_frac,value_clip_fraction,critic_loss_active,critic_loss_inactive,mode_aux_loss,mode_aux_acc,ppo_epochs_executed,num_minibatches_executed,mb_kl_max,mb_kl_p95,early_stop_epoch_idx,early_stop_batch_idx,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,28,28,154,5.5,19.913185358047485,2.8000000000000003,all_failed,terminated,0.0013161849929019809,0.03685318895680327,0.03685318895680327,0.016739224083721638,0.007156348321586847,0.2,0.2,0.65,1.5417102881934575,1.8280377536541965,4,1.5417102881934575,2.800000000000001,0.032467543768232465,-0.019305690569374152,0.414841261372528,0.0,0.41484126137252814,0.9610587277822719,0.047957683016505166,0.0,16,0.8,0.35064935064935066,0.37662337662337664,0.2727272727272727,0.35064935064935066,0.37662337662337664,0.2727272727272727,0.49581775521926047,1.9285714285714286,5.649999999999999,0.49393249461861627,0.8601909130811691,0.0,1.2563834028700413e-09,1.40256209424372e-10,9.533126676952713e-10,100,54,0.0,0.0,0.0,0.0,0.0,0.725,0.275,0.275,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.11806379552084535,0.14893333738400202,0.8991039865852036,0.10089601341479645,-0.00754381800070405,2.2994446873664858,2.2994446873664858,2.2994451403617857,2.169155240058899,0.012675285269506276,0.11171875,0.007270952314138412,0.002865517232567072,0.0,0.0,32.71875245897246,32.71875245897246,32.718753051757815,1.0,1.0,0.827734375,2.2994446873664858,0.0,,,5,10,0.03725770115852356,0.03355789724737405,-1,-1,0,False,0.0002,0.0,0.09998755555555557
2,24,24,115,4.791666666666667,9.918495416641235,2.4000000000000004,all_failed,terminated,-1.8876473404816352e-05,-0.00045303878502401737,-0.00045303878502401737,0.010998806403949856,0.006588509771972895,0.25,0.25,0.6814814814814815,0.8539866592488428,1.2484956192477517,5,0.8539866592488428,2.400000000000001,0.01566504940539464,-0.015853815565821328,0.2819896544935084,0.0,0.2819896544935084,0.9789067550570201,0.031492124885723095,0.0,15,0.75,0.23478260869565218,0.3739130434782609,0.391304347826087,0.23478260869565218,0.3739130434782609,0.391304347826087,0.5110465336202954,0.8333333333333334,3.849999999999998,0.5147697385452418,0.8896950244903564,0.0,1.7935619309183836e-10,4.859731367323761e-11,3.3029693841113416e-10,87,27,0.0,0.0,0.0,0.0,0.0,0.7604166666666666,0.23958333333333337,0.23958333333333337,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.06538455403990809,0.07830950871587679,0.5338573829752965,0.4661426170247035,-0.0037112485617399214,1.089347505569458,1.089347505569458,1.0893477201461792,2.0314422607421876,0.011072736140340567,0.021875,0.0036911409813910724,0.002036009938456118,0.0,0.0,5.974117734839035,5.974117734839035,5.974117660522461,1.0,1.0,0.59375,1.089347505569458,0.0,,,5,5,0.018597297370433807,0.017358667030930516,-1,-1,0,False,0.0002,0.0,0.09997688888888889
3,39,39,227,5.82051282051282,15.696289300918579,3.9000000000000004,all_failed,terminated,0.00019919144688174129,0.007768475921749114,0.007768475921749114,0.011972860619425775,0.004696840886026621,0.05,0.05,0.7472118959107806,2.862283454049197,2.862283454049197,1,2.862283454049197,3.900000000000002,0.025126795051229032,-0.023134878148216433,0.36891585893953416,0.0,0.3689158589395344,0.9709360529669308,0.04116163045283658,0.0,19,0.95,0.23348017621145375,0.3964757709251101,0.3700440528634361,0.23348017621145375,0.3964757709251101,0.3700440528634361,0.49780629369406365,3.051282051282051,11.0,0.496939014456833,0.8584437429904939,0.0,1.1832276339274136e-10,1.759715116678162e-11,1.083832731896271e-10,168,53,0.0,0.0,0.0,0.0,0.0,0.708974358974359,0.291025641025641,0.291025641025641,0.013793103448275862,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.08633876713638172,0.12573998429682742,0.9656251637784863,0.03437483622151364,-0.00033260900527238847,0.984369432926178,0.984369432926178,0.9843697508176168,1.7881035804748535,0.027455393814792235,0.15494791666666666,0.001134612453946223,0.000774863517532746,0.0,0.0,5.333065472513918,5.333065472513918,5.333065382639567,1.0,1.0,0.5549479166666667,0.984369432926178,0.0,,,5,15,0.055422767996788025,0.053431797027587886,-1,-1,0,False,0.0002,0.0,0.09995955555555557
4,38,38,228,6.0,19.75686264038086,3.8000000000000003,all_failed,terminated,0.0010711555369198322,0.04070391149657825,0.04070391149657825,0.009318043990060686,0.0049017383717000484,0.2,0.2,0.7299270072992701,2.4023515552070345,3.0941725169797847,4,2.4023515552070345,3.800000000000002,0.026573463016880943,-0.015861907359886608,0.30659398549124556,0.0,0.30659398549124567,0.9834274739431091,0.03459016335152898,0.0,15,0.75,0.19736842105263158,0.44298245614035087,0.35964912280701755,0.19736842105263158,0.44298245614035087,0.35964912280701755,0.4952839752512151,3.6315789473684212,10.149999999999999,0.4941146489177725,0.8519143342971802,0.0,2.1971063648984487e-10,3.4798844361638714e-11,2.094035687905111e-10,175,45,0.0,0.0,0.0,0.0,0.0,0.7,0.30000000000000004,0.30000000000000004,0.035211267605633804,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.08857821005626959,0.11797960104988497,0.8465903047313907,0.15340969526860918,0.005430339835584164,0.7519303560256958,0.7519303560256958,0.7519305527210236,1.81099374294281,0.0018073803628794848,0.0515625,0.0006732258712872863,0.00048324189847335217,0.0,0.0,7.131886126436788,7.131886126436788,7.13188625574112,1.0,1.0,0.534765625,0.7519303560256958,0.0,,,5,10,0.009365363046526909,0.008379098027944563,-1,-1,0,False,0.0002,0.0,0.09994266666666667
5,26,26,194,7.461538461538462,13.28265929222107,2.6,all_failed,terminated,0.004686314612627029,0.12184418481349318,0.12184418481349318,0.01714493939653039,0.007530661299824715,0.55,0.55,0.8737864077669902,1.8267336704610884,2.363586043576295,11,1.8267336704610884,2.600000000000001,0.037320088594966244,0.009543059410223452,0.09158630600722677,0.0,0.09158630600722678,0.5491880961003974,0.014004812328664407,0.0,9,0.45,0.23195876288659795,0.5309278350515464,0.23711340206185566,0.23195876288659795,0.5309278350515464,0.23711340206185566,0.49108956419647887,3.9615384615384617,9.0,0.4885311222330916,0.8637351423501968,0.0,8.717898236643132e-10,9.033867404140139e-11,4.1665370181797734e-10,146,45,0.0,0.0,0.0,0.0,0.0,0.6269230769230769,0.3730769230769231,0.3730769230769231,0.013333333333333334,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.10003322716176516,0.11813535561693414,0.689102763188441,0.31089723681155906,-0.0028786567971110346,1.015978956222534,1.015978956222534,1.0159791111946106,1.8244097590446473,0.010097999323625118,0.038671875,0.0007006420171819627,0.0005898819159483537,0.0,0.0,7.21241527943049,7.21241527943049,7.212415325641632,1.0,1.0,0.51015625,1.015978956222534,0.0,,,5,10,0.02107609249651432,0.019149983953684564,-1,-1,0,False,0.0002,0.0,0.09993111111111112
6,20,20,131,6.55,3.840358018875122,2.0,success_all_done,terminated,0.009516243822872639,0.19032487251497227,0.19032487251497227,0.03852981347590686,0.009516243822872639,1.0,1.0,1.0,0.7887230881196559,0.9737671186000909,20,0.7887230881196559,2.0000000000000004,0.013996324433201344,0.08116611182428476,0.09067029759543527,0.0,0.09067029759543527,0.9940103752993573,0.010866036833418241,0.0,0,0.0,0.2595419847328244,0.549618320610687,0.19083969465648856,0.2595419847328244,0.549618320610687,0.19083969465648856,0.4859213279839605,1.45,5.450000000000006,0.4818923832591132,0.8368723094463348,0.0,1.205972648132824e-10,1.85866513152666e-11,1.2094484302949114e-10,97,34,0.0,0.0,0.0,0.0,0.0,0.6725,0.3275,0.3275,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.042736868498324726,0.04288108728788257,0.1685484523085235,0.8314515476914764,0.0029328085482120516,1.3209587335586548,1.3209587335586548,1.3209589719772339,1.724082112312317,-0.0066216048784554,0.0359375,0.0009503185166977346,0.0006446702871471643,0.0,0.0,12.4042425214643,12.4042425214643,12.404242897033692,1.0,1.0,0.61953125,1.3209587335586548,0.0,,,5,5,0.0,-0.004529120866209269,-1,-1,0,False,0.0002,0.0,0.09992222222222223
7,19,19,130,6.842105263157895,3.85505747795105,1.9000000000000001,success_all_done,terminated,0.009343333542346954,0.1775233574374398,0.1775233574374398,0.03415052145719527,0.009343333542346954,1.0,1.0,1.0,1.002894504439736,1.810085694390408,20,1.002894504439736,1.9000000000000006,0.013827175571832552,0.07960617044787262,0.20691123862021465,0.0,0.20691123862021477,0.9924322604711378,0.021579197780984764,0.0,0,0.0,0.2692307692307692,0.4307692307692308,0.3,0.2692307692307692,0.4307692307692308,0.3,0.49646094174761524,0.631578947368421,1.8999999999999808,0.49545661440572225,0.8547854721546173,0.0,1.6036315331202644e-10,2.7232514854258483e-11,1.7904756427489236e-10,92,35,0.0,0.0,0.0,0.0,0.0,0.6578947368421053,0.3421052631578947,0.3421052631578947,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.04041789782535665,0.04288916431291622,0.18465288803002278,0.8153471119699772,-0.033979537710547444,1.0922176122665406,1.0922176122665406,1.092217779159546,1.6236066818237305,0.0011375320143997669,0.053125,0.0006573144462890923,0.00074449802050367,0.0,0.0,12.440927428821427,12.440927428821427,12.440927028656006,1.0,1.0,0.61484375,1.0922176122665406,0.0,,,5,5,0.007760866545140743,0.007453852705657482,-1,-1,0,False,0.0002,0.0,0.09991377777777778
8,27,27,188,6.962962962962963,8.45329737663269,2.7,all_failed,terminated,0.006096727680414915,0.16461164396540975,0.16461164396540975,0.024670579284429544,0.007688272278755903,0.8,0.8,0.9285714285714286,1.75316892441905,2.0780297734782374,16,1.75316892441905,2.700000000000001,0.030273120973668157,0.03069415456907619,0.06350320980762127,0.0,0.0635032098076213,0.40723662272248246,0.010928458790587452,0.0,4,0.2,0.2712765957446808,0.574468085106383,0.15425531914893617,0.2712765957446808,0.574468085106383,0.15425531914893617,0.4841677554745089,4.518518518518518,15.099999999999998,0.4796926079720542,0.8458884954452515,0.0,3.055213970704073e-10,5.0877493190659706e-11,3.0009887214132944e-10,135,51,0.0,0.0,0.0,0.0,0.0,0.6518518518518519,0.3481481481481481,0.3481481481481481,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.08695470917968513,0.09690351461190994,0.6102163252130266,0.38978367478697346,-0.0031040068715810776,0.5957267642021179,0.5957267642021179,0.5957268834114074,1.4935651302337647,0.006869647791609168,0.05546875,0.0005295081529766322,0.000564245629357174,0.0,0.0,6.33941881442019,6.33941881442019,6.33941879272461,1.0,1.0,0.508203125,0.5957267642021179,0.0,,,5,10,0.013818280771374702,0.013651855569332837,-1,-1,0,False,0.0002,0.0,0.09990177777777778
9,29,29,176,6.068965517241379,7.881590366363525,2.9000000000000004,all_failed,terminated,0.0064874435774981976,0.18813585404691668,0.18813585404691668,0.021400400996208185,0.007189188618212938,0.9,0.9,0.9395604395604396,1.6530206058141368,1.9388621568984765,18,1.6530206058141368,2.9000000000000012,0.027266410124973956,0.03760802230499735,0.05867931686692819,0.0,0.05867931686692817,0.5007859507821875,0.00897640596403125,0.0,2,0.1,0.16477272727272727,0.6875,0.14772727272727273,0.16477272727272727,0.6875,0.14772727272727273,0.48115020303521305,6.655172413793103,18.599999999999998,0.47745797476375995,0.8413570523262021,0.0,1.9990562399874123e-10,3.411481167003849e-11,1.78645755133377e-10,146,29,0.0,0.0,0.0,0.0,0.0,0.696551724137931,0.303448275862069,0.303448275862069,0.025,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.08985521518457319,0.09409150286240144,0.7051433310002129,0.29485666899978713,-0.01956679914146662,0.4043708503246307,0.4043708503246307,0.40437092185020446,1.4866163849830627,0.006792367761954665,0.050390625,0.000456988753285259,0.00047218254185281693,0.0,0.0,5.681485397061612,5.681485397061612,5.681485390663147,1.0,1.0,0.5359375,0.4043708503246307,0.0,,,5,10,0.01760217547416687,0.01560646402649581,-1,-1,0,False,0.0002,0.0,0.09988888888888889
10,26,26,185,7.115384615384615,7.697143316268921,2.6,all_failed,terminated,0.006651861127465963,0.17294837933641197,0.17294837933641197,0.024318923242390156,0.007451579440385103,0.85,0.85,0.9222797927461139,1.6986605965570607,2.051430928732014,17,1.6986605965570607,2.600000000000001,0.029390825603140797,0.037127781833940714,0.06548980062916149,0.0,0.06548980062916147,0.4442268359866493,0.010896385489520039,0.0,3,0.15,0.15135135135135136,0.6810810810810811,0.16756756756756758,0.15135135135135136,0.6810810810810811,0.16756756756756758,0.48308012664246447,6.230769230769231,16.5,0.48004912892081975,0.8349200487136841,0.0,1.9854727584256437e-10,3.2937159943902117e-11,2.0268416875413027e-10,155,28,0.0,0.0,0.0,0.0,0.0,0.6442307692307693,0.3557692307692307,0.3557692307692307,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.08261205034396349,0.09428800230964289,0.7306863294484784,0.26931367055152144,0.006017395108938217,0.360617133975029,0.360617133975029,0.36061719357967376,1.3661465883255004,0.014126447984017432,0.078515625,0.00040672246541362256,0.0004126186511712149,0.0,0.0,8.627121512303576,8.627121512303576,8.627121376991273,1.0,1.0,0.49921875,0.360617133975029,0.0,,,5,10,0.029535863548517227,0.027481361851096148,-1,-1,0,False,0.0002,0.0,0.09987733333333335
