episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,mean_cost_power,mean_cost_trust,episode_time_seconds,mean_cft_completed,act_seconds,makespan_seconds,task_duration_mean,task_duration_p95,deadline_miss_rate,deadline_meet_ratio,time_limit_rate,energy_mean,energy_p95,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,v2v_link_break_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,avg_queue_len,avg_rsu_queue,completed_tasks_count,t_tx_mean,dT_eff_mean,dT_eff_p95,deadline_seconds_mean,deadline_gamma_mean,critical_path_cycles_mean,terminated_reason,idle_terminate_count,task_success_count,task_completion_count,audit_deadline_misses,physical_steps,decision_steps,active_decision_ratio,deadlock_vehicle_count,episode_vehicle_count,episode_task_count,tx_tasks_created_count,same_node_no_tx_count,idle_fraction,service_rate_when_active,fallback_rate,not_in_candidate_fallback_cnt,illegal_by_connectivity_cnt,candidate_reachable_cnt_mean,candidate_reachable_cnt_p95,candidate_dropped_cnt_mean,candidate_dropped_cnt_p95,rsu_gate_total,rsu_gate_blocked,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,best_mode_compare_rate,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,oracle_match_rate,mode_match_rate,oracle_match_rate_on_task,target_match_within_mode_rate,target_regret_within_mode_mean,oracle_valid_count,oracle_local_chosen_local_rate,oracle_local_chosen_rsu_rate,oracle_local_chosen_v2v_rate,oracle_rsu_chosen_local_rate,oracle_rsu_chosen_rsu_rate,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_local_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,action_regret_mean,action_regret_p50,action_regret_p95,action_regret_mean_on_task,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,rho_selected_mean,rho_selected_p10,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,risk_penalty_mean,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,malicious_count,edge_rate_recompute_cnt_mean,edge_rate_delta_mean,edge_rate_delta_p95,v2v_tx_jobs,v2v_link_break_count,delta_phi_mean,delta_phi_p50,delta_phi_p95,delta_phi_min,delta_phi_max,shape_clip_hit_rate,r_total_clip_hit_rate,reward_clip_hit_rate,reward_clip_hit_count,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dt_used_mean,implied_dt_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dCFT_prog_mean,dCFT_prog_p95,r_prog_mean,mean_r_prog,mean_r_term,reward_step_p95,r_prog_on_task_mean,r_prog_on_task_abs_mean,r_term_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_term,abs_ratio_basis
1,Local-Only,0.020949994854533558,0.18854995369080202,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999999,0.6209990211278059,0.6209990211278059,0.8999999999999999,0.6209990211278059,0.7920323582548696,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.022222222222222223,1.0,20,0.0,0.0,0.0,2.0623289479139064,3.018292952028032,325809730.3192524,success_all_done,0,,,0,9,135,15.0,0,20,20,0,135,0.0,0.0,0.0,0,0,12.9,16.0,0.0,0.0,261,0,1.0,1.0,0.6789473684210525,12.900000000000002,35773183.61149483,1.0,1.0,0.17777777777777778,0.007407407407407408,0.8148148148148148,0.9851851851851852,-0.06514657231980027,0.09888096513073058,0.03373439281093031,0.17777777777777778,0.17777777777777778,0.17777777777777778,1.0,0.0,135,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.02048781139302949,0.018785042923204515,0.050170701211925274,0.02048781139302949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09999999999999992,0.09999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.02058881940934869,0.02058881940934869,0.18891112913598687,0.046265654829096746,0.027451759212464916,0.027451759212464916,0.2398603013668014,0.10269555048499063,0.8973044495150093,unified_mainline
2,Local-Only,0.005413359341259783,0.18946757694409241,0.75,0.75,0.966542750929368,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5000000000000018,2.6256158190882397,2.6256158190882397,3.5000000000000018,2.6256158190882397,3.370768642011103,0.25,0.75,0.0,0.0,0.0,0.0,0.62,0.38,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.3914285714285715,0.22857142857142856,15,0.0,0.0,0.0,3.4040447527612705,3.775225371978306,1989789412.820533,all_failed,0,,,5,35,266,7.6,0,20,20,0,266,0.0,0.0,0.0,0,0,6.817142857142857,9.0,0.0,0.0,735,0,1.0,1.0,0.3587969924812031,6.817142857142862,31737002.095422473,1.0,1.0,0.12030075187969924,0.48120300751879697,0.39849624060150374,0.46616541353383456,0.05622326468580895,0.1828846814323397,0.23910794611814873,0.12030075187969924,0.12030075187969924,0.12030075187969924,1.0,0.0,266,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.27478187927618825,0.23059620661425947,0.7361208033810643,0.27478187927618825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000042,0.10000000000000042,0.0,0.0,0.0,0.0,0.0,0.0,0.03487172214341302,0.03487172214341302,0.019261871269184827,0.22729795180963785,0.09176768985108687,0.12279183292168729,0.026306702798192142,0.8235616287498881,0.1764383712501118,unified_mainline
3,Local-Only,0.004926920941129728,0.1921499167040594,0.65,0.65,0.9562043795620438,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.900000000000002,2.528391430164256,2.528391430164256,3.900000000000002,2.528391430164256,3.211014996730141,0.35,0.65,0.0,0.0,0.0,0.0,0.6551282051282051,0.34487179487179487,0.34487179487179487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.3205128205128205,0.20512820512820512,14,0.0,0.0,0.0,3.3922975606242445,3.745097232963097,2054570593.275755,all_failed,0,,,7,39,269,6.897435897435898,0,20,20,0,269,0.0,0.0,0.0,0,0,7.597435897435897,9.0,0.0,0.0,865,0,1.0,1.0,0.3998650472334685,7.597435897435896,29739988.822922733,1.0,1.0,0.15985130111524162,0.2825278810408922,0.5576208178438662,0.6505576208178439,-0.008466172301589253,0.1848168718875748,0.1763506995859856,0.15985130111524162,0.15985130111524162,0.15985130111524162,1.0,0.0,269,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.30517281051014816,0.23950632960440996,0.9260277440878293,0.30517281051014816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0999999999999998,0.0999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.03725908814341742,0.03725908814341742,0.012010121267879894,0.19028775159646388,0.10803750465377537,0.12347771611621976,0.008420171236037036,0.9361614396934996,0.06383856030650036,unified_mainline
4,Local-Only,0.006174588115682832,0.1728884672391193,0.75,0.75,0.9805825242718447,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.800000000000001,1.7136315581023864,1.7136315581023864,2.800000000000001,1.7136315581023864,2.5386421403442627,0.25,0.75,0.0,0.0,0.0,0.0,0.6357142857142857,0.3642857142857143,0.3642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.8303571428571429,0.32142857142857145,17,0.0,0.0,0.0,2.490900958385048,3.1232477277343844,1239079237.646943,all_failed,0,,,5,28,204,7.285714285714286,0,20,20,0,204,0.0,0.0,0.0,0,0,10.996428571428572,16.0,0.0,0.0,713,0,1.0,1.0,0.5787593984962406,10.99642857142857,30673284.808677644,0.9499999999999995,1.0,0.1568627450980392,0.43137254901960786,0.4117647058823529,0.5284974093264249,-0.007664587723883313,0.16003627745087198,0.15280655436550852,0.1568627450980392,0.1568627450980392,0.1568627450980392,1.0,0.0,204,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.16890442325002758,0.11494751896621183,0.5865333811224532,0.16890442325002758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000094,0.10000000000000094,0.0,0.0,0.0,0.0,0.0,0.0,0.034510668641128034,0.034510668641128034,0.027235212515700328,0.22013002319127054,0.09473516881878276,0.10253449508675916,0.04694884668867715,0.6859258956144638,0.31407410438553607,unified_mainline
5,Local-Only,0.021196605266664423,0.1907694473999798,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999999,0.642806697856021,0.642806697856021,0.8999999999999999,0.642806697856021,0.7936029540076669,0.0,1.0,0.0,0.0,0.0,0.0,0.2722222222222222,0.7277777777777779,0.7277777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.08888888888888889,0.5555555555555556,20,0.0,0.0,0.0,2.0901968415728556,2.993599827111143,365288006.59110206,success_all_done,0,,,0,9,131,14.555555555555555,0,20,20,0,131,0.0,0.0,0.0,0,0,9.3,11.0,0.0,0.0,180,0,1.0,1.0,0.48947368421052645,9.299999999999999,35333223.5483104,1.0,1.0,0.19083969465648856,0.07633587786259542,0.732824427480916,0.8854961832061069,-0.03908532681719507,0.08211231824816183,0.04302699143096676,0.19083969465648856,0.19083969465648856,0.19083969465648856,1.0,0.0,131,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.026328086632776207,0.02035764326112126,0.0663979753913675,0.026328086632776207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09999999999999992,0.09999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.02387400627351849,0.02387400627351849,0.1880920463931257,0.05776847179651321,0.03280397808575061,0.03280397808575061,0.234184090911779,0.12286683149895415,0.877133168501046,unified_mainline
6,Local-Only,0.023990730460558607,0.19192584368446886,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999999,0.6050300450935405,0.6050300450935405,0.7999999999999999,0.6050300450935405,0.7561832492514097,0.0,1.0,0.0,0.0,0.0,0.0,0.20625,0.79375,0.79375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.06875,0.375,20,0.0,0.0,0.0,2.0569971770834004,2.9666987341059636,329610992.3451273,success_all_done,0,,,0,8,127,15.875,0,20,20,0,127,0.0,0.0,0.0,0,0,9.1,10.0,0.0,0.0,160,0,1.0,1.0,0.4789473684210526,9.1,35862888.05048615,1.0,1.0,0.2125984251968504,0.12598425196850394,0.6614173228346457,0.8740157480314961,-0.02872147506696419,0.07647623206803522,0.047754757001071034,0.2125984251968504,0.2125984251968504,0.2125984251968504,1.0,0.0,127,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.018200634720081724,0.00948899340604301,0.06958522566994461,0.018200634720081724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09999999999999974,0.09999999999999974,0.0,0.0,0.0,0.0,0.0,0.0,0.026657561543989454,0.026657561543989454,0.21324974306159664,0.05776631695682707,0.03358432950423865,0.03358432950423865,0.2557093253199538,0.11609079198314351,0.8839092080168564,unified_mainline
7,Local-Only,0.007647267592347152,0.20647622499337312,0.85,0.85,0.9744897959183674,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.700000000000001,1.7221252151827764,1.7221252151827764,2.700000000000001,1.7221252151827764,2.446579277602208,0.15,0.85,0.0,0.0,0.0,0.0,0.6407407407407407,0.3592592592592593,0.3592592592592593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.8962962962962963,0.18518518518518517,17,0.0,0.0,0.0,2.469863596938154,3.1726825099569775,1363156040.5526867,all_failed,0,,,3,27,194,7.185185185185185,0,20,20,0,194,0.0,0.0,0.0,0,0,6.985185185185185,9.0,0.0,0.0,595,0,1.0,1.0,0.3676413255360622,6.985185185185185,29597068.83108099,1.0,1.0,0.17525773195876287,0.26804123711340205,0.5567010309278351,0.6804123711340206,-0.02354688040805613,0.16848620972254752,0.14493932931449136,0.17525773195876287,0.17525773195876287,0.17525773195876287,1.0,0.0,194,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1938073825870476,0.12109405532720846,0.6416679355009186,0.1938073825870476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000092,0.10000000000000092,0.0,0.0,0.0,0.0,0.0,0.0,0.041307520733396864,0.041307520733396864,0.03516515519007463,0.23984100917102982,0.11497969688677492,0.12064446324845272,0.040356682555182884,0.7493391593349047,0.2506608406650953,unified_mainline
8,Local-Only,0.007188384617834305,0.19408638468152625,0.85,0.85,0.967032967032967,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.700000000000001,1.6239640450443948,1.6239640450443948,2.700000000000001,1.6239640450443948,2.4981972467007374,0.15,0.85,0.0,0.0,0.0,0.0,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.8388888888888889,0.2962962962962963,17,0.0,0.0,0.0,2.4728655247334532,3.154650449065335,1446202027.587773,all_failed,0,,,3,27,180,6.666666666666667,0,20,20,0,180,0.0,0.0,0.0,0,0,7.074074074074074,9.0,0.0,0.0,578,0,1.0,1.0,0.3723196881091616,7.074074074074071,30445320.905561548,1.0,1.0,0.16111111111111112,0.31666666666666665,0.5222222222222223,0.6611111111111111,-0.03412914042820887,0.1775301872995348,0.14340104687132596,0.16111111111111112,0.16111111111111112,0.16111111111111112,1.0,0.0,180,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.18206447802959716,0.08475672183326532,0.6380710183631114,0.18206447802959716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000092,0.10000000000000092,0.0,0.0,0.0,0.0,0.0,0.0,0.035133950165210745,0.035133950165210745,0.03674989601313231,0.23387488573669343,0.10540185049563217,0.10972858770999448,0.040450944867184105,0.7306494155826726,0.26935058441732734,unified_mainline
9,Local-Only,0.0063055205729278755,0.16394353489612476,0.7,0.7,0.9740932642487047,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.600000000000001,1.6081584514174452,1.6081584514174452,2.600000000000001,1.6081584514174452,2.3775592164108135,0.3,0.7,0.0,0.0,0.0,0.0,0.6307692307692307,0.36923076923076925,0.36923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.8615384615384616,0.4230769230769231,16,0.0,0.0,0.0,2.482074756847032,3.2099058322362084,1363801377.7431183,all_failed,0,,,6,26,192,7.384615384615385,0,20,20,0,192,0.0,0.0,0.0,0,0,6.15,9.0,0.0,0.0,529,0,1.0,1.0,0.3236842105263158,6.149999999999998,26308613.95115383,1.0,1.0,0.22916666666666666,0.08854166666666667,0.6822916666666666,0.84375,-0.0605035571786721,0.17316526324084403,0.11266170606217192,0.22916666666666666,0.22916666666666666,0.22916666666666666,1.0,0.0,192,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.19642587574353584,0.11094127283905184,0.7009424222141725,0.19642587574353584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000091,0.10000000000000091,0.0,0.0,0.0,0.0,0.0,0.0,0.0371767938286648,0.0371767938286648,0.02587841190061391,0.2721052656274056,0.10068714995263385,0.10648283621723802,0.05019504669334438,0.6796290212704036,0.32037097872959636,unified_mainline
10,Local-Only,0.0034735361738619922,0.1319943746067557,0.55,0.55,0.9380165289256198,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.800000000000002,2.594174861882487,2.594174861882487,3.800000000000002,2.594174861882487,3.1281400008376075,0.45,0.55,0.0,0.0,0.0,0.0,0.6907894736842105,0.3092105263157895,0.3092105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.4092105263157895,0.23684210526315788,11,0.0,0.0,0.0,3.2905810686654595,3.8580289333004556,2255306666.731142,all_failed,0,,,9,38,235,6.184210526315789,0,20,20,0,235,0.0,0.0,0.0,0,0,6.7026315789473685,8.0,0.0,0.0,798,0,1.0,1.0,0.35277008310249314,6.702631578947368,34038536.167161286,1.0,1.0,0.11914893617021277,0.6510638297872341,0.2297872340425532,0.33191489361702126,0.0907258765505162,0.21737721103550023,0.3081030875860165,0.11914893617021277,0.11914893617021277,0.11914893617021277,1.0,0.0,235,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.33028631342769027,0.2740504462888429,0.8250046479589612,0.33028631342769027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09999999999999995,0.09999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.029300017392705477,0.029300017392705477,0.005435344345914398,0.22670158881177388,0.09475750305726038,0.14024055809378372,0.009833784543435115,0.9344739122582283,0.06552608774177172,unified_mainline
