episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,mean_cost_power,mean_cost_trust,episode_time_seconds,mean_cft_completed,act_seconds,makespan_seconds,task_duration_mean,task_duration_p95,deadline_miss_rate,deadline_meet_ratio,time_limit_rate,energy_mean,energy_p95,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,v2v_link_break_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,avg_queue_len,avg_rsu_queue,completed_tasks_count,t_tx_mean,dT_eff_mean,dT_eff_p95,deadline_seconds_mean,deadline_gamma_mean,critical_path_cycles_mean,terminated_reason,idle_terminate_count,task_success_count,task_completion_count,audit_deadline_misses,physical_steps,decision_steps,active_decision_ratio,deadlock_vehicle_count,episode_vehicle_count,episode_task_count,tx_tasks_created_count,same_node_no_tx_count,idle_fraction,service_rate_when_active,fallback_rate,not_in_candidate_fallback_cnt,illegal_by_connectivity_cnt,candidate_reachable_cnt_mean,candidate_reachable_cnt_p95,candidate_dropped_cnt_mean,candidate_dropped_cnt_p95,rsu_gate_total,rsu_gate_blocked,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,best_mode_compare_rate,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,oracle_match_rate,mode_match_rate,oracle_match_rate_on_task,target_match_within_mode_rate,target_regret_within_mode_mean,oracle_valid_count,oracle_local_chosen_local_rate,oracle_local_chosen_rsu_rate,oracle_local_chosen_v2v_rate,oracle_rsu_chosen_local_rate,oracle_rsu_chosen_rsu_rate,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_local_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,action_regret_mean,action_regret_p50,action_regret_p95,action_regret_mean_on_task,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,rho_selected_mean,rho_selected_p10,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,risk_penalty_mean,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,malicious_count,edge_rate_recompute_cnt_mean,edge_rate_delta_mean,edge_rate_delta_p95,v2v_tx_jobs,v2v_link_break_count,delta_phi_mean,delta_phi_p50,delta_phi_p95,delta_phi_min,delta_phi_max,shape_clip_hit_rate,r_total_clip_hit_rate,reward_clip_hit_rate,reward_clip_hit_count,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dt_used_mean,implied_dt_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dCFT_prog_mean,dCFT_prog_p95,r_prog_mean,mean_r_prog,mean_r_term,reward_step_p95,r_prog_on_task_mean,r_prog_on_task_abs_mean,r_term_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_term,abs_ratio_basis
1,CP-EFT,0.0021695857833123476,0.052070058799496347,0.55,0.55,0.837037037037037,0.896551724137931,0.5609756097560976,0.2032520325203252,0.23577235772357724,0.5609756097560976,0.2032520325203252,0.23577235772357724,0.0,0.0,0.0,0.17905995475650235,0.0,2.400000000000001,0.8257405631220766,0.8257405631220766,2.400000000000001,0.8257405631220766,1.563828162646847,0.45,0.55,0.0,0.17905995475650252,0.9975451187100559,0.0,0.74375,0.25625,0.25625,0.0,0.0,2.1038015080021566e-11,0.0,0.0,2.1038016814745042e-11,0.0,54,0.0,0.0,0.0,0.041666666666666664,0.25,11,0.018099365715453484,0.0,0.0,2.0623289479139064,3.018292952028032,325809730.3192524,all_failed,0,,,9,24,123,5.125,0,20,20,54,69,0.0,0.0,0.0,0,0,12.9,16.0,0.0,0.0,680,0,1.0,1.0,0.6789473684210526,12.899999999999999,22949046.533743847,1.0,1.0,0.2032520325203252,0.3252032520325203,0.4715447154471545,0.5934959349593496,0.30293956140959505,0.0600675667590487,0.3630071281686438,0.5284552845528455,0.5284552845528455,0.5284552845528455,0.9105691056910569,0.0005556242524008591,123,0.96,0.04,0.0,0.55,0.375,0.075,0.39655172413793105,0.15517241379310345,0.4482758620689655,0.009553142142973859,0.0020935401975260143,0.040408598038483755,0.009553142142973859,0.02578957491929657,1.0,0.02578957491929657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,76,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000085,0.10000000000000085,0.0,0.0,0.0,0.0,0.0,0.0,0.004735065440890271,0.004735065440890271,0.0169607923922332,0.03400423726425724,0.018478304159571798,0.02263931938252191,0.1416095922575546,0.13783543011920907,0.8621645698807908,unified_mainline
2,CP-EFT,0.000464994344718384,0.018134779444016976,0.35,0.35,0.8550185873605948,0.9252336448598131,0.21862348178137653,0.3157894736842105,0.46558704453441296,0.21862348178137653,0.3157894736842105,0.46558704453441296,1.487064440848349e-05,6.009897740216126e-05,0.0,0.22032001456195585,0.0,3.900000000000002,2.7965724287777913,2.7965724287777913,3.900000000000002,2.7965724287777913,3.6099611484102905,0.65,0.35,0.0,0.22032001456195602,0.9891131612973679,0.0,0.6833333333333333,0.31666666666666665,0.31666666666666665,0.013574660633484163,0.0,1.4377428934897463e-11,0.0,1.247128789128027e-11,2.5488584767113798e-12,1.1031650809858958e-11,193,0.0,0.0,0.0,0.6076923076923076,2.230769230769231,8,0.022756454212048204,0.0,0.0,3.4040447527612705,3.775225371978306,1989789412.820533,all_failed,0,,,13,39,247,6.333333333333333,0,20,20,185,54,0.0,0.0,0.0,0,0,6.823076923076923,9.0,0.0,0.0,819,0,1.0,1.0,0.3591093117408908,6.823076923076926,21822838.110247534,1.0,1.0,0.10121457489878542,0.7125506072874493,0.1862348178137652,0.20242914979757085,0.13789914983048943,0.15185963964764265,0.28975878947813205,0.5465587044534413,0.5465587044534413,0.5465587044534413,0.8785425101214575,0.0033714625464390997,247,0.96,0.04,0.0,0.13636363636363635,0.42045454545454547,0.4431818181818182,0.13043478260869565,0.06521739130434782,0.8043478260869565,0.0385121704438666,0.0,0.16247260027220045,0.0385121704438666,0.16954231199177436,0.9739130434782609,0.1760471493653646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,221,3,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0999999999999998,0.0999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.010647251648786746,0.010647251648786746,-0.005997308201602891,0.12608410759875502,0.03362289994353703,0.097203441932813,0.045800452609027674,0.6797258371475527,0.32027416285244725,unified_mainline
3,CP-EFT,0.0021595581482783785,0.08422276778285677,0.7,0.7,0.8613138686131386,0.9634146341463414,0.2980392156862745,0.34509803921568627,0.3568627450980392,0.2980392156862745,0.34509803921568627,0.3568627450980392,0.00036863487676041943,0.0016063419210789226,0.0,0.3214367918467552,0.0,3.900000000000002,2.7437365963618983,2.7437365963618983,3.900000000000002,2.7437365963618983,3.3058131302167424,0.3,0.7,0.0,0.32143679184675533,0.980395414602876,0.0,0.6730769230769231,0.32692307692307687,0.32692307692307687,0.010810810810810811,0.0,6.123322682238808e-11,0.0,9.549136897879465e-11,3.4686060447486344e-12,1.9149995131306748e-11,179,0.0,0.0,0.0,0.3769230769230769,1.9230769230769231,14,0.03352390619785726,0.0,0.0,3.3922975606242445,3.745097232963097,2054570593.275755,all_failed,0,,,6,39,255,6.538461538461538,0,20,20,170,76,0.0,0.0,0.0,0,0,7.597435897435897,9.0,0.0,0.0,865,0,1.0,1.0,0.3998650472334685,7.597435897435896,17479297.992999043,1.0,1.0,0.14901960784313725,0.6509803921568628,0.2,0.27450980392156865,-0.10117645068262242,0.48831335182239965,0.38713690113977733,0.6392156862745098,0.6392156862745098,0.6392156862745098,0.8705882352941177,0.004241539213026132,255,0.9210526315789473,0.02631578947368421,0.05263157894736842,0.22289156626506024,0.5060240963855421,0.2710843373493976,0.0784313725490196,0.058823529411764705,0.8627450980392157,0.026929188015165438,0.0,0.13938537850118887,0.026929188015165438,0.14334071182565558,0.9230769230769231,0.15898254338780657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,185,2,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0999999999999998,0.0999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.008080778225390755,0.008080778225390755,0.013514803257393036,0.12906482134409197,0.024717674571783498,0.07844504288879918,0.023803969766243445,0.7671960916967396,0.23280390830326028,unified_mainline
4,CP-EFT,0.0017903803151610737,0.050130648824510064,0.5,0.5,0.7912621359223301,0.8444444444444444,0.3333333333333333,0.3817204301075269,0.2849462365591398,0.3333333333333333,0.3817204301075269,0.2849462365591398,0.0007977642879773948,0.0036028064618333962,0.032997586233340315,0.3378667307598071,0.0,2.800000000000001,1.6779096758673853,1.6779096758673853,2.800000000000001,1.6779096758673853,2.2100374730000003,0.45,0.55,0.0,0.337866730759807,0.9792395737902833,0.0,0.6678571428571428,0.3321428571428572,0.3321428571428572,0.046296296296296294,0.0,5.0998004430535815e-11,0.0,7.363833848250678e-11,7.314935983326887e-12,3.353230384334213e-11,124,0.0,0.0,0.0,0.29285714285714287,2.0714285714285716,10,0.035414762971838765,0.0,0.0,2.490900958385048,3.1232477277343844,1239079237.646943,all_failed,0,,,9,28,186,6.642857142857143,0,20,20,116,62,0.0,0.0,0.0,0,0,10.996428571428572,16.0,0.0,0.0,713,0,1.0,1.0,0.5787593984962406,10.99642857142857,13039952.870881205,0.9499999999999995,1.0,0.15053763440860216,0.6559139784946236,0.1935483870967742,0.24,0.3095687373555762,0.11610799384676855,0.42627098563484267,0.5860215053763441,0.5860215053763441,0.5860215053763441,0.8602150537634409,0.0028697569111571734,186,0.8928571428571429,0.10714285714285714,0.0,0.23770491803278687,0.5081967213114754,0.2540983606557377,0.2222222222222222,0.16666666666666666,0.6111111111111112,0.03081703314558197,0.0,0.14144661267165126,0.03081703314558197,0.10720165902623005,0.9245283018867925,0.12778921878648536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,108,5,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000094,0.10000000000000094,0.0,0.0,0.0,0.0,0.0,0.0,0.013956507858541412,0.013956507858541412,0.003947295293069318,0.14983738985568976,0.0420195935525978,0.08775934905179553,0.06760200830388945,0.5648724402611834,0.4351275597388166,unified_mainline
5,CP-EFT,0.0028468430331315252,0.07117107582828813,0.6,0.6,0.8702290076335878,0.8918918918918919,0.4262295081967213,0.26229508196721313,0.3114754098360656,0.4262295081967213,0.26229508196721313,0.3114754098360656,0.0,0.0,0.0,0.21597400388491506,0.0,2.500000000000001,0.8153522742648411,0.8153522742648411,2.500000000000001,0.8153522742648411,1.7465450831398672,0.4,0.6,0.0,0.21597400388491522,0.9875045503955764,0.0,0.756,0.244,0.244,0.0,0.0,1.9383587616939035e-12,0.0,1.524651368697104e-12,1.935711139988694e-12,6.182265826652888e-13,70,0.0,0.0,0.0,0.084,0.0,13,0.022087589300365053,0.0,0.0,2.0901968415728556,2.993599827111143,365288006.59110206,all_failed,0,,,8,25,122,4.88,0,20,20,69,52,0.0,0.0,0.0,0,0,9.3,11.0,0.0,0.0,500,0,1.0,1.0,0.48947368421052656,9.300000000000004,20089650.451117713,1.0,1.0,0.16393442622950818,0.5573770491803278,0.2786885245901639,0.3360655737704918,0.07544585798887829,0.05068687444750704,0.12613273243638531,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.9754098360655737,0.00022413122140813014,122,1.0,0.0,0.0,0.3235294117647059,0.4117647058823529,0.2647058823529412,0.29411764705882354,0.11764705882352941,0.5882352941176471,0.006716227720282193,0.0,0.025246481089649234,0.006716227720282193,0.03677866702291752,1.0,0.03677866702291752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,88,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000088,0.10000000000000088,0.0,0.0,0.0,0.0,0.0,0.0,0.004792474082860062,0.004792474082860062,0.023675956248455178,0.03738691858662891,0.019641287224836337,0.02919335658396492,0.1730515514249091,0.1443465591859746,0.8556534408140255,unified_mainline
6,CP-EFT,0.007139464450309776,0.15706821790681508,0.9,0.9,0.968503937007874,1.0,0.4435483870967742,0.28225806451612906,0.27419354838709675,0.4435483870967742,0.28225806451612906,0.27419354838709675,0.0,0.0,0.0,0.13230993007002753,0.0,2.2000000000000006,0.6327268070552123,0.6327268070552123,2.2000000000000006,0.6327268070552123,0.8278090651523752,0.1,0.9,0.0,0.1323099300700275,0.9929256299992735,0.0,0.7181818181818181,0.28181818181818186,0.28181818181818186,0.0,0.0,1.6294377956291295e-12,0.0,1.9033631875470218e-11,1.628965191902143e-12,1.795597750348094e-11,69,0.0,0.0,0.0,0.07954545454545454,0.0,18,0.013332442931064958,0.0,0.0,2.0569971770834004,2.9666987341059636,329610992.3451273,all_failed,0,,,2,22,124,5.636363636363637,0,20,20,68,55,0.0,0.0,0.0,0,0,9.1,10.0,0.0,0.0,440,0,1.0,1.0,0.4789473684210528,9.099999999999996,24156510.8983435,1.0,1.0,0.20161290322580644,0.6532258064516129,0.14516129032258066,0.3064516129032258,0.0927256218038844,0.04664628606372676,0.13937190786761114,0.5241935483870968,0.5241935483870968,0.5241935483870968,0.9596774193548387,9.737811426692765e-05,124,0.96,0.04,0.0,0.2962962962962963,0.3950617283950617,0.30864197530864196,0.3888888888888889,0.1111111111111111,0.5,0.00567722353427642,0.0,0.02140482831692703,0.00567722353427642,0.04412568386308251,1.0,0.04412568386308251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,77,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000081,0.10000000000000081,0.0,0.0,0.0,0.0,0.0,0.0,0.006863616237443304,0.006863616237443304,0.06453102826565445,0.04161301526284667,0.024354767294153663,0.026798461495991428,0.24565944223971226,0.09835817250501616,0.9016418274949839,unified_mainline
7,CP-EFT,0.0007960585824450588,0.023085698890906704,0.4,0.4,0.8010204081632653,0.8813559322033898,0.28160919540229884,0.3448275862068966,0.3735632183908046,0.28160919540229884,0.3448275862068966,0.3735632183908046,0.00022334001105729097,0.0010362976513058303,0.0,0.2725233479350923,0.0,2.9000000000000012,1.7538888697639998,1.7538888697639998,2.9000000000000012,1.7538888697639998,2.123832375485161,0.6,0.4,0.0,0.2725233479350922,0.9776995158864417,0.0,0.7,0.30000000000000004,0.30000000000000004,0.026785714285714284,0.0,2.4944289255673935e-12,0.0,2.2352516498434803e-13,2.4755677108939667e-12,7.93916722389084e-15,125,0.0,0.0,0.0,0.33793103448275863,1.6896551724137931,8,0.028470338340125446,0.0,0.0,2.469863596938154,3.1726825099569775,1363156040.5526867,all_failed,0,,,12,29,174,6.0,0,20,20,119,49,0.0,0.0,0.0,0,0,6.979310344827586,9.0,0.0,0.0,639,0,1.0,1.0,0.3673321234119781,6.979310344827587,18200902.12126101,1.0,1.0,0.1839080459770115,0.603448275862069,0.21264367816091953,0.25287356321839083,0.4094927386897742,0.1319756939428624,0.5414684326326364,0.603448275862069,0.603448275862069,0.603448275862069,0.9080459770114943,0.00298153075067898,174,0.9375,0.0625,0.0,0.14285714285714285,0.47619047619047616,0.38095238095238093,0.10810810810810811,0.21621621621621623,0.6756756756756757,0.02530239805796115,0.0,0.1292675589070022,0.02530239805796115,0.12462337963450916,0.9692307692307692,0.1291029374532545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,112,3,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000095,0.10000000000000095,0.0,0.0,0.0,0.0,0.0,0.0,0.0115870047567876,0.0115870047567876,-0.003626418932337014,0.11118676825941064,0.03862334918929201,0.0941009463799277,0.046972116615215394,0.6670369550505005,0.3329630449494994,unified_mainline
8,CP-EFT,0.0060298372388043545,0.15074593097010885,0.95,0.95,0.9835164835164835,0.9861111111111112,0.25405405405405407,0.32972972972972975,0.41621621621621624,0.25405405405405407,0.32972972972972975,0.41621621621621624,0.0004746427354335419,0.00171972005591863,0.0,0.17887063722133487,0.0,2.500000000000001,1.8462546080719935,1.8462546080719935,2.500000000000001,1.8462546080719935,2.157564778129117,0.05,0.95,0.0,0.17887063722133487,0.9759948048834131,0.0,0.63,0.37,0.37,0.025,0.0,8.513009741584199e-12,0.0,7.674464362616984e-12,1.983041768988114e-12,7.708014998844525e-12,138,0.0,0.0,0.0,0.47,2.52,19,0.01854350973306662,0.0,0.0,2.4728655247334532,3.154650449065335,1446202027.587773,all_failed,0,,,1,25,185,7.4,0,20,20,133,47,0.0,0.0,0.0,0,0,7.072,9.0,0.0,0.0,536,0,1.0,1.0,0.37221052631578927,7.071999999999997,23792909.19053963,1.0,1.0,0.11351351351351352,0.6054054054054054,0.2810810810810811,0.32972972972972975,0.09447388063389864,0.13010887960951525,0.22458276024341384,0.5837837837837838,0.5837837837837838,0.5837837837837838,0.8810810810810811,0.0020920199292475605,185,1.0,0.0,0.0,0.16071428571428573,0.4642857142857143,0.375,0.15384615384615385,0.17307692307692307,0.6730769230769231,0.027751721800164993,0.0,0.11925835880846936,0.027751721800164993,0.10833607926896109,0.8961038961038961,0.1275346219116353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,160,4,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000088,0.10000000000000088,0.0,0.0,0.0,0.0,0.0,0.0,0.014703176300520888,0.014703176300520888,0.04559519608752267,0.17088771543828732,0.03973831432573208,0.07856889126310931,0.06764849983606275,0.5373429977957951,0.46265700220420497,unified_mainline
9,CP-EFT,0.0033612263430945664,0.09075311126355329,0.7,0.7,0.8341968911917098,0.9264705882352942,0.32571428571428573,0.2571428571428571,0.41714285714285715,0.32571428571428573,0.2571428571428571,0.41714285714285715,0.000299226228435969,0.0013693403674188416,0.0,0.24123914907054073,0.0,2.700000000000001,1.4469013690116004,1.4469013690116004,2.700000000000001,1.4469013690116004,1.73771790939541,0.3,0.7,0.0,0.24123914907054075,0.9761767702167048,0.0,0.6759259259259259,0.32407407407407407,0.32407407407407407,0.02027027027027027,0.0,2.4867785781979013e-12,0.0,1.585412504404024e-11,2.485709771696265e-12,1.1376284506439673e-11,118,0.0,0.0,0.0,0.31851851851851853,1.6296296296296295,14,0.025076174164196018,0.0,0.0,2.482074756847032,3.2099058322362084,1363801377.7431183,all_failed,0,,,6,27,175,6.481481481481482,0,20,20,113,57,0.0,0.0,0.0,0,0,6.144444444444445,9.0,0.0,0.0,549,0,1.0,1.0,0.32339181286549706,6.144444444444442,16485420.526894204,1.0,1.0,0.21142857142857144,0.44571428571428573,0.34285714285714286,0.46285714285714286,0.1545790681952429,0.12876911747004763,0.2833481856652906,0.5828571428571429,0.5828571428571429,0.5828571428571429,0.8971428571428571,0.004851407717209527,175,0.8918918918918919,0.05405405405405406,0.05405405405405406,0.20512820512820512,0.38461538461538464,0.41025641025641024,0.13333333333333333,0.21666666666666667,0.65,0.023274234119367514,0.0,0.14017861745959692,0.023274234119367514,0.12921532957161752,0.9452054794520548,0.1393461789568716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,148,3,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000092,0.10000000000000092,0.0,0.0,0.0,0.0,0.0,0.0,0.008250578063039814,0.008250578063039814,0.025361685367905847,0.10583968539715555,0.025458926594522806,0.07564174073347639,0.07363538639307116,0.5067202336319896,0.4932797663680103,unified_mainline
10,CP-EFT,-0.00012783758208731875,-0.004474315373056157,0.25,0.25,0.8016528925619835,0.8481012658227848,0.25116279069767444,0.35348837209302325,0.3953488372093023,0.25116279069767444,0.35348837209302325,0.3953488372093023,0.0002988002157174942,0.0012991313726847574,0.0,0.39549119554504564,0.0,3.5000000000000018,2.602544759422669,2.602544759422669,3.5000000000000018,2.602544759422669,3.0616614013497823,0.75,0.25,0.0,0.39549119554504486,0.9820718790278004,0.0,0.6928571428571428,0.30714285714285716,0.30714285714285716,0.01282051282051282,0.0,7.57714238575069e-11,0.0,4.1700559151591615e-11,3.3604642506179783e-12,2.519328409084087e-11,161,0.0,0.0,0.0,0.5542857142857143,2.1714285714285713,6,0.04142151043523836,0.0,0.0,3.2905810686654595,3.8580289333004556,2255306666.731142,all_failed,0,,,15,35,215,6.142857142857143,0,20,20,155,54,0.0,0.0,0.0,0,0,6.728571428571429,8.0,0.0,0.0,735,0,1.0,1.0,0.3541353383458648,6.728571428571427,17503029.150687195,1.0,1.0,0.10232558139534884,0.7395348837209302,0.15813953488372093,0.20465116279069767,0.47165522255127595,0.16616209027514048,0.6378173128264166,0.5348837209302325,0.5348837209302325,0.5348837209302325,0.9023255813953488,0.0035470357748609133,215,0.9545454545454546,0.0,0.045454545454545456,0.16981132075471697,0.44654088050314467,0.3836477987421384,0.17647058823529413,0.14705882352941177,0.6764705882352942,0.042306430844573556,0.0,0.16159793747469395,0.042306430844573556,0.20947806700876898,0.9529411764705882,0.22433260898100646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,156,2,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000042,0.10000000000000042,0.0,0.0,0.0,0.0,0.0,0.0,0.011340140044846953,0.011340140044846953,-0.012618515865720149,0.16916627461689726,0.036921386192525,0.11663201448429247,0.009855176568780315,0.9220855765178216,0.07791442348217835,unified_mainline
