episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,mean_cost_power,mean_cost_trust,episode_time_seconds,mean_cft_completed,act_seconds,makespan_seconds,task_duration_mean,task_duration_p95,deadline_miss_rate,deadline_meet_ratio,time_limit_rate,energy_mean,energy_p95,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,v2v_link_break_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,avg_queue_len,avg_rsu_queue,completed_tasks_count,t_tx_mean,dT_eff_mean,dT_eff_p95,deadline_seconds_mean,deadline_gamma_mean,critical_path_cycles_mean,terminated_reason,idle_terminate_count,task_success_count,task_completion_count,audit_deadline_misses,physical_steps,decision_steps,active_decision_ratio,deadlock_vehicle_count,episode_vehicle_count,episode_task_count,tx_tasks_created_count,same_node_no_tx_count,idle_fraction,service_rate_when_active,fallback_rate,not_in_candidate_fallback_cnt,illegal_by_connectivity_cnt,candidate_reachable_cnt_mean,candidate_reachable_cnt_p95,candidate_dropped_cnt_mean,candidate_dropped_cnt_p95,rsu_gate_total,rsu_gate_blocked,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,best_mode_compare_rate,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,oracle_match_rate,mode_match_rate,oracle_match_rate_on_task,target_match_within_mode_rate,target_regret_within_mode_mean,oracle_valid_count,oracle_local_chosen_local_rate,oracle_local_chosen_rsu_rate,oracle_local_chosen_v2v_rate,oracle_rsu_chosen_local_rate,oracle_rsu_chosen_rsu_rate,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_local_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,action_regret_mean,action_regret_p50,action_regret_p95,action_regret_mean_on_task,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,rho_selected_mean,rho_selected_p10,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,risk_penalty_mean,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,malicious_count,edge_rate_recompute_cnt_mean,edge_rate_delta_mean,edge_rate_delta_p95,v2v_tx_jobs,v2v_link_break_count,delta_phi_mean,delta_phi_p50,delta_phi_p95,delta_phi_min,delta_phi_max,shape_clip_hit_rate,r_total_clip_hit_rate,reward_clip_hit_rate,reward_clip_hit_count,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dt_used_mean,implied_dt_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dCFT_prog_mean,dCFT_prog_p95,r_prog_mean,mean_r_prog,mean_r_term,reward_step_p95,r_prog_on_task_mean,r_prog_on_task_abs_mean,r_term_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_term,abs_ratio_basis
1,Greedy,0.0031184197056933435,0.07484207293664025,0.6,0.6,0.8740740740740741,1.0,0.11904761904761904,0.8412698412698413,0.03968253968253968,0.11904761904761904,0.8412698412698413,0.03968253968253968,0.23125,1.0,1.0,0.02837395837155902,0.0,2.400000000000001,0.661010205994519,0.661010205994519,2.400000000000001,0.661010205994519,0.7676972071333334,0.4,0.6,0.0,0.028373958371559014,0.19976679924258905,0.0,0.7375,0.26249999999999996,0.26249999999999996,0.0,0.0,7.30194654741112e-11,0.0,5.309408163123295e-10,7.145205954683931e-11,4.350894949878279e-10,111,0.0,0.0,0.0,0.0020833333333333333,1.6666666666666667,12,0.0028441331406594086,0.0,0.0,2.0623289479139064,3.018292952028032,325809730.3192524,all_failed,0,,,8,24,126,5.25,0,20,20,111,15,0.0,0.0,0.0,0,0,12.9,16.0,0.0,0.0,680,0,1.0,1.0,0.6789473684210526,12.899999999999999,42969876.87238424,1.0,1.0,0.18253968253968253,0.09523809523809523,0.7222222222222222,0.8492063492063492,-0.01704545017267448,0.06862932400629142,0.051583873833616956,0.25396825396825395,0.25396825396825395,0.25396825396825395,0.9365079365079365,0.00010519353254812834,126,0.6521739130434783,0.34782608695652173,0.0,0.0,1.0,0.0,0.0,0.945054945054945,0.054945054945054944,0.01803959876956638,0.013314683663923481,0.049962083168338944,0.01803959876956638,0.021440745320544685,1.0,0.021440745320544685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,5,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000085,0.10000000000000085,0.0,0.0,0.0,0.0,0.0,0.0,0.006512433722863325,0.006512433722863325,0.0246717633340701,0.04003599792412791,0.024809271325193644,0.025143848418908793,0.14584747555804997,0.14704750997949434,0.8529524900205057,unified_mainline
2,Greedy,0.005944360997324537,0.20210827390903427,0.95,0.95,0.9888475836431226,1.0,0.02973977695167286,0.929368029739777,0.040892193308550186,0.02973977695167286,0.929368029739777,0.040892193308550186,0.38382352941176473,1.0,1.0,0.09470531238822436,0.0,3.4000000000000017,2.1062841844912286,2.1062841844912286,3.4000000000000017,2.1062841844912286,2.430398521866667,0.05,0.95,0.0,0.0947053123882243,0.9976311574844399,0.0,0.6044117647058823,0.3955882352941177,0.3955882352941177,0.0,0.0,5.855225332362934e-11,0.0,2.435162252401035e-10,5.849425804838049e-11,2.383636968361635e-10,261,0.0,0.0,0.0,0.04411764705882353,10.647058823529411,19,0.009493018705132155,0.0,0.0,3.4040447527612705,3.775225371978306,1989789412.820533,all_failed,0,,,1,34,269,7.911764705882353,0,20,20,259,8,0.0,0.0,0.0,0,0,6.817647058823529,9.0,0.0,0.0,714,0,1.0,1.0,0.35882352941176476,6.817647058823534,38029561.723190956,1.0,1.0,0.17100371747211895,0.1970260223048327,0.6319702602230484,0.7881040892193308,-0.13260172702266274,0.2922689872838358,0.15966726026117312,0.26765799256505574,0.26765799256505574,0.26765799256505574,0.9851301115241635,0.0005406893386306378,269,0.17391304347826086,0.8260869565217391,0.0,0.0,1.0,0.0,0.0,0.9352941176470588,0.06470588235294118,0.09128470126917644,0.07255660080161772,0.24901792246584992,0.09128470126917644,0.09179625406795364,1.0,0.09179625406795364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,11,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1000000000000006,0.1000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.022355820042142246,0.022355820042142246,0.03708778993110313,0.10264963305279777,0.05651285363812901,0.0750133561894674,0.051299379460700414,0.5938700939644145,0.4061299060355856,unified_mainline
3,Greedy,0.004540048105665395,0.17706187612095042,0.85,0.85,0.8905109489051095,0.9285714285714286,0.051587301587301584,0.8888888888888888,0.05952380952380952,0.051587301587301584,0.8888888888888888,0.05952380952380952,0.30641025641025643,1.0,1.0,0.06930656380524303,0.0,3.900000000000002,1.8649204748235297,1.8649204748235297,3.900000000000002,1.8649204748235297,2.2626151744000005,0.15,0.85,0.0,0.06930656380524301,0.67906768060567,0.0,0.676923076923077,0.32307692307692304,0.32307692307692304,0.0,0.0,6.963010723559648e-11,0.0,3.41131249637083e-10,6.727490786673229e-11,3.2375007674723124e-10,239,0.0,0.0,0.0,0.03717948717948718,8.692307692307692,17,0.0069471129971523556,0.0,0.0,3.3922975606242445,3.745097232963097,2054570593.275755,all_failed,0,,,3,39,252,6.461538461538462,0,20,20,238,13,0.0,0.0,0.0,0,0,7.597435897435897,9.0,0.0,0.0,865,0,1.0,1.0,0.3998650472334685,7.597435897435896,36076251.9671443,1.0,1.0,0.18253968253968253,0.12698412698412698,0.6904761904761905,0.8492063492063492,-0.17090312127634927,0.31472674737955975,0.14382362610321045,0.23412698412698413,0.23412698412698413,0.23412698412698413,0.9563492063492064,0.0025782253896843355,252,0.2608695652173913,0.7391304347826086,0.0,0.0,1.0,0.0,0.005747126436781609,0.9080459770114943,0.08620689655172414,0.09589819797241343,0.0940748573847967,0.2171222771493197,0.09589819797241343,0.07880513893130875,1.0,0.07880513893130875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,15,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0999999999999998,0.0999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.01779843449539976,0.01779843449539976,0.02760204656125421,0.11774941421286486,0.0550903924857612,0.0721873428156995,0.06921741573861376,0.5105015103715375,0.48949848962846254,unified_mainline
4,Greedy,0.006221248046781323,0.16797369726309572,0.85,0.85,0.941747572815534,1.0,0.06532663316582915,0.9296482412060302,0.005025125628140704,0.06532663316582915,0.9296482412060302,0.005025125628140704,0.34444444444444444,1.0,1.0,0.08814721491825113,0.0,2.700000000000001,1.408627999647059,1.408627999647059,2.700000000000001,1.408627999647059,1.9389503744000003,0.15,0.85,0.0,0.08814721491825107,0.8705255639284138,0.0,0.6314814814814815,0.36851851851851847,0.36851851851851847,0.0,0.0,1.2534931426166906e-10,0.0,6.011444453335451e-10,1.2407048999296677e-10,6.093436893950252e-10,186,0.0,0.0,0.0,0.016666666666666666,8.37037037037037,17,0.008835651759365378,0.0,0.0,2.490900958385048,3.1232477277343844,1239079237.646943,all_failed,0,,,3,27,199,7.37037037037037,0,20,20,186,13,0.0,0.0,0.0,0,0,10.996296296296297,16.0,0.0,0.0,686,0,1.0,1.0,0.5787524366471736,10.996296296296295,36866621.71112474,0.9499999999999995,1.0,0.19095477386934673,0.2613065326633166,0.5477386934673367,0.6861702127659575,-0.10713599152111271,0.2537249595787383,0.13959984795799799,0.32663316582914576,0.32663316582914576,0.32663316582914576,0.8391959798994975,0.011900020990195293,199,0.3157894736842105,0.6842105263157895,0.0,0.0,1.0,0.0,0.009174311926605505,0.981651376146789,0.009174311926605505,0.06516804204968092,0.06340083791166387,0.14615483904373303,0.06516804204968092,0.048622886874687146,1.0,0.048622886874687146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,1,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000092,0.10000000000000092,0.0,0.0,0.0,0.0,0.0,0.0,0.022764807188375723,0.022764807188375723,0.03944767327943749,0.12354185143000251,0.06177384865187382,0.07434078841075017,0.08020477811077281,0.4810282823635514,0.5189717176364486,unified_mainline
5,Greedy,0.018447978027215695,0.18447978027215695,1.0,1.0,1.0,1.0,0.10687022900763359,0.8702290076335878,0.022900763358778626,0.10687022900763359,0.8702290076335878,0.022900763358778626,0.585,1.0,1.0,0.03490243869497517,0.0,0.9999999999999999,0.6684110032499999,0.6684110032499999,0.9999999999999999,0.6684110032499999,0.8189490756666667,0.0,1.0,0.0,0.03490243869497517,0.16660670015139656,0.0,0.345,0.655,0.655,0.0,0.0,7.087382070114501e-11,5.913269179869118e-11,1.952927687620672e-10,7.087382070114501e-11,2.0798321467840874e-10,117,0.0,0.0,0.0,0.01,3.2,20,0.0034985313392760144,0.0,0.0,2.0901968415728556,2.993599827111143,365288006.59110206,success_all_done,0,,,0,10,131,13.1,0,20,20,117,14,0.0,0.0,0.0,0,0,9.3,11.0,0.0,0.0,200,0,1.0,1.0,0.48947368421052645,9.299999999999999,40817518.81142063,1.0,1.0,0.16793893129770993,0.2595419847328244,0.5725190839694656,0.6946564885496184,-0.030614821716508346,0.0961002562238638,0.06548543450735544,0.3893129770992366,0.3893129770992366,0.3893129770992366,1.0,0.0,131,0.6363636363636364,0.36363636363636365,0.0,0.0,1.0,0.0,0.0,0.96,0.04,0.015177533750215745,0.007607919779635944,0.04845197849180827,0.015177533750215745,0.04021291010765461,1.0,0.04021291010765461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,3,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000007,0.10000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.016369165698971774,0.016369165698971774,0.16811061457318519,0.05696221357731883,0.024991092670185882,0.028598599944090388,0.24378287947438823,0.10499465677749834,0.8950053432225017,unified_mainline
6,Greedy,0.02368501646276172,0.18948013170209377,1.0,1.0,1.0,0.0,0.13385826771653545,0.8661417322834646,0.0,0.13385826771653545,0.8661417322834646,0.0,0.6875,1.0,1.0,0.041930443055875496,0.0,0.7999999999999999,0.5941200878166667,0.5941200878166667,0.7999999999999999,0.5941200878166667,0.7528939783666666,0.0,1.0,0.0,0.041930443055875496,0.16610610459013733,0.0,0.20625,0.79375,0.79375,0.0,0.0,9.065694722698581e-11,7.435009205525311e-11,1.7832054999278252e-10,9.065695416587971e-11,2.1235940228514465e-10,110,0.0,0.0,0.0,0.0,4.0,20,0.004203000551988021,0.0,0.0,2.0569971770834004,2.9666987341059636,329610992.3451273,success_all_done,0,,,0,8,127,15.875,0,20,20,110,17,0.0,0.0,0.0,0,0,9.1,10.0,0.0,0.0,160,0,1.0,1.0,0.4789473684210526,9.1,40970217.33908163,1.0,1.0,0.1968503937007874,0.33070866141732286,0.47244094488188976,0.6614173228346457,-0.042898289120841,0.09047750865032621,0.0475792195294852,0.4566929133858268,0.4566929133858268,0.4566929133858268,1.0,0.0,127,0.64,0.36,0.0,0.0,1.0,0.0,0.016666666666666666,0.9833333333333333,0.0,0.009683433982157066,0.0018513665646557875,0.04005096127532596,0.009683433982157066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09999999999999974,0.09999999999999974,0.0,0.0,0.0,0.0,0.0,0.0,0.022940419885884408,0.022940419885884408,0.21390974474173285,0.06292253281437679,0.028901316391665398,0.030914120782126603,0.2694925918006083,0.10290755661331155,0.8970924433866886,unified_mainline
7,Greedy,0.008609273176882237,0.19801328306829144,0.95,0.95,0.9693877551020408,0.0,0.025906735751295335,0.9740932642487047,0.0,0.025906735751295335,0.9740932642487047,0.0,0.40869565217391307,1.0,1.0,0.12313879528431464,0.0,2.3000000000000007,1.4448153941052633,1.4448153941052633,2.3000000000000007,1.4448153941052633,1.7526745184000003,0.05,0.95,0.0,0.12313879528431457,0.9976311574844399,0.0,0.5804347826086956,0.41956521739130437,0.41956521739130437,0.0,0.0,9.964569447351579e-11,0.0,3.4217768479782835e-10,9.964569447351579e-11,4.009553813966154e-10,188,0.0,0.0,0.0,0.002173913043478261,9.391304347826088,19,0.012343118432148126,0.0,0.0,2.469863596938154,3.1726825099569775,1363156040.5526867,all_failed,0,,,1,23,193,8.391304347826088,0,20,20,188,5,0.0,0.0,0.0,0,0,6.982608695652174,9.0,0.0,0.0,507,0,1.0,1.0,0.36750572082379845,6.982608695652174,35788114.402143456,1.0,1.0,0.15025906735751296,0.16580310880829016,0.6839378238341969,0.8238341968911918,-0.12106830375630359,0.24180750706654563,0.12073920331024206,0.19170984455958548,0.19170984455958548,0.19170984455958548,0.9326424870466321,0.0025436763915266383,193,0.1724137931034483,0.8275862068965517,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.08915588299318218,0.08214624488326785,0.2677556504697225,0.08915588299318218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,0,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000084,0.10000000000000084,0.0,0.0,0.0,0.0,0.0,0.0,0.029870381454264173,0.029870381454264173,0.056222350314558196,0.1327548957718591,0.07119365527959337,0.07764429607474498,0.08085973690065223,0.48985691163326306,0.5101430883667368,unified_mainline
8,Greedy,0.006180133780749802,0.17922387964174424,0.9,0.9,0.9340659340659341,1.0,0.04597701149425287,0.9367816091954023,0.017241379310344827,0.04597701149425287,0.9367816091954023,0.017241379310344827,0.28620689655172415,1.0,1.0,0.06952430736560476,0.0,2.9000000000000012,1.3520700565432986,1.3520700565432986,2.9000000000000012,1.3520700565432986,1.735793424266667,0.1,0.9,0.0,0.06952430736560473,0.6903447579260015,0.0,0.7,0.30000000000000004,0.30000000000000004,0.0,0.0,6.066745023014519e-11,0.0,3.8112617228858165e-10,6.06674571690391e-11,2.5374467527150506e-10,166,0.0,0.0,0.0,0.01206896551724138,6.172413793103448,18,0.006968939055683927,0.0,0.0,2.4728655247334532,3.154650449065335,1446202027.587773,all_failed,0,,,2,29,174,6.0,0,20,20,166,8,0.0,0.0,0.0,0,0,7.075862068965518,9.0,0.0,0.0,618,0,1.0,1.0,0.3724137931034481,7.075862068965514,36723351.87847686,1.0,1.0,0.1781609195402299,0.2471264367816092,0.5747126436781609,0.7471264367816092,-0.12477547721060533,0.26948703943512337,0.14471156222451803,0.3103448275862069,0.3103448275862069,0.3103448275862069,0.9482758620689655,0.00390591432236738,174,0.25806451612903225,0.7419354838709677,0.0,0.0,1.0,0.0,0.0,0.97,0.03,0.07338023504096815,0.04701049001550106,0.20929640489056694,0.07338023504096815,0.09821478084878217,1.0,0.09821478084878217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,3,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000095,0.10000000000000095,0.0,0.0,0.0,0.0,0.0,0.0,0.020327606106421803,0.020327606106421803,0.041473731701076204,0.10519515550982572,0.06775868702140603,0.07701307179339766,0.10118304732694697,0.43218153219928956,0.5678184678007105,unified_mainline
9,Greedy,0.006768703953610155,0.17598630279386404,0.9,0.9,0.9326424870466321,1.0,0.08108108108108109,0.8702702702702703,0.04864864864864865,0.08108108108108109,0.8702702702702703,0.04864864864864865,0.3269230769230769,1.0,1.0,0.06363528148426853,0.0,2.600000000000001,1.301572952544056,1.301572952544056,2.600000000000001,1.301572952544056,1.5629790261333334,0.1,0.9,0.0,0.06363528148426854,0.5789450517233103,0.0,0.6442307692307693,0.3557692307692307,0.3557692307692307,0.0,0.0,6.282446091132599e-11,0.0,3.575955712098449e-10,6.282446785021989e-11,2.7389840534519605e-10,170,0.0,0.0,0.0,0.03461538461538462,8.192307692307692,18,0.006378638137638666,0.0,0.0,2.482074756847032,3.2099058322362084,1363801377.7431183,all_failed,0,,,2,26,185,7.115384615384615,0,20,20,170,15,0.0,0.0,0.0,0,0,6.15,9.0,0.0,0.0,529,0,1.0,1.0,0.3236842105263158,6.149999999999998,32426680.974045537,1.0,1.0,0.20540540540540542,0.11891891891891893,0.6756756756756757,0.8540540540540541,-0.1940437180320518,0.30605311392853196,0.11200939589648005,0.24864864864864866,0.24864864864864866,0.24864864864864866,0.9891891891891892,6.663702613554991e-05,185,0.39473684210526316,0.6052631578947368,0.0,0.0,1.0,0.0,0.0,0.928,0.072,0.085578674897684,0.07410225135344521,0.19462703773573287,0.085578674897684,0.07783255129746641,1.0,0.07783255129746641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,9,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000091,0.10000000000000091,0.0,0.0,0.0,0.0,0.0,0.0,0.020570077894502787,0.020570077894502787,0.04711696164159875,0.12511605052493133,0.057818597325089004,0.06608892023991751,0.10366795215233307,0.38931513822432134,0.6106848617756787,unified_mainline
10,Greedy,0.006270776370142786,0.20066484384456915,0.95,0.95,0.987603305785124,1.0,0.041666666666666664,0.9083333333333333,0.05,0.041666666666666664,0.9083333333333333,0.05,0.359375,1.0,1.0,0.10138579253725497,0.0,3.2000000000000015,2.0104697189652376,2.0104697189652376,3.2000000000000015,2.0104697189652376,2.3683171706666672,0.05,0.95,0.0,0.10138579253725491,0.9976311574844399,0.0,0.625,0.375,0.375,0.0,0.0,6.875748581602892e-11,0.0,3.0504303388800827e-10,6.875749969381673e-11,3.1843517683816055e-10,230,0.0,0.0,0.0,0.0546875,12.53125,19,0.010162652978171064,0.0,0.0,3.2905810686654595,3.8580289333004556,2255306666.731142,all_failed,0,,,1,32,240,7.5,0,20,20,230,10,0.0,0.0,0.0,0,0,6.746875,8.0,0.0,0.0,672,0,1.0,1.0,0.3550986842105264,6.746874999999998,40677051.990319476,1.0,1.0,0.15,0.18333333333333332,0.6666666666666666,0.7958333333333333,-0.1663296762611523,0.3609697336315022,0.19464005737034995,0.275,0.275,0.275,0.9958333333333333,0.00036927202225651133,240,0.2777777777777778,0.7222222222222222,0.0,0.0,1.0,0.0,0.0,0.925,0.075,0.10801545822694229,0.10862355974391641,0.2698406082346417,0.10801545822694229,0.06460876892024293,1.0,0.06460876892024293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,12,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.100000000000001,0.100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.02302111614647869,0.02302111614647869,0.03968664755494919,0.1446860369289781,0.06138964305727644,0.07924390125857504,0.05105513117758968,0.608169529558078,0.39183047044192204,unified_mainline
