episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,mean_cost_power,mean_cost_trust,episode_time_seconds,mean_cft_completed,act_seconds,makespan_seconds,task_duration_mean,task_duration_p95,deadline_miss_rate,deadline_meet_ratio,time_limit_rate,energy_mean,energy_p95,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,v2v_link_break_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,avg_queue_len,avg_rsu_queue,completed_tasks_count,t_tx_mean,dT_eff_mean,dT_eff_p95,deadline_seconds_mean,deadline_gamma_mean,critical_path_cycles_mean,terminated_reason,idle_terminate_count,task_success_count,task_completion_count,audit_deadline_misses,physical_steps,decision_steps,active_decision_ratio,deadlock_vehicle_count,episode_vehicle_count,episode_task_count,tx_tasks_created_count,same_node_no_tx_count,idle_fraction,service_rate_when_active,fallback_rate,not_in_candidate_fallback_cnt,illegal_by_connectivity_cnt,candidate_reachable_cnt_mean,candidate_reachable_cnt_p95,candidate_dropped_cnt_mean,candidate_dropped_cnt_p95,rsu_gate_total,rsu_gate_blocked,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,best_mode_compare_rate,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,oracle_match_rate,mode_match_rate,oracle_match_rate_on_task,target_match_within_mode_rate,target_regret_within_mode_mean,oracle_valid_count,oracle_local_chosen_local_rate,oracle_local_chosen_rsu_rate,oracle_local_chosen_v2v_rate,oracle_rsu_chosen_local_rate,oracle_rsu_chosen_rsu_rate,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_local_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,action_regret_mean,action_regret_p50,action_regret_p95,action_regret_mean_on_task,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,rho_selected_mean,rho_selected_p10,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,risk_penalty_mean,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,malicious_count,edge_rate_recompute_cnt_mean,edge_rate_delta_mean,edge_rate_delta_p95,v2v_tx_jobs,v2v_link_break_count,delta_phi_mean,delta_phi_p50,delta_phi_p95,delta_phi_min,delta_phi_max,shape_clip_hit_rate,r_total_clip_hit_rate,reward_clip_hit_rate,reward_clip_hit_count,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dt_used_mean,implied_dt_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dCFT_prog_mean,dCFT_prog_p95,r_prog_mean,mean_r_prog,mean_r_term,reward_step_p95,r_prog_on_task_mean,r_prog_on_task_abs_mean,r_term_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_term,abs_ratio_basis
1,EFT,-0.00017477656725645475,-0.004194637614154914,0.35,0.35,0.7851851851851852,0.8518518518518519,0.18487394957983194,0.5882352941176471,0.226890756302521,0.18487394957983194,0.5882352941176471,0.226890756302521,8.585138274500374e-05,0.0004248315847175443,0.0,0.22167766680454687,0.0,2.400000000000001,0.9003944189204199,0.9003944189204199,2.400000000000001,0.9003944189204199,1.5800057420422944,0.65,0.35,0.0,0.22167766680454687,0.99057006132449,0.0,0.7520833333333333,0.24791666666666667,0.24791666666666667,0.0,0.0,4.774632512277721e-12,0.0,1.4803500439364292e-11,4.7031688439613806e-12,1.9550774974647045e-11,97,0.0,0.0,0.0,0.016666666666666666,1.1666666666666667,7,0.022610705589538756,0.0,0.0,2.0623289479139064,3.018292952028032,325809730.3192524,all_failed,0,,,13,24,119,4.958333333333333,0,20,20,97,22,0.0,0.0,0.0,0,0,12.9,16.0,0.0,0.0,680,0,1.0,1.0,0.6789473684210526,12.899999999999999,22442579.845691722,1.0,1.0,0.16806722689075632,0.4789915966386555,0.35294117647058826,0.46218487394957986,0.2219996141834172,0.048090545852957814,0.270090160036375,0.773109243697479,0.773109243697479,0.773109243697479,0.907563025210084,0.0005508458540292956,119,0.95,0.05,0.0,0.05263157894736842,0.8771929824561403,0.07017543859649122,0.0,0.4523809523809524,0.5476190476190477,0.001969987498278897,0.0,0.009558359245445595,0.001969987498278897,0.02798509069650604,1.0,0.02798509069650604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,48,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000085,0.10000000000000085,0.0,0.0,0.0,0.0,0.0,0.0,0.0035411075938959116,0.0035411075938959116,-0.005288873266460466,0.03215872621692535,0.014283459202269245,0.019796740394576854,0.07663038740334215,0.20530260359993932,0.7946973964000608,unified_mainline
2,EFT,0.0018100640119961763,0.07059249646785087,0.6,0.6,0.7843866171003717,0.8888888888888888,0.13304721030042918,0.40772532188841204,0.4592274678111588,0.13304721030042918,0.40772532188841204,0.4592274678111588,0.0003103938450765311,0.0011985504908895756,0.0,0.18374013979580614,0.0,3.900000000000002,2.453654719900563,2.453654719900563,3.900000000000002,2.453654719900563,3.0092086862978213,0.4,0.6,0.0,0.18374013979580622,0.9841722178338131,0.0,0.7012820512820512,0.29871794871794877,0.29871794871794877,0.02702702702702703,0.0,5.962769774464638e-12,0.0,6.896842797382998e-13,1.0362692691792685e-12,3.078345328075012e-14,202,0.0,0.0,0.0,0.4987179487179487,1.9487179487179487,12,0.01902159114463607,0.0,0.0,3.4040447527612705,3.775225371978306,1989789412.820533,all_failed,0,,,8,39,233,5.9743589743589745,0,20,20,194,31,0.0,0.0,0.0,0,0,6.823076923076923,9.0,0.0,0.0,819,0,1.0,1.0,0.3591093117408908,6.823076923076926,21859829.36782549,1.0,1.0,0.07725321888412018,0.8197424892703863,0.10300429184549356,0.12875536480686695,0.21641363228556862,0.10855336595782987,0.32496699824339853,0.5836909871244635,0.5836909871244635,0.5836909871244635,0.9742489270386266,0.00016966185180152882,233,0.9444444444444444,0.0,0.05555555555555555,0.07329842931937172,0.4973821989528796,0.4293193717277487,0.0,0.0,1.0,0.040000850173575346,0.0,0.17822237139022554,0.040000850173575346,0.19926584364109046,0.9813084112149533,0.2032705927752548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,185,5,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0999999999999998,0.0999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.00901998935840566,0.00901998935840566,0.009080650761556093,0.08372467376421712,0.030195672530285104,0.09059699140708652,0.04863906992233942,0.6506718916210816,0.34932810837891826,unified_mainline
3,EFT,0.0019656920805833237,0.07666199114274963,0.65,0.65,0.843065693430657,0.9310344827586207,0.1686746987951807,0.4497991967871486,0.3815261044176707,0.1686746987951807,0.4497991967871486,0.3815261044176707,0.0002626792301065429,0.0009898057946043646,0.0,0.2566968084347493,0.0,3.900000000000002,2.6070927177698517,2.6070927177698517,3.900000000000002,2.6070927177698517,3.296064205200001,0.35,0.65,0.0,0.2566968084347494,0.9834431482068333,0.0,0.6807692307692308,0.3192307692307692,0.3192307692307692,0.024096385542168676,0.0,2.303278921755858e-11,0.0,2.9890152852818375e-11,2.7979970770863893e-12,1.9062537832958955e-11,207,0.0,0.0,0.0,0.48333333333333334,2.2051282051282053,13,0.026374685275578662,0.0,0.0,3.3922975606242445,3.745097232963097,2054570593.275755,all_failed,0,,,7,39,249,6.384615384615385,0,20,20,199,42,0.0,0.0,0.0,0,0,7.597435897435897,9.0,0.0,0.0,865,0,1.0,1.0,0.3998650472334685,7.597435897435896,19707410.901969105,1.0,1.0,0.10843373493975904,0.7269076305220884,0.1646586345381526,0.1927710843373494,0.19708297429169644,0.10711471652102637,0.30419769081272274,0.6345381526104418,0.6345381526104418,0.6345381526104418,0.9156626506024096,0.00426006168382357,249,0.8148148148148148,0.1111111111111111,0.07407407407407407,0.11049723756906077,0.56353591160221,0.3259668508287293,0.0,0.17073170731707318,0.8292682926829268,0.033050636048316526,0.0,0.16798642065840294,0.033050636048316526,0.15375596041025366,0.9473684210526315,0.1651312198465019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,166,4,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0999999999999998,0.0999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.008358544624681932,0.008358544624681932,0.011298376181151303,0.14472007872996165,0.02618339280020848,0.08466648852358058,0.04397693890089055,0.6581485756300282,0.3418514243699718,unified_mainline
4,EFT,0.0015550745926057436,0.04354208859296082,0.4,0.4,0.7572815533980582,0.76,0.24858757062146894,0.4463276836158192,0.3050847457627119,0.24858757062146894,0.4463276836158192,0.3050847457627119,0.0003045435434807085,0.001282288604129299,0.0,0.3539106470647697,0.0,2.800000000000001,1.474079222866699,1.474079222866699,2.800000000000001,1.474079222866699,1.7568332706684955,0.6,0.4,0.0,0.35391064706477,0.9843014554199334,0.0,0.6839285714285714,0.31607142857142856,0.31607142857142856,0.022727272727272728,0.0,1.3263297404808583e-10,0.0,1.091455270607604e-09,3.6135638752099464e-12,1.0938765605122865e-11,133,0.0,0.0,0.0,0.2839285714285714,1.8928571428571428,8,0.03670432248692478,0.0,0.0,2.490900958385048,3.1232477277343844,1239079237.646943,all_failed,0,,,12,28,177,6.321428571428571,0,20,20,129,44,0.0,0.0,0.0,0,0,10.996428571428572,16.0,0.0,0.0,713,0,1.0,1.0,0.5787593984962406,10.99642857142857,13911462.264497655,0.9499999999999995,1.0,0.12429378531073447,0.7344632768361582,0.14124293785310735,0.1686746987951807,0.4365855246272548,0.11988885389376974,0.5588289893135494,0.6779661016949152,0.6779661016949152,0.6779661016949152,0.9548022598870056,0.0013576362271042494,177,1.0,0.0,0.0,0.16923076923076924,0.5846153846153846,0.24615384615384617,0.0,0.12,0.88,0.02107722192601105,0.0,0.10698031386088692,0.02107722192601105,0.10842543908286253,0.9814814814814815,0.1141560274578725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,88,2,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000094,0.10000000000000094,0.0,0.0,0.0,0.0,0.0,0.0,0.017082457255038208,0.017082457255038208,-0.0015317113289807865,0.10843709115517904,0.054046192445318636,0.09920105254059466,0.04785798452420024,0.6745661777785626,0.3254338222214374,unified_mainline
5,EFT,0.00711761644170915,0.14946994527589216,0.9,0.9,0.9618320610687023,0.9333333333333333,0.15625,0.609375,0.234375,0.15625,0.609375,0.234375,0.0,0.0,0.0,0.13336647119865624,0.0,2.1000000000000005,0.7500463572117271,0.7500463572117271,2.1000000000000005,0.7500463572117271,1.0348291156499998,0.1,0.9,0.0,0.13336647119865624,0.9867005392680115,0.0,0.6952380952380952,0.3047619047619048,0.3047619047619048,0.0,0.0,2.3508137710764876e-12,0.0,1.448835149076011e-11,2.3481930375851556e-12,1.5110913822308215e-11,108,0.0,0.0,0.0,0.1,0.42857142857142855,18,0.013691405054737232,0.0,0.0,2.0901968415728556,2.993599827111143,365288006.59110206,all_failed,0,,,2,21,128,6.095238095238095,0,20,20,108,20,0.0,0.0,0.0,0,0,9.3,11.0,0.0,0.0,420,0,1.0,1.0,0.48947368421052656,9.300000000000002,28031580.89142963,1.0,1.0,0.15625,0.625,0.21875,0.265625,0.05234497929107679,0.03948253531370269,0.09182751460477948,0.78125,0.78125,0.78125,1.0,0.0,128,0.9,0.1,0.0,0.025,0.8125,0.1625,0.0,0.39285714285714285,0.6071428571428571,0.002821300085431717,0.0,0.01579758291329563,0.002821300085431717,0.027772297031974227,1.0,0.027772297031974227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,52,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000078,0.10000000000000078,0.0,0.0,0.0,0.0,0.0,0.0,0.00562391766772831,0.00562391766772831,0.06555224674936319,0.03885875967308986,0.018453479847233507,0.023454800665415724,0.20523604493993347,0.102561169876872,0.897438830123128,unified_mainline
6,EFT,0.008795563258974053,0.17591126517948105,1.0,1.0,1.0,1.0,0.171875,0.6875,0.140625,0.171875,0.6875,0.140625,0.0,0.0,0.0,0.12439906796833808,0.0,2.0000000000000004,0.7828967470998365,0.7828967470998365,2.0000000000000004,0.7828967470998365,1.8260003456742417,0.0,1.0,0.0,0.12439906796833806,0.9908096404341473,0.0,0.68,0.31999999999999995,0.31999999999999995,0.0,0.0,3.117585399906031e-12,0.0,1.9439635578349907e-11,3.117585399906031e-12,1.7753394761232935e-11,106,0.0,0.0,0.0,0.065,0.45,20,0.012573221449394361,0.0,0.0,2.0569971770834004,2.9666987341059636,329610992.3451273,success_all_done,0,,,0,20,128,6.4,0,20,20,105,22,0.0,0.0,0.0,0,0,9.1,10.0,0.0,0.0,400,0,1.0,1.0,0.47894736842105273,9.099999999999998,25906386.370994724,1.0,1.0,0.171875,0.71875,0.109375,0.203125,0.0708199221379284,0.03640469882019315,0.10722462095812155,0.8515625,0.8515625,0.8515625,1.0,0.0,128,0.8636363636363636,0.13636363636363635,0.0,0.021739130434782608,0.8804347826086957,0.09782608695652174,0.07142857142857142,0.2857142857142857,0.6428571428571429,0.0013266076400885157,0.0,0.009360175497709445,0.0013266076400885157,0.019146614297713534,1.0,0.019146614297713534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,36,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000074,0.10000000000000074,0.0,0.0,0.0,0.0,0.0,0.0,0.006874840010556623,0.006874840010556623,0.08108079257918391,0.04018700284157543,0.02148387503298947,0.0239228720828508,0.2533774768099497,0.08627061660170851,0.9137293833982915,unified_mainline
7,EFT,0.0022605423740182564,0.06555572884652944,0.6,0.6,0.9132653061224489,0.9354838709677419,0.17894736842105263,0.4631578947368421,0.35789473684210527,0.17894736842105263,0.4631578947368421,0.35789473684210527,0.00030040487408749145,0.001116889916479135,0.0,0.2606833949527587,0.0,2.9000000000000012,1.9397274138690805,1.9397274138690805,2.9000000000000012,1.9397274138690805,2.455966579900001,0.4,0.6,0.0,0.2606833949527588,0.9806761179364271,0.0,0.6724137931034483,0.3275862068965517,0.3275862068965517,0.03361344537815126,0.0,2.836059685706882e-11,0.0,5.951120846114932e-11,4.84965843525198e-12,2.5492715143709998e-11,156,0.0,0.0,0.0,0.41379310344827586,1.8620689655172413,14,0.02750218737905463,0.0,0.0,2.469863596938154,3.1726825099569775,1363156040.5526867,all_failed,0,,,8,29,190,6.551724137931035,0,20,20,150,34,0.0,0.0,0.0,0,0,6.979310344827586,9.0,0.0,0.0,639,0,1.0,1.0,0.3673321234119781,6.979310344827587,19258622.3113922,1.0,1.0,0.08947368421052632,0.7947368421052632,0.11578947368421053,0.13157894736842105,0.24670566844164438,0.09098071179863802,0.33768638024028236,0.6263157894736842,0.6263157894736842,0.6263157894736842,0.9421052631578948,0.0017249561052243077,190,0.8235294117647058,0.17647058823529413,0.0,0.13245033112582782,0.5562913907284768,0.31125827814569534,0.0,0.045454545454545456,0.9545454545454546,0.029716015889589935,0.0,0.1593132340396161,0.029716015889589935,0.12603780422942581,0.9852941176470589,0.12823090139982082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,119,4,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000095,0.10000000000000095,0.0,0.0,0.0,0.0,0.0,0.0,0.010948694337954232,0.010948694337954232,0.011656729402228344,0.10187852623747543,0.03342233008428133,0.08239761262771576,0.09476463937504595,0.46509689110539926,0.5349031088946008,unified_mainline
8,EFT,0.005352874198749884,0.15523335176374664,0.95,0.95,0.978021978021978,1.0,0.17297297297297298,0.42162162162162165,0.40540540540540543,0.17297297297297298,0.42162162162162165,0.40540540540540543,0.0003122993427511005,0.0011838798614094005,0.0,0.09411151922930802,0.0,2.9000000000000012,1.735173192116818,1.735173192116818,2.9000000000000012,1.735173192116818,2.1604417598053787,0.05,0.95,0.0,0.09411151922930805,0.860399918996014,0.0,0.6810344827586207,0.31896551724137934,0.31896551724137934,0.0,0.0,1.0999342929529643e-11,0.0,3.0880621546208107e-13,2.0059433714775254e-12,7.505506802272099e-14,153,0.0,0.0,0.0,0.4982758620689655,2.3448275862068964,19,0.009832667289391857,0.0,0.0,2.4728655247334532,3.154650449065335,1446202027.587773,all_failed,0,,,1,29,185,6.379310344827586,0,20,20,147,32,0.0,0.0,0.0,0,0,7.075862068965518,9.0,0.0,0.0,618,0,1.0,1.0,0.3724137931034481,7.075862068965514,27763859.972584754,1.0,1.0,0.08108108108108109,0.745945945945946,0.17297297297297298,0.21621621621621623,0.09336439582603974,0.10177400367533833,0.19513839950137807,0.5891891891891892,0.5891891891891892,0.5891891891891892,0.9675675675675676,0.0008333445581140111,185,0.9333333333333333,0.06666666666666667,0.0,0.13043478260869565,0.5072463768115942,0.36231884057971014,0.0,0.21875,0.78125,0.02590315990972655,0.0,0.1237127121667427,0.02590315990972655,0.14727496599981507,1.0,0.14727496599981507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,134,0,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000095,0.10000000000000095,0.0,0.0,0.0,0.0,0.0,0.0,0.012940390517803104,0.012940390517803104,0.04058835146969572,0.08036686019953326,0.04056987297473404,0.07485280349204544,0.08246390741253298,0.4758096140050114,0.5241903859949885,unified_mainline
9,EFT,0.005551201558508126,0.1443312405212113,0.9,0.9,0.9689119170984456,1.0,0.20202020202020202,0.41919191919191917,0.3787878787878788,0.20202020202020202,0.41919191919191917,0.3787878787878788,0.0008436156498458855,0.002776456569113041,0.034918281738657436,0.122371698212744,0.0,2.600000000000001,1.6641612205607377,1.6641612205607377,2.600000000000001,1.6641612205607377,2.2842317668205276,0.1,0.9,0.0,0.122371698212744,0.9758224293797341,0.0,0.6192307692307693,0.38076923076923075,0.38076923076923075,0.045112781954887216,0.0,2.5348939960978534e-11,0.0,2.0618565969160447e-11,2.056066254751965e-12,1.2120902719014994e-11,158,0.0,0.0,0.0,0.4115384615384615,2.3846153846153846,18,0.012868699695786294,0.0,0.0,2.482074756847032,3.2099058322362084,1363801377.7431183,all_failed,0,,,2,26,198,7.615384615384615,0,20,20,150,40,0.0,0.0,0.0,0,0,6.15,9.0,0.0,0.0,529,0,1.0,1.0,0.3236842105263158,6.149999999999998,23615702.403179977,1.0,1.0,0.15656565656565657,0.6212121212121212,0.2222222222222222,0.2878787878787879,0.08323400035153858,0.11009280330251732,0.1933268036540559,0.6414141414141414,0.6414141414141414,0.6414141414141414,0.9292929292929293,0.004323936705572978,198,0.8064516129032258,0.12903225806451613,0.06451612903225806,0.11382113821138211,0.5609756097560976,0.3252032520325203,0.022727272727272728,0.22727272727272727,0.75,0.020891626162405804,0.0,0.1189537271171195,0.020891626162405804,0.12470733069531813,0.9733333333333334,0.1286553915157515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,133,6,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000091,0.10000000000000091,0.0,0.0,0.0,0.0,0.0,0.0,0.01353783300704986,0.01353783300704986,0.041974182578031406,0.1310629020942104,0.035553904866999664,0.07034804331823476,0.05929685686440028,0.5426209840813881,0.45737901591861196,unified_mainline
10,EFT,0.0023943928235366646,0.08380374882378326,0.6,0.6,0.8677685950413223,0.935064935064935,0.17467248908296942,0.4410480349344978,0.38427947598253276,0.17467248908296942,0.4410480349344978,0.38427947598253276,0.0012340243871801129,0.004570460693259677,0.03567865113020334,0.3182160650555012,0.0,3.5000000000000018,2.559793126662162,2.559793126662162,3.5000000000000018,2.559793126662162,3.057999895000001,0.4,0.6,0.0,0.3182160650555014,0.9692429758189761,0.0,0.6728571428571428,0.3271428571428572,0.3271428571428572,0.04666666666666667,0.0,4.3674243908886634e-12,0.0,2.38348282083356e-11,3.870185422139016e-12,2.2437032093369777e-11,189,0.0,0.0,0.0,0.6057142857142858,2.257142857142857,12,0.033390691327825794,0.0,0.0,3.2905810686654595,3.8580289333004556,2255306666.731142,all_failed,0,,,8,35,229,6.542857142857143,0,20,20,178,39,0.0,0.0,0.0,0,0,6.728571428571429,8.0,0.0,0.0,735,0,1.0,1.0,0.3541353383458648,6.728571428571427,20601288.280471675,1.0,1.0,0.0611353711790393,0.8558951965065502,0.08296943231441048,0.10480349344978165,0.3009807884413705,0.12325648955637951,0.42423727799774996,0.5502183406113537,0.5502183406113537,0.5502183406113537,0.925764192139738,0.0026063091594317515,229,1.0,0.0,0.0,0.1326530612244898,0.49489795918367346,0.37244897959183676,0.0,0.21052631578947367,0.7894736842105263,0.049279531295245094,0.0,0.20891003686405196,0.049279531295245094,0.20220634444302757,0.9431818181818182,0.21825791322610108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,,,,150,7,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10000000000000042,0.10000000000000042,0.0,0.0,0.0,0.0,0.0,0.0,0.014464301998856562,0.014464301998856562,0.009479626236510096,0.1361012517783304,0.044214023577290755,0.09980982568530615,0.02648894360970781,0.7902676031004401,0.20973239689955983,unified_mainline
