episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,mode_match_rate,oracle_match_rate,oracle_match_eps_abs_rate,oracle_match_eps_rel_rate,action_regret_mean,action_regret_p95,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,0.025011297249481933,0.0008932606160529262,1.0257900476455688,0.15,0.15,0.15,0.715,0.6904761904761905,0.3393939393939394,0.40606060606060607,0.2545454545454545,0.4978166038552964,0.30178571428571427,0.30178571428571427,1.3214285714285714,0.045267320553431696,0.37669730910134785,45.23809523809524,-0.21866280674448418,0.4523809523809524,0.16631399740414227,0.11515151515151516,0.6545454545454545,0.23030303030303031,0.40606060606060607,0.40606060606060607,nan,nan,0.19890976536695754,0.9755167863205201,0.25925925925925924,0.4473684210526316,0.2894736842105263,0.2975606339190692,-0.0791366751822787,2.6113186279908405,20,20,18.120044946670532
2,,0.028982926818959566,0.001207621950789982,0.42081096172332766,0.35,0.35,0.35,0.7037037037037037,0.8181818181818182,0.30434782608695654,0.4,0.2956521739130435,0.5132366443382731,0.035416666666666666,0.035416666666666666,0.08333333333333333,0.05158177484803328,0.285631643089298,35.294117647058826,-0.20322416125685483,0.35294117647058826,0.013791897038835222,0.20869565217391303,0.5652173913043478,0.22608695652173913,0.34782608695652173,0.34782608695652173,nan,nan,0.11420197654039058,0.32205028516926854,0.27692307692307694,0.3076923076923077,0.3076923076923077,0.18919666412063077,-0.09643497896866723,2.64618466047022,20,20,8.372966051101685
3,,0.04072902157998883,0.0010443338866663802,0.4355383078257243,0.1,0.1,0.1,0.7100371747211895,0.8088235294117647,0.3783783783783784,0.2972972972972973,0.32432432432432434,0.5075896210299853,0.4807692307692308,0.4807692307692308,0.5384615384615384,0.13269693225785673,0.42566459517415056,30.555555555555557,-0.41897220443089106,0.3055555555555556,0.23730975040036403,0.11261261261261261,0.7882882882882883,0.0990990990990991,0.2927927927927928,0.2927927927927928,nan,nan,0.29123680437009564,0.9440007152039,0.3314285714285714,0.36363636363636365,0.22727272727272727,0.3665313591015191,-0.059133236072631434,2.5750356807669608,20,20,15.112136125564575
4,,-0.004438180695131565,-0.00011379950500337347,0.31772491534550984,0.0,0.0,0.0,0.5583941605839416,0.7288135593220338,0.33689839572192515,0.32620320855614976,0.33689839572192515,0.5064209305155927,0.33589743589743587,0.33589743589743587,0.5641025641025641,0.004150359042194288,0.2752433768298551,31.746031746031743,-0.5758609192317928,0.31746031746031744,0.18909157415369637,0.1497326203208556,0.7112299465240641,0.13903743315508021,0.36363636363636365,0.36363636363636365,nan,nan,0.327145576515503,2.0755779554164344,0.3533834586466165,0.2692307692307692,0.34615384615384615,0.12719068275552525,-0.14805269407432986,2.565240392188308,20,20,17.350980043411255
5,,0.10024204129365251,0.0035800729033447325,0.3799328774213791,0.5,0.5,0.5,0.7912621359223301,0.8444444444444444,0.36065573770491804,0.366120218579235,0.273224043715847,0.5032381708800261,0.36964285714285716,0.36964285714285716,0.9285714285714286,0.42736145018291316,0.3595103107532345,38.0,-0.18176532398836856,0.38,0.19246124863792022,0.16939890710382513,0.6721311475409836,0.15846994535519127,0.34972677595628415,0.34972677595628415,nan,nan,0.1637269018593578,0.47659888637248743,0.25203252032520324,0.3103448275862069,0.2413793103448276,0.2599543629852651,-0.09955594776796936,2.5978717815757038,20,20,13.572410345077515
6,,0.098554306925876,0.00394217227703504,0.34417258501052855,0.65,0.65,0.65,0.8854961832061069,0.8461538461538461,0.32,0.36,0.32,0.5081755845565349,0.044,0.044,0.28,0.3651097336270426,0.3764385825218555,45.0,-0.10909130157274101,0.45,0.02986387441627985,0.176,0.48,0.344,0.328,0.328,nan,nan,0.06674153936636305,0.1268146105526215,0.26666666666666666,0.32558139534883723,0.3953488372093023,0.2758380653768107,-0.1006005171450448,2.5667801407509065,20,20,4.673474073410034
7,,0.1811946148347665,0.012079640988984433,0.9902356266975403,1.0,1.0,1.0,1.0,1.0,0.33858267716535434,0.3937007874015748,0.2677165354330709,0.506136735137552,0.07666666666666666,0.07666666666666666,0.06666666666666667,0.9939645215664917,0.055551794197490595,44.11764705882353,-0.022974075635695715,0.4411764705882353,0.011083480290510435,0.18110236220472442,0.6771653543307087,0.14173228346456693,0.36220472440944884,0.36220472440944884,nan,nan,0.03122793107144646,0.11099111575618163,0.29069767441860467,0.4444444444444444,0.16666666666666666,0.20823189622162122,0.15268010202413063,2.576272129507728,20,20,3.1640865802764893
8,,0.09585121279931508,0.0034232575999755383,0.36825649738311766,0.4,0.4,0.4,0.8571428571428571,0.868421052631579,0.4644808743169399,0.3114754098360656,0.22404371584699453,0.5135192694840953,0.4089285714285714,0.4089285714285714,0.6071428571428571,0.36846255143477613,0.4792749168489189,39.02439024390244,-0.3350395251197064,0.3902439024390244,0.14012016722666107,0.14754098360655737,0.73224043715847,0.12021857923497267,0.3005464480874317,0.3005464480874317,nan,nan,0.23486767123983204,0.9913667489655266,0.208955223880597,0.2727272727272727,0.4090909090909091,0.4066304828310562,-0.07264443401786269,2.760825749854261,20,20,8.446376323699951
9,,0.1352767113139723,0.004664714183240424,0.22064475566148758,0.7,0.7,0.7,0.8461538461538461,0.8780487804878049,0.33727810650887574,0.39644970414201186,0.26627218934911245,0.5085261503748338,0.38448275862068965,0.38448275862068965,0.7241379310344828,0.6236345695407676,0.3427014146785783,33.33333333333333,-0.2801957246409684,0.3333333333333333,0.18904876555866437,0.14201183431952663,0.6863905325443787,0.17159763313609466,0.3905325443786982,0.3905325443786982,nan,nan,0.16863774363516493,0.5771361594072683,0.25,0.4482758620689655,0.3103448275862069,0.26441288692696896,-0.07828852775160933,2.5718549409165115,20,20,7.694746971130371
10,,0.17021358130389078,0.006546676203995799,0.2234998121857643,0.85,0.85,0.85,0.9430051813471503,1.0,0.32620320855614976,0.5026737967914439,0.1711229946524064,0.513321865701045,0.4076923076923077,0.4076923076923077,1.5,0.8497177323391525,0.29115251872614645,25.0,-0.1359071242762887,0.25,0.13875613120798744,0.1711229946524064,0.48128342245989303,0.34759358288770054,0.37433155080213903,0.37433155080213903,nan,nan,0.10936337562316772,0.4657977525375175,0.12222222222222222,0.47692307692307695,0.23076923076923078,0.24006980878393383,-0.051082709942212604,3.2146424536087816,20,20,6.641963720321655
