episode,steps,physical_steps,decision_steps,active_decision_ratio,wall_time,sim_time,termination_reason_raw,termination_reason_bucket,reward_mean,reward_total,episode_reward,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_completed,episode_time_seconds,mean_r_prog,mean_r_term,mean_cost_power,mean_cost_trust,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,illegal_action_ratio,no_task_rate,on_task_rate,has_task_available_rate,v2v_link_break_rate,unified_illegal_trigger_rate,hard_trigger_rate,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_term,reward_clip_hit_count,reward_clip_hit_rate,abs_ratio_basis,r_prog_on_task_mean,r_prog_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_term,actor_loss,critic_loss,critic_loss_raw_mean,normalized_value_loss,entropy,approx_kl,clip_frac,cost_power_value_loss,cost_trust_value_loss,lambda_power,lambda_trust,grad_norm,grad_norm_preclip,grad_norm_postclip,active_ratio,actor_update_active_frac,value_clip_fraction,critic_loss_active,critic_loss_inactive,mode_aux_loss,mode_aux_acc,ppo_epochs_executed,num_minibatches_executed,mb_kl_max,mb_kl_p95,early_stop_epoch_idx,early_stop_batch_idx,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,28,28,140,5.0,22.258374214172363,2.8000000000000003,all_failed,terminated,-0.00043925881618633866,-0.0122992442214209,-0.0122992442214209,0.006991817173548038,0.005106913857161999,0.1,0.1,0.52,1.808044357691546,2.167024086261425,2,1.808044357691546,2.800000000000001,0.02559131713299664,-0.029983904354932672,0.3467425237265714,0.0,0.3467425237265714,0.9902635945432482,0.04766849565662709,0.0,17,0.85,0.29285714285714287,0.4928571428571429,0.21428571428571427,0.29285714285714287,0.4928571428571429,0.21428571428571427,0.5077513937040099,1.1785714285714286,4.949999999999996,0.51115881869986,0.8897848844528196,0.0,1.0190804033971535e-09,1.6385473533553352e-10,7.365867304987005e-10,99,41,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.25,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.10236526853198649,0.11064500212156923,0.7917336975360126,0.20826630246398734,-0.008532810397446156,5.821811771392822,5.821811771392822,5.821813297271729,2.097857689857483,0.007650520117022097,0.0328125,0.0015671822882723063,0.003446516569238156,0.0,0.0,22.570433677029538,22.570433677029538,22.570433330535888,1.0,1.0,0.841015625,5.821811771392822,0.0,,,5,10,0.01806078478693962,0.016772254509851335,-1,-1,0,False,0.0002,0.0,0.09998755555555557
2,24,24,107,4.458333333333333,9.044006824493408,2.4000000000000004,all_failed,terminated,-0.0009086059289984405,-0.021806540652506833,-0.021806540652506833,0.015167562337592238,0.006391292437911034,0.15,0.15,0.6,0.6283856997564299,0.8032815658493953,3,0.6283856997564299,2.400000000000001,0.01701912366587793,-0.026105182271089104,0.4212921059554789,0.0,0.421292105955479,0.9636081308073692,0.04808667158494262,0.0,17,0.85,0.22429906542056074,0.45794392523364486,0.3177570093457944,0.22429906542056074,0.45794392523364486,0.3177570093457944,0.4991925906389952,0.4583333333333333,2.0,0.4989747182717399,0.8634310752153397,0.0,3.949831225980021e-10,6.797609697350993e-11,3.8841684452117776e-10,83,24,0.0,0.0,0.0,0.0,0.0,0.7770833333333333,0.22291666666666665,0.22291666666666665,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.07634747065066735,0.07838472476596378,0.6271710321426087,0.37282896785739117,0.0010110162198543548,3.3868257999420166,3.3868257999420166,3.386827230453491,1.9867653131484986,0.005729718087241054,0.00546875,0.0008922687033191323,0.003248151717707515,0.0,0.0,74.9135197421842,74.9135197421842,74.91351661682128,1.0,1.0,0.471875,3.3868257999420166,0.0,,,5,5,0.011792856268584728,0.01156203132122755,-1,-1,0,False,0.0002,0.0,0.09997688888888889
3,39,39,222,5.6923076923076925,15.236888408660889,3.9000000000000004,all_failed,terminated,0.0005257644806988537,0.020504807956205875,0.020504807956205875,0.010275601409375671,0.004987593740224838,0.1,0.1,0.7397769516728625,2.4716675219007236,3.04286285921528,2,2.4716675219007236,3.900000000000002,0.025362786476424804,-0.020105143410731014,0.374698421139715,0.0,0.37469842113971497,0.9782110786184434,0.0414941408633366,0.0,18,0.9,0.28378378378378377,0.36936936936936937,0.34684684684684686,0.28378378378378377,0.36936936936936937,0.34684684684684686,0.49397877379774285,1.6666666666666667,9.100000000000001,0.4916282416439205,0.8425979614257812,0.0,1.4469173914566366e-10,2.2950426281642677e-11,1.0620791260351747e-10,157,63,0.0,0.0,0.0,0.0,0.0,0.7153846153846154,0.2846153846153846,0.2846153846153846,0.0072992700729927005,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.0891124930252764,0.12147099479866319,0.9499090155960647,0.050090984403935314,0.000428412730495135,2.600865952173869,2.600865952173869,2.6008670806884764,1.8016670942306519,0.0027246049294869104,0.012239583333333333,0.00037722488050349055,0.001045440915428723,0.0,0.0,27.52561256829591,27.52561256829591,27.525612831115723,1.0,1.0,0.8033854166666666,2.600865952173869,0.0,,,5,15,0.012371781282126904,0.010177882760763165,-1,-1,0,False,0.0002,0.0,0.09995955555555557
4,39,39,219,5.615384615384615,19.470974445343018,3.9000000000000004,all_failed,terminated,0.0007336795679293573,0.028613504618484227,0.028613504618484227,0.010302750021219255,0.0047584534622728825,0.15,0.15,0.7116788321167883,3.036243819943273,3.28012157317944,4,3.036243819943273,3.900000000000002,0.025097465215784594,-0.01776066915976299,0.3347750163225042,0.0,0.33477501632250406,0.9870194403662627,0.03642711523540438,0.0,17,0.85,0.2831050228310502,0.4246575342465753,0.2922374429223744,0.2831050228310502,0.4246575342465753,0.2922374429223744,0.49255763853255374,2.0,9.0,0.48972558947856976,0.8346444010734558,0.0,2.112190262970585e-10,4.01126111493344e-11,2.3932318488073527e-10,154,62,0.0,0.0,0.0,0.0,0.0,0.7192307692307692,0.28076923076923077,0.28076923076923077,0.016666666666666666,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.08938823227539713,0.1128227576518127,0.9181533198802322,0.08184668011976781,-0.002807867402831713,1.6561120907465616,1.6561120907465616,1.6561127026875815,1.8677822589874267,0.00408578800658385,0.023697916666666666,0.00020052502853407835,0.0007523909230561306,0.0,0.0,32.68367054246453,32.68367054246453,32.68367067972819,1.0,1.0,0.6239583333333333,1.6561120907465616,0.0,,,5,15,0.013118092902004719,0.010894279461354014,-1,-1,0,False,0.0002,0.0,0.09994222222222222
5,28,28,187,6.678571428571429,15.42387580871582,2.8000000000000003,all_failed,terminated,0.0014892136678099632,0.04169798671527618,0.04169798671527618,0.015220474358648059,0.006155441049486399,0.3,0.3,0.7330097087378641,1.808977489677316,2.4411618394950647,6,1.808977489677316,2.800000000000001,0.02663537589250033,-0.011743237779901682,0.2620419541927188,0.0,0.2620419541927187,0.9829754358499012,0.03439132897255772,0.0,14,0.7,0.22994652406417113,0.40641711229946526,0.36363636363636365,0.22994652406417113,0.40641711229946526,0.36363636363636365,0.4874366960554783,1.1785714285714286,4.0,0.4834459995083949,0.8602315902709959,0.0,6.18477452585252e-10,7.946219376941954e-11,5.422348764438911e-10,131,43,0.0,0.0,0.0,0.0,0.0,0.6660714285714285,0.33392857142857146,0.33392857142857146,0.058823529411764705,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.07976369251230044,0.1027662318030135,0.8006553656064901,0.19934463439350983,0.0016975764185190201,1.4137222290039062,1.4137222290039062,1.4137227654457092,1.9270321607589722,0.01017523284535855,0.019140625,0.0001309534469328355,0.0005281789912260137,0.0,0.0,35.487144679206395,35.487144679206395,35.48714456558228,1.0,1.0,0.650390625,1.4137222290039062,0.0,,,5,10,0.022643672302365303,0.019587698299437753,-1,-1,0,False,0.0002,0.0,0.09992977777777778
6,25,25,116,4.64,5.483141899108887,2.5,all_failed,terminated,0.001253523281775415,0.03133807877622291,0.03133807877622291,0.013022516481578348,0.005799938924610615,0.4,0.4,0.7786259541984732,0.9627894774247457,1.8328419148556965,8,0.9627894774247457,2.500000000000001,0.012759247934894427,-0.0002240164244052538,0.45294326902914006,0.0,0.4529432690291394,0.9900281961058292,0.046439994223520076,0.0,12,0.6,0.27586206896551724,0.3103448275862069,0.41379310344827586,0.27586206896551724,0.3103448275862069,0.41379310344827586,0.5034556212350726,0.12,0.0,0.5045230644438123,0.8720098972320556,0.0,1.0247808851504558e-10,1.2759703883757911e-11,9.817207671791714e-11,84,32,0.0,0.0,0.0,0.0,0.0,0.768,0.23199999999999998,0.23199999999999998,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.05499675834006219,0.05666594332812265,0.41632935101657853,0.5836706489834214,-0.009111109375953674,1.0417315006256103,1.0417315006256103,1.0417317628860474,1.8884358406066895,0.005285355914384127,0.034375,0.0001289559542783536,0.0001655008702073246,0.0,0.0,25.082352391168538,25.082352391168538,25.082352447509766,1.0,1.0,0.596875,1.0417315006256103,0.0,,,5,5,0.013180579990148544,0.012120873294770717,-1,-1,0,False,0.0002,0.0,0.09991866666666667
7,18,18,127,7.055555555555555,3.406276226043701,1.8,success_all_done,terminated,0.009894455783069134,0.1781002021266289,0.1781002021266289,0.032181081175804135,0.009894455783069134,1.0,1.0,1.0,0.9171301721915042,1.5485490992675006,20,0.9171301721915042,1.8000000000000005,0.01284849611816625,0.0860960606188498,0.13959631512443843,0.0,0.1395963151244385,0.9925279334672211,0.015246581903340672,0.0,0,0.0,0.25196850393700787,0.4409448818897638,0.30708661417322836,0.25196850393700787,0.4409448818897638,0.30708661417322836,0.5029215515487724,0.4444444444444444,1.1999999999999886,0.5040765835564266,0.8283445447683334,0.0,1.543594418951244e-10,1.974883451216769e-11,1.3707766033377312e-10,95,32,0.0,0.0,0.0,0.0,0.0,0.6472222222222223,0.35277777777777775,0.35277777777777775,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.03642093387826654,0.03651043868611875,0.18088331499876517,0.8191166850012348,-0.0038670655339956284,3.933216667175293,3.933216667175293,3.9332180500030516,1.888785195350647,0.005465198121964931,0.021875,0.00017221802263520659,0.0002148004510672763,0.0,0.0,106.52244599938447,106.52244599938447,106.5224445104599,1.0,1.0,0.3703125,3.933216667175293,0.0,,,5,5,0.01182852778583765,0.010489107761532068,-1,-1,0,False,0.0002,0.0,0.09991066666666668
8,28,28,179,6.392857142857143,9.704114437103271,2.8000000000000003,all_failed,terminated,0.004021449014544487,0.11260057540355117,0.11260057540355117,0.012860472267493603,0.006308047566562891,0.55,0.55,0.8163265306122449,1.9642990366552233,2.485669672454309,11,1.9642990366552233,2.800000000000001,0.03275631600884011,0.007458175206713832,0.22770298633575528,0.0,0.22770298633575542,0.9961503487302283,0.02483210585876825,0.0,9,0.45,0.25139664804469275,0.3854748603351955,0.36312849162011174,0.25139664804469275,0.3854748603351955,0.36312849162011174,0.4774045734865857,1.1071428571428572,4.649999999999999,0.4695097859096096,0.8496366143226624,0.0,2.123382997210031e-10,2.983065183759237e-11,1.8540085786056229e-10,128,45,0.0,0.0,0.0,0.0,0.0,0.6803571428571429,0.3196428571428571,0.3196428571428571,0.03968253968253968,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.10247786013938819,0.11833002527796836,0.7646423432203386,0.2353576567796613,-0.010525567829608918,0.9116088211536407,0.9116088211536407,0.9116090536117554,1.746727740764618,0.008240968210157008,0.042578125,0.0010204724385403097,0.001260155875934288,0.0,0.0,23.20546351006957,23.20546351006957,23.205463314056395,1.0,1.0,0.453515625,0.9116088211536407,0.0,,,5,10,0.013971537351608276,0.013634923473000526,-1,-1,0,False,0.0002,0.0,0.09989822222222222
9,29,29,168,5.793103448275862,7.621971368789673,2.9000000000000004,all_failed,terminated,0.004489406011998653,0.13019277727285108,0.13019277727285108,0.01632638871669769,0.006280313245952129,0.7,0.7,0.8736263736263736,1.803061150359993,2.211123803280842,14,1.803061150359993,2.9000000000000012,0.025041441904719075,0.019852619223850274,0.23031134166340259,0.0,0.23031134166340267,0.9895526640342639,0.024527491349697495,0.0,6,0.3,0.2916666666666667,0.42857142857142855,0.27976190476190477,0.2916666666666667,0.42857142857142855,0.27976190476190477,0.5080322530120611,1.4137931034482758,6.199999999999996,0.511065811750583,0.8843850493431091,0.0,2.147711869460162e-10,4.099581091265847e-11,1.6705778427272791e-10,117,49,0.0,0.0,0.0,0.0,0.0,0.7103448275862069,0.2896551724137931,0.2896551724137931,0.010526315789473684,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.0864525970520063,0.10955029785308398,0.7097781002438127,0.2902218997561873,-0.01267663724720478,0.8667678952217102,0.8667678952217102,0.866768091917038,1.6508254885673523,0.004310332494787872,0.02578125,0.00040311704942723735,0.000335496268235147,0.0,0.0,21.462831631685994,21.462831631685994,21.462831211090087,1.0,1.0,0.603125,0.8667678952217102,0.0,,,5,10,0.014457477256655693,0.012426161998882884,-1,-1,0,False,0.0002,0.0,0.09988533333333334
10,26,26,187,7.1923076923076925,7.546038866043091,2.6,all_failed,terminated,0.00533475773409009,0.13870370183307107,0.13870370183307107,0.015820848289877176,0.007256753277033567,0.75,0.75,0.9067357512953368,1.7650764708576865,2.236718650029294,15,1.7650764708576865,2.600000000000001,0.02604818426711289,0.027299393360991357,0.11014431446013952,0.0,0.1101443144601395,0.8851145461280403,0.013179508214584185,0.0,5,0.25,0.29411764705882354,0.45454545454545453,0.25133689839572193,0.29411764705882354,0.45454545454545453,0.25133689839572193,0.5021560925918703,2.230769230769231,7.75,0.5029582273028299,0.8683298826217649,0.0,2.1409770345481842e-10,3.817835977915074e-11,1.8838115858899014e-10,125,55,0.0,0.0,0.0,0.0,0.0,0.6403846153846153,0.35961538461538467,0.35961538461538467,0.06,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.07243345357699844,0.08459373664703604,0.6045396377690326,0.39546036223096737,-0.0010252167470753194,0.7794502019882202,0.7794502019882202,0.7794503569602966,1.6237261772155762,0.00542361605912447,0.02421875,0.0006828584286267869,0.00041996803411166185,0.0,0.0,17.580336326045042,17.580336326045042,17.580336475372313,1.0,1.0,0.405859375,0.7794502019882202,0.0,,,5,10,0.018833283334970474,0.013467221613973367,-1,-1,0,False,0.0002,0.0,0.09987377777777778
