episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,mode_match_rate,oracle_match_rate,oracle_match_eps_abs_rate,oracle_match_eps_rel_rate,action_regret_mean,action_regret_p95,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,0.029726628548898265,0.0010616653053177952,1.0708945453166963,0.2,0.2,0.2,0.755,0.7837837837837838,0.3333333333333333,0.4502923976608187,0.21637426900584794,0.5060487212579964,0.30714285714285716,0.30714285714285716,0.8928571428571429,0.09207494890464904,0.2745727867580571,48.64864864864865,-0.22054344403765808,0.4864864864864865,0.10176875237466047,0.10526315789473684,0.6491228070175439,0.24561403508771928,0.42105263157894735,0.42105263157894735,nan,nan,0.1979604748691568,0.6013707017639862,0.2072072072072072,0.35714285714285715,0.2619047619047619,0.20483120187152862,-0.06974158488652843,2.567368745251561,20,20,19.924397706985474
2,,0.06625871421797713,0.0027607797590823804,0.4964760184288025,0.55,0.55,0.55,0.7703703703703704,0.8333333333333334,0.3418803418803419,0.452991452991453,0.20512820512820512,0.508525954943616,0.016666666666666666,0.016666666666666666,0.20833333333333334,0.20247444083283692,0.3192457717420581,41.66666666666667,-0.2647078520123793,0.4166666666666667,0.008579293463336388,0.18803418803418803,0.47863247863247865,0.3333333333333333,0.4358974358974359,0.4358974358974359,nan,nan,0.08451368292234106,0.15937742022200393,0.125,0.38461538461538464,0.3333333333333333,0.2232096981414598,-0.09603607360059829,2.738822984344085,20,20,8.871955156326294
3,,0.04882165501703914,0.0012518373081292088,0.27787373860677084,0.2,0.2,0.2,0.7434944237918215,0.8275862068965517,0.37668161434977576,0.34977578475336324,0.273542600896861,0.49964687636551947,0.5307692307692308,0.5307692307692308,0.7948717948717948,0.1807224293173896,0.31446241345884574,36.0655737704918,-0.2673842238811395,0.36065573770491804,0.25766525248187705,0.10762331838565023,0.6860986547085202,0.2062780269058296,0.3542600896860987,0.3542600896860987,nan,nan,0.25541630238009155,0.840140590295966,0.2549019607843137,0.32608695652173914,0.34782608695652173,0.23566113771820854,-0.07880127574063721,2.4234851684141323,20,20,14.802778005599976
4,,0.09036780155978481,0.002442373015129319,0.22914315164089202,0.5,0.5,0.5,0.8102189781021898,0.9347826086956522,0.3333333333333333,0.4583333333333333,0.20833333333333334,0.4936582746688981,0.4135135135135135,0.4135135135135135,1.4864864864864864,0.3378875134281266,0.3902157614864278,36.0,-0.2511676159169308,0.36,0.18970710183058193,0.12083333333333333,0.6208333333333333,0.25833333333333336,0.4375,0.4375,nan,nan,0.1608796467682018,0.5695011143032326,0.18791946308724833,0.3548387096774194,0.27419354838709675,0.3119310777751707,-0.07828468371125705,2.985605522542941,20,20,15.81742787361145
5,,0.10218276837797834,0.003649384584927798,0.2421644225716591,0.5,0.5,0.5,0.7815533980582524,0.9333333333333333,0.3728813559322034,0.4406779661016949,0.1864406779661017,0.4990911487922339,0.29464285714285715,0.29464285714285715,1.0714285714285714,0.3299536920534049,0.5859415779494983,51.515151515151516,0.008851234144018285,0.5151515151515151,0.11356281423914322,0.11864406779661017,0.711864406779661,0.1694915254237288,0.4067796610169492,0.4067796610169492,nan,nan,0.17704310436619894,0.5279016026604413,0.16666666666666666,0.43333333333333335,0.23333333333333334,0.4936460520058048,-0.09229552594369345,2.7374729237677315,20,20,14.958498239517212
6,,0.18491853658794077,0.01681077605344916,0.4146480619907379,1.0,1.0,1.0,1.0,1.0,0.46616541353383456,0.3308270676691729,0.20300751879699247,0.5001872699369084,0.14545454545454545,0.14545454545454545,0.45454545454545453,0.9981882464463085,0.024965703727077876,29.629629629629626,-0.028256546078815305,0.2962962962962963,0.039749057110853615,0.15789473684210525,0.45864661654135336,0.38345864661654133,0.3007518796992481,0.3007518796992481,nan,nan,0.03509025976909764,0.11303860243733874,0.16393442622950818,0.19607843137254902,0.21568627450980393,0.1982599682705813,0.1732942645435034,2.4809495369425107,20,20,2.8749022483825684
7,,0.19131242172156013,0.01913124217215601,0.08664719760417938,1.0,1.0,1.0,1.0,1.0,0.5426356589147286,0.32558139534883723,0.13178294573643412,0.48977994503453376,0.095,0.095,0.0,0.9985020404984819,0.03147871306971087,47.05882352941176,-0.014380244736532861,0.47058823529411764,0.018112159375566664,0.17829457364341086,0.6046511627906976,0.21705426356589147,0.3643410852713178,0.3643410852713178,nan,nan,0.02384067427427085,0.10850415338626443,0.14102564102564102,0.21428571428571427,0.07142857142857142,0.2043490582264577,0.17287034515674685,2.1708137853197162,20,20,2.3652098178863525
8,,0.1469401812394341,0.005066902801359796,0.27729023844003675,0.65,0.65,0.65,0.9183673469387755,0.8620689655172413,0.5368421052631579,0.29473684210526313,0.16842105263157894,0.5084014454310567,0.5844827586206897,0.5844827586206897,0.41379310344827586,0.6652531233389583,0.3166396634423105,31.25,-0.1243967763684336,0.3125,0.13508690040172744,0.13157894736842105,0.7052631578947368,0.1631578947368421,0.2736842105263158,0.2736842105263158,nan,nan,0.18260046459610357,0.6390607937175692,0.1865671641791045,0.3225806451612903,0.0967741935483871,0.26274019894486084,-0.05389946449744963,2.45287729785819,20,20,7.992389917373657
9,,0.1406514825644009,0.0048500511229103765,0.2294142797589302,0.7,0.7,0.7,0.9065934065934066,0.8888888888888888,0.5406976744186046,0.29651162790697677,0.16279069767441862,0.4997685145008667,0.5,0.5,0.5172413793103449,0.5949930162806593,0.3198186672168018,50.0,-0.05557182811336301,0.5,0.10850673890627013,0.10465116279069768,0.6744186046511628,0.22093023255813954,0.3023255813953488,0.3023255813953488,nan,nan,0.14684935986817704,0.48308339631108654,0.16379310344827586,0.21052631578947367,0.15789473684210525,0.2678089882974718,-0.05200967891932999,2.4760696593563596,20,20,7.30475640296936
10,,0.16256519668157413,0.006252507564675928,0.1346360020339489,0.75,0.75,0.75,0.927461139896373,0.9,0.5405405405405406,0.33513513513513515,0.12432432432432433,0.5001397681780733,0.5538461538461539,0.5538461538461539,0.7692307692307693,0.7504065597509765,0.323347071966962,21.73913043478261,-0.15504737441648028,0.21739130434782608,0.13575766984834803,0.1837837837837838,0.4702702702702703,0.34594594594594597,0.3027027027027027,0.3027027027027027,nan,nan,0.14932633391614664,0.5984759649366104,0.16091954022988506,0.296875,0.078125,0.3176172550703455,-0.005729816896616474,2.6606156226396114,20,20,6.883566856384277
