phase,method,policy,metric_id,metric_cn,direction,mean,std,n,matched_k,stat_basis
中期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,20.0,9.128709291752768,10,10,matched_tail_raw_baseline
中期,EFT,EFT,deadline_miss_rate,超时失败率,lower,34.5,12.122064363978788,10,10,matched_tail_raw_baseline
中期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,15.0,7.817359599705716,10,10,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,34.5,12.122064363978788,10,10,matched_tail_raw_baseline
中期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,79.5,9.846036991827953,10,10,matched_tail_raw_baseline
中期,Oracle-Min,Oracle-Min,deadline_miss_rate,超时失败率,lower,34.5,13.834337312964756,10,10,matched_tail_raw_baseline
中期,Random,Random,deadline_miss_rate,超时失败率,lower,99.0,2.1081851067789197,10,10,matched_tail_raw_baseline
中期,Static,Static,deadline_miss_rate,超时失败率,lower,21.5,7.8351061823621055,10,10,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,71.5,12.92069829554287,10,10,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,20.0,9.128709291752768,10,10,matched_tail_raw_baseline
前期,EFT,EFT,deadline_miss_rate,超时失败率,lower,34.5,12.122064363978788,10,10,matched_tail_raw_baseline
前期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,15.0,7.817359599705716,10,10,matched_tail_raw_baseline
前期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,34.5,12.122064363978788,10,10,matched_tail_raw_baseline
前期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,79.5,9.846036991827953,10,10,matched_tail_raw_baseline
前期,Oracle-Min,Oracle-Min,deadline_miss_rate,超时失败率,lower,34.5,13.834337312964756,10,10,matched_tail_raw_baseline
前期,Random,Random,deadline_miss_rate,超时失败率,lower,99.0,2.1081851067789197,10,10,matched_tail_raw_baseline
前期,Static,Static,deadline_miss_rate,超时失败率,lower,21.5,7.8351061823621055,10,10,matched_tail_raw_baseline
前期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,72.0,10.327955589886445,10,10,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,20.0,9.128709291752768,10,10,matched_tail_raw_baseline
后期,EFT,EFT,deadline_miss_rate,超时失败率,lower,34.5,12.122064363978788,10,10,matched_tail_raw_baseline
后期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,15.0,7.817359599705716,10,10,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,34.5,12.122064363978788,10,10,matched_tail_raw_baseline
后期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,79.5,9.846036991827953,10,10,matched_tail_raw_baseline
后期,Oracle-Min,Oracle-Min,deadline_miss_rate,超时失败率,lower,34.5,13.834337312964756,10,10,matched_tail_raw_baseline
后期,Random,Random,deadline_miss_rate,超时失败率,lower,99.0,2.1081851067789197,10,10,matched_tail_raw_baseline
后期,Static,Static,deadline_miss_rate,超时失败率,lower,21.5,7.8351061823621055,10,10,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,26.0,10.219806477837261,10,10,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,3.0025938301086432,0.6988061468125149,10,10,matched_tail_raw_baseline
中期,EFT,EFT,mean_cft_est,平均完工时间估计,lower,2.9533926322460182,0.2874535961343385,10,10,matched_tail_raw_baseline
