window,method,policy,metric_id,metric_cn,direction,mean,std,p10,p50,p90,ci95_low,ci95_high,n,matched_k,stat_basis,rank
全程,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,15.0,7.817359599705716,4.5,17.5,20.5,10.5,19.0,10,10,matched_tail_raw_baseline,1.0
全程,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,20.0,9.128709291752768,9.5,20.0,30.0,14.5,25.5,10,10,matched_tail_raw_baseline,2.0
全程,Static,Static,deadline_miss_rate,超时失败率,lower,21.5,7.8351061823621055,15.0,20.0,26.499999999999993,17.5,26.5,10,10,matched_tail_raw_baseline,3.0
全程,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,26.0,10.219806477837261,19.5,22.5,36.49999999999999,21.0,32.5,10,10,matched_tail_raw_baseline,4.0
全程,EFT,EFT,deadline_miss_rate,超时失败率,lower,34.5,12.122064363978788,19.5,32.5,46.0,28.0,42.0,10,10,matched_tail_raw_baseline,5.0
全程,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,34.5,12.122064363978788,19.5,32.5,46.0,27.5,41.5,10,10,matched_tail_raw_baseline,5.0
全程,Oracle-Min,Oracle-Min,deadline_miss_rate,超时失败率,lower,34.5,13.834337312964756,19.5,35.0,46.49999999999999,26.7375,42.5,10,10,matched_tail_raw_baseline,5.0
全程,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,79.5,9.846036991827953,69.0,82.5,86.0,73.5,85.0,10,10,matched_tail_raw_baseline,6.0
全程,Random,Random,deadline_miss_rate,超时失败率,lower,99.0,2.1081851067789197,95.0,100.0,100.0,97.5,100.0,10,10,matched_tail_raw_baseline,7.0
末100,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,15.0,7.817359599705716,4.5,17.5,20.5,10.5,19.5,10,10,matched_tail_raw_baseline,1.0
末100,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,20.0,9.128709291752768,9.5,20.0,30.0,14.5,25.0,10,10,matched_tail_raw_baseline,2.0
末100,Static,Static,deadline_miss_rate,超时失败率,lower,21.5,7.8351061823621055,15.0,20.0,26.499999999999993,17.5,26.5,10,10,matched_tail_raw_baseline,3.0
末100,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,26.0,10.219806477837261,19.5,22.5,36.49999999999999,21.0,32.5,10,10,matched_tail_raw_baseline,4.0
末100,EFT,EFT,deadline_miss_rate,超时失败率,lower,34.5,12.122064363978788,19.5,32.5,46.0,27.2375,41.5,10,10,matched_tail_raw_baseline,5.0
末100,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,34.5,12.122064363978788,19.5,32.5,46.0,27.5,41.5,10,10,matched_tail_raw_baseline,5.0
末100,Oracle-Min,Oracle-Min,deadline_miss_rate,超时失败率,lower,34.5,13.834337312964756,19.5,35.0,46.49999999999999,27.0,42.26249999999993,10,10,matched_tail_raw_baseline,5.0
末100,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,79.5,9.846036991827953,69.0,82.5,86.0,74.0,85.0,10,10,matched_tail_raw_baseline,6.0
末100,Random,Random,deadline_miss_rate,超时失败率,lower,99.0,2.1081851067789197,95.0,100.0,100.0,97.5,100.0,10,10,matched_tail_raw_baseline,7.0
末300,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,15.0,7.817359599705716,4.5,17.5,20.5,10.0,19.0,10,10,matched_tail_raw_baseline,1.0
末300,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,20.0,9.128709291752768,9.5,20.0,30.0,14.5,25.0,10,10,matched_tail_raw_baseline,2.0
末300,Static,Static,deadline_miss_rate,超时失败率,lower,21.5,7.8351061823621055,15.0,20.0,26.499999999999993,17.5,26.5,10,10,matched_tail_raw_baseline,3.0
末300,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,26.0,10.219806477837261,19.5,22.5,36.49999999999999,21.0,33.0,10,10,matched_tail_raw_baseline,4.0
末300,EFT,EFT,deadline_miss_rate,超时失败率,lower,34.5,12.122064363978788,19.5,32.5,46.0,27.5,41.5,10,10,matched_tail_raw_baseline,5.0
末300,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,34.5,12.122064363978788,19.5,32.5,46.0,27.5,41.5,10,10,matched_tail_raw_baseline,5.0
