episode,steps,wall_time,sim_time,termination_reason_raw,termination_reason_bucket,reward_mean,reward_total,episode_reward,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_est,episode_time_seconds,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,illegal_action_ratio,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,actor_loss,critic_loss,critic_loss_raw_mean,normalized_value_loss,entropy,approx_kl,clip_frac,grad_norm,active_ratio,actor_update_active_frac,value_clip_fraction,critic_loss_active,critic_loss_inactive,ppo_epochs_executed,num_minibatches_executed,mb_kl_max,mb_kl_p95,early_stop_epoch_idx,early_stop_batch_idx,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,140,10.873427629470825,14.0,idle,terminated,-0.00011036539945052937,-0.015451181921828,-0.015451181921828,0.00025900872715281384,0.003400359069928527,0.2,0.2,0.6008771929824561,1.7000000000000004,2.0850000000000004,4,15.287015819549552,13.999999999999966,0.001366540411302694,0.0,0.00029762447242096,-0.09512672590357855,16,0.8,0.453416149068323,0.3105590062111801,0.2360248447204969,0.453416149068323,0.3105590062111801,0.2360248447204969,0.5062725119929694,0.0,0.0,0.5107748672271867,0.8745350360870361,0.0,0.0,7.942262299220904e-12,0.0,0.0,0.800000011920929,0.20000000298023224,88,73,3.7574263102158385,0.007142857142857161,0.0,0.0,0.0,0.9425,0.057499999999999996,0.057499999999999996,0.0,0.0,-0.012098993826657533,2.6635407328605654,2.6635407328605654,2.6635406970977784,1.9526331901550293,0.013834691094234585,0.11194662246853113,1.7545060157775878,0.0575,0.0560546875,0.795986708253622,0.44398202896118166,3.3094287753105163,2,20,0.08294614404439926,0.07397491186857225,1,9,0,True,0.0002,0.0,0.09986
2,57,4.574763059616089,5.7,idle,terminated,-0.0034549604170024395,-0.19693274390910967,-0.19693274390910967,0.0007675678934901934,0.003631599945947528,0.0,0.0,0.5677966101694916,0.0,0.0,0,7.1141157150268555,5.699999999999996,0.01132134976548553,0.0,0.003695641985447882,-0.09147152132109591,20,1.0,0.3567251461988304,0.25146198830409355,0.391812865497076,0.3567251461988304,0.25146198830409355,0.391812865497076,0.4999948239313406,0.017543859649122806,0.0,0.4999918610782459,0.8641354799270627,0.0,0.0,1.3383999637739397e-11,0.0,0.022222222222222223,0.800000011920929,0.20000000298023224,108,61,9.07736101000001,0.01754385964912282,0.0,0.0,0.0,0.85,0.15000000000000002,0.15000000000000002,0.0,0.0,0.0063073714962229134,1.5451669216156005,1.5451669216156005,1.545166903734207,2.026982605457306,0.034042294952087104,0.1058592957444489,0.9742305606603623,0.15,0.1494140625,0.08683926612138748,2.4591353297233582,0.7376277536153794,5,20,0.0673535168170929,0.060416665300726896,-1,-1,0,False,0.0002,0.0,0.099803
3,90,7.0448830127716064,9.0,idle,terminated,-0.001684493268840015,-0.15160441521658005,-0.15160441521658005,0.002685779065359384,0.0028100365307182074,0.1,0.1,0.6963562753036437,2.450000000000001,2.585000000000001,2,10.043876028060911,8.999999999999984,0.010568095548268602,0.0,0.003389905361827146,-0.09224094125959578,18,0.9,0.28,0.37,0.35,0.28,0.37,0.35,0.4957000026344839,0.05555555555555555,0.5499999999999972,0.4938080037936568,0.8650854617357253,0.0,1.1263838473052346e-10,1.83780282658752e-11,4.469797639655713e-11,0.015503875968992248,0.800000011920929,0.20000000298023224,142,56,7.5576176134831545,0.01111111111111113,0.0,0.0,0.0,0.8888888888888888,0.11111111111111116,0.11111111111111116,0.0,0.0,-0.013055548510913338,1.5730389731270926,1.5730389731270926,1.5730389526912145,1.9951388972146171,0.00574297757952341,0.1731281103832381,1.136253024850573,0.1111111111111111,0.11127232142857142,0.1984383408645434,2.9385785920279366,0.7311785238129752,5,35,0.05571063980460167,0.03929171040654176,-1,-1,0,False,0.0002,0.0,0.09971300000000001
4,62,4.661394834518433,6.2,idle,terminated,-0.0021075811237096786,-0.13067003003220146,-0.13067003003220146,0.0011879726080223892,0.002747445134446025,0.05,0.05,0.6694214876033058,2.3500000000000005,2.4850000000000008,2,7.458557505607604,6.199999999999994,0.020135374485479418,0.1505304094440045,0.006305735985771976,-0.08924270985587929,19,0.95,0.22916666666666666,0.4427083333333333,0.328125,0.22916666666666666,0.4427083333333333,0.328125,0.4936373030023289,0.04838709677419355,0.0,0.4907179479092798,0.86295690536499,0.0,2.5800592357017025e-10,2.920040251264133e-11,2.359140383045854e-10,0.007633587786259542,0.800000011920929,0.20000000298023224,147,44,10.439914662051866,0.016129032258064533,0.0,0.0,0.0,0.8451612903225807,0.1548387096774193,0.1548387096774193,0.0,0.0,0.0011055844345719378,2.059135341644287,2.059135341644287,2.0591353356838225,1.9130805075168609,0.015154398558661342,0.09685185486450791,1.0747177571058273,0.15483870967741936,0.15390625,0.3620501990430057,1.1169575124979019,2.9034581184387207,5,20,0.04159623011946678,0.03526202868670226,-1,-1,0,False,0.0002,0.0,0.099651
5,189,14.054444551467896,18.900000000000002,idle,terminated,-0.0019396477146074176,-0.3665934265143431,-0.3665934265143431,-0.0009008392109535645,0.002700378419831395,0.05,0.05,0.568075117370892,1.4000000000000001,1.4000000000000001,1,20.412708873748777,18.9,0.003572038591744479,0.0,0.0010996492326289342,-0.09765520626275018,19,0.95,0.2468354430379747,0.33544303797468356,0.4177215189873418,0.2468354430379747,0.33544303797468356,0.4177215189873418,0.5011603736266291,0.005291005291005291,0.0,0.5017866445249117,0.8691636443138122,0.0,0.0,4.677800681529565e-12,0.0,0.021052631578947368,0.800000011920929,0.20000000298023224,117,39,2.376857731914892,0.005291005291005292,0.0,0.0,0.0,0.9582010582010582,0.041798941798941835,0.041798941798941835,0.0,0.0,0.02197618172927336,2.9234256094152276,2.9234256094152276,2.9234255985780195,2.0005781000310723,0.0008675989837766709,0.06767676906152205,2.375414555723017,0.0417989417989418,0.03977272727272727,0.460956565358422,13.781281102787364,0.6506719629872929,1,11,0.07936684042215347,0.06822359375655651,0,10,0,True,0.0002,0.0,0.09946200000000001
6,200,14.494925737380981,20.0,time_limit,time_limit,-0.0011821640655398369,-1.236432799440928,-1.236432799440928,-0.000615217292215682,0.0027987577486783266,0.15,0.15,0.68,2.0750000000000006,2.6950000000000007,4,20.901450061798094,20.000000000000014,0.004368996262306568,0.0,0.0011458973071324721,-0.09687662628293135,17,0.85,0.35911602209944754,0.3149171270718232,0.3259668508287293,0.35911602209944754,0.3149171270718232,0.3259668508287293,0.4927600479577668,0.01,0.0,0.4884622278211423,0.8471766203641891,0.0,0.0,6.778780228117176e-12,0.0,0.0196078431372549,0.800000011920929,0.20000000298023224,114,65,2.903971165199997,0.0,1.0,0.0,0.0,0.95475,0.04525000000000001,0.04525000000000001,0.0,0.0,-0.05508876536041498,2.9850204944610597,2.9850204944610597,2.9850205183029175,1.820727813243866,0.0346434511244297,0.046196524798870084,2.0337135791778564,0.04525,0.048828125,0.1442478194832802,12.695934867858886,0.5007057540118695,1,10,0.08633415400981903,0.07782279737293718,0,9,0,True,0.0002,0.0,0.099262
7,77,5.839484930038452,7.7,idle,terminated,-0.0013755901018157601,-0.10592043550679772,-0.10592043550679772,0.0004892523167654885,0.0033477195538580418,0.15,0.15,0.673469387755102,2.6333333333333346,3.1600000000000015,3,8.771876912117003,7.699999999999989,0.007385249988458748,0.0,0.0017698961844412337,-0.0946805418156954,17,0.85,0.38341968911917096,0.30569948186528495,0.31088082901554404,0.38341968911917096,0.30569948186528495,0.31088082901554404,0.4965905598352675,0.06493506493506493,1.0,0.4942990902782975,0.8515853881835938,0.0,0.0,1.1741568654854984e-11,0.0,0.028846153846153848,0.800000011920929,0.20000000298023224,116,74,7.579242141052643,0.012987012987013007,0.0,0.0,0.0,0.8746753246753247,0.12532467532467528,0.12532467532467528,0.0,0.0,-0.0015248565954000999,2.4081431329250336,2.4081431329250336,2.408143103122711,1.9595251480738323,0.019394101582292933,0.11086513831590612,1.743980052570502,0.1253246753246753,0.12532552083333334,0.46697227175657946,4.005211412906647,1.2811854034662247,4,24,0.09171417355537415,0.07282631918787956,3,5,0,True,0.0002,0.0,0.09918500000000001
8,85,6.848206043243408,8.5,idle,terminated,-0.002161813899874687,-0.1837542244776725,-0.1837542244776725,0.0008478558040224015,0.0032291060779243708,0.05,0.05,0.39148936170212767,2.2000000000000006,2.2000000000000006,1,10.196136474609375,8.499999999999986,0.006104427346890735,0.0,0.0019337641497197608,-0.09645372422302455,19,0.95,0.2867647058823529,0.2426470588235294,0.47058823529411764,0.2867647058823529,0.2426470588235294,0.47058823529411764,0.49886849103632436,0.011764705882352941,0.0,0.49821892107569576,0.8668483585119248,0.0,0.0,1.083545666386021e-11,0.0,0.02857142857142857,0.800000011920929,0.20000000298023224,95,39,4.445306449523817,0.011764705882352962,0.0,0.0,0.0,0.92,0.07999999999999996,0.07999999999999996,0.0,0.0,-0.004590661121148835,2.1950462495579437,2.1950462495579437,2.195046333705678,2.1292836105122284,0.014198594096609774,0.12413326278328896,1.645156527266783,0.08,0.07858455882352941,0.24541583925704746,4.951736323973712,1.0227415246122025,3,17,0.07510462403297424,0.07158352136611938,2,4,0,True,0.0002,0.0,0.09910000000000001
9,73,5.61029052734375,7.300000000000001,idle,terminated,-0.0021134126000106335,-0.15427913774901614,-0.15427913774901614,0.00043224751716479566,0.002906914334744215,0.05,0.05,0.6385542168674698,1.7000000000000004,1.7000000000000004,1,8.914823594093322,7.29999999999999,0.009079184019840359,0.0,0.003421268935252106,-0.09347463016640638,19,0.95,0.30319148936170215,0.34574468085106386,0.35106382978723405,0.30319148936170215,0.34574468085106386,0.35106382978723405,0.49296794083696627,0.0684931506849315,0.0,0.4886554625657135,0.8474783301353455,0.0,0.0,1.2251502763682698e-11,0.0,0.008695652173913044,0.800000011920929,0.20000000298023224,130,57,8.269404221111122,0.013698630136986321,0.0,0.0,0.0,0.8712328767123287,0.12876712328767126,0.12876712328767126,0.0,0.0,0.004514566510915756,1.581854257583618,1.581854257583618,1.5818542671203613,1.9299484157562257,0.034488325668498875,0.2003128570318222,1.0361163926124572,0.12876712328767123,0.1275,0.5767582381796091,2.3528266286849977,1.029391224384308,5,25,0.07072485238313675,0.06594635322690008,-1,-1,0,False,0.0002,0.0,0.099027
10,190,13.130233764648438,19.0,idle,terminated,-0.0019098060438409448,-0.36286315631696153,-0.36286315631696153,-0.0007863936363719405,0.002003646921366453,0.0,0.0,0.7407407407407407,2.5000000000000013,2.5900000000000007,3,19.819470977783205,19.0,0.0009039467869614104,0.0,0.00020302659185407153,-0.09491031020879798,20,1.0,0.3425414364640884,0.36464088397790057,0.292817679558011,0.3425414364640884,0.36464088397790057,0.292817679558011,0.49829864339817215,0.02631578947368421,0.0,0.4973665356061321,0.8633193612098693,0.0,0.0,4.441350499179153e-12,0.0,0.009615384615384616,0.800000011920929,0.20000000298023224,118,62,3.2247604647619053,0.005263157894736842,0.0,0.0,0.0,0.9523684210526315,0.04763157894736847,0.04763157894736847,0.0,0.0,-0.021980709752396625,2.2116246223449707,2.2116246223449707,2.211624629357282,1.797227095155155,0.0018932027194429846,0.17492443980539546,1.8014628466437845,0.04763157894736842,0.04848345588235294,0.15754297996104202,5.475134022095624,1.455981647267061,2,17,0.1396399289369583,0.06744544208049769,1,2,0,True,0.0002,0.0,0.09883700000000001
