episode,steps,wall_time,sim_time,termination_reason_raw,termination_reason_bucket,reward_mean,reward_total,episode_reward,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_est,episode_time_seconds,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,illegal_action_ratio,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,r_margin,r_margin_raw,r_margin_norm,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_term,abs_ratio_r_margin,margin_valid_count,margin_skip_count,reward_clip_hit_count,reward_clip_hit_rate,abs_ratio_basis,r_prog_on_task_mean,r_margin_on_task_mean,r_time_on_task_mean,r_prog_on_task_abs_mean,r_margin_on_task_abs_mean,r_time_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_margin,abs_ratio_on_task_r_time,abs_ratio_on_task_r_term,actor_loss,critic_loss,critic_loss_raw_mean,normalized_value_loss,entropy,approx_kl,clip_frac,grad_norm,active_ratio,actor_update_active_frac,value_clip_fraction,critic_loss_active,critic_loss_inactive,ppo_epochs_executed,num_minibatches_executed,mb_kl_max,mb_kl_p95,early_stop_epoch_idx,early_stop_batch_idx,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,190,15.027144193649292,19.0,idle,terminated,0.0004870702978223562,0.09254336589654717,0.09254336589654717,0.0024314157315529863,0.0009384338627569377,0.2,0.2,0.5789473684210527,1.6500000000000004,1.8000000000000005,4,20.48474187850952,19.0,0.0019835103114197823,0.0,0.0006703751673949352,-0.09744982992348,16,0.8,0.34838709677419355,0.36774193548387096,0.2838709677419355,0.34838709677419355,0.36774193548387096,0.2838709677419355,0.5002918394003063,0.0,0.0,0.5004530186769461,0.8570394575595857,0.0,0.0,6.674685110175105e-12,0.0,0.0,0.800000011920929,0.20000000298023224,101,54,2.4517789616931216,0.005263157894736842,0.0,0.0,0.0,0.9592105263157895,0.04078947368421049,0.04078947368421049,0.0,0.0,0.0022797680736913683,0.0011603610991756444,0.00759922691230463,0.0,0.0,0.0,0.4524470924898374,0.5475529075101626,3800,0,0,0.0,unified_margin_term_illegal,0.0036940819217312648,-0.0036538464238107175,-0.01554251060539764,0.0459873182542862,0.07964707352649363,0.01554251060539764,0.2709279171158993,0.4692297040586529,0.09156654888610916,0.1682758299393386,-0.044198724996441834,2.2958094431803775,2.2958094431803775,2.2958094431803775,1.9323776960372925,0.013941012233352432,0.135996058010138,3.712090015411377,0.04078947368421053,0.04026442307692308,0.4639110636825745,10.508043435903696,0.6349044545338705,1,13,0.08910229057073593,0.07916775047779082,0,12,0,True,0.0002,0.0,0.09981000000000001
2,86,6.83169960975647,8.6,idle,terminated,-0.0002132377412635833,-0.01833844611571281,-0.01833844611571281,0.003390704980120063,0.0014344383962452412,0.0,0.0,0.6313559322033898,2.1000000000000005,2.5500000000000007,2,9.934259424209595,8.599999999999985,0.007003087872490874,0.0,0.00219589437185359,-0.09341884325410016,20,1.0,0.4696132596685083,0.2430939226519337,0.287292817679558,0.4696132596685083,0.2430939226519337,0.287292817679558,0.5005006628479202,0.011627906976744186,0.0,0.5008628658300829,0.8817429661750793,0.0,0.0,7.243793238853602e-12,0.0,0.025,0.800000011920929,0.20000000298023224,94,85,7.021829252705894,0.011627906976744207,0.0,0.0,0.0,0.8947674418604651,0.10523255813953492,0.10523255813953492,0.0,0.0,0.005307850688185415,0.002785967220369845,0.017692835627284815,0.0,0.0,0.0,0.20410867177107012,0.7958913282289298,1720,0,0,0.0,unified_margin_term_illegal,-0.008304153325149355,-0.030247922938691524,-0.014744026454470014,0.05651105362407405,0.1076415172556239,0.014744026454470014,0.3136062321719544,0.597353057268568,0.08182148954766941,0.0072192210118082805,-0.01334485352660219,2.768761134147644,2.768761134147644,2.7687610228856405,1.8708887934684753,0.009278951521749453,0.09660999507953723,2.3266945540905,0.10523255813953489,0.105078125,0.7674021004311119,4.687664635976156,1.6873974124590556,5,30,0.07482296973466873,0.05601951889693737,-1,-1,0,False,0.0002,0.0,0.09972400000000001
3,145,11.178496599197388,14.5,idle,terminated,7.422671478707343e-05,0.010762874542541892,0.010762874542541892,0.0019819370936602354,0.0007984801777638495,0.0,0.0,0.562753036437247,0.0,0.0,0,15.83466625213623,14.499999999999964,0.0036195124962796277,0.0,0.0009031410467436725,-0.09718948002519279,20,1.0,0.41379310344827586,0.25862068965517243,0.3275862068965517,0.41379310344827586,0.25862068965517243,0.3275862068965517,0.5032767378542058,0.0,0.0,0.5055343854264397,0.8657174110412594,0.0,0.0,3.854235073458279e-12,0.0,0.011904761904761904,0.800000011920929,0.20000000298023224,101,72,3.8888238266666746,0.006896551724137948,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.0,0.0,0.004442047021229711,0.0012431091244511836,0.014806823404099256,0.0,0.0,0.0,0.17932793181874665,0.8206720681812534,2900,0,0,0.0,unified_margin_term_illegal,-0.00709690177577668,-0.0375096067955451,-0.014735949793253994,0.05222754033132533,0.09751790192281401,0.014735949793253994,0.29705855182234314,0.5546599847163302,0.08381478196255898,0.06446668149876789,-0.05150080733001232,1.3825092434883117,1.3825092434883117,1.382509207725525,1.8856996536254882,0.0186079052684363,0.07160597778856755,1.8267455458641053,0.06,0.05703125,0.3137027768185362,2.7437494158744813,0.9751051425933838,1,10,0.07761291414499283,0.0629690922796726,0,9,0,True,0.0002,0.0,0.099579
4,83,6.119314670562744,8.3,idle,terminated,0.000784404925070703,0.06510561560270765,0.06510561560270765,0.0049159063957631526,0.0018415958620607853,0.15,0.15,0.640495867768595,2.1000000000000005,2.630000000000001,3,9.510493154525754,8.299999999999986,0.0036301399070150795,0.0,0.001116458535229954,-0.09138534530099576,17,0.85,0.46774193548387094,0.2903225806451613,0.24193548387096775,0.46774193548387094,0.2903225806451613,0.24193548387096775,0.49342591969453425,0.012048192771084338,0.0,0.4896559494719686,0.8517054319381714,0.0,0.0,1.1907508833119973e-11,0.0,0.034482758620689655,0.800000011920929,0.20000000298023224,96,87,7.5479027746341565,0.012048192771084357,0.0,0.0,0.0,0.8879518072289156,0.11204819277108435,0.11204819277108435,0.0,0.0,0.00686062854997224,0.0034891866337933754,0.022868761833240794,0.0,0.0,0.0,0.24628991842754666,0.7537100815724533,1660,0,0,0.0,unified_margin_term_illegal,-0.0069903653796001206,-0.03078658795945785,-0.015245427618940561,0.057358981781108376,0.1155840626373246,0.015245427618940561,0.28507166815964213,0.5744478114069824,0.07576911842200568,0.0647114020113698,0.010756794479675591,2.62935053507487,2.62935053507487,2.6293505827585855,1.902892009417216,0.020138727757148443,0.09392125507195791,1.6231069326400758,0.11204819277108434,0.11158854166666667,0.8075594832499822,5.206665388743082,1.0347031335035959,5,30,0.06344548612833023,0.05040295738726854,-1,-1,0,False,0.0002,0.0,0.099496
5,197,14.216835975646973,19.700000000000003,idle,terminated,-2.6298497687093914e-05,-0.005180803233798327,-0.005180803233798327,0.0017588678747415512,0.0007644878933206201,0.05,0.05,0.596244131455399,1.7500000000000004,2.0650000000000004,2,21.255265731811527,19.70000000000001,0.0026065744741923568,0.0,0.0006880738249727647,-0.09796645097321109,19,0.95,0.29012345679012347,0.32098765432098764,0.3888888888888889,0.29012345679012347,0.32098765432098764,0.3888888888888889,0.4933983351439616,0.0,0.0,0.4897313227268885,0.8539806962013246,0.0,0.0,4.926530971366416e-12,0.0,0.052083333333333336,0.800000011920929,0.20000000298023224,110,47,2.4122941073469373,0.005076142131979693,0.0,0.0,0.0,0.9588832487309644,0.04111675126903558,0.04111675126903558,0.0,0.0,0.0020021841445244876,0.0009499727344870717,0.006673947148414834,0.0,0.0,0.0,0.26325819360854175,0.7367418063914584,3940,0,0,0.0,unified_margin_term_illegal,-0.010014505408428336,-0.031684277070410334,-0.016315735470429457,0.05582368142075003,0.11262259126387496,0.016315735470429457,0.2671303771999841,0.5389274680543693,0.07807490404763819,0.11586725069800834,-0.004528970513492822,2.8239304208755494,2.8239304208755494,2.823930344581604,1.8529591941833496,-0.006377403107471764,0.18933575451374055,2.2817368650436403,0.04111675126903553,0.0409375,0.6282905061542988,13.081848125457764,0.7431008803844452,2,25,0.09537307173013687,0.05262209102511403,1,9,0,True,0.0002,0.0,0.09929900000000001
6,168,11.901217937469482,16.8,idle,terminated,0.00044213500223122537,0.07427868479455725,0.07427868479455725,0.00380934901768342,0.0008573471568524837,0.3,0.3,0.7688888888888888,2.2666666666666675,2.5500000000000007,6,17.596332778930652,16.79999999999997,0.004673822541060878,0.0,0.0012917334103448436,-0.09565599984356374,14,0.7,0.3316062176165803,0.39378238341968913,0.27461139896373055,0.3316062176165803,0.39378238341968913,0.27461139896373055,0.48445511763427584,0.02976190476190476,0.0,0.47610667669312295,0.8445356339216232,0.0,0.0,9.661343773614828e-12,0.0,0.008771929824561403,0.800000011920929,0.20000000298023224,128,64,3.8005661940119824,0.005952380952380964,0.0,0.0,0.0,0.9425595238095238,0.05744047619047621,0.05744047619047621,0.0,0.0,0.002727429183394547,0.001806481899178258,0.009091430611315045,0.0,0.0,0.0,0.4254313417033881,0.5745686582966119,3360,0,0,0.0,unified_margin_term_illegal,0.002563772640080034,-0.0038141753153683898,-0.015189804074927976,0.04931131499418935,0.0902986579226612,0.015189804074927976,0.23000789028841662,0.42118941275676997,0.07085138146448275,0.2779513154903305,0.01039900560863316,3.2433494567871093,3.2433494567871093,3.2433494925498962,1.8227872848510742,0.006911900080740452,0.13936869129538537,3.7972086668014526,0.05744047619047619,0.057421875,0.5189901191741229,8.204793882369994,1.7577512383460998,1,10,0.1679406464099884,0.11612655408680427,0,9,0,True,0.0002,0.0,0.09913100000000001
7,106,7.346010208129883,10.600000000000001,idle,terminated,0.00041382655035704374,0.04386561246128648,0.04386561246128648,0.005151784047484398,0.001107300166040659,0.15,0.15,0.8326530612244898,2.780000000000001,3.3000000000000016,5,11.182919931411737,10.599999999999978,0.005565013390431174,0.0,0.0020256890927301107,-0.09152306357644557,17,0.85,0.3705357142857143,0.38392857142857145,0.24553571428571427,0.3705357142857143,0.38392857142857145,0.24553571428571427,0.49304429933578126,0.04716981132075472,0.0,0.4891011933420963,0.8555809855461121,0.0,3.037752983187062e-11,9.78937764184451e-12,0.0,0.007751937984496124,0.800000011920929,0.20000000298023224,140,83,6.841067235809538,0.009433962264150964,0.0,0.0,0.0,0.8943396226415095,0.10566037735849054,0.10566037735849054,0.0,0.0,0.005731589601046074,0.003502973841392885,0.019105298670153495,0.0,0.0,0.0,0.265901786267642,0.734098213732358,2120,0,0,0.0,unified_margin_term_illegal,0.002475351866866863,-0.0014580871413309964,-0.014819544225448924,0.04489289008613139,0.08174228134691697,0.014819544225448924,0.28084272267509686,0.5113666063177761,0.09270869264807761,0.11508197835904936,-0.03496568417176604,2.8006626069545746,2.8006626069545746,2.80066254734993,1.7284488677978516,0.026207338029053062,0.08890513936057687,2.331674560904503,0.10566037735849057,0.10498046875,0.16719208331778646,6.2860067486763,0.7956632152199745,1,8,0.0949966236948967,0.08291940484195946,0,7,0,True,0.0002,0.0,0.099025
8,200,15.697012901306152,20.0,time_limit,time_limit,0.00012617863831110299,-0.9747642723421686,-0.9747642723421686,0.001156809343956407,0.0006662182277068496,0.05,0.05,0.6186440677966102,1.8500000000000005,2.435000000000001,2,26.68415117263794,20.000000000000014,0.0027479101570434465,0.0,0.001070738594947829,0.007076851710676786,18,0.9,0.33516483516483514,0.4010989010989011,0.26373626373626374,0.33516483516483514,0.4010989010989011,0.26373626373626374,0.49050109704304484,0.03,0.0,0.4857854052271528,0.8543516039848329,0.0,0.0,6.285069253236797e-12,0.0,0.009174311926605505,0.800000011920929,0.20000000298023224,115,56,2.9432673774796,0.0,1.0,0.0,0.0,0.9545,0.045499999999999985,0.045499999999999985,0.0,0.0,0.002305017397200216,0.0013700993292240838,0.007683391324000857,0.0,0.0,0.0,0.304546965842786,0.695453034157214,4000,0,0,0.0,unified_margin_term_illegal,-0.00017877784404123046,-0.009251182421980843,-0.01564460240646273,0.051166912815072976,0.09339871968939617,0.01564460240646273,0.3164993917638364,0.5777295589447178,0.09677166109138145,0.00899938820006441,0.048542313277721405,1.4471944570541382,1.4471944570541382,1.4471945762634277,1.8271068334579468,0.04733064351603389,0.17482518032193184,2.5630048513412476,0.0455,0.046875,0.0,0.7175189107656479,1.6243045926094055,1,2,0.08462752401828766,0.08089783596806228,0,1,0,True,0.0002,0.0,0.09882500000000001
9,42,3.1759965419769287,4.2,idle,terminated,0.0024501471780240536,0.10290618123057838,0.10290618123057838,0.014939841954037516,0.0039759110659360886,0.2,0.2,0.7630522088353414,2.0400000000000005,2.680000000000001,5,5.2806955575943,4.200000000000001,0.006925040433987064,0.0,0.002328915914872945,-0.07594095156306331,16,0.8,0.3222748815165877,0.4312796208530806,0.24644549763033174,0.3222748815165877,0.4312796208530806,0.24644549763033174,0.4885999225135449,0.07142857142857142,0.0,0.4837141750193499,0.8353689432144165,0.0,3.9119213285365694e-10,4.2602629757304555e-11,2.3892661044078047e-10,0.014925373134328358,0.800000011920929,0.20000000298023224,141,68,17.29172079689009,0.023809523809523805,0.0,0.0,0.0,0.7488095238095238,0.2511904761904762,0.2511904761904762,0.0,0.0,0.013769495941327484,0.009393712706953578,0.045898319804424825,0.0,0.0,0.0,0.349151581767924,0.650848418232076,840,0,0,0.0,unified_margin_term_illegal,0.0005512180486561652,-0.011273015551645544,-0.014827972498785836,0.05468016913716824,0.10415476711390644,0.014827972498785836,0.28527048391619414,0.5433831183335897,0.07735862849314724,0.09398776925706903,0.005448720841245217,1.4402847615155308,1.4402847615155308,1.440284783189947,1.8753497167067095,0.01603075219529935,0.160786317830736,2.706802015954798,0.2511904761904762,0.25355113636363635,0.20491876046765933,0.9938769015398893,2.194932601668618,4,11,0.07684820145368576,0.06106313318014145,3,1,0,True,0.0002,0.0,0.09878300000000001
10,200,13.895718097686768,20.0,time_limit,time_limit,0.0007692762301303446,-0.8461447517231718,-0.8461447517231718,0.003318960044998675,0.0009434573585167527,0.2,0.2,0.7546296296296297,1.9500000000000004,2.3500000000000005,6,20.71247863769532,20.000000000000014,0.0018080673044065065,0.0,0.0006818424711791887,-0.09462983299791945,16,0.8,0.2692307692307692,0.46703296703296704,0.26373626373626374,0.2692307692307692,0.46703296703296704,0.26373626373626374,0.4853533297786489,0.055,0.0,0.4796644634205469,0.8539626002311707,0.0,0.0,5.270860137240874e-12,0.0,0.024793388429752067,0.800000011920929,0.20000000298023224,130,49,3.029916928399998,0.0,1.0,0.0,0.0,0.9545,0.045499999999999985,0.045499999999999985,0.0,0.0,0.003534298127347824,0.0022499819517188685,0.011780993757825884,0.0,0.0,0.0,0.45307958917871305,0.546920410821287,4000,0,0,0.0,unified_margin_term_illegal,0.01079118454849328,0.009638160412660418,-0.015089721136112583,0.054124773465670024,0.10622204309454206,0.015089721136112583,0.17879205572629334,0.35088659466382843,0.04984634742117288,0.4204750021887053,-0.0916687473654747,3.987592617670695,3.987592617670695,3.9875928163528442,1.76063072681427,0.027543027109156053,0.13081779703497887,2.89949099222819,0.0455,0.04296875,0.14009579395254454,1.1162174393733342,4.608123739560445,1,6,0.09566409885883331,0.08894554153084755,0,5,0,True,0.0002,0.0,0.098583
