window,method,policy,n,on_task_rate_mean,illegal_action_rate_all_steps_mean,illegal_action_rate_on_task_mean,unified_illegal_trigger_rate_all_steps_mean,unified_illegal_trigger_rate_on_task_mean,decision_frac_local_all_steps_mean,decision_frac_local_on_task_mean,decision_frac_rsu_all_steps_mean,decision_frac_rsu_on_task_mean,decision_frac_v2v_all_steps_mean,decision_frac_v2v_on_task_mean
全程,CP-EFT,CP-EFT,20,0.4269960875766173,0.0,0.0,0.0,0.0,0.6561240023586992,0.6561240023586992,0.3117982958679372,0.3117982958679372,0.03207770177336359,0.03207770177336359
全程,EFT,EFT,20,0.40399573384968956,0.0,0.0,0.0,0.0,0.6035749427132214,0.6035749427132214,0.37849539648132524,0.37849539648132524,0.017929660805453308,0.017929660805453308
全程,Greedy,Greedy,20,0.44450589462456025,0.0,0.0,0.0,0.0,0.5655241880072839,0.5655241880072839,0.43181870143017076,0.43181870143017076,0.0026571105625453153,0.0026571105625453153
全程,LB-Greedy,LB-Greedy,20,0.40290895091627144,0.0,0.0,0.0,0.0,0.6046424948774087,0.6046424948774087,0.3773875063664552,0.3773875063664552,0.017969998756136085,0.017969998756136085
全程,Local-Only,Local-Only,20,0.20845268635981778,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
全程,Oracle-Min,Oracle-Min,20,0.40889562998592466,0.0,0.0,0.0,0.0,0.5990621354539458,0.5990621354539458,0.38204763830826816,0.38204763830826816,0.01889022623778599,0.01889022623778599
全程,Random,Random,20,0.0410188534739606,0.0,0.0,0.0,0.0,0.15716376449243363,0.15716376449243363,0.1617460750338727,0.1617460750338727,0.6810901604736935,0.6810901604736935
全程,Static,Static,20,0.38015083396794364,0.0,0.0,0.0,0.0,0.023821520436632222,0.023821520436632222,0.976178479563368,0.976178479563368,0.0,0.0
全程,当前算法(MAPPO),MAPPO,1000,0.38665113586581656,0.0,0.0,0.0,0.0,0.036118605250150385,0.036118605250150385,0.9363181745630209,0.9363181745630209,0.02756322018682868,0.02756322018682868
末100,CP-EFT,CP-EFT,20,0.4269960875766173,0.0,0.0,0.0,0.0,0.6561240023586992,0.6561240023586992,0.3117982958679372,0.3117982958679372,0.03207770177336359,0.03207770177336359
末100,EFT,EFT,20,0.40399573384968956,0.0,0.0,0.0,0.0,0.6035749427132214,0.6035749427132214,0.37849539648132524,0.37849539648132524,0.017929660805453308,0.017929660805453308
末100,Greedy,Greedy,20,0.44450589462456025,0.0,0.0,0.0,0.0,0.5655241880072839,0.5655241880072839,0.43181870143017076,0.43181870143017076,0.0026571105625453153,0.0026571105625453153
末100,LB-Greedy,LB-Greedy,20,0.40290895091627144,0.0,0.0,0.0,0.0,0.6046424948774087,0.6046424948774087,0.3773875063664552,0.3773875063664552,0.017969998756136085,0.017969998756136085
末100,Local-Only,Local-Only,20,0.20845268635981778,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
末100,Oracle-Min,Oracle-Min,20,0.40889562998592466,0.0,0.0,0.0,0.0,0.5990621354539458,0.5990621354539458,0.38204763830826816,0.38204763830826816,0.01889022623778599,0.01889022623778599
末100,Random,Random,20,0.0410188534739606,0.0,0.0,0.0,0.0,0.15716376449243363,0.15716376449243363,0.1617460750338727,0.1617460750338727,0.6810901604736935,0.6810901604736935
末100,Static,Static,20,0.38015083396794364,0.0,0.0,0.0,0.0,0.023821520436632222,0.023821520436632222,0.976178479563368,0.976178479563368,0.0,0.0
末100,当前算法(MAPPO),MAPPO,100,0.4142619108246508,0.0,0.0,0.0,0.0,0.00074439748689973,0.00074439748689973,0.9980349675941551,0.9980349675941551,0.001220634918945299,0.001220634918945299
末300,CP-EFT,CP-EFT,20,0.4269960875766173,0.0,0.0,0.0,0.0,0.6561240023586992,0.6561240023586992,0.3117982958679372,0.3117982958679372,0.03207770177336359,0.03207770177336359
末300,EFT,EFT,20,0.40399573384968956,0.0,0.0,0.0,0.0,0.6035749427132214,0.6035749427132214,0.37849539648132524,0.37849539648132524,0.017929660805453308,0.017929660805453308
末300,Greedy,Greedy,20,0.44450589462456025,0.0,0.0,0.0,0.0,0.5655241880072839,0.5655241880072839,0.43181870143017076,0.43181870143017076,0.0026571105625453153,0.0026571105625453153
末300,LB-Greedy,LB-Greedy,20,0.40290895091627144,0.0,0.0,0.0,0.0,0.6046424948774087,0.6046424948774087,0.3773875063664552,0.3773875063664552,0.017969998756136085,0.017969998756136085
末300,Local-Only,Local-Only,20,0.20845268635981778,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
末300,Oracle-Min,Oracle-Min,20,0.40889562998592466,0.0,0.0,0.0,0.0,0.5990621354539458,0.5990621354539458,0.38204763830826816,0.38204763830826816,0.01889022623778599,0.01889022623778599
末300,Random,Random,20,0.0410188534739606,0.0,0.0,0.0,0.0,0.15716376449243363,0.15716376449243363,0.1617460750338727,0.1617460750338727,0.6810901604736935,0.6810901604736935
末300,Static,Static,20,0.38015083396794364,0.0,0.0,0.0,0.0,0.023821520436632222,0.023821520436632222,0.976178479563368,0.976178479563368,0.0,0.0
