baseline,metric_id,metric_cn,direction,n_total,n_effective,matched_k,wins,losses,ties,win_rate,p_value_sign_test,welch_t,welch_p_value,bootstrap_ci95_low,bootstrap_ci95_high,mean_oriented_diff,median_oriented_diff,stat_basis
CP-EFT,deadline_miss_rate,超时失败率,lower,20,16,20,7,9,4,0.4375,0.8036193847656258,-0.6539256708489707,0.5171367390452019,-8.5,4.131249999999966,-2.25,0.0,matched_tail_raw_baseline
EFT,deadline_miss_rate,超时失败率,lower,20,17,20,13,4,3,0.7647058823529411,0.049041748046875194,2.336220594983534,0.0249726293288896,1.5,14.881249999999966,8.25,10.0,matched_tail_raw_baseline
Greedy,deadline_miss_rate,超时失败率,lower,20,16,20,5,11,4,0.3125,0.21011352539062497,-1.76851903423969,0.08535370234049985,-11.0,0.25,-5.25,-10.0,matched_tail_raw_baseline
LB-Greedy,deadline_miss_rate,超时失败率,lower,20,17,20,13,4,3,0.7647058823529411,0.049041748046875194,2.378023307427707,0.022685808638976464,1.25,15.75,8.5,10.0,matched_tail_raw_baseline
Local-Only,deadline_miss_rate,超时失败率,lower,20,20,20,20,0,0,1.0,1.9073486328125e-06,19.60187990097312,2.426569723710938e-21,54.75,66.75,61.0,65.0,matched_tail_raw_baseline
Oracle-Min,deadline_miss_rate,超时失败率,lower,20,20,20,13,7,0,0.65,0.26317596435546897,2.056112589632596,0.04712542027236887,0.5,14.25,7.75,7.5,matched_tail_raw_baseline
Random,deadline_miss_rate,超时失败率,lower,20,20,20,20,0,0,1.0,1.9073486328125e-06,32.29176539141822,3.163323146388826e-19,71.75,80.25,76.25,80.0,matched_tail_raw_baseline
Static,deadline_miss_rate,超时失败率,lower,20,17,20,8,9,3,0.47058823529411764,1.0,0.23752268120005,0.8135333671322598,-5.0,6.75,0.75,0.0,matched_tail_raw_baseline
CP-EFT,mean_cft_est,平均完工时间估计,lower,20,20,20,9,11,0,0.45,0.823802947998048,0.16879694784538746,0.8672089079387174,-0.3046482415080078,0.42304327536225195,0.031842930436133995,-0.2861600673198701,matched_tail_raw_baseline
EFT,mean_cft_est,平均完工时间估计,lower,20,20,20,10,10,0,0.5,1.0,0.21213464666365994,0.8331991750446441,-0.18247400682568526,0.2274941105157142,0.021789529681205667,0.04249477624893183,matched_tail_raw_baseline
Greedy,mean_cft_est,平均完工时间估计,lower,20,20,20,7,13,0,0.35,0.26317596435546897,-2.4771802356536714,0.019127793748566498,-0.40005166835486905,-0.06998231084346786,-0.22940032279491449,-0.14108589053154041,matched_tail_raw_baseline
LB-Greedy,mean_cft_est,平均完工时间估计,lower,20,20,20,10,10,0,0.5,1.0,0.2344064819738816,0.8160040260889312,-0.17461491515934474,0.22258962781429265,0.02398465418815605,0.018799198865889988,matched_tail_raw_baseline
Local-Only,mean_cft_est,平均完工时间估计,lower,20,20,20,20,0,0,1.0,1.9073486328125e-06,21.375003431128224,1.8486410296241152e-22,2.401280676230787,2.8898894028156983,2.6548964084386815,2.7036753034591667,matched_tail_raw_baseline
Oracle-Min,mean_cft_est,平均完工时间估计,lower,20,20,20,10,10,0,0.5,1.0,-0.02536861074707871,0.9799039515834871,-0.19635391976237362,0.1757256766974931,-0.0025631802082062725,-0.03561571002006536,matched_tail_raw_baseline
Random,mean_cft_est,平均完工时间估计,lower,20,20,20,20,0,0,1.0,1.9073486328125e-06,14.22695544018081,1.2391832023670101e-11,16.411173689705134,21.2951459827125,18.59637603151798,18.64536101102829,matched_tail_raw_baseline
Static,mean_cft_est,平均完工时间估计,lower,20,20,20,12,8,0,0.6,0.50344467163086,1.6542165998291805,0.10734074558230318,-0.02553753014504907,0.4970365059405571,0.23479794228076947,0.14220612645149222,matched_tail_raw_baseline
CP-EFT,power_ratio_mean,远端功率比例,lower,20,20,20,0,20,0,0.0,1.9073486328125e-06,-173.62243565765218,3.570150820874263e-33,-0.5019090289901238,-0.49149275980655127,-0.4968058879540817,-0.495827065161182,matched_tail_raw_baseline
EFT,power_ratio_mean,远端功率比例,lower,20,20,20,0,20,0,0.0,1.9073486328125e-06,-172.069525710487,3.314270861353847e-34,-0.5027958781120221,-0.49208497640459115,-0.4974596240978764,-0.49835742128903865,matched_tail_raw_baseline
Greedy,power_ratio_mean,远端功率比例,lower,20,20,20,20,0,0,1.0,1.9073486328125e-06,177.0699026449892,4.8739387499071876e-32,0.49542279772124626,0.5056540634589437,0.500552492885215,0.49961083093271,matched_tail_raw_baseline
LB-Greedy,power_ratio_mean,远端功率比例,lower,20,20,20,0,20,0,0.0,1.9073486328125e-06,-171.08341384581553,9.302495587263907e-35,-0.5029628867700772,-0.4920281353642749,-0.49737290714845084,-0.4983463048385971,matched_tail_raw_baseline
Local-Only,power_ratio_mean,远端功率比例,lower,20,20,20,0,20,0,0.0,1.9073486328125e-06,-176.6790151245489,5.082826946726264e-32,-0.5051859784485478,-0.493996035019579,-0.4994475071147851,-0.5003891690672899,matched_tail_raw_baseline
Oracle-Min,power_ratio_mean,远端功率比例,lower,20,20,20,20,0,0,1.0,1.9073486328125e-06,177.0699026449892,4.8739387499071876e-32,0.49536750350920705,0.505562805424142,0.500552492885215,0.49961083093271,matched_tail_raw_baseline
Random,power_ratio_mean,远端功率比例,lower,20,20,20,20,0,0,1.0,1.9073486328125e-06,33.486537731638116,3.953282500275386e-21,0.0941032721731378,0.10548120572641966,0.09978233253711279,0.09891646529221187,matched_tail_raw_baseline
Static,power_ratio_mean,远端功率比例,lower,20,20,20,20,0,0,1.0,1.9073486328125e-06,177.0699026449892,4.8739387499071876e-32,0.495549422697124,0.5058003161376249,0.500552492885215,0.49961083093271,matched_tail_raw_baseline
CP-EFT,reward_mean,平均步奖励,higher,20,20,20,13,7,0,0.65,0.26317596435546897,0.623748818200382,0.536757269325574,-0.005181174222068376,0.010379743060493168,0.00256047934293072,0.005409284961317002,matched_tail_raw_baseline
EFT,reward_mean,平均步奖励,higher,20,20,20,14,6,0,0.7,0.11531829833984374,2.2780463079089417,0.029061332721234772,0.001263157126643255,0.013178468388437146,0.007016850002872829,0.006776395471596853,matched_tail_raw_baseline
Greedy,reward_mean,平均步奖励,higher,20,20,20,5,15,0,0.25,0.04138946533203132,-2.4375725947729037,0.020494352717188843,-0.012643634191635413,-0.0010852863021809836,-0.007238871785841522,-0.006875002397956853,matched_tail_raw_baseline
LB-Greedy,reward_mean,平均步奖励,higher,20,20,20,14,6,0,0.7,0.11531829833984374,2.3081926414128113,0.027126989026015517,0.0011453207312696401,0.013128472683232277,0.007115599103642551,0.006778249832514552,matched_tail_raw_baseline
Local-Only,reward_mean,平均步奖励,higher,20,20,20,20,0,0,1.0,1.9073486328125e-06,17.727627627095636,1.0268197052234784e-13,0.040353901370943746,0.04990406980376502,0.04506480933364106,0.0458290533908525,matched_tail_raw_baseline
Oracle-Min,reward_mean,平均步奖励,higher,20,20,20,14,6,0,0.7,0.11531829833984374,2.228223374965987,0.032170087363277186,0.001063567719495014,0.013674210594008238,0.007142400940796219,0.00551527493450055,matched_tail_raw_baseline
Random,reward_mean,平均步奖励,higher,20,20,20,20,0,0,1.0,1.9073486328125e-06,18.32178652897234,1.5315873719193538e-13,0.04111294844066038,0.05079851820999462,0.04596093645903141,0.046120418300508254,matched_tail_raw_baseline
Static,reward_mean,平均步奖励,higher,20,20,20,13,7,0,0.65,0.26317596435546897,1.2263623858652968,0.22816938628024477,-0.00217782600280216,0.009843851554211821,0.00385379485093701,0.0043139956589539515,matched_tail_raw_baseline
CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,20,0,20,0,0,20,,,,,0.0,0.0,0.0,0.0,matched_tail_raw_baseline
EFT,rho_selected_p10,远端信誉分位数(p10),higher,20,0,20,0,0,20,,,,,0.0,0.0,0.0,0.0,matched_tail_raw_baseline
Greedy,rho_selected_p10,远端信誉分位数(p10),higher,20,0,20,0,0,20,,,,,0.0,0.0,0.0,0.0,matched_tail_raw_baseline
