phase,method,policy,metric_id,metric_cn,direction,mean,std,n,matched_k,stat_basis
中期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,20.25,11.410406146191844,20,20,matched_tail_raw_baseline
中期,EFT,EFT,deadline_miss_rate,超时失败率,lower,30.75,11.95110653322198,20,20,matched_tail_raw_baseline
中期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,17.25,8.346918750747424,20,20,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,31.0,12.204399551844109,20,20,matched_tail_raw_baseline
中期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,83.5,9.333020044867295,20,20,matched_tail_raw_baseline
中期,Oracle-Min,Oracle-Min,deadline_miss_rate,超时失败率,lower,30.25,13.325381400683593,20,20,matched_tail_raw_baseline
中期,Random,Random,deadline_miss_rate,超时失败率,lower,98.75,2.2213082915965963,20,20,matched_tail_raw_baseline
中期,Static,Static,deadline_miss_rate,超时失败率,lower,23.25,9.634778013448003,20,20,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,54.75,30.714089000943762,20,20,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,20.25,11.410406146191844,20,20,matched_tail_raw_baseline
前期,EFT,EFT,deadline_miss_rate,超时失败率,lower,30.75,11.95110653322198,20,20,matched_tail_raw_baseline
前期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,17.25,8.346918750747424,20,20,matched_tail_raw_baseline
前期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,31.0,12.204399551844109,20,20,matched_tail_raw_baseline
前期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,83.5,9.333020044867295,20,20,matched_tail_raw_baseline
前期,Oracle-Min,Oracle-Min,deadline_miss_rate,超时失败率,lower,30.25,13.325381400683593,20,20,matched_tail_raw_baseline
前期,Random,Random,deadline_miss_rate,超时失败率,lower,98.75,2.2213082915965963,20,20,matched_tail_raw_baseline
前期,Static,Static,deadline_miss_rate,超时失败率,lower,23.25,9.634778013448003,20,20,matched_tail_raw_baseline
前期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,28.5,14.608937423083821,20,20,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,20.25,11.410406146191844,20,20,matched_tail_raw_baseline
后期,EFT,EFT,deadline_miss_rate,超时失败率,lower,30.75,11.95110653322198,20,20,matched_tail_raw_baseline
后期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,17.25,8.346918750747424,20,20,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,31.0,12.204399551844109,20,20,matched_tail_raw_baseline
后期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,83.5,9.333020044867295,20,20,matched_tail_raw_baseline
后期,Oracle-Min,Oracle-Min,deadline_miss_rate,超时失败率,lower,30.25,13.325381400683593,20,20,matched_tail_raw_baseline
后期,Random,Random,deadline_miss_rate,超时失败率,lower,98.75,2.2213082915965963,20,20,matched_tail_raw_baseline
后期,Static,Static,deadline_miss_rate,超时失败率,lower,23.25,9.634778013448003,20,20,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,22.5,10.32370802417528,20,20,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,2.9114473967552192,0.7623953966920851,20,20,matched_tail_raw_baseline
中期,EFT,EFT,mean_cft_est,平均完工时间估计,lower,2.901393996000291,0.2837383780493076,20,20,matched_tail_raw_baseline
中期,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,2.65020414352417,0.20251670404014205,20,20,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,mean_cft_est,平均完工时间估计,lower,2.9035891205072413,0.2808710942896252,20,20,matched_tail_raw_baseline
中期,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,5.534500874757766,0.42194626276579306,20,20,matched_tail_raw_baseline
中期,Oracle-Min,Oracle-Min,mean_cft_est,平均完工时间估计,lower,2.8770412861108783,0.27142057741842507,20,20,matched_tail_raw_baseline
中期,Random,Random,mean_cft_est,平均完工时间估计,lower,21.475980497837067,5.834457250132963,20,20,matched_tail_raw_baseline
中期,Static,Static,mean_cft_est,平均完工时间估计,lower,3.1144024085998545,0.5219498447784651,20,20,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,8.09546362054348,7.902591746323231,20,20,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,2.9114473967552192,0.7623953966920851,20,20,matched_tail_raw_baseline
前期,EFT,EFT,mean_cft_est,平均完工时间估计,lower,2.901393996000291,0.2837383780493076,20,20,matched_tail_raw_baseline
前期,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,2.65020414352417,0.20251670404014205,20,20,matched_tail_raw_baseline
前期,LB-Greedy,LB-Greedy,mean_cft_est,平均完工时间估计,lower,2.9035891205072413,0.2808710942896252,20,20,matched_tail_raw_baseline
前期,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,5.534500874757766,0.42194626276579306,20,20,matched_tail_raw_baseline
前期,Oracle-Min,Oracle-Min,mean_cft_est,平均完工时间估计,lower,2.8770412861108783,0.27142057741842507,20,20,matched_tail_raw_baseline
前期,Random,Random,mean_cft_est,平均完工时间估计,lower,21.475980497837067,5.834457250132963,20,20,matched_tail_raw_baseline
前期,Static,Static,mean_cft_est,平均完工时间估计,lower,3.1144024085998545,0.5219498447784651,20,20,matched_tail_raw_baseline
前期,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,3.024459420084954,0.5058045254096863,20,20,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,2.9114473967552192,0.7623953966920851,20,20,matched_tail_raw_baseline
后期,EFT,EFT,mean_cft_est,平均完工时间估计,lower,2.901393996000291,0.2837383780493076,20,20,matched_tail_raw_baseline
后期,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,2.65020414352417,0.20251670404014205,20,20,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,mean_cft_est,平均完工时间估计,lower,2.9035891205072413,0.2808710942896252,20,20,matched_tail_raw_baseline
后期,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,5.534500874757766,0.42194626276579306,20,20,matched_tail_raw_baseline
后期,Oracle-Min,Oracle-Min,mean_cft_est,平均完工时间估计,lower,2.8770412861108783,0.27142057741842507,20,20,matched_tail_raw_baseline
后期,Random,Random,mean_cft_est,平均完工时间估计,lower,21.475980497837067,5.834457250132963,20,20,matched_tail_raw_baseline
后期,Static,Static,mean_cft_est,平均完工时间估计,lower,3.1144024085998545,0.5219498447784651,20,20,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,2.879604466319085,0.3612509803529423,20,20,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.002641619160703385,0.0019826171637760855,20,20,matched_tail_raw_baseline
中期,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.0019878830169087185,0.0027090398423182368,20,20,matched_tail_raw_baseline
中期,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,20,20,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.002074599966334258,0.0030352136150392194,20,20,matched_tail_raw_baseline
中期,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,20,20,matched_tail_raw_baseline
中期,Oracle-Min,Oracle-Min,power_ratio_mean,远端功率比例,lower,1.0,0.0,20,20,matched_tail_raw_baseline
中期,Random,Random,power_ratio_mean,远端功率比例,lower,0.5992298396518979,0.004214018317869571,20,20,matched_tail_raw_baseline
中期,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,20,20,matched_tail_raw_baseline
