episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,termination_reason_raw,termination_reason_bucket,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,r_time,r_interf,r_risk,r_illegal,r_pbrs,r_term,r_step,r_margin,r_margin_raw,r_margin_norm,r_total,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_risk,abs_ratio_r_illegal,abs_ratio_r_pbrs,abs_ratio_r_term,abs_ratio_r_margin,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,uncertainty_selected_mean,uncertainty_selected_p90,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,risk_penalty_mean,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,margin_pre_mean,margin_post_mean,r_margin_abs_mean,r_margin_nonzero_rate,margin_valid_count,margin_skip_count,reward_clip_hit_count,reward_clip_hit_rate,abs_ratio_basis,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,top_illegal_reason,top_illegal_reason_count,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,actor_update_active_frac,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,190,14.774436950683594,42,True,False,idle,idle,terminated,0.0,19.0,20.48474187850952,1.6500000000000004,20,True,2.7185497923439077,2.257715243097942,2004938475.953219,-0.015795598202039674,-3.685122558292588e-05,-0.00013760981410404128,0.0,0.0,0.0053977820719749,-0.014248268718394264,-0.0001425895695950878,-0.0009471296611191553,-0.00047529856531696016,-0.0008902380989694487,0.4738636022604407,0.0,0.0,0.004128256580324403,0.0,0.0,0.4243072648172948,0.09770087634194013,7.650687375293508e-12,0.0,0.0,6.674685110175105e-12,0.0,0.8555481433868408,0.800000011920929,0.1444518268108368,0.20000000298023224,0.8333333134651184,0.95652174949646,0.0,0.0,0.005177398677915335,101,0.0,0.0,0.0,90,0,0.0,0,20,20,228,-0.0008902382105588913,-0.0016005451907403767,0.00017737352463881865,-0.023738397285342216,0.10764629393815994,0.0029981606639921665,0.0025501700765207737,1.5029761001310842,1.5004259300545646,-0.09744982992348,-0.053310394287109375,0.0025501700765207737,0.046689605712890714,0.24342154503818264,0.22020159205590673,0.003256725731461152,0.04078947368421053,155,3645,0,0.0,unified_latency_centric_excl_energy_interf,0.10000000000000471,0.10000000000000471,-0.09744982992348,-0.05331039428710929,0.0019835103114197823,0.0,0.0006703751673949352,0.00824161267184411,20.48474187850952,0.0025501700765207737,0.046689605712890714,1.4847418785095208,0.2,0.2,0.5789473684210527,0.8,0.0,,0,0.9592105263157895,0.04078947368421049,0.04078947368421049,0.0,0.0,0.34838709677419355,0.36774193548387096,0.2838709677419355,0.34838709677419355,0.36774193548387096,0.2838709677419355,0.5004530649508953,0.8570394575595857,1.9435470212589612,0.017910421222702345,0.16511266814036804,-0.03157267313111912,2.3794880130074243,1.1348487870259718,3.8704763542522085,1.9435470212589612,-1.9435470212589612,0.04078947368421053,0.04012784090909091,155,3800,-0.555474042892456,1.1539026498794556,0.11192590065977791,0.3877321562983773,0.11585150692950595,0.085060849447142,0.4218328693373637,0,1.0,1.0,0.3260110803324097,6.194210526315793,24988438.7362241,0.9499999999999981,0.0,0.24294692845573512,0.031885520344156766,0.27483244879989177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.3844000736959716e-05,0.0,0.5002918692104714,0.0,0.0,False,0.0,0.0,0.0
2,200,15.343828678131104,42,False,True,time_limit,time_limit,time_limit,1.0,20.000000000000014,21.61121702194214,1.8000000000000005,20,True,2.749108703662566,2.3684751445625687,2088451330.0378754,-0.015187235523679742,-1.1425402099853026e-05,-0.0005522284210194412,0.0,0.0,-0.004300414933200076,-0.013682127675991909,-0.0011966308545800605,-0.0015146940334993715,-0.003988769515266873,-0.0019097540778989207,0.5434858436185762,0.0,0.0,0.01976188021842086,0.0,0.0,0.28690504215594925,0.14984723400705366,2.4214710098169334e-12,0.0,0.0,2.4213777684300997e-12,0.0,0.8366501927375793,0.800000011920929,0.16156414151191711,0.20000000298023224,0.800000011920929,0.9375,0.0,0.0,0.027611419558525085,80,0.0,0.0,0.0,59,2,0.03389830508474576,2,20,20,236,-0.0019097540061920881,-0.0015260897343978286,-0.0005255041323835031,-0.03469174727797508,0.024942221119999886,0.0022870160173624754,0.001435777232050933,1.680064119818808,1.678628342586757,-0.09856422276794936,0.0,0.001435777232050933,0.10000000000000009,0.1852125102013062,0.14399634602445255,0.004187349610221368,0.03675,147,3853,0,0.0,unified_latency_centric_excl_energy_interf,0.10000000000000561,0.10000000000000561,-0.09856422276794936,8.326672684688674e-17,0.0021712136261039594,0.0,0.0006808873535637262,0.03391586600159109,21.61121702194214,0.001435777232050933,0.10000000000000009,1.6112170219421245,0.05,0.05,0.461864406779661,0.95,0.0,,0,0.96325,0.03674999999999995,0.03674999999999995,0.0,0.0,0.4557823129251701,0.23809523809523808,0.30612244897959184,0.4557823129251701,0.23809523809523808,0.30612244897959184,0.5033470437799463,0.8653903126716613,1.7064357995986938,0.17405320703983307,0.20000000298023224,0.023701762780547142,2.550703763961792,1.2785762548446655,5.611698627471924,1.7064357995986938,-1.7064357995986938,0.03675,0.01953125,147,4000,0.37559956312179565,1.7444721460342407,-0.41283750534057617,0.6469970345497131,0.17342489957809448,0.06093625724315643,0.0,0,1.0,1.0,0.26923684210526316,5.11550000000001,24309651.433511138,1.0,0.0,0.22005237909191383,0.031900486711569045,0.25195286580348303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.020728268316204e-05,0.0,0.5019446324361488,0.0,0.0,True,-1.0,1.678628342586757,0.0
3,131,9.743848085403442,42,True,False,idle,idle,terminated,0.0,13.09999999999997,14.248237047195431,2.150000000000001,20,True,2.8084630444862952,2.407403582174023,2177905398.27408,-0.01493093156856665,-2.8489625202562716e-05,-0.0009361096062455567,0.0,0.0,-0.0068106718126254105,-0.011703855694539949,-0.0017260623337949984,-0.002353764748626223,-0.005753541112650002,-0.002015565108759369,0.4574258109827143,0.0,0.0,0.02867876621355983,0.0,0.0,0.30968304569562516,0.20421237710810078,8.922052333049102e-12,0.0,0.0,5.528041566171815e-12,0.0,0.8580477833747864,0.800000011920929,0.1419522762298584,0.20000000298023224,0.8333333134651184,0.9580615788698197,0.0,0.0,0.023582760244607925,104,0.0,0.0,0.0,92,2,0.021739130434782608,2,20,20,247,-0.002015565289184451,-0.0015012690564617515,0.0007262153958436102,-0.016856379806995392,0.005774925462901592,0.002361016348004341,0.004534002041998445,1.308092772705864,1.3035587706638654,-0.0954659979580009,0.0,0.004534002041998445,0.10000000000000009,0.2957895335126361,0.26480026898298425,0.006665738912950413,0.07595419847328244,199,2421,0,0.0,unified_latency_centric_excl_energy_interf,0.09999999999999659,0.09999999999999659,-0.0954659979580009,8.326672684688674e-17,0.001981530308976361,0.0,0.0006419804100461753,0.03675058846898005,14.248237047195431,0.004534002041998445,0.10000000000000009,1.1482370471954617,0.1,0.1,0.6882591093117408,0.9,0.0,,0,0.9240458015267176,0.07595419847328244,0.07595419847328244,0.0,0.0,0.47738693467336685,0.27638190954773867,0.24623115577889448,0.47738693467336685,0.27638190954773867,0.24623115577889448,0.503153924137736,0.8610117524862289,1.895902019959909,0.028135774950324384,0.1380730387237337,-0.0014645511077509986,4.638771110110813,2.2951701879501343,2.8834253902788514,1.895902019959909,-1.895902019959909,0.07595419847328244,0.07552083333333333,199,2620,0.779590368270874,1.7670495510101318,1.4396426280339558,0.7338961760203043,0.4677399452085848,0.10930661056880597,0.7818190720346239,0,1.0,1.0,0.2772599437525112,5.267938931297695,21825002.993350744,1.0,0.0,0.2511703734571934,0.03306650001353992,0.2842368734707332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.6449128164328164e-05,0.0,0.5018779090285757,0.0,0.0,False,0.0,0.0,0.0
4,83,6.051762104034424,42,True,False,idle,idle,terminated,0.0,8.299999999999986,9.550395460128783,2.0000000000000004,20,True,2.690965407037514,2.315282674301266,2133919461.117804,-0.01550451361214417,-9.943374709792269e-05,-0.0014967237786541374,0.0,0.0,-0.0090412923856223,-0.0109523067840164,-0.0020299397525672777,-0.0034856626839786507,-0.0067664658418909165,-0.002174792401770784,0.3712172951139119,0.0,0.0,0.03583535520969014,0.0,0.0,0.3297765559198701,0.26317079375652785,3.266945047819547e-11,0.0,0.0,1.8713735422393185e-11,0.0,0.8552552461624146,0.800000011920929,0.1437346339225769,0.20000000298023224,0.8333333134651184,0.9513095200061799,0.0,0.0,0.022586919367313385,110,0.0,0.0,0.0,102,1,0.00980392156862745,1,20,20,242,-0.0021747928112745285,-0.0015430253697559237,0.0018904080963693542,-0.0199569221585989,0.012076141312718391,0.002819615416228771,0.008133904029087606,1.5272782826351847,1.5191443786060967,-0.09186609597091175,0.0027179718017578125,0.008133904029087606,0.1027179718017579,0.22010383972025632,0.18865710028870977,0.01099177007058569,0.1108433734939759,184,1476,0,0.0,unified_latency_centric_excl_energy_interf,0.0999999999999969,0.0999999999999969,-0.09186609597091175,0.0027179718017578958,0.0061902130330543535,0.0,0.002317979349768818,0.03811394876059679,9.550395460128783,0.008133904029087606,0.1027179718017579,1.2503954601287965,0.05,0.05,0.6694214876033058,0.95,0.0,,0,0.8891566265060241,0.11084337349397588,0.11084337349397588,0.0,0.0,0.40217391304347827,0.33152173913043476,0.266304347826087,0.40217391304347827,0.33152173913043476,0.266304347826087,0.4950049482957691,0.8537715077400208,1.8208164017775963,0.010277404176906264,0.1325898296360312,-0.01386763782497367,3.258253212632804,1.5934091970838349,1.765693237041605,1.8208164017775963,-1.8208164017775963,0.1108433734939759,0.10991379310344827,184,1660,1.2380601167678833,2.0769011974334717,2.3620487821513207,1.2465151096212452,0.771671339355666,0.21939626721472577,0.7297774618812676,0,1.0,1.0,0.24578313253012013,4.669879518072284,20643614.888099425,1.0,0.0,0.22805034044503014,0.03203155179125227,0.2600818922362824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001761811574003,0.0,0.49691269695871026,0.04819277108433735,0.0,False,0.0,0.0,0.0
5,200,14.349079132080078,42,False,True,time_limit,time_limit,time_limit,1.0,20.000000000000014,21.577395820617674,1.0999999999999999,20,True,2.7344990281465007,2.167433650117191,1919357870.1797347,-0.016513468120472184,-1.75014263819146e-05,-0.0005325759687475602,0.0,0.0,-0.0017076807327974653,-0.015311220248821516,-0.0012114163261331859,-0.0011637617151114951,-0.004038054420443956,-0.0018175974398136501,0.486589741139104,0.0,0.0,0.01569300893544662,0.0,0.0,0.364379814617262,0.13333743530818734,3.5556425425492533e-12,0.0,0.0,3.555290827364499e-12,0.0,0.8444055318832397,0.800000011920929,0.15559454262256622,0.20000000298023224,0.800000011920929,0.9542391330003738,0.0,0.0,0.024208001792430878,88,0.0,0.0,0.0,73,1,0.0136986301369863,1,20,20,213,-0.0018175974255427718,-0.0017055980279110372,-0.0007407276454614487,-0.026257598772644997,0.10804726183414459,0.0030403477139770985,0.0018923953473568198,1.527282842978837,1.525390447631478,-0.09810760465264345,-0.00013947486877441406,0.0018923953473568198,0.09986052513122567,0.1484878797838008,0.12010344770791072,0.004525092292477689,0.041,164,3836,0,0.0,unified_latency_centric_excl_energy_interf,0.10000000000000561,0.10000000000000561,-0.09810760465264345,-0.0001394748687743308,0.0012349576461690049,0.0,0.0004014334733199978,0.031359426232148255,21.577395820617674,0.0018923953473568198,0.09986052513122567,1.5773958206176601,0.05,0.05,0.596244131455399,0.95,0.0,,0,0.959,0.041000000000000036,0.041000000000000036,0.0,0.0,0.4634146341463415,0.27439024390243905,0.2621951219512195,0.4634146341463415,0.27439024390243905,0.2621951219512195,0.5017833851019375,0.8610488593578338,1.838829685341228,0.018279065579091282,0.11393446407534859,-0.010147619145837698,12.976806857369162,6.456190130927346,4.006586129015142,1.838829685341228,-1.838829685341228,0.041,0.040482954545454544,164,4000,6.241661071777344,1.488857626914978,4.538321126591075,1.1936590725725347,1.6106322759931737,0.1964313801039349,0.775383974340829,0,1.0,1.0,0.24302631578947376,4.617500000000004,24721371.099472217,1.0,0.0,0.31772718386337917,0.031799716235805214,0.3495269000991845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.684148323388148e-05,0.0,0.5010250005873386,0.005,0.0,True,-1.0,1.525390447631478,0.0
6,60,4.406734228134155,42,True,False,idle,idle,terminated,0.0,5.999999999999995,6.817867565155028,1.8750000000000004,20,True,2.7987819567201155,2.2987179111715976,2034415959.1397178,-0.015526800999123135,-0.00019495004443260714,-0.002255668366664812,0.0,0.0,0.005552737452696998,-0.01066959203741704,0.001331059818841708,-0.0005524216217995079,0.004436866062805693,-0.00034056841535405884,0.21747876901204682,0.0,0.0,0.03159440117184355,0.0,0.0,0.5618449452460023,0.18908188457010733,7.37195304800764e-11,0.0,3.2654199344506055e-10,3.271453941078306e-11,8.596180711695182e-11,0.8603070378303528,0.800000011920929,0.13598494231700897,0.20000000298023224,0.8333333134651184,0.9655172228813171,0.0,0.00819672131147541,0.022186901420354843,122,0.0,0.0,0.0,113,4,0.035398230088495575,4,20,20,225,-0.0003405683673918247,-0.0015530780074186623,0.00556304370984435,-0.016070140525698662,0.07370486110448837,0.005157954525202513,0.011804287334282995,1.072683254500229,1.0608789671659473,-0.0881957126657165,0.0013918876647949219,0.011804287334282995,0.10139188766479501,0.43203908886997977,0.42839674850646675,0.013499417932132047,0.15166666666666667,182,1018,0,0.0,unified_latency_centric_excl_energy_interf,0.09999999999999788,0.09999999999999788,-0.0881957126657165,0.0013918876647950051,0.0069688887676387645,0.0,0.0023187500665200513,0.03755478533324459,6.817867565155028,0.011804287334282995,0.10139188766479501,0.8178675651550336,0.2,0.2,0.6933333333333334,0.8,0.0,,0,0.8483333333333334,0.15166666666666662,0.15166666666666662,0.0,0.0,0.32967032967032966,0.3901098901098901,0.2802197802197802,0.32967032967032966,0.3901098901098901,0.2802197802197802,0.5115075129096229,0.8607088059186936,1.8185519993305206,0.0056745470152236525,0.10280634481459856,-0.005441980855539441,1.8030332386493684,0.8742520093917847,1.5413495033979416,1.8185519993305206,-1.8185519993305206,0.15166666666666667,0.1537109375,182,1200,1.7009148597717285,2.0515737533569336,1.727523547410965,1.4253363966941834,1.685776025056839,0.2890198066830635,0.5008899049833417,0,1.0,1.0,0.2483333333333334,4.71833333333333,28795251.637996268,1.0,0.0,0.2309272473731647,0.03383257443267016,0.2647598218058349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018516056790516291,0.0,0.5074798833912549,0.03333333333333333,0.0,False,0.0,0.0,0.0
7,33,2.515110969543457,42,True,False,idle,idle,terminated,0.0,3.3000000000000016,3.960670449733734,2.2166666666666672,20,True,2.7252955111550765,2.3745635409740657,2080747006.6325138,-0.015451927371751368,-0.000190085297736302,-0.0032602181239535684,0.0,0.0,0.05026090531922888,-0.004022547455996626,-0.0023428237893703295,-0.00564053799568791,-0.007809412631234435,0.004438505738395076,0.10875498910231497,0.0,0.0,0.022946327536456226,0.0,0.0,0.6813782354798669,0.1869204478813619,8.625838932019292e-11,0.0,3.7953273163138137e-10,3.833796821672841e-11,2.259650737357335e-10,0.8657635450363159,0.800000011920929,0.1342364251613617,0.20000000298023224,0.8571428656578064,0.96875,0.0,0.0,0.018549516797065735,116,0.0,0.0,0.0,110,2,0.01818181818181818,2,20,20,245,0.004438505973666906,-0.001304201316088438,0.04002148136496542,-0.01603282056748867,0.10908937454223633,0.011388858780264854,0.024872870987111724,1.272790713400551,1.24791784241344,-0.07512712901288827,0.18755531311035156,0.024872870987111724,0.28755531311035165,0.4389990115808551,0.42127160645155004,0.02655768906602337,0.3181818181818182,210,450,0,0.0,unified_latency_centric_excl_energy_interf,0.1000000000000008,0.1000000000000008,-0.07512712901288827,0.18755531311035165,0.010246615880913745,0.0,0.0031021604534619425,0.08274903934945169,3.960670449733734,0.024872870987111724,0.28755531311035165,0.6606704497337326,0.3,0.3,0.7714285714285715,0.7,0.0,,0,0.6818181818181818,0.31818181818181823,0.31818181818181823,0.0,0.0,0.44761904761904764,0.34285714285714286,0.20952380952380953,0.44761904761904764,0.34285714285714286,0.20952380952380953,0.5158334295782778,0.8731606125831604,1.7128344655036927,0.030888984352350234,0.07255397103726864,-0.010048759682103992,1.3579156637191772,0.6483550429344177,1.0154953300952911,1.7128344655036927,-1.7128344655036927,0.3181818181818182,0.311328125,210,660,-1.2602450847625732,3.940013885498047,0.9014841496944428,3.1723958253860474,1.2686583042144775,0.24702055603265763,0.26852347049862146,0,1.0,1.0,0.24210526315789482,4.599999999999997,22311369.39474326,1.0,0.0,0.2004628939636791,0.03210491156933745,0.2325678055330166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00029943801235251215,0.0,0.5092841473436265,0.21212121212121213,1.3999999999999986,False,0.0,0.0,0.0
8,200,15.218933820724487,42,False,True,time_limit,time_limit,time_limit,1.0,20.000000000000014,21.612604808807372,1.7333333333333336,20,True,2.748008600258241,2.2839395358632943,2050031609.5404706,-0.016120145414496936,-2.5953872190697365e-05,-0.00032386176975828754,0.0,0.0,-0.0015079297848686688,-0.013204949745751366,-0.0011112072096839017,-0.00203773549805689,-0.0037040240322796744,-0.001573025463086391,0.5523869210671456,0.0,0.0,0.011097729037062791,0.0,0.0,0.29186347074787233,0.14465187914791944,5.962022542327361e-12,0.0,0.0,5.433687354228223e-12,0.0,0.8521909117698669,0.800000011920929,0.14780911803245544,0.20000000298023224,0.8333333134651184,0.94937344789505,0.0,0.0,0.013929537497460842,93,0.0,0.0,0.0,77,2,0.025974025974025976,2,20,20,236,-0.001573025481775403,-0.0016177409561350942,-0.00010903587608481757,-0.018664628267288208,0.04822997748851776,0.002410581335425377,0.002149137362837848,1.6782476852297794,1.6760985478669397,-0.09785086263716294,-2.09808349609375e-05,0.002149137362837848,0.0999790191650396,0.08407307544293434,0.034673427005191604,0.004221333339753811,0.04125,165,3835,0,0.0,unified_latency_centric_excl_energy_interf,0.10000000000000561,0.10000000000000561,-0.09785086263716294,-2.0980834960410144e-05,0.002350426540907172,0.0,0.0008246252476889,0.035741581435645486,21.612604808807372,0.002149137362837848,0.0999790191650396,1.6126048088073581,0.1,0.1,0.5042372881355932,0.85,0.0,,0,0.95875,0.04125000000000001,0.04125000000000001,0.0,0.0,0.43636363636363634,0.3212121212121212,0.24242424242424243,0.43636363636363634,0.3212121212121212,0.24242424242424243,0.5101835874630452,0.8749664336442947,1.7796591619650524,-0.003969478879298549,0.07233842741698027,-0.05856530686529974,2.7853682935237885,1.3127629943192005,2.717049390077591,1.7796591619650524,-1.7796591619650524,0.04125,0.040690104166666664,165,4000,-2.6285722255706787,1.6725962162017822,-0.15252602566033602,1.040529581407706,0.403643765176336,0.18233096910019717,0.833087352104485,0,1.0,1.0,0.30736842105263146,5.8399999999999945,26418034.70393372,0.9814999999999969,0.0,0.25984699450680976,0.03318046565551479,0.29302746016232467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.787823724937999e-05,0.0,0.5057537269166205,0.01,0.0,True,-1.0,1.6760985478669397,0.0
9,200,14.551040172576904,42,False,True,time_limit,time_limit,time_limit,1.0,20.000000000000014,21.12455987930298,2.3000000000000007,20,True,2.779258917987801,2.4017959478831696,2223950973.934897,-0.014907882206070257,-3.696336551659021e-05,-0.0006244012940279228,0.0,0.0,-0.0027613302478389236,-0.012954741408834868,-0.0009225179776995881,-0.0011532930669450909,-0.003075059925665295,-0.001653242353322842,0.550295480444445,0.0,0.0,0.023048559502792304,0.0,0.0,0.24241745360661576,0.18423850644614698,1.0175363156228467e-11,0.0,0.0,6.823259405402959e-12,0.0,0.8579565286636353,0.800000011920929,0.14204344153404236,0.20000000298023224,0.8333333134651184,0.9562253028154373,0.0,0.0,0.024015434086322784,104,0.0,0.0,0.0,98,3,0.030612244897959183,3,20,20,249,-0.001653242390602827,-0.0014856481575407088,8.934111428970793e-06,-0.015849163755774498,0.019508803263306618,0.002093043876811862,0.004833078563214483,1.2393232609212408,1.2344901823580274,-0.09516692143678687,0.0,0.004833078563214483,0.10000000000000009,0.25425135847791264,0.23152637193712272,0.0049911475734875825,0.05075,203,3797,0,0.0,unified_latency_centric_excl_energy_interf,0.10000000000000561,0.10000000000000561,-0.09516692143678687,8.326672684688674e-17,0.0023462910615219064,0.0,0.0008831900056945678,0.0344296959755357,21.12455987930298,0.004833078563214483,0.10000000000000009,1.1245598793029643,0.05,0.05,0.7028112449799196,0.95,0.0,,0,0.94925,0.05074999999999996,0.05074999999999996,0.0,0.0,0.4876847290640394,0.30049261083743845,0.21182266009852216,0.4876847290640394,0.30049261083743845,0.21182266009852216,0.51309334066155,0.8708716243505478,1.7223906219005585,0.011714414576999843,0.1076388917863369,0.11227742489427328,1.248176708817482,0.7156970836222172,1.8461326509714127,1.7223906219005585,-1.7223906219005585,0.05075,0.04736328125,203,4000,0.681189239025116,1.9544695615768433,0.3097296245396137,1.1930838972330093,0.4571358785033226,0.163048904389143,0.0049339295364916325,0,1.0,1.0,0.27807894736842065,5.283499999999979,20820756.956404254,1.0,0.0,0.23052255936162463,0.031234158471828404,0.26175671783345317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.920273562828017e-05,0.0,0.5070376706055831,0.005,0.0,True,-1.0,1.2344901823580274,0.0
10,192,13.336989879608154,42,True,False,idle,idle,terminated,0.0,19.200000000000003,20.298641605377195,2.0000000000000004,20,True,2.871219097268748,2.3300881559962416,2069288727.7471046,-0.015324555536552226,-3.376914695323275e-05,-0.0005667368466117823,0.0,0.0,-0.0014544621976855475,-0.01290909549827438,-0.001708261541884241,-0.002313379704226722,-0.005694205139614138,-0.0015908867365509454,0.5131764108534501,0.0,0.0,0.01897842845418472,0.0,0.0,0.3095405707718619,0.1583045899205031,6.005626551619514e-12,0.0,0.0,6.005626985300383e-12,0.0,0.8473666310310364,0.800000011920929,0.15263330936431885,0.20000000298023224,0.8333333134651184,0.9473684430122375,0.0,0.0,0.026867521926760674,81,0.0,0.0,0.0,67,2,0.029850746268656716,2,20,20,216,-0.0015908867353573442,-0.001536949013825506,-2.849944439731189e-05,-0.025427795946598053,0.07668628543615341,0.002485956298187375,0.0035826585038254356,1.2256278854267049,1.2220452269228788,-0.09641734149617494,0.0,0.0035826585038254356,0.10000000000000009,0.32689475071124013,0.2764210117099298,0.0047273168224808825,0.04583333333333333,176,3664,0,0.0,unified_latency_centric_excl_energy_interf,0.1000000000000049,0.1000000000000049,-0.09641734149617494,8.326672684688674e-17,0.003795375520374081,0.0,0.0009971444552202564,0.03374763187018323,20.298641605377195,0.0035826585038254356,0.10000000000000009,1.0986416053771926,0.05,0.05,0.6620370370370371,0.95,0.0,,0,0.9541666666666667,0.04583333333333328,0.04583333333333328,0.0,0.0,0.5397727272727273,0.25,0.21022727272727273,0.5397727272727273,0.25,0.21022727272727273,0.5078391462366757,0.8776480793952942,1.5827209502458572,-0.005795906705316156,0.10400710627436638,0.08223137608729303,4.6979445815086365,2.412210702896118,6.575428172945976,1.5827209502458572,-1.5827209502458572,0.04583333333333333,0.04248046875,176,3840,-1.1152561902999878,2.2298426628112793,-1.0876484811306,0.8860908895730972,0.2150954115204513,0.20623118430376053,0.572607196867466,0,1.0,1.0,0.25794956140350866,4.901041666666663,26592597.29106654,1.0,0.0,0.21839205959941316,0.03243688539257583,0.2508289449919889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012918272538136507,0.0,0.5040196038906288,0.005208333333333333,0.0,False,0.0,0.0,0.0
