episode,steps,wall_time,sim_time,termination_reason_raw,termination_reason_bucket,reward_mean,reward_total,episode_reward,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_est,episode_time_seconds,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,illegal_action_ratio,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,r_margin,r_margin_raw,r_margin_norm,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_term,abs_ratio_r_margin,margin_valid_count,margin_skip_count,reward_clip_hit_count,reward_clip_hit_rate,abs_ratio_basis,actor_loss,critic_loss,critic_loss_raw_mean,normalized_value_loss,entropy,approx_kl,clip_frac,grad_norm,active_ratio,actor_update_active_frac,value_clip_fraction,critic_loss_active,critic_loss_inactive,ppo_epochs_executed,num_minibatches_executed,mb_kl_max,mb_kl_p95,early_stop_epoch_idx,early_stop_batch_idx,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,190,14.774436950683594,19.0,idle,terminated,-0.0008902382105588913,-0.1691452388041957,-0.1691452388041957,0.00017737352463881865,0.0029981606639921665,0.2,0.2,0.5789473684210527,1.6500000000000004,1.8000000000000005,4,20.48474187850952,19.0,0.0019835103114197823,0.0,0.0006703751673949352,-0.09744982992348,16,0.8,0.34838709677419355,0.36774193548387096,0.2838709677419355,0.34838709677419355,0.36774193548387096,0.2838709677419355,0.5002918692104714,0.0,0.0,0.5004530649508953,0.8570394575595857,0.0,0.0,6.674685110175105e-12,0.0,0.0,0.800000011920929,0.20000000298023224,101,54,2.4517789616931216,0.005263157894736842,0.0,0.0,0.0,0.9592105263157895,0.04078947368421049,0.04078947368421049,0.0,0.0,-0.0001425895695950878,-0.0009471296611191553,-0.00047529856531696016,0.4738636022604407,0.0,0.0,0.4243072648172948,0.09770087634194013,155,3645,0,0.0,unified_latency_centric_excl_energy_interf,-0.03157267313111912,2.3794880130074243,2.3794880130074243,2.3794880455190484,1.9435470212589612,0.017910421222702345,0.16511266814036804,3.8704763542522085,0.04078947368421053,0.04012784090909091,0.4218328693373637,11.141729376532815,0.6154184585267847,1,11,0.08611814677715302,0.07087578624486923,0,10,0,True,0.0002,0.0,0.09981000000000001
2,200,15.343828678131104,20.0,time_limit,time_limit,-0.0019097540061920881,-1.3819508155797808,-1.3819508155797808,-0.0005255041323835031,0.0022870160173624754,0.05,0.05,0.461864406779661,1.8000000000000005,1.8000000000000005,1,21.61121702194214,20.000000000000014,0.0021712136261039594,0.0,0.0006808873535637262,-0.09856422276794936,19,0.95,0.4557823129251701,0.23809523809523808,0.30612244897959184,0.4557823129251701,0.23809523809523808,0.30612244897959184,0.5019446324361488,0.0,0.0,0.5033470437799463,0.8653903126716613,0.0,0.0,2.4213777684300997e-12,0.0,0.03389830508474576,0.800000011920929,0.20000000298023224,78,67,2.1764532579999987,0.0,1.0,0.0,0.0,0.96325,0.03674999999999995,0.03674999999999995,0.0,0.0,-0.0011966308545800605,-0.0015146940334993715,-0.003988769515266873,0.5434858436185762,0.0,0.0,0.28690504215594925,0.14984723400705366,147,3853,0,0.0,unified_latency_centric_excl_energy_interf,0.023701762780547142,2.550703763961792,2.550703763961792,2.550703525543213,1.7064357995986938,0.17405320703983307,0.20000000298023224,5.611698627471924,0.03675,0.01953125,0.0,11.097350120544434,1.6994441747665405,1,1,0.17405320703983307,0.17405320703983307,0,0,0,True,0.0002,0.0,0.09961
3,131,9.743848085403442,13.100000000000001,idle,terminated,-0.002015565289184451,-0.26403902924747724,-0.26403902924747724,0.0007262153958436102,0.002361016348004341,0.1,0.1,0.6882591093117408,2.150000000000001,2.375000000000001,2,14.248237047195431,13.09999999999997,0.001981530308976361,0.0,0.0006419804100461753,-0.0954659979580009,18,0.9,0.47738693467336685,0.27638190954773867,0.24623115577889448,0.47738693467336685,0.27638190954773867,0.24623115577889448,0.5018779090285757,0.0,0.0,0.503153924137736,0.8610117524862289,0.0,0.0,5.528041566171815e-12,0.0,0.021739130434782608,0.800000011920929,0.20000000298023224,102,95,5.17829835200001,0.00763358778625956,0.0,0.0,0.0,0.9240458015267176,0.07595419847328244,0.07595419847328244,0.0,0.0,-0.0017260623337949984,-0.002353764748626223,-0.005753541112650002,0.4574258109827143,0.0,0.0,0.30968304569562516,0.20421237710810078,199,2421,0,0.0,unified_latency_centric_excl_energy_interf,-0.0014645511077509986,4.638771110110813,4.638771110110813,4.638771110110813,1.895902019959909,0.028135774950324384,0.1380730387237337,2.8834253902788514,0.07595419847328244,0.07552083333333333,0.7818190720346239,7.154594509689896,3.614694175896821,3,27,0.11423730850219727,0.060336990654468535,2,6,0,True,0.0002,0.0,0.09947900000000001
4,83,6.051762104034424,8.3,idle,terminated,-0.0021747928112745285,-0.1805077693469743,-0.1805077693469743,0.0018904080963693542,0.002819615416228771,0.05,0.05,0.6694214876033058,2.0000000000000004,2.1900000000000004,3,9.550395460128783,8.299999999999986,0.0061902130330543535,0.0,0.002317979349768818,-0.09186609597091175,19,0.95,0.40217391304347827,0.33152173913043476,0.266304347826087,0.40217391304347827,0.33152173913043476,0.266304347826087,0.49691269695871026,0.04819277108433735,0.0,0.4950049482957691,0.8537715077400208,0.0,0.0,1.8713735422393185e-11,0.0,0.00980392156862745,0.800000011920929,0.20000000298023224,109,74,7.3374405297561065,0.012048192771084357,0.0,0.0,0.0,0.8891566265060241,0.11084337349397588,0.11084337349397588,0.0,0.0,-0.0020299397525672777,-0.0034856626839786507,-0.0067664658418909165,0.3712172951139119,0.0,0.0,0.3297765559198701,0.26317079375652785,184,1476,0,0.0,unified_latency_centric_excl_energy_interf,-0.01386763782497367,3.258253212632804,3.258253212632804,3.258253274292781,1.8208164017775963,0.010277404176906264,0.1325898296360312,1.765693237041605,0.1108433734939759,0.10991379310344827,0.7297774618812676,3.488926468224361,3.1173331285345145,5,29,0.09957776963710785,0.05216790810227394,4,4,0,True,0.0002,0.0,0.09939600000000001
5,200,14.349079132080078,20.0,time_limit,time_limit,-0.0018175974255427718,-1.3635194879627295,-1.3635194879627295,-0.0007407276454614487,0.0030403477139770985,0.05,0.05,0.596244131455399,1.0999999999999999,1.0999999999999999,1,21.577395820617674,20.000000000000014,0.0012349576461690049,0.0,0.0004014334733199978,-0.09810760465264345,19,0.95,0.4634146341463415,0.27439024390243905,0.2621951219512195,0.4634146341463415,0.27439024390243905,0.2621951219512195,0.5010250005873386,0.005,0.0,0.5017833851019375,0.8610488593578338,0.0,0.0,3.555290827364499e-12,0.0,0.0136986301369863,0.800000011920929,0.20000000298023224,87,76,2.446470136399999,0.0,1.0,0.0,0.0,0.959,0.041000000000000036,0.041000000000000036,0.0,0.0,-0.0012114163261331859,-0.0011637617151114951,-0.004038054420443956,0.486589741139104,0.0,0.0,0.364379814617262,0.13333743530818734,164,3836,0,0.0,unified_latency_centric_excl_energy_interf,-0.010147619145837698,12.976806857369162,12.976806857369162,12.976807247508656,1.838829685341228,0.018279065579091282,0.11393446407534859,4.006586129015142,0.041,0.040482954545454544,0.775383974340829,30.16792769865556,9.543491493571889,2,22,0.09685152024030685,0.07448170781135559,1,6,0,True,0.0002,0.0,0.099196
6,60,4.406734228134155,6.0,idle,terminated,-0.0003405683673918247,-0.020434104921243347,-0.020434104921243347,0.00556304370984435,0.005157954525202513,0.2,0.2,0.6933333333333334,1.8750000000000004,2.0000000000000004,4,6.817867565155028,5.999999999999995,0.0069688887676387645,0.0,0.0023187500665200513,-0.0881957126657165,16,0.8,0.32967032967032966,0.3901098901098901,0.2802197802197802,0.32967032967032966,0.3901098901098901,0.2802197802197802,0.5074798833912549,0.03333333333333333,0.0,0.5115075129096229,0.8607088059186936,0.0,3.2654199344506055e-10,3.271453941078306e-11,8.596180711695182e-11,0.035398230088495575,0.800000011920929,0.20000000298023224,118,60,9.797469594576283,0.016666666666666684,0.0,0.0,0.0,0.8483333333333334,0.15166666666666662,0.15166666666666662,0.0,0.0,0.001331059818841708,-0.0005524216217995079,0.004436866062805693,0.21747876901204682,0.0,0.0,0.5618449452460023,0.18908188457010733,182,1018,0,0.0,unified_latency_centric_excl_energy_interf,-0.005441980855539441,1.8030332386493684,1.8030332386493684,1.8030332267284392,1.8185519993305206,0.0056745470152236525,0.10280634481459856,1.5413495033979416,0.15166666666666667,0.1537109375,0.5008899049833417,3.1100663423538206,0.6326667442917824,5,20,0.04589603841304779,0.041144287586212164,-1,-1,0,False,0.0002,0.0,0.099136
7,33,2.515110969543457,3.3000000000000003,idle,terminated,0.004438505973666906,0.14647068936703744,0.14647068936703744,0.04002148136496542,0.011388858780264854,0.3,0.3,0.7714285714285715,2.2166666666666672,3.1000000000000014,6,3.960670449733734,3.3000000000000016,0.010246615880913745,0.0,0.0031021604534619425,-0.07512712901288827,14,0.7,0.44761904761904764,0.34285714285714286,0.20952380952380953,0.44761904761904764,0.34285714285714286,0.20952380952380953,0.5092841473436265,0.21212121212121213,1.3999999999999986,0.5158334295782778,0.8731606125831604,0.0,3.7953273163138137e-10,3.833796821672841e-11,2.259650737357335e-10,0.01818181818181818,0.800000011920929,0.20000000298023224,114,94,20.39046296214205,0.03030303030303029,0.0,0.0,0.0,0.6818181818181818,0.31818181818181823,0.31818181818181823,0.0,0.0,-0.0023428237893703295,-0.00564053799568791,-0.007809412631234435,0.10875498910231497,0.0,0.0,0.6813782354798669,0.1869204478813619,210,450,0,0.0,unified_latency_centric_excl_energy_interf,-0.010048759682103992,1.3579156637191772,1.3579156637191772,1.3579156398773193,1.7128344655036927,0.030888984352350234,0.07255397103726864,1.0154953300952911,0.3181818181818182,0.311328125,0.26852347049862146,1.6187022805213929,0.7733909547328949,5,10,0.048257749527692795,0.04700762219727039,-1,-1,0,False,0.0002,0.0,0.09910300000000001
8,200,15.218933820724487,20.0,time_limit,time_limit,-0.001573025481775403,-1.314605092617274,-1.314605092617274,-0.00010903587608481757,0.002410581335425377,0.1,0.1,0.5042372881355932,1.7333333333333336,2.2300000000000004,3,21.612604808807372,20.000000000000014,0.002350426540907172,0.0,0.0008246252476889,-0.09785086263716294,17,0.85,0.43636363636363634,0.3212121212121212,0.24242424242424243,0.43636363636363634,0.3212121212121212,0.24242424242424243,0.5057537269166205,0.01,0.0,0.5101835874630452,0.8749664336442947,0.0,0.0,5.433687354228223e-12,0.0,0.025974025974025976,0.800000011920929,0.20000000298023224,85,68,2.60118197159867,0.0,1.0,0.0,0.0,0.95875,0.04125000000000001,0.04125000000000001,0.0,0.0,-0.0011112072096839017,-0.00203773549805689,-0.0037040240322796744,0.5523869210671456,0.0,0.0,0.29186347074787233,0.14465187914791944,165,3835,0,0.0,unified_latency_centric_excl_energy_interf,-0.05856530686529974,2.7853682935237885,2.7853682935237885,2.785368427634239,1.7796591619650524,-0.003969478879298549,0.07233842741698027,2.717049390077591,0.04125,0.040690104166666664,0.833087352104485,8.564437627792358,1.5341820518175762,2,24,0.1513703465461731,0.059095220919698405,1,8,0,True,0.0002,0.0,0.098903
9,200,14.551040172576904,20.0,time_limit,time_limit,-0.001653242390602827,-1.3306484706645687,-1.3306484706645687,8.934111428970793e-06,0.002093043876811862,0.05,0.05,0.7028112449799196,2.3000000000000007,2.3000000000000007,1,21.12455987930298,20.000000000000014,0.0023462910615219064,0.0,0.0008831900056945678,-0.09516692143678687,19,0.95,0.4876847290640394,0.30049261083743845,0.21182266009852216,0.4876847290640394,0.30049261083743845,0.21182266009852216,0.5070376706055831,0.005,0.0,0.51309334066155,0.8708716243505478,0.0,0.0,6.823259405402959e-12,0.0,0.030612244897959183,0.800000011920929,0.20000000298023224,101,99,3.3608117319999966,0.0,1.0,0.0,0.0,0.94925,0.05074999999999996,0.05074999999999996,0.0,0.0,-0.0009225179776995881,-0.0011532930669450909,-0.003075059925665295,0.550295480444445,0.0,0.0,0.24241745360661576,0.18423850644614698,203,3797,0,0.0,unified_latency_centric_excl_energy_interf,0.11227742489427328,1.248176708817482,1.248176708817482,1.2481766939163208,1.7223906219005585,0.011714414576999843,0.1076388917863369,1.8461326509714127,0.05075,0.04736328125,0.0049339295364916325,2.8705695644021034,0.9144884794950485,1,8,0.10082294791936874,0.08229223471134899,0,7,0,True,0.0002,0.0,0.098703
10,192,13.336989879608154,19.200000000000003,idle,terminated,-0.0015908867353573442,-0.30545025341778054,-0.30545025341778054,-2.849944439731189e-05,0.002485956298187375,0.05,0.05,0.6620370370370371,2.0000000000000004,2.0900000000000007,2,20.298641605377195,19.200000000000003,0.003795375520374081,0.0,0.0009971444552202564,-0.09641734149617494,19,0.95,0.5397727272727273,0.25,0.21022727272727273,0.5397727272727273,0.25,0.21022727272727273,0.5040196038906288,0.005208333333333333,0.0,0.5078391462366757,0.8776480793952942,0.0,0.0,6.005626985300383e-12,0.0,0.029850746268656716,0.800000011920929,0.20000000298023224,79,95,3.1895161331937167,0.005208333333333333,0.0,0.0,0.0,0.9541666666666667,0.04583333333333328,0.04583333333333328,0.0,0.0,-0.001708261541884241,-0.002313379704226722,-0.005694205139614138,0.5131764108534501,0.0,0.0,0.3095405707718619,0.1583045899205031,176,3664,0,0.0,unified_latency_centric_excl_energy_interf,0.08223137608729303,4.6979445815086365,4.6979445815086365,4.697943896055222,1.5827209502458572,-0.005795906705316156,0.10400710627436638,6.575428172945976,0.04583333333333333,0.04248046875,0.572607196867466,9.658325374126434,3.5673344433307648,1,8,0.07829063385725021,0.0634427525103092,0,7,0,True,0.0002,0.0,0.098511
