episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,r_time,r_interf,r_risk,r_illegal,r_pbrs,r_term,r_step,r_total,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_risk,abs_ratio_r_illegal,abs_ratio_r_pbrs,abs_ratio_r_term,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,uncertainty_selected_mean,uncertainty_selected_p90,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,risk_penalty_mean,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,top_illegal_reason,top_illegal_reason_count,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,actor_update_active_frac,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,16.18257164955139,42,False,True,time_limit,1.0,20.000000000000014,21.76503143310547,1.6000000000000003,20,True,1.746010109804225,1.4577152430979423,2004938475.953219,-0.025152367208347914,-1.0400593855750117e-05,-0.00012047034518685762,0.0,0.0,-0.008451901575053574,-0.02301785168976878,-0.0031469753264822837,0.7437761654114022,0.0024241991008435433,0.0003075541062180333,0.00356240709459467,0.0,0.0,0.24992967428694135,2.165843025758729e-12,0.0,0.0,2.165843025758729e-12,0.0,0.8302818536758423,0.800000011920929,0.16971825063228607,0.20000000298023224,0.800000011920929,0.934166669845581,0.0,0.0,0.0062581999227404594,77,0.0,0.0,0.0,57,0,0.0,0,20,20,228,-0.0031469750683754683,-0.0025073024444282055,-0.0014872124826069964,-0.03258415684103966,0.001022558775730431,0.003162270411849022,0.0010212137997150938,1.8281802776455895,1.8271590638458728,-0.09897878620028522,0.0,0.0010212137997150938,0.10000000000000009,0.10000000000000561,0.10000000000000561,-0.09897878620028523,8.326672684688674e-17,0.002918467204501905,0.0,0.0010971375478893626,0.023027706078588887,21.76503143310547,0.0010212137997150938,0.10000000000000009,1.765031433105456,0.0,0.0,0.36403508771929827,1.0,0.0,,0,0.96825,0.031749999999999945,0.031749999999999945,0.0,0.0,0.3937007874015748,0.25196850393700787,0.3543307086614173,0.3937007874015748,0.25196850393700787,0.3543307086614173,0.4994633674786253,0.8670653223991396,2.0026351755315606,0.02616091459904882,0.06317066875371066,-0.05884164808826013,1.9012226516550237,0.8677380735223944,2.7741422219709917,2.0026351755315606,-2.0026351755315606,0.03175,0.030539772727272728,127,4000,-0.3943105936050415,1.5660914182662964,-0.1350163614208048,0.7633699964393269,0.006159149914641272,0.09500766511667859,0.8405089974403381,0,1.0,1.0,0.32576315789473675,6.189499999999998,24953657.696197253,0.9499999999999976,0.0,0.2853976664444086,0.032058932767407886,0.3174565992118165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.197942984209116e-05,0.0,0.49967828880343584,0.0,0.0,True,-1.0,1.8271590638458728,0.0
2,199,15.36251449584961,42,True,False,all_finished,0.0,19.900000000000013,21.64438819885254,0.0,20,True,1.8081563227101853,1.5684751445625686,2088451330.0378754,-0.02395686146287772,-4.505718677137816e-06,-0.0006213310274971614,0.0,0.0,-0.010513297194453205,-0.023566344682165417,-0.0034079641876618876,0.6811479434447839,0.002141197448256687,0.00012810780808783444,0.017665851273294817,0.0,0.0,0.2989169000255769,1.036709563681515e-12,0.0,0.0,1.0199760957715909e-12,0.0,0.8278142809867859,0.800000011920929,0.17218580842018127,0.20000000298023224,0.800000011920929,0.8999999761581421,0.0,0.0,0.030529599636793137,81,0.0,0.0,0.0,60,2,0.03333333333333333,2,20,20,236,-0.003407964250072837,-0.0024208654649555683,-0.002352325012907387,-0.05045695975422859,0.0011886423453688622,0.0034199273213744164,0.0007797610669878944,1.7355951743060023,1.734815413239016,-0.09922023893301211,-0.0006196498870849609,0.0007797610669878944,0.09938035011291468,0.10000000000000553,0.10000000000000553,-0.09922023893301211,-0.0006196498870853218,0.0023123277803307955,0.0,0.0006402894171994149,0.015964102031430963,21.64438819885254,0.0007797610669878944,0.09938035011291468,1.7443881988525263,0.0,0.0,0.3389830508474576,1.0,0.0,,0,0.9701005025125629,0.029899497487437143,0.029899497487437143,0.0,0.0,0.31932773109243695,0.2689075630252101,0.4117647058823529,0.31932773109243695,0.2689075630252101,0.4117647058823529,0.49030925905367656,0.8581703305244445,2.239401544843401,0.014325078310711043,0.14241393761975424,0.20922126434743404,12.7669677734375,6.565832819257464,14.789627313613892,2.239401544843401,-2.239401544843401,0.029899497487437185,0.027901785714285716,119,3980,-2.268601894378662,1.9984207153320312,-1.6329332079206194,0.5636778559003558,-0.0305471627839974,0.12123782826321465,0.4302415114029178,0,1.0,1.0,0.26924094154985456,5.115577889447246,23720675.73848068,1.0,0.0,0.22001909246560597,0.033676193971143034,0.25369528643674905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.530870661244388e-05,0.0,0.49339179122403976,0.01507537688442211,0.0,False,0.0,0.0,0.0
3,123,9.740391731262207,42,True,False,all_finished,0.0,12.299999999999972,13.839204788208008,0.0,20,True,1.863845439868691,1.6074035821740231,2177905398.27408,-0.023157342752820116,-3.8668244162670025e-05,-0.0011060522850003193,0.0,0.0,-0.014065142823336648,-0.020870763796829072,-0.0034935906620165943,0.6017499988926654,0.003017467166900035,0.001004805090568275,0.02874107657248883,0.0,0.0,0.3654866522773773,1.627057689967959e-11,0.0,0.0,8.485137072133941e-12,0.0,0.8463478088378906,0.800000011920929,0.15365223586559296,0.20000000298023224,0.8333333134651184,0.949605256319046,0.0,0.0,0.026162389665842056,104,0.0,0.0,0.0,83,0,0.0,0,20,20,247,-0.003493590746074915,-0.0023285038769245148,-0.0006456311617512272,-0.03081059269607067,0.0013193058548495173,0.003515042597427964,0.0016502969633270257,1.6754019010357766,1.6737516040724478,-0.0983497030366727,0.00017023086547851562,0.0016502969633270257,0.1001702308654786,0.09999999999999606,0.09999999999999606,-0.0983497030366727,0.0001702308654785989,0.004285809271651019,0.0,0.0018308128668643672,0.03097923220946197,13.839204788208008,0.0016502969633270257,0.1001702308654786,1.5392047882080355,0.0,0.0,0.4493927125506073,1.0,0.0,,0,0.9382113821138212,0.06178861788617884,0.06178861788617884,0.0,0.0,0.3157894736842105,0.35526315789473684,0.32894736842105265,0.3157894736842105,0.35526315789473684,0.32894736842105265,0.5018199272775288,0.8703383058309555,2.220365624678762,0.022936336760482703,0.11964558359039457,-0.05060261962200074,2.7493365689327844,1.297421317351492,1.9958858646844562,2.220365624678762,-2.220365624678762,0.061788617886178863,0.06044407894736842,152,2460,0.06404440104961395,2.394740581512451,-1.5175357868796902,0.9922945969983151,-0.542266276321913,0.192585563189105,0.6252482060441061,0,1.0,1.0,0.2771501925545574,5.265853658536573,21778262.740568165,1.0,0.0,0.21848520158431803,0.032666479327105584,0.25115168091142337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011612217957269841,0.0,0.5013286948741633,0.0,0.0,False,0.0,0.0,0.0
4,47,3.6241488456726074,42,True,False,all_finished,0.0,4.699999999999999,6.349591255187988,0.0,20,True,1.7473146133867208,1.515282674301266,2133919461.117804,-0.024616658899807114,-0.0001033609898394388,-0.0028677996743384647,0.0,0.0,-0.031680860636949464,-0.02175129439104065,-0.005343215502799014,0.41261763632181364,0.006554754974702109,0.001732508359035125,0.04806926593434969,0.0,0.0,0.5310258344100995,2.822149805514762e-11,0.0,3.598878226679367e-11,1.9357739369785243e-11,1.7607748852704695e-11,0.845708429813385,0.800000011920929,0.1542915254831314,0.20000000298023224,0.8333333134651184,0.9538636207580566,0.0,0.0,0.025920497253537178,104,0.0,0.0,0.0,82,2,0.024390243902439025,2,20,20,242,-0.005343215074390173,-0.002455582609400153,-0.0007566426822450018,-0.03222290426492691,-0.00040489950333721936,0.005343215074390173,0.005870586633682085,1.8560925649201634,1.8502219782864808,-0.09412941336631775,0.0,0.005870586633682085,0.10000000000000009,0.09999999999999887,0.09999999999999887,-0.09412941336631774,8.326672684688674e-17,0.011915542946404957,0.0,0.003667253164708053,0.02885910004701494,6.349591255187988,0.005870586633682085,0.10000000000000009,1.649591255187989,0.0,0.0,0.4297520661157025,1.0,0.0,,0,0.851063829787234,0.14893617021276595,0.14893617021276595,0.0,0.0,0.2571428571428571,0.34285714285714286,0.4,0.2571428571428571,0.34285714285714286,0.4,0.5092867220891771,0.8825494199991226,2.0912024974823,0.004654943710193038,0.09632700011134147,0.010919445954884092,2.245458547274272,1.1085543076197306,2.034842618306478,2.0912024974823,-2.0912024974823,0.14893617021276595,0.14869791666666668,140,940,-1.4804763793945312,1.441954255104065,-0.8424843271573385,1.0087182521820068,-0.5367091476917267,0.13061162581046423,0.4292783518632253,0,1.0,1.0,0.24468085106382972,4.648936170212764,20116000.11086701,1.0,0.0,0.21661610703896256,0.03302145764749687,0.2496375646864593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003910549457420885,0.0,0.5069749210584671,0.0425531914893617,0.0,False,0.0,0.0,0.0
5,200,15.054049730300903,42,False,True,time_limit,1.0,20.000000000000014,22.124589920043945,0.0,20,True,1.7194196630671357,1.3679290666363346,1919357870.1797347,-0.02708777632427325,-1.996027594949171e-05,-0.0006255569379672763,0.0,0.0,-0.012477120130735018,-0.026807769074055014,-0.003928488920479056,0.6716570880696076,0.0029595256682948845,0.0004949265920099888,0.015511046250051076,0.0,0.0,0.30937741342003655,8.930423241182428e-12,0.0,0.0,4.110982821520226e-12,0.0,0.8352391719818115,0.800000011920929,0.16476081311702728,0.20000000298023224,0.800000011920929,0.9444444179534912,0.0,0.0,0.02477453462779522,101,0.0,0.0,0.0,73,0,0.0,0,20,20,213,-0.003928489051759243,-0.0028315072413533926,-0.001500243035843599,-0.06000002101063728,0.00012050732766510919,0.0039296941831707954,-0.0008435803949832686,1.9084383681565504,1.9092819485515364,-0.1008435803949833,-0.006013154983520508,-0.0008435803949832686,0.09398684501647958,0.10000000000000561,0.10000000000000561,-0.1008435803949833,-0.0060131549835204245,0.003745593127237527,0.0,0.0010387763340970833,0.011301924008223128,22.124589920043945,-0.0008435803949832686,0.09398684501647958,2.124589920043931,0.0,0.0,0.4084507042253521,1.0,0.0,,0,0.96875,0.03125,0.03125,0.0,0.0,0.192,0.376,0.432,0.192,0.376,0.432,0.49521290425808717,0.8638017296791076,2.1274524529774985,0.017718651642402012,0.08095238357782364,-0.2695830836892128,10.35549545288086,4.882634957631429,8.18654982248942,2.1274524529774985,-2.1274524529774985,0.03125,0.028645833333333332,125,4000,0.10395023971796036,2.841414451599121,4.758602301279704,1.7117166916529338,-0.5595352053642273,0.15578661362330118,0.0,0,1.0,1.0,0.24302631578947376,4.617500000000004,24555326.71713664,1.0,0.0,0.32506163578319697,0.03369161495563749,0.35875325073883435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011935699146587284,0.0,0.49614997824956664,0.02,0.0,True,-1.0,1.9092819485515364,0.0
6,176,13.517287969589233,42,True,False,all_finished,0.0,17.59999999999998,18.844043731689453,0.0,20,True,1.8162422741804327,1.4987179111715974,2034415959.1397178,-0.02445063003524107,-2.2198313808055516e-05,-0.0009567053810946916,0.0,0.0,-0.012094728287245955,-0.023746091238178786,-0.003584081952542472,0.6498991914950142,0.0026028977004132056,0.0005900324930529198,0.025429285575717855,0.0,0.0,0.32147859273580165,7.741663213267636e-12,0.0,0.0,5.143066961893483e-12,0.0,0.8421270847320557,0.800000011920929,0.15676555037498474,0.20000000298023224,0.800000011920929,0.9539130449295044,0.0,0.0,0.026105450466275215,129,0.0,0.0,0.0,100,1,0.01,1,20,20,225,-0.0035840822383761406,-0.0024518960854038596,-0.0017578388506080955,-0.048146411776542664,0.0008056932711042464,0.003593237604945898,0.0016027404164724525,1.2741647195409644,1.2725619791244902,-0.0983972595835274,-0.0007576942443847656,0.0016027404164724525,0.09924230575561532,0.10000000000000328,0.10000000000000328,-0.0983972595835274,-0.0007576942443846824,0.003602983776005706,0.0,0.0016769888821819554,0.01912159832901339,18.844043731689453,0.0016027404164724525,0.09924230575561532,1.244043731689473,0.0,0.0,0.48,1.0,0.0,,0,0.9582386363636364,0.041761363636363624,0.041761363636363624,0.0,0.0,0.12244897959183673,0.35374149659863946,0.5238095238095238,0.12244897959183673,0.35374149659863946,0.5238095238095238,0.4986890734670259,0.8564401388168335,2.0785064895947776,-0.00038328572797278565,0.07484320468372768,-0.022449132468965318,4.867571221457587,2.3863944146368237,2.971755133734809,2.0785064895947776,-2.0785064895947776,0.04176136363636364,0.042534722222222224,147,3520,-0.482818603515625,1.710479974746704,1.3179234001371596,0.8837155335479312,-0.19257875117990705,0.12551985142959488,0.7210158492541976,0,1.0,1.0,0.2570574162679425,4.8840909090909035,26085581.793019827,1.0,0.0,0.21604547769513494,0.032928873798037044,0.24897435149317215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.792670851918005e-05,0.0,0.49893971368199513,0.011363636363636364,0.0,False,0.0,0.0,0.0
7,40,3.2144534587860107,42,True,False,all_finished,0.0,4.000000000000002,5.4490025520324705,2.2000000000000006,20,True,1.7852810811406468,1.574563540974066,2080747006.6325138,-0.024745763589306736,-0.00012542044305954354,-0.0040085171037421265,0.0,0.0,-0.04152302562594093,-0.020683936166120763,-0.006220696179206186,0.3493344414257211,0.006128982865742082,0.0017705527760923526,0.05658799245889165,0.0,0.0,0.5861780304735529,4.138441672685289e-11,0.0,1.1091248371120066e-10,2.4360837999615192e-11,6.229064070106733e-11,0.8435271978378296,0.800000011920929,0.15011976659297943,0.20000000298023224,0.8333333134651184,0.9444444179534912,0.0,0.007633587786259542,0.024479495361447334,131,0.0,0.0,0.0,106,4,0.03773584905660377,4,20,20,245,-0.006220696028321981,-0.0025750655913725495,-0.0006455907350755302,-0.033812038600444794,0.0011212811805307865,0.006276760250329971,0.0008118160068987968,1.6625422533899539,1.6617304373830561,-0.09918818399310109,0.0461575984954834,0.0008118160068987968,0.1461575984954835,0.09999999999999966,0.09999999999999966,-0.09918818399310109,0.04615759849548348,0.015481148736458455,0.13364616251366226,0.005152355673662394,0.04582424056812731,5.4490025520324705,0.0008118160068987968,0.1461575984954835,1.4490025520324687,0.0,0.0,0.5142857142857142,1.0,0.0,,0,0.7975,0.2025,0.2025,0.0,0.0,0.19135802469135801,0.3333333333333333,0.47530864197530864,0.19135802469135801,0.3333333333333333,0.47530864197530864,0.4954945492850389,0.8654265403747556,2.119680817921956,0.015598384438393016,0.09126182620724042,0.001314246499290069,1.4863845189412435,0.7190703630447388,1.1736164251963297,2.119680817921956,-2.119680817921956,0.2025,0.20026041666666666,162,800,1.3318440914154053,1.7776086330413818,-0.03307073613007863,1.4706822315851846,-0.014540320665886005,0.1569946900010109,0.32254614929358166,0,1.0,1.0,0.24210526315789474,4.599999999999996,22217156.416852284,1.0,0.0,0.23981664823651103,0.030888453952060312,0.27070510218857124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00043415805329579575,0.0,0.4963562167342752,0.025,0.0,False,0.0,0.0,0.0
8,200,16.397693634033203,42,False,True,time_limit,1.0,20.000000000000014,36.713631343841556,1.3,20,True,1.7700720923217332,1.4839395358632943,2050031609.5404706,-0.026231595325188938,-1.601185013746002e-05,-0.0005007455186118173,0.0,0.0,-0.010047163983166681,-0.02461674868797297,-0.003466391267113982,0.7111879792650042,0.002404206561024038,0.0004341114294569596,0.013576154598785532,0.0,0.0,0.27239754814572936,3.6187914644048025e-12,0.0,0.0,3.534294384932579e-12,0.0,0.8287612795829773,0.800000011920929,0.1712387353181839,0.20000000298023224,0.800000011920929,0.9230769276618958,0.0,0.0,0.018896058201789856,106,0.0,0.0,0.0,66,3,0.045454545454545456,3,20,20,236,-0.0034663910046219826,-0.002645406872034073,-0.0013798926665913314,-0.05473804846405983,0.0008726321975700557,0.0034957355819642544,0.13912798343598978,2.9708961528718487,2.83176816943586,0.03912798343598826,0.0,0.13912798343598978,0.10000000000000009,0.10000000000000561,0.10000000000000561,0.03912798343598828,8.326672684688674e-17,0.003102854914028581,0.0,0.001057797151125981,0.02381208651116681,36.713631343841556,0.13912798343598978,0.10000000000000009,16.71363134384154,0.0,0.0,0.3177966101694915,0.95,0.0,,0,0.967,0.03300000000000003,0.03300000000000003,0.0,0.0,0.19696969696969696,0.26515151515151514,0.5378787878787878,0.19696969696969696,0.26515151515151514,0.5378787878787878,0.512540828297829,0.8706315517425537,2.115964877605438,-0.0006741475313901901,0.07222222313284873,0.026101859658956526,2.009861636161804,1.0056410610675812,2.534579646587372,2.115964877605438,-2.115964877605438,0.033,0.03359375,132,4000,0.697584331035614,1.7994344234466553,-1.0880435466766358,0.9774154603481293,-0.3641185462474823,0.12609594464302062,0.5306270778179168,0,1.0,1.0,0.30736842105263146,5.8399999999999945,26362658.82822639,0.9814999999999969,0.0,0.263680810760076,0.032394346961283724,0.29607515772135967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.867722096782923e-05,0.0,0.5097410883803386,0.0,0.0,True,-1.0,2.83176816943586,0.0
9,71,5.673464298248291,42,True,False,all_finished,0.0,7.099999999999991,8.868348121643066,0.0,20,True,1.8414667101955935,1.6017959478831698,2223950973.934897,-0.023017042634601085,-3.049155609536313e-05,-0.0020209516170258987,0.0,0.0,-0.02190989624815121,-0.02084259177989189,-0.004275248802804319,0.4857659678071974,0.008539038326232663,0.0006435127436547943,0.04265141850414444,0.0,0.0,0.46240006261877065,1.0601087716000102e-11,0.0,0.0,8.791620209613882e-12,0.0,0.8286884427070618,0.800000011920929,0.17131155729293823,0.20000000298023224,0.800000011920929,0.9285714030265808,0.0,0.0,0.028413381427526474,101,0.0,0.0,0.0,78,3,0.038461538461538464,3,20,20,249,-0.0042752488516271114,-0.00232800655066967,-0.000439154842752032,-0.02797861024737358,0.000972033420111984,0.004310595337301493,0.0045468751813321825,1.9224046148044942,1.9178577396231609,-0.09545312481866756,3.170967102050781e-05,0.0045468751813321825,0.1000317096710206,0.09999999999999734,0.09999999999999734,-0.09545312481866756,3.170967102059108e-05,0.012472194483208491,0.0,0.0037495090910843755,0.03168431652252993,8.868348121643066,0.0045468751813321825,0.1000317096710206,1.7683481216430756,0.0,0.0,0.3815261044176707,1.0,0.0,,0,0.9028169014084507,0.09718309859154928,0.09718309859154928,0.0,0.0,0.26811594202898553,0.2608695652173913,0.47101449275362317,0.26811594202898553,0.2608695652173913,0.47101449275362317,0.5161468199210776,0.8819750994443893,2.2602296742525967,0.036604784429073334,0.12224957075985995,0.013863641768693924,1.6256238438866355,0.7995528063990853,1.323355577208779,2.2602296742525967,-2.2602296742525967,0.09718309859154929,0.09623579545454546,138,1420,-0.8064871430397034,2.9913430213928223,-0.3950608399781314,1.6881951093673706,-0.4940793134949424,0.24995420466769824,0.014599817889657888,0,1.0,1.0,0.27390659747961454,5.204225352112672,19776977.006717984,1.0,0.0,0.23437810125871295,0.032659888441023015,0.267037989699736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000404605143708624,0.0,0.5124398739391964,0.0,0.0,False,0.0,0.0,0.0
10,61,4.5748748779296875,42,True,False,all_finished,0.0,6.099999999999994,7.595824241638184,0.0,20,True,1.8743937004433515,1.5300881559962414,2069288727.7471046,-0.02396519599193928,-1.0408325603118202e-05,-0.001972024169229876,0.0,0.0,-0.028572400307510678,-0.019978360759224385,-0.004855076106673518,0.43779011021502356,0.004041968911769741,0.00019013664709754963,0.03602443638200249,0.0,0.0,0.5219533478441066,2.3952413403388606e-12,0.0,0.0,2.3952413403388606e-12,0.0,0.8200672268867493,0.800000011920929,0.17827163636684418,0.20000000298023224,0.800000011920929,0.8972222059965134,0.0,0.0,0.02797522395849228,86,0.0,0.0,0.0,57,2,0.03508771929824561,2,20,20,216,-0.004855075851082802,-0.0023843005765229464,-0.0003302267286926508,-0.03486047312617302,0.0005651195533573627,0.004882581532001495,0.004765379575432057,1.7425265861827781,1.7377612066073513,-0.09523462042456768,2.4318695068359375e-05,0.004765379575432057,0.100024318695068,0.09999999999999783,0.09999999999999783,-0.09523462042456768,2.4318695067998553e-05,0.007254935949104119,0.0,0.0018820749722669298,0.02979892132365446,7.595824241638184,0.004765379575432057,0.100024318695068,1.4958242416381893,0.0,0.0,0.36574074074074076,1.0,0.0,,0,0.9032786885245901,0.09672131147540985,0.09672131147540985,0.0,0.0,0.2711864406779661,0.1864406779661017,0.5423728813559322,0.2711864406779661,0.1864406779661017,0.5423728813559322,0.5100620942972064,0.8734185159206389,2.059402847290039,-0.002029338214197196,0.12206387687474489,-0.012478739939979278,2.1808364033699035,1.0532266452908516,1.8073614120483399,2.059402847290039,-2.059402847290039,0.09672131147540984,0.095703125,118,1220,-1.693324327468872,3.358675479888916,-1.8835321724414826,1.7188693165779114,-1.0336710214614868,0.2001590482890606,0.5980164527893066,0,1.0,1.0,0.25263157894736876,4.800000000000006,23454553.35268429,1.0,0.0,0.25872909505859215,0.03495546732315214,0.29368456238174423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00022126259799772706,0.0,0.5074475993035881,0.0,0.0,False,0.0,0.0,0.0
