episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,oracle_match_rate,oracle_match_eps_abs_rate,oracle_match_eps_rel_rate,action_regret_mean,action_regret_p95,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,-1.1456700220395541,-0.0004855667401318468,377.4678588867188,0.2,0.2,0.2,0.6763005780346821,0.875,0.20714285714285716,0.5071428571428571,0.2857142857142857,0.49644430517428556,0.007666666666666666,0.007666666666666666,0.12666666666666668,0.22758462274482114,0.7264328649525031,35.0,-23.7133766555678,0.35,0.02195621457068227,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.43026166279392347,-0.2961712021585797,2.717662900879015,20,20,51.02802228927612
2,,-0.8909863939280233,0.00036337868690658904,36.23106384277344,0.45,0.45,0.45,0.7571428571428571,0.8620689655172413,0.29931972789115646,0.4489795918367347,0.25170068027210885,0.5038122374035108,0.007166666666666667,0.007166666666666667,0.08,0.06849998013440838,1.1701779726445265,40.54054054054054,-0.03375558326955519,0.40540540540540543,0.0246332593769667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8705420537178691,-0.29963591892665736,2.7291141384913753,20,20,31.938314199447632
3,,-1.0636422714313438,-0.00021214090477114612,288.87034301757814,0.3,0.3,0.3,0.8061224489795918,0.8181818181818182,0.3176470588235294,0.3803921568627451,0.30196078431372547,0.5042952198755617,0.014833333333333334,0.014833333333333334,0.12666666666666668,0.023928835959795815,1.4222786412028965,36.36363636363637,-172.66596849505459,0.36363636363636365,0.029243167465511626,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8743700738535979,-0.5479085673492987,3.070121505395716,20,20,31.205604314804077
4,,-0.5270238327411378,0.0015765872241962073,115.62070770263672,0.75,0.75,0.75,0.9057591623036649,0.975609756097561,0.30522088353413657,0.4538152610441767,0.24096385542168675,0.5022314985125946,0.020833333333333332,0.020833333333333332,0.21333333333333335,0.46737158505983994,1.723053036217995,40.0,-3.4575577643795086,0.4,0.05282079722782215,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.447192520135515,-0.2758605160824801,2.8153725013113795,20,20,29.307467937469482
5,,-1.0877532230635558,-0.00029251074354518625,929.4175903320313,0.2,0.2,0.2,0.5637254901960784,0.8888888888888888,0.2986111111111111,0.5625,0.1388888888888889,0.5060139501936113,0.010833333333333334,0.010833333333333334,0.1,0.08148969282296882,0.7628725652612114,60.0,-906.7087343477327,0.6,0.06130695287965196,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.477175995035036,-0.28569657022617534,2.535064876808414,20,20,72.00246739387512
6,,0.42020750941553675,0.023344861634196485,19.08371925354004,1.0,1.0,1.0,1.0,1.0,0.25874125874125875,0.5174825174825175,0.22377622377622378,0.5234954455233592,0.10833333333333334,0.10833333333333334,3.1666666666666665,0.9966019218679524,0.11593811153832495,50.0,-0.005648702069310415,0.5,0.039120458318523156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4609726177356215,0.34503450619729653,3.570292868584235,20,20,5.742961168289185
7,,0.30743227855004307,0.01618064623947595,10.041873550415039,0.85,0.85,0.85,0.9925373134328358,0.96875,0.2222222222222222,0.5333333333333333,0.24444444444444444,0.48835445852263976,0.12105263157894737,0.12105263157894737,2.526315789473684,0.5905961702399819,0.7730589493530239,39.39393939393939,-0.08435243202026492,0.3939393939393939,0.031779066429088516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4699526102869844,-0.3031063390660395,3.105251448510591,20,20,4.113535404205322
8,,-0.6670696877279795,0.0011097677075734018,3.4490973949432373,0.8,0.8,0.8,0.8914728682170543,0.9090909090909091,0.28368794326241137,0.5035460992907801,0.2127659574468085,0.5059726890274323,0.0031666666666666666,0.0031666666666666666,0.1,0.4817059288133686,1.6150887365703162,36.666666666666664,-0.02362914847964834,0.36666666666666664,0.01856052549488817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3177983613859037,-0.2972903751844124,3.1490450593617845,20,20,23.457906007766724
9,,-0.6840680536199409,0.0010531064879335302,11.931990242004394,0.8,0.8,0.8,0.8875739644970414,1.0,0.20276497695852536,0.5898617511520737,0.2073732718894009,0.5039804146111322,0.008,0.008,0.21333333333333335,0.4160298081871926,1.5898990412246223,40.0,-0.024390122192532813,0.4,0.015461282174729116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8401189639745699,-0.7497800772500526,3.0076736156949684,20,20,25.885421752929688
10,,-0.7270000215144407,0.0009099999282851978,1.9710934638977051,0.6,0.6,0.6,0.7939698492462312,0.9583333333333334,0.20087336244541484,0.6462882096069869,0.15283842794759825,0.5037183645676511,0.013166666666666667,0.013166666666666667,0.27666666666666667,0.3345058616602114,1.1992558782051406,45.714285714285715,-0.030138278004583113,0.45714285714285713,0.034794430795216755,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9337707410787087,-0.26548513712643185,2.923899650593606,20,20,29.680607795715332
