episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,avg_power,avg_queue_len,avg_rsu_queue
1,EFT,-2.127380784058886,-408.4571105393061,0.3,0.3,0.5610328638497653,0.7741935483870968,0.9294270833333333,0.040364583333333336,0.030208333333333334,0.010665307492168584,0.11822916666666666,2.3645833333333335
2,EFT,-2.036482490106513,-407.29649802130257,0.4,0.4,0.7009569377990431,0.9124087591240876,0.89675,0.05975,0.0435,0.013276099012062215,0.18675,3.76
3,EFT,-2.387556398420374,-477.51127968407485,0.5,0.5,0.7091346153846154,0.8925619834710744,0.90925,0.05275,0.038,0.006717441707974376,0.15025,3.075
4,EFT,-2.087700478251177,-417.5400956502354,0.45,0.45,0.6947115384615384,0.8468468468468469,0.91425,0.04575,0.04,0.00845956550672204,0.17,3.275
5,EFT,-2.0773717549805513,-415.4743509961103,0.5,0.5,0.7172413793103448,0.9310344827586207,0.902,0.05325,0.04475,0.007565025931918211,0.19025,3.5
6,EFT,-2.3447036517813715,-468.94073035627434,0.25,0.25,0.5645933014354066,0.797752808988764,0.933,0.03775,0.02925,0.00717472238503732,0.0945,2.18
7,EFT,-2.031064673009925,-406.21293460198495,0.25,0.25,0.5310344827586206,0.7849462365591398,0.9245,0.0455,0.03,0.006978764590943966,0.126,2.72
8,EFT,-2.0506363364066043,-410.1272672813209,0.2,0.2,0.5581395348837209,0.8117647058823529,0.93175,0.0425,0.02575,0.005416844070770107,0.11125,2.35
9,EFT,-2.4514974698966334,-490.2994939793267,0.15,0.15,0.5529411764705883,0.8021978021978022,0.91975,0.049,0.03125,0.007749398900510155,0.1375,2.8
10,EFT,-1.983974818764401,-396.7949637528802,0.3,0.3,0.8609112709832134,0.9425287356321839,0.8755,0.06725,0.05725,0.01013251594331223,0.3145,4.485
11,EFT,-2.4743055271825294,-331.5569406424589,0.55,0.55,0.9292682926829269,0.9746835443037974,0.8436567164179104,0.08432835820895522,0.07201492537313432,0.014317540911173895,0.37201492537313435,5.380597014925373
12,EFT,-2.2427182974158275,-448.54365948316547,0.5,0.5,0.7126436781609196,0.9017857142857143,0.9135,0.04775,0.03875,0.010334475290324061,0.17925,2.63
13,EFT,-2.0425600953636724,-408.5120190727345,0.3,0.3,0.5644768856447688,0.8301886792452831,0.923,0.04325,0.03375,0.007923285960826589,0.14375,2.505
14,EFT,-2.693070737468478,-538.6141474936956,0.55,0.55,0.8086124401913876,0.9148936170212766,0.9055,0.052,0.0425,0.0070098952964435125,0.2125,3.205
15,EFT,-2.662004799023221,-532.4009598046442,0.3,0.3,0.6923076923076923,0.8770491803278688,0.916,0.04275,0.04125,0.011331758998407692,0.18725,2.92
16,EFT,-2.476562712495368,-495.3125424990736,0.2,0.2,0.6532066508313539,0.8706896551724138,0.918,0.04875,0.03325,0.007871289664624867,0.1505,2.83
17,EFT,-2.1645268055292624,-432.9053611058525,0.25,0.25,0.6310679611650486,0.864406779661017,0.91325,0.051,0.03575,0.010569334117595978,0.126,2.835
18,EFT,-2.00572103958313,-401.144207916626,0.45,0.45,0.7314148681055156,0.9099099099099099,0.915,0.04825,0.03675,0.006579286470161923,0.16725,2.96
19,EFT,-2.17122492543311,-277.9167904554381,0.85,0.85,0.9360189573459715,0.984,0.841796875,0.098828125,0.059375,0.011513677909497208,0.29609375,5.75
20,EFT,-2.131768434974862,-426.3536869949724,0.1,0.1,0.42992874109263657,0.7888888888888889,0.9385,0.0325,0.029,0.005149914843374918,0.107,2.18
21,EFT,-2.1506779568566774,-430.1355913713355,0.3,0.3,0.5263157894736842,0.8024691358024691,0.9325,0.042,0.0255,0.008214190800360068,0.1075,2.615
22,EFT,-2.017874716832424,-403.5749433664848,0.35,0.35,0.6617283950617284,0.8584905660377359,0.9265,0.041,0.0325,0.005814152553868655,0.1755,2.745
23,EFT,-2.011987069979719,-402.3974139959438,0.4,0.4,0.7559808612440191,0.9262295081967213,0.90875,0.05225,0.039,0.00884308637585337,0.194,3.395
24,EFT,-2.2463958597694274,-449.27917195388545,0.35,0.35,0.6261904761904762,0.8602150537634409,0.92825,0.04375,0.028,0.004995265071812265,0.1175,2.53
