episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,24.946425437927246,42,False,True,time_limit,1.0,20.000000000000014,24.815689945220946,6.199999999999994,20,True,,,,20,20,415,-2.3654286861419678,-2.1072328090667725,-2.0100847840309144,-4.984337329864502,-0.4049398601055145,2.3654286861419678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11994684411204608,1.0361153497520168,0.0,0.0,24.815689945220946,,,4.815689945220932,0.05,0.05,0.3349397590361446,0.95,0.0,0.0,0.2132701421800948,0.2559241706161137,0.5308056872037915,0.2132701421800948,0.2559241706161137,0.5308056872037915,,,1.8581589460372925,0.004617050910989444,0.05185185248653094,-0.0767941748102506,12.713287353515625,6.276132901509603,1.3194121917088826,1.8581589460372925,-1.8581589460372925,0.05275,211,4000,-39.283573150634766,33.19480514526367,-36.89923858642578,11.12070083618164,-0.1400521732866764,0.05108786871035894,0.0,0,1.0,1.0,0.8430937500000003,6.7447500000000025,28765197.639835153,1.0,0.0,0.30269329394383854,0.1716129546792527,0.47430624862309123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07048156070048363,0.0,0.49223961882293227,0.405,3.0,True,-1.0,4.815689945220932,0.0
2,200,23.493900299072266,42,False,True,time_limit,1.0,20.000000000000014,24.45412826538086,0.0,20,True,,,,20,20,420,-3.235783576965332,-2.2999132871627808,-1.7880199611186982,-7.286937236785889,-0.78928142786026,3.235783576965332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16346452394563868,1.208090320655314,0.0,0.0,24.45412826538086,,,4.454128265380845,0.0,0.0,0.4523809523809524,1.0,0.0,0.0,0.22440944881889763,0.2992125984251969,0.4763779527559055,0.22440944881889763,0.2992125984251969,0.4763779527559055,,,1.7107820510864258,0.058906666934490204,0.095238097012043,0.01198976393789053,4.114923000335693,2.0660300254821777,0.7992953658103943,1.7107820510864258,-1.7107820510864258,0.0635,254,4000,-55.36191177368164,48.14832305908203,-54.928001403808594,30.853778839111328,-0.4701932370662689,0.04329058527946472,0.0,0,1.0,1.0,0.709093749999999,5.672749999999992,29747878.27488293,1.0,0.0,0.2721667134448606,0.17366423934469535,0.445830952789556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10444042232489745,0.0,0.49771862130315275,0.79,5.0,True,-1.0,4.454128265380845,0.0
3,200,23.37796425819397,42,False,True,time_limit,1.0,20.000000000000014,23.138501167297363,8.399999999999986,20,True,,,,20,20,421,-3.3857436180114746,-3.180297017097473,-1.8211554944515234,-6.843242168426514,-0.38009729981422424,3.3857436180114746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17218834494320293,1.0843562526839539,0.0,0.0,23.138501167297363,,,3.138501167297349,0.15,0.15,0.47268408551068886,0.85,0.0,0.0,0.20938628158844766,0.33574007220216606,0.4548736462093863,0.20938628158844766,0.33574007220216606,0.4548736462093863,,,1.6927420496940613,-0.017784569412469864,0.11994469817727804,-0.11287746392190456,2.3544638007879257,1.0609688758850098,1.1624150574207306,1.6927420496940613,-1.6927420496940613,0.06925,277,4000,-56.50302505493164,58.50262451171875,-50.52368879318237,46.22342562675476,-0.9860009178519249,0.0888912919908762,0.0,0,1.0,1.0,0.7850937499999986,6.280749999999989,29722059.850682102,1.0,0.0,0.2179736109401015,0.16998284586037446,0.387956456800476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10509971919886679,0.0,0.497175508393324,0.85,4.049999999999983,True,-1.0,3.138501167297349,0.0
4,200,24.002520084381104,42,False,True,time_limit,1.0,20.000000000000014,23.96492624282837,8.099999999999987,20,True,,,,20,20,428,-3.218825101852417,-3.165030598640442,-1.9929416596889502,-5.971683979034424,-0.2588039040565491,3.218825101852417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13634461181230126,1.1385524818069352,0.0,0.0,23.96492624282837,,,3.964926242828355,0.05,0.05,0.45560747663551404,0.95,0.0,0.0,0.18631178707224336,0.3041825095057034,0.5095057034220533,0.18631178707224336,0.3041825095057034,0.5095057034220533,,,1.9530662298202515,0.02280139923095703,0.17391304671764374,0.06589701771736145,2.8346405029296875,1.479311227798462,1.36642324924469,1.9530662298202515,-1.9530662298202515,0.06575,263,4000,-52.00266647338867,47.04521560668945,-57.046112060546875,41.02238845825195,-1.5222848653793335,0.2147759199142456,0.0,0,1.0,1.0,0.8002499999999992,6.401999999999994,29292577.03333794,1.0,0.0,0.2495135338790367,0.16759031336172953,0.4171038472407663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0783608649022169,0.0,0.4978475256427191,0.7,4.0,True,-1.0,3.964926242828355,0.0
5,200,24.263214111328125,42,False,True,time_limit,1.0,20.000000000000014,24.587621688842773,0.0,20,True,,,,20,20,414,-2.901033401489258,-2.0645188093185425,-1.9173892676830293,-5.968571186065674,-0.40025392174720764,2.901033401489258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13754428303864283,1.35064398132893,0.0,0.0,24.587621688842773,,,4.587621688842759,0.0,0.0,0.3743961352657005,1.0,0.0,0.0,0.1592920353982301,0.3053097345132743,0.5353982300884956,0.1592920353982301,0.3053097345132743,0.5353982300884956,,,1.9433669567108154,-0.003212760388851166,0.06326923221349716,0.11055206023156643,4.156071043014526,2.1847008943557737,1.6877218723297118,1.9433669567108154,-1.9433669567108154,0.0565,226,4000,-49.9132194519043,46.9627685546875,-56.41768798828125,37.78855934143066,-1.981726622581482,0.28738768994808195,0.0,0,1.0,1.0,0.813124999999999,6.504999999999992,27109894.883106824,1.0,0.0,0.3717027966746007,0.1622393272930594,0.5339421239676603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08767851485759807,0.0,0.5018912829612382,0.6,4.0,True,-1.0,4.587621688842759,0.0
6,200,25.149786233901978,42,False,True,time_limit,1.0,20.000000000000014,23.54632568359375,0.0,20,True,,,,20,20,409,-3.2973132133483887,-3.149773359298706,-2.2135794281959544,-9.968242645263672,-0.442533940076828,3.2973132133483887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13407927195309313,1.1367875621146024,0.0,0.0,23.54632568359375,,,3.546325683593736,0.0,0.0,0.34474327628361856,1.0,0.0,0.0,0.17050691244239632,0.29493087557603687,0.5345622119815668,0.17050691244239632,0.29493087557603687,0.5345622119815668,,,1.9834762573242188,-0.0048278520815074446,0.06196078658103943,0.307235124707222,3.648875379562378,2.127705693244934,1.8930956363677978,1.9834762573242188,-1.9834762573242188,0.05425,217,4000,-61.749359130859375,40.93118667602539,-75.09397354125977,44.585680389404295,-2.9643129825592043,0.552753871679306,0.0,0,1.0,1.0,0.9096562499999998,7.277249999999999,31733512.055984493,1.0,0.0,0.23962792363965263,0.17341218271838524,0.4130401063580378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08457967055027808,0.0,0.5020839370666071,0.62,5.0,True,-1.0,3.546325683593736,0.0
7,200,24.467381477355957,42,False,True,time_limit,1.0,20.000000000000014,23.41441535949707,0.0,20,True,,,,20,20,425,-4.075727462768555,-4.326512813568115,-1.8709834039211273,-7.701621055603027,-0.6675894260406494,4.075727462768555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1427238240856644,1.1023662989036305,0.0,0.0,23.41441535949707,,,3.414415359497056,0.0,0.0,0.42823529411764705,1.0,0.0,0.0,0.17054263565891473,0.3488372093023256,0.4806201550387597,0.17054263565891473,0.3488372093023256,0.4806201550387597,,,1.9962663650512695,0.060827016830444336,0.0,0.25635355710983276,2.8453052043914795,1.6750133037567139,1.6828184127807617,1.9962663650512695,-1.9962663650512695,0.0645,258,4000,-36.77170944213867,23.4344425201416,-47.330482482910156,32.17182922363281,-3.778994083404541,0.5974903702735901,0.0,0,1.0,1.0,0.9233124999999993,7.3864999999999945,35727158.41676284,1.0,0.0,0.2742494354271431,0.17035220335516885,0.4446016387823122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08379848019348367,0.0,0.5019396248827689,0.765,4.0,True,-1.0,3.414415359497056,0.0
8,200,24.65790295600891,42,False,True,time_limit,1.0,20.000000000000014,24.299694061279297,0.0,20,True,,,,20,20,432,-3.6298210620880127,-3.629385471343994,-2.11852445602417,-7.472725868225098,-0.8603025078773499,3.6298210620880127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12830065086293463,0.7549468821282688,0.0,0.0,24.299694061279297,,,4.299694061279283,0.0,0.0,0.37962962962962965,1.0,0.0,0.0,0.14912280701754385,0.3684210526315789,0.4824561403508772,0.14912280701754385,0.3684210526315789,0.4824561403508772,,,1.8458329836527507,0.017865225051840145,0.05370370422800382,0.11894018451372783,3.075245459874471,1.6528713305791218,1.5453073581059773,1.8458329836527507,-1.8458329836527507,0.057,228,4000,-51.862335205078125,41.54049301147461,-61.57603200276693,43.300357818603516,-4.559478123982747,0.3435688018798828,0.0,0,1.0,1.0,0.7607812500000003,6.086250000000002,31254464.438410126,1.0,0.0,0.23896732254848027,0.16587214664006644,0.4048394691885464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09144719251877798,0.0,0.4982508271101396,0.81,5.0,True,-1.0,4.299694061279283,0.0
9,200,23.570188283920288,42,False,True,time_limit,1.0,20.000000000000014,23.45160436630249,8.366666666666653,20,True,,,,20,20,410,-3.2925004959106445,-3.1231435537338257,-2.0006481170654298,-13.639172554016113,-0.8201791644096375,3.2925004959106445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13279598515511526,0.8053310976151143,0.0,0.0,23.45160436630249,,,3.451604366302476,0.15,0.15,0.4,0.85,0.0,0.0,0.1572052401746725,0.3406113537117904,0.5021834061135371,0.1572052401746725,0.3406113537117904,0.5021834061135371,,,1.8700187802314758,0.02718673087656498,0.03333333507180214,-0.17460279166698456,5.662373065948486,2.6528435945510864,3.2265214920043945,1.8700187802314758,-1.8700187802314758,0.05725,229,4000,-65.92379760742188,52.86577606201172,-60.862300872802734,30.46332311630249,-5.358350515365601,0.49462080746889114,0.0,0,1.0,0.9977499999999995,0.8036250000000007,6.429000000000006,28796783.76784907,1.0,0.0,0.21952237887212783,0.17138926757387837,0.3909116464460066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08812006136004219,0.0,0.5057201979691163,0.76,5.0,True,-1.0,3.451604366302476,0.0
10,200,23.641941785812378,42,False,True,time_limit,1.0,20.000000000000014,23.530036449432373,9.599999999999982,20,True,,,,20,20,401,-2.4289603233337402,-2.248270034790039,-2.0245225787162786,-6.928295135498047,-0.9484853744506836,2.4289603233337402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12864612385063176,0.8148101726275788,0.0,0.0,23.530036449432373,,,3.530036449432359,0.05,0.05,0.3541147132169576,0.95,0.0,0.0,0.16017316017316016,0.35064935064935066,0.48917748917748916,0.16017316017316016,0.35064935064935066,0.48917748917748916,,,1.8310375213623047,-0.018769295886158943,0.0833333358168602,-0.07641604046026866,9.642038186391195,4.740940650304158,5.004360755284627,1.8310375213623047,-1.8310375213623047,0.05775,231,4000,-42.44855499267578,22.987506866455078,-46.79695383707682,16.410194714864094,-6.672463734944661,0.4215540587902069,0.0,0,1.0,1.0,0.7694062499999977,6.155249999999982,33696567.03719997,1.0,0.0,0.2619712629296548,0.16382035839164016,0.4257916213212946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08453806336080448,0.0,0.4952853409726231,0.74,6.0,True,-1.0,3.530036449432359,0.0
