episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,mode_match_rate,oracle_match_rate,oracle_match_eps_abs_rate,oracle_match_eps_rel_rate,action_regret_mean,action_regret_p95,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,0.05681947206701146,0.0020292668595361238,4.462813901901245,0.25,0.25,0.25,0.715,0.875,0.2710843373493976,0.4879518072289157,0.24096385542168675,0.49038565516737953,0.34464285714285714,0.34464285714285714,2.142857142857143,0.31580167291646244,0.24994239078160158,52.5,0.0005584735408593833,0.525,0.13098446436330904,0.06626506024096386,0.463855421686747,0.46987951807228917,0.3614457831325301,0.3614457831325301,nan,nan,0.2202100057758439,1.028972369743451,0.24675324675324675,0.5,0.2564102564102564,0.19834383578703213,-0.051598554994569445,2.3006537510495324,20,20,20.764673233032227
2,,0.05371128833249182,0.0022379703471871594,1.3753287553787232,0.5,0.5,0.5,0.8222222222222222,0.9333333333333333,0.3467741935483871,0.3870967741935484,0.2661290322580645,0.5064805611036718,0.01875,0.01875,0.4583333333333333,0.1399183893992941,0.28626451533569214,48.484848484848484,-0.0011529390460631543,0.48484848484848486,0.02226488959467143,0.21774193548387097,0.24193548387096775,0.5403225806451613,0.4112903225806452,0.4112903225806452,nan,nan,0.03870162420262734,0.2190361261263749,0.16666666666666666,0.3283582089552239,0.34328358208955223,0.1939807193987839,-0.09228379593690826,2.5328281181550967,20,20,8.06496286392212
3,,0.03894333679021915,0.0009985470971851063,1.0701477766036986,0.15,0.15,0.15,0.7211895910780669,0.8125,0.375,0.3080357142857143,0.3169642857142857,0.504334497363426,0.5538461538461539,0.5538461538461539,0.6923076923076923,0.16665760660020035,0.37633719489890316,33.80281690140845,-0.28268684991118825,0.3380281690140845,0.17853448452097498,0.10267857142857142,0.6294642857142857,0.26785714285714285,0.3482142857142857,0.3482142857142857,nan,nan,0.2608402471328809,0.8466504735387391,0.2695035460992908,0.25,0.4,0.2732387662934307,-0.10309842860547247,2.2737669889596788,20,20,15.214181900024414
4,,0.006700421746275085,0.00017180568580192526,0.6234834333260854,0.05,0.05,0.05,0.583941605839416,0.6428571428571429,0.36649214659685864,0.33507853403141363,0.29842931937172773,0.4961954680462487,0.3141025641025641,0.3141025641025641,1.0769230769230769,0.005720406666014548,0.3948880768087256,36.84210526315789,-0.7251321073623685,0.3684210526315789,0.1908318768926651,0.16230366492146597,0.5235602094240838,0.31413612565445026,0.34554973821989526,0.34554973821989526,nan,nan,0.3499645258057127,1.8067693643471316,0.31,0.35,0.3333333333333333,0.2837586236185237,-0.11112945319020193,2.4632895551544514,20,20,18.749749898910522
5,,0.04645782654574447,0.0017206602424349805,0.5312423080205917,0.3,0.3,0.3,0.6601941747572816,0.7435897435897436,0.4,0.3333333333333333,0.26666666666666666,0.5065828309946314,0.3296296296296296,0.3296296296296296,0.9259259259259259,0.1434660557467936,0.3618886429539865,34.090909090909086,-0.4574350019679978,0.3409090909090909,0.12636019858661562,0.2,0.593939393939394,0.20606060606060606,0.40606060606060607,0.40606060606060607,nan,nan,0.2073502289940003,0.6025514976590342,0.2653061224489796,0.20588235294117646,0.29411764705882354,0.2382023935122915,-0.12368624944169501,2.185805295335706,20,20,15.258543968200684
6,,0.12281988707138697,0.004912795482855479,0.6540561318397522,0.75,0.75,0.75,0.9389312977099237,0.8913043478260869,0.2868217054263566,0.3488372093023256,0.3643410852713178,0.5058346776589752,0.072,0.072,0.24,0.5101533489475969,0.3656612045558635,42.5531914893617,-0.057370956205768174,0.425531914893617,0.01652316414692992,0.1937984496124031,0.34108527131782945,0.46511627906976744,0.40310077519379844,0.40310077519379844,nan,nan,0.05152312554874881,0.11790545339334349,0.29545454545454547,0.3333333333333333,0.45,0.276330700076437,-0.0893305044794265,2.2517999423250656,20,20,4.476316928863525
7,,0.18440187881806974,0.013171562772719267,1.2165520668029786,1.0,1.0,1.0,1.0,1.0,0.28346456692913385,0.4330708661417323,0.28346456692913385,0.49454967316373116,0.09642857142857143,0.09642857142857143,0.5714285714285714,0.9843647462627024,0.12045584946516874,41.66666666666667,-0.056647327835528824,0.4166666666666667,0.03454400778214329,0.2125984251968504,0.5275590551181102,0.25984251968503935,0.28346456692913385,0.28346456692913385,nan,nan,0.046277490023859925,0.12746607723091205,0.373134328358209,0.45454545454545453,0.18181818181818182,0.2727410275199041,0.15228517805473535,2.3306043834023455,20,20,3.059396743774414
8,,0.07418531592764059,0.0025581143423324343,0.3508340507745743,0.45,0.45,0.45,0.8418367346938775,0.8666666666666667,0.30939226519337015,0.425414364640884,0.26519337016574585,0.5054333169173835,0.3413793103448276,0.3413793103448276,1.4137931034482758,0.30835622251208694,0.28367724421811924,45.83333333333333,-0.02134311761357187,0.4583333333333333,0.15200734331973598,0.1712707182320442,0.3812154696132597,0.44751381215469616,0.292817679558011,0.292817679558011,nan,nan,0.10596857750227708,0.41114991721950417,0.2898550724637681,0.4074074074074074,0.19753086419753085,0.20777963805164706,-0.07589760616647218,2.6310218708869817,20,20,9.002243280410767
9,,0.14896171129361274,0.005136610734262508,0.29346856772899627,0.7,0.7,0.7,0.9120879120879121,0.9512195121951219,0.3977272727272727,0.3522727272727273,0.25,0.49888370770575674,0.49137931034482757,0.49137931034482757,1.2413793103448276,0.6763032645175643,0.396551860239188,43.18181818181818,-0.07030009338192368,0.4318181818181818,0.258866524415218,0.17045454545454544,0.5170454545454546,0.3125,0.3352272727272727,0.3352272727272727,nan,nan,0.16255520981208205,0.5007687717620098,0.26373626373626374,0.2727272727272727,0.2545454545454545,0.35339060033778746,-0.0431612599014005,2.1300977101627616,20,20,7.405226230621338
10,,0.16859831208801845,0.0064845504649237865,0.3041022434830666,0.85,0.85,0.85,0.9481865284974094,0.9722222222222222,0.46113989637305697,0.32124352331606215,0.21761658031088082,0.49177619272556444,0.47307692307692306,0.47307692307692306,1.6153846153846154,0.7913205723361285,0.33812257556851844,52.38095238095239,-0.014577677783318371,0.5238095238095238,0.15794769219478136,0.20725388601036268,0.27461139896373055,0.5181347150259067,0.2849740932642487,0.2849740932642487,nan,nan,0.12220405541807335,0.38183739546680345,0.24528301886792453,0.4,0.22,0.27568635194610935,-0.06243622362240909,2.270194465895499,20,20,7.092360019683838
