episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,mode_match_rate,oracle_match_rate,oracle_match_eps_abs_rate,oracle_match_eps_rel_rate,action_regret_mean,action_regret_p95,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,0.05938882841925505,0.002121029586401966,0.9146335899829865,0.25,0.25,0.25,0.74,0.8666666666666667,0.2823529411764706,0.45294117647058824,0.2647058823529412,0.5085968541630012,0.3267857142857143,0.3267857142857143,1.7857142857142858,0.20576346684644403,0.44355882139561864,37.77777777777778,-0.25003335650018826,0.37777777777777777,0.12461594625664585,0.16470588235294117,0.4235294117647059,0.4117647058823529,0.38235294117647056,0.38235294117647056,nan,nan,0.23097241280483494,1.282631857829224,0.2222222222222222,0.4142857142857143,0.32857142857142857,0.36889886908907343,-0.07465995230654524,2.1974874480640625,20,20,19.24041223526001
2,,0.009257430097417748,0.00038572625405907285,0.7106776356697082,0.35,0.35,0.35,0.7703703703703704,0.7857142857142857,0.3770491803278688,0.27049180327868855,0.3524590163934426,0.5068431541090831,0.027083333333333334,0.027083333333333334,0.375,0.005871259956356637,0.30982825176619,48.837209302325576,-0.07365397237694953,0.4883720930232558,0.023526983832650766,0.23770491803278687,0.30327868852459017,0.45901639344262296,0.3442622950819672,0.3442622950819672,nan,nan,0.06086365727607336,0.18365801451442618,0.43243243243243246,0.26785714285714285,0.35714285714285715,0.20293011067992234,-0.10689814108626768,2.3215863355336457,20,20,7.657060623168945
3,,0.05238539369464497,0.0013432152229396145,0.3717801094055176,0.2,0.2,0.2,0.7620817843866171,0.765625,0.463519313304721,0.2532188841201717,0.2832618025751073,0.5027638481022456,0.5769230769230769,0.5769230769230769,0.8205128205128205,0.2044261529412731,0.3402688140982242,39.39393939393939,-0.5077736600789341,0.3939393939393939,0.19759027813196578,0.11587982832618025,0.6394849785407726,0.2446351931330472,0.33476394849785407,0.33476394849785407,nan,nan,0.31427577830391884,0.6831103303177349,0.28859060402684567,0.2631578947368421,0.3333333333333333,0.23959669738245393,-0.10067211671577023,2.1264191213330275,20,20,14.734911918640137
4,,0.02247113512033009,0.0005761829518033356,0.3042738457520803,0.1,0.1,0.1,0.5401459854014599,0.673469387755102,0.5508021390374331,0.1711229946524064,0.27807486631016043,0.5141726912787328,0.5692307692307692,0.5692307692307692,0.28205128205128205,0.054556475728301704,0.34680971644955405,23.076923076923077,-1.111095386200434,0.23076923076923078,0.17651751011190883,0.18716577540106952,0.5561497326203209,0.25668449197860965,0.20855614973262032,0.20855614973262032,nan,nan,0.514465801205553,1.8491305666408313,0.2403846153846154,0.2708333333333333,0.25,0.2360047813332022,-0.11080493511635184,2.1225919254339307,20,20,20.349356651306152
5,,0.0739483921055603,0.0026410140037700105,0.41291776597499846,0.3,0.3,0.3,0.7815533980582524,0.6666666666666666,0.6098901098901099,0.18681318681318682,0.2032967032967033,0.5028601375815924,0.4589285714285714,0.4589285714285714,0.5357142857142857,0.3949203342048055,0.2740598860831075,43.24324324324324,-0.38975715541879996,0.43243243243243246,0.21799130472403502,0.15934065934065933,0.5384615384615384,0.3021978021978022,0.24175824175824176,0.24175824175824176,nan,nan,0.2159504370558436,0.6555617264981837,0.2653061224489796,0.18181818181818182,0.16363636363636364,0.21053605742252252,-0.06352382866058501,1.934126452273453,20,20,11.635156869888306
6,,0.12437682327009879,0.004975072930803952,0.39168933033943176,0.75,0.75,0.75,0.9312977099236641,0.8333333333333334,0.71875,0.125,0.15625,0.5079162994325161,0.066,0.066,0.12,0.5332263904499844,0.30783388905595044,40.0,-0.053155008779134594,0.4,0.03880990245078929,0.171875,0.2890625,0.5390625,0.2578125,0.2578125,nan,nan,0.04518344390513708,0.15261742455458716,0.16216216216216217,0.10144927536231885,0.17391304347826086,0.21105480171665286,-0.09677908733929758,1.8598172665818897,20,20,4.292486667633057
7,,0.1910438567452877,0.01910438567452877,1.0563467264175415,1.0,1.0,1.0,1.0,1.0,0.7086614173228346,0.14960629921259844,0.14173228346456693,0.5011724020168186,0.11,0.11,0.0,0.9981087583655069,0.03296488303111694,33.33333333333333,-0.0018608263266524001,0.3333333333333333,0.025279442686723535,0.2125984251968504,0.47244094488188976,0.31496062992125984,0.2755905511811024,0.2755905511811024,nan,nan,0.026671770182058723,0.09742332879103972,0.11666666666666667,0.15,0.2,0.20678352200435302,0.17381863897323607,1.8530164362269324,20,20,2.3013856410980225
8,,0.20365763488208727,0.007542875366003232,0.33150798082351685,0.9,0.9,0.9,0.9744897959183674,1.0,0.7268041237113402,0.13917525773195877,0.13402061855670103,0.5007502591168439,0.6944444444444444,0.6944444444444444,0.2222222222222222,0.9249595198867862,0.2866933710405182,42.30769230769231,-0.07344090228656341,0.4230769230769231,0.2187417781367387,0.13917525773195877,0.5103092783505154,0.35051546391752575,0.23711340206185566,0.23711340206185566,nan,nan,0.1645007912679916,0.6230376294979516,0.15151515151515152,0.16176470588235295,0.1323529411764706,0.29904258008221285,0.012349209041694648,1.9798993526098285,20,20,7.453004598617554
9,,0.15578785257590574,0.005371994916410543,0.27080160230398176,0.65,0.65,0.65,0.8901098901098901,0.8571428571428571,0.7823529411764706,0.09411764705882353,0.12352941176470589,0.500134295411408,0.7775862068965518,0.7775862068965518,0.27586206896551724,0.7288703690271624,0.3201561473514857,33.33333333333333,-0.055588195649029074,0.3333333333333333,0.24291371897983285,0.1411764705882353,0.6058823529411764,0.2529411764705882,0.16470588235294117,0.16470588235294117,nan,nan,0.21084510456852118,0.6607575180941677,0.11650485436893204,0.16279069767441862,0.11627906976744186,0.26863974185319517,-0.05151640549829048,1.8024468560938762,20,20,7.583327054977417
10,,0.15973458823386957,0.0061436380089949835,0.28142660558223725,0.7,0.7,0.7,0.9430051813471503,1.0,0.8563829787234043,0.0425531914893617,0.10106382978723404,0.5007269948076171,0.801923076923077,0.801923076923077,0.2692307692307692,0.8177669314868603,0.2601152023680081,47.368421052631575,0.03641036847185173,0.47368421052631576,0.291202239165248,0.18085106382978725,0.425531914893617,0.39361702127659576,0.22872340425531915,0.22872340425531915,nan,nan,0.1805784015115306,0.6448652597106929,0.1125,0.04054054054054054,0.10810810810810811,0.23367738878661837,-0.026437813581389774,1.9625816611803644,20,20,6.679299831390381
