episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,12.412253856658936,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,160,0.007702632341533899,0.00030938623240217566,0.1470653839409349,-3.0033695697784424,3.004633665084839,0.10069441795349121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.35,0.35,0.86875,0.65,0.0,0.0,0.11538461538461539,0.21794871794871795,0.6666666666666666,0.11538461538461539,0.21794871794871795,0.6666666666666666,,,2.2347402381896972,0.012332254614060123,0.21963541666666667,-0.004584981265167395,22.06623783111572,11.006186517079671,2.6728925093015037,2.2347402381896972,-2.2347402381896972,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
2,200,11.513087749481201,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,156,0.05653400719165802,0.0001245403109351173,0.2196222595870478,-0.9980679154396057,3.0303995609283447,0.10637599229812622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.55,0.55,0.9423076923076923,0.45,0.0,0.0,0.0949367088607595,0.17088607594936708,0.7341772151898734,0.0949367088607595,0.17088607594936708,0.7341772151898734,,,2.2258735020955402,0.007118019082893928,0.12135416666666667,-0.003785190482934316,24.89658613840739,12.422249113718669,9.091222273508707,2.2258735020955402,-2.2258735020955402,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
3,200,12.735902070999146,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,160,-0.012443708255887032,0.0004897333565168083,0.1615382596850387,-3.0036747455596924,1.5864557027816772,0.11727730929851532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.3,0.3,0.73125,0.7,0.0,0.0,0.13333333333333333,0.26666666666666666,0.6,0.13333333333333333,0.26666666666666666,0.6,,,2.2527809969584145,0.011624057696511349,0.13953125,-0.0006598805263638496,21.453854904174804,10.703739687601725,8.974712451299032,2.2527809969584145,-2.2527809969584145,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
4,200,11.681437492370605,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,168,0.05114111304283142,0.00018012127839028835,0.22811070978641018,-0.9986807107925415,1.6105554103851318,0.07550685107707977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.55,0.55,0.9166666666666666,0.45,0.0,0.0,0.16477272727272727,0.1875,0.6477272727272727,0.16477272727272727,0.1875,0.6477272727272727,,,2.2486144065856934,0.00948412027830879,0.11770833333333333,-0.0009247010014951229,23.01281659444173,11.482997334798178,13.759937648773194,2.2486144065856934,-2.2486144065856934,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
5,200,11.137469291687012,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,157,0.0755569338798523,9.134709398495033e-05,0.2439556717872567,-0.9960252642631531,3.0389034748077393,0.09531228989362717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.65,0.65,0.9554140127388535,0.35,0.0,0.0,0.14012738853503184,0.12101910828025478,0.7388535031847133,0.14012738853503184,0.12101910828025478,0.7388535031847133,,,2.2947284412384032,0.0070887882479776934,0.10010416666666666,0.003644263222813606,15.761690216064453,7.861542072296142,29.446289812723794,2.2947284412384032,-2.2947284412384032,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
6,200,11.893649101257324,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,153,0.03112797439098358,0.00022244002320803702,0.16188361197710008,-2.016627788543701,3.0026841163635254,0.10978354513645172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.45,0.45,0.9019607843137255,0.55,0.0,0.0,0.14935064935064934,0.16233766233766234,0.6883116883116883,0.14935064935064934,0.16233766233766234,0.6883116883116883,,,2.326088097890218,0.00895194715509812,0.11723958333333333,-0.0005972318599621455,18.218172022501626,9.085227909088134,38.01907920837402,2.326088097890218,-2.326088097890218,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
7,200,11.80385422706604,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,158,0.0610937736928463,0.00014232509420253336,0.128955715149641,-0.9998888373374939,4.563229560852051,0.11379339545965195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.6,0.6,0.9113924050632911,0.4,0.0,0.0,0.11038961038961038,0.12987012987012986,0.7597402597402597,0.11038961038961038,0.12987012987012986,0.7597402597402597,,,2.351983318328857,0.006767603537688653,0.10442708333333334,0.0006133739898602168,15.233085613250733,7.593636341094971,40.615208854675295,2.351983318328857,-2.351983318328857,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
8,200,11.673879861831665,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,159,0.04712382331490517,0.00018638135225046426,0.28764500170945734,-1.9275007247924805,2.0624330043792725,0.11565182358026505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.55,0.55,0.9056603773584906,0.45,0.0,0.0,0.1509433962264151,0.12578616352201258,0.7232704402515723,0.1509433962264151,0.12578616352201258,0.7232704402515723,,,2.337709789276123,0.003089473647996783,0.06036458333333333,-0.0003240273396174113,18.967856699625653,9.46022715886434,40.68185351053874,2.337709789276123,-2.337709789276123,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
9,200,11.543275356292725,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,154,0.050149064511060715,0.0001636547822272405,0.18714225068688323,-1.9963219165802002,3.0327160358428955,0.09730412811040878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.45,0.45,0.9090909090909091,0.55,0.0,0.0,0.13636363636363635,0.14935064935064934,0.7142857142857143,0.13636363636363635,0.14935064935064934,0.7142857142857143,,,2.33284247080485,0.003420746913179755,0.06546875,-0.001621496540804704,16.6633362642924,8.306718212763469,34.754195836385094,2.33284247080485,-2.33284247080485,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
10,200,11.923064947128296,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,165,0.027164941653609276,0.00022329704370349646,0.14374792650341922,-1.9623310565948486,3.0134284496307373,0.10087724030017853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.4,0.4,0.8909090909090909,0.6,0.0,0.0,0.15757575757575756,0.18787878787878787,0.6545454545454545,0.15757575757575756,0.18787878787878787,0.6545454545454545,,,2.2769217173258465,0.006414188422883551,0.09791666666666667,-0.00060188593963782,20.35852537790934,10.155891590118408,35.17024175008138,2.2769217173258465,-2.2769217173258465,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
11,200,11.476346969604492,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,159,0.05092494934797287,0.00018823928257916123,0.19754612296819662,-1.998265266418457,4.506254196166992,0.12048658728599548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.55,0.55,0.9119496855345912,0.45,0.0,0.0,0.1375,0.20625,0.65625,0.1375,0.20625,0.65625,,,2.2724981021881105,0.006424743374809623,0.09395833333333334,-0.0013241870204607645,20.58630947113037,10.269105606079101,33.606034158070884,2.2724981021881105,-2.2724981021881105,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
12,200,11.262785196304321,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,165,0.09916344285011292,0.00010836622095666826,0.6061039716005164,-0.9960350394248962,3.0901706218719482,0.11912165582180023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.75,0.75,0.9515151515151515,0.25,0.0,0.0,0.09090909090909091,0.04242424242424243,0.8666666666666667,0.09090909090909091,0.04242424242424243,0.8666666666666667,,,2.2616772111256918,0.007240843161319693,0.07338541666666666,-0.002198300324380398,16.219973894755046,8.085171817143758,29.99959087371826,2.2616772111256918,-2.2616772111256918,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
13,200,11.156731128692627,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,154,0.08538259565830231,9.152463462669402e-05,0.2341975301504087,-0.9768668413162231,3.034907102584839,0.11314266175031662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.6,0.6,0.9545454545454546,0.4,0.0,0.0,0.08917197452229299,0.11464968152866242,0.7961783439490446,0.08917197452229299,0.11464968152866242,0.7961783439490446,,,2.3039612992604575,0.0057093297721197206,0.058229166666666665,-0.003125569894909859,13.710867869059244,6.829268798828125,40.86452583312988,2.3039612992604575,-2.3039612992604575,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
14,200,11.36533522605896,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,166,0.09254921227693558,8.15862076706253e-05,0.2450496278703206,-0.9978702664375305,3.087970495223999,0.12678086757659912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.65,0.65,0.9698795180722891,0.35,0.0,0.0,0.13218390804597702,0.13793103448275862,0.7298850574712644,0.13218390804597702,0.13793103448275862,0.7298850574712644,,,2.3013530000050864,0.002928289615859588,0.07401041666666666,-0.002466536449889342,12.675399862925211,6.312219823201497,24.17273095448812,2.3013530000050864,-2.3013530000050864,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
15,200,11.668364524841309,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,159,0.07085798680782318,0.0001774390257196501,0.228142407536502,-0.9998225569725037,3.0410635471343994,0.13005663454532623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.6,0.6,0.9308176100628931,0.4,0.0,0.0,0.20754716981132076,0.16981132075471697,0.6226415094339622,0.20754716981132076,0.16981132075471697,0.6226415094339622,,,2.351503651936849,0.007714726111541192,0.10104166666666667,-0.0012709290658434232,15.938024673461914,7.944226347605388,31.310656598409018,2.351503651936849,-2.351503651936849,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
16,200,10.939917087554932,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,157,0.10966373234987259,5.726157905883156e-05,1.4869908452033993,-0.972204864025116,4.544354438781738,0.13003745675086975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.7,0.7,0.9745222929936306,0.3,0.0,0.0,0.15151515151515152,0.07878787878787878,0.7696969696969697,0.15151515151515152,0.07878787878787878,0.7696969696969697,,,2.3729479058583576,0.007803843605021636,0.09234375,-0.0023490306610862415,9.167376753489176,4.557609855333964,27.87815106709798,2.3729479058583576,-2.3729479058583576,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
17,200,12.201707601547241,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,163,-0.015676092356443405,0.0003490246890578419,0.16471292227506634,-2.9985475540161133,1.5055354833602905,0.09366041421890259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.2,0.2,0.852760736196319,0.8,0.0,0.0,0.10759493670886076,0.08227848101265822,0.810126582278481,0.10759493670886076,0.08227848101265822,0.810126582278481,,,2.3724430052439374,0.004496674276888371,0.05786458333333333,-0.0013213569670915604,17.014141279856364,8.482024892171223,32.34082799911499,2.3724430052439374,-2.3724430052439374,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
18,200,10.837173461914062,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,155,0.10793497413396835,4.4449541746871546e-05,0.5191153824329371,-0.07379405945539474,4.507089614868164,0.10951720923185349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.7,0.7,0.9806451612903225,0.3,0.0,0.0,0.1069182389937107,0.1320754716981132,0.7610062893081762,0.1069182389937107,0.1320754716981132,0.7610062893081762,,,2.372054386138916,0.005778387319296598,0.06463541666666667,0.0004029907410343488,12.84464848836263,6.399006700515747,24.851740322113038,2.372054386138916,-2.372054386138916,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
19,200,10.847182750701904,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,156,0.13573148846626282,3.8300651794997975e-05,1.5018775641918183,-0.9973409175872803,4.543466091156006,0.14570489525794983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.9,0.9,0.9807692307692307,0.1,0.0,0.0,0.13372093023255813,0.10465116279069768,0.7616279069767442,0.13372093023255813,0.10465116279069768,0.7616279069767442,,,2.3936295668284098,0.004415872413665057,0.09645833333333333,-0.001536495095739762,8.78825533548991,4.368654886881511,31.792889417012532,2.3936295668284098,-2.3936295668284098,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
20,200,10.564815759658813,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,157,0.1344483345746994,2.3109858375391923e-05,1.5012264490127563,-0.9269968271255493,4.505848407745361,0.14371830224990845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.85,0.85,0.9872611464968153,0.15,0.0,0.0,0.12209302325581395,0.12790697674418605,0.75,0.12209302325581395,0.12790697674418605,0.75,,,2.399447355270386,0.005285860908528169,0.04994791666666667,0.0002930009985963504,7.090357634226481,3.5214773321151736,25.30430103302002,2.399447355270386,-2.399447355270386,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
21,200,11.233138799667358,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,148,0.08080648630857468,0.00010387541988166049,0.17252332940697615,-0.9622861742973328,3.0622124671936035,0.11438289284706116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.65,0.65,0.9459459459459459,0.35,0.0,0.0,0.10596026490066225,0.11920529801324503,0.7748344370860927,0.10596026490066225,0.11920529801324503,0.7748344370860927,,,2.380781176884969,0.0037299340156217416,0.04921875,0.00090040090183417,11.676391067504882,5.815288152694702,35.751540921529134,2.380781176884969,-2.380781176884969,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
22,200,11.97892165184021,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,169,0.051382727921009064,0.0002610843221191317,0.2253384552896021,-0.9997389316558838,3.0038340091705322,0.10979773849248886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.55,0.55,0.8816568047337278,0.45,0.0,0.0,0.11834319526627218,0.17159763313609466,0.7100591715976331,0.11834319526627218,0.17159763313609466,0.7100591715976331,,,2.384605089823405,0.0034833045986791453,0.026041666666666668,0.0014873168244957924,18.269474919637045,9.112378775278728,39.25829499562581,2.384605089823405,-2.384605089823405,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
23,200,11.198294878005981,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,157,0.0899713933467865,9.04868938960135e-05,0.28150877058505575,-1.976430892944336,3.012404203414917,0.1395440250635147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.65,0.65,0.9554140127388535,0.35,0.0,0.0,0.13095238095238096,0.13095238095238096,0.7380952380952381,0.13095238095238096,0.13095238095238096,0.7380952380952381,,,2.37101203918457,0.005825097324947516,0.07255208333333334,-0.0019299163669347762,12.06294500986735,6.005832484563192,25.719924653371177,2.37101203918457,-2.37101203918457,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
24,200,12.007084369659424,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,157,0.03415553271770477,0.0002370384318055585,0.18873470127582528,-2.988792896270752,3.0060691833496094,0.1039101704955101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.45,0.45,0.89171974522293,0.55,0.0,0.0,0.0915032679738562,0.1503267973856209,0.7581699346405228,0.0915032679738562,0.1503267973856209,0.7581699346405228,,,2.381047026316325,0.003756109693398078,0.029479166666666667,-0.0016225426271557807,15.304598719278971,7.626866324742635,37.582618420918784,2.381047026316325,-2.381047026316325,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
25,200,10.823310375213623,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,159,0.1380242258310318,3.065173950744793e-05,1.5016622960567474,-0.9985522627830505,5.05291223526001,0.1483285278081894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000014,,,0.0,0.9,0.9,0.9874213836477987,0.1,0.0,0.0,0.0718562874251497,0.12574850299401197,0.8023952095808383,0.0718562874251497,0.12574850299401197,0.8023952095808383,,,2.4013935724894204,0.0031580414002140363,0.0421875,-0.0015965860212842624,7.610185368855794,3.7794821882247924,25.520098838806152,2.4013935724894204,-2.4013935724894204,0.0,0.0,0.0,0.0,nan,0.0,0.0,,,,True,-1.0,0.0,0.0
