episode,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,ma_fairness,ma_reward_gap,ma_collaboration,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,-8.863246594995429,-0.03931623297497715,0.5012887461980184,0.2,0.2,0.2,0.8116883116883117,0.0,0.375886524822695,0.2765957446808511,0.3475177304964539,0.4958742916963529,0.0,1.0,0.0,32.925,-0.03931623297497674,-0.03931623297497674,8.128816079726041,20,20,11.679455518722534
1,25.208900783056087,0.12604450391528044,0.0,0.8,0.8,0.8,0.9753086419753086,0.0,0.14275,0.146,0.71125,0.6014932833907866,0.0,1.0,0.0,0.71125,25.208900783056087,25.208900783056087,0.0,20,20,Random
1,15.18786937338887,0.07593934686694434,0.0,0.7,0.7,0.7,0.9248554913294798,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,15.18786937338887,15.18786937338887,0.0,20,20,Local-Only
1,-18.149092128764277,-0.09074546064382139,0.0,0.0,0.0,0.0,0.17763157894736842,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-18.149092128764277,-18.149092128764277,0.0,20,20,Greedy
2,-5.966039720902607,-0.024830198604513035,0.4964031159877777,0.25,0.25,0.25,0.7926829268292683,0.0,0.37662337662337664,0.3051948051948052,0.3181818181818182,0.5038626911472529,0.0,1.0,0.0,33.15,-0.024830198604512632,-0.024830198604512632,8.176979586427839,20,20,11.43059253692627
2,30.842487130285175,0.15421243565142587,0.0,0.95,0.95,0.95,0.9938271604938271,0.0,0.14175,0.14325,0.715,0.605280346608132,0.0,1.0,0.0,0.715,30.842487130285175,30.842487130285175,0.0,20,20,Random
2,16.682156576282573,0.08341078288141286,0.0,0.7,0.7,0.7,0.937888198757764,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,16.682156576282573,16.682156576282573,0.0,20,20,Local-Only
2,-18.241669398037647,-0.09120834699018823,0.0,0.0,0.0,0.0,0.17721518987341772,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-18.241669398037647,-18.241669398037647,0.0,20,20,Greedy
3,0.534394223530978,0.00767197111765489,0.49158756653467817,0.35,0.35,0.35,0.8773006134969326,0.0,0.4050632911392405,0.2468354430379747,0.34810126582278483,0.49868658183841036,0.0,1.0,0.0,30.7,0.0076719711176549635,0.0076719711176549635,8.303306067412128,20,20,11.081916809082031
3,31.134179741051373,0.15567089870525685,0.0,0.9,0.9,0.9,1.0,0.0,0.1375,0.15025,0.71225,0.6050608925229726,0.0,1.0,0.0,0.71225,31.134179741051373,31.134179741051373,0.0,20,20,Random
