episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,29.05412255265028,0.1502706127632514,0.3747732969621817,0.95,0.95,0.95,0.9924242424242424,1.0,0.25547445255474455,0.4233576642335766,0.32116788321167883,0.5024841645960696,0.07025,0.07025,0.98,0.8728630061476118,55.17626256239184,32.125,35.624078848747466,-19.55218371364438,7.952725872540609,20,20,3.4394400119781494
1,Random,27.983516375914714,0.13991758187957357,0.0,0.9,0.9,0.9,0.967741935483871,0.9743589743589743,0.147,0.1485,0.7045,0.59817420163059,0.12925,0.12925,0.255,1.0,0.0,70.45,27.983516375914714,27.983516375914714,0.0,20,20,0.0
1,Local-Only,17.68619911264987,0.08843099556324935,0.0,0.75,0.75,0.75,0.9047619047619048,0.0,1.0,0.0,0.0,1.0,0.18875,0.18875,0.0,1.0,0.0,0.0,17.68619911264987,17.68619911264987,0.0,20,20,0.0
1,Greedy,11.870350976104977,0.05935175488052488,0.0,0.55,0.55,0.55,0.7627118644067796,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.73,1.0,0.0,0.0,11.870350976104977,11.870350976104977,0.0,20,20,0.0
2,,32.21930323462278,0.16109651617311388,0.1066279596897463,1.0,1.0,1.0,1.0,1.0,0.2882882882882883,0.3333333333333333,0.3783783783783784,0.4998106721898075,0.0825,0.0825,0.505,0.9977273256871071,5.462313695763694,32.324999999999996,35.48379060096987,30.021476905206175,7.9971755593612235,20,20,3.5542800426483154
2,Random,27.61526372984104,0.1380763186492052,0.0,0.9,0.9,0.9,0.9841269841269841,0.978494623655914,0.142,0.145,0.713,0.602567895185054,0.136,0.136,0.15,1.0,0.0,71.3,27.61526372984104,27.61526372984104,0.0,20,20,0.0
2,Local-Only,18.152526817405082,0.09076263408702541,0.0,0.7,0.7,0.7,0.9439252336448598,0.0,1.0,0.0,0.0,1.0,0.136,0.136,0.0,1.0,0.0,0.0,18.152526817405082,18.152526817405082,0.0,20,20,0.0
2,Greedy,9.721243653800048,0.04860621826900024,0.0,0.5,0.5,0.5,0.7355371900826446,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.875,1.0,0.0,0.0,9.721243653800048,9.721243653800048,0.0,20,20,0.0
3,,32.642359707951165,0.16321179853975581,0.02661861324450001,1.0,1.0,1.0,1.0,1.0,0.1896551724137931,0.3706896551724138,0.4396551724137931,0.5070078175158705,0.07175,0.07175,0.645,0.9976731761454809,5.475867066686199,32.625,35.68141162812823,30.205544561442032,7.908970102799197,20,20,3.3710169792175293
3,Random,29.561898473669448,0.14780949236834723,0.0,0.9,0.9,0.9,1.0,1.0,0.14425,0.14525,0.7105,0.5959648373818082,0.09625,0.09625,0.155,1.0,0.0,71.05,29.561898473669448,29.561898473669448,0.0,20,20,0.0
