episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,97,5.585862398147583,42,True,False,all_finished,,9.699999999999982,,,,,,,,20,20,432,0.44546961784362793,0.1658177673816681,2.0257351875305036,-0.004109264817088842,3.0409812927246094,0.44555434584617615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0414250501652354,-0.0414250501652354,0.08084297180175745,0.0715108889635153,0.6038385480642318,7.706762198120107e-05,0.0,9.699999999999983,,,1.7763568394002505e-15,1.0,1.0,1.0,0.0,0.0,0.0,0.31712962962962965,0.3819444444444444,0.30092592592592593,0.31712962962962965,0.3819444444444444,0.30092592592592593,,,1.448485609463283,0.01318399707181795,0.29539102326546396,-0.014993963869554656,2.484364570890154,1.2242913671902247,0.7563033086912972,1.448485609463283,-1.448485609463283,0.22268041237113403,432,1940,8.81477165222168,6.525264739990234,8.708089869362967,6.405619158063616,1.9811832388596875,0.3340827668351786,0.6935338854789734,0,1.0,1.0,0.9279381443298969,4.639690721649485,102948175.9827075,1.0,0.0,,,,False,0.0,0.0,0.0
2,98,5.006859540939331,42,True,False,all_finished,,9.799999999999981,,,,,,,,20,20,417,0.3939659297466278,0.17067357152700424,1.600213360786438,-0.9985058903694153,4.806925296783447,0.4342927038669586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046535731189105,-0.046535731189105,0.21655511856079065,0.08144111990624545,0.626028475165367,9.665099992294617e-05,0.0,9.897437639236434,,,0.09743763923645332,0.9,0.9,0.9928057553956835,0.1,0.0,0.0,0.18795180722891566,0.40240963855421685,0.40963855421686746,0.18795180722891566,0.40240963855421685,0.40963855421686746,,,1.533387235232762,0.025464303422320103,0.11345631834119559,-0.017669468080358845,2.1157554490225654,1.0371415070125034,0.9924575805664062,1.533387235232762,-1.533387235232762,0.21173469387755103,415,1960,7.54133939743042,6.554886341094971,10.751110703604562,6.423456301007952,5.859917020797729,0.4894792675971985,0.8384315312973091,0,1.0,1.0,0.9906122448979593,4.953061224489796,112744125.69444206,1.0,0.0,,,,False,0.0,0.0,0.0
3,108,5.363936424255371,42,True,False,all_finished,,10.799999999999978,,,,,,,,20,20,409,0.397708922624588,0.13336389511823654,1.6778593480587005,1.6009646060410887e-05,3.09991717338562,0.397708922624588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05018463223068804,-0.05018463223068804,0.044400048255922,0.061155253236561465,0.5550645917654015,7.354583577812787e-05,0.0,10.79999999999998,,,1.7763568394002505e-15,1.0,1.0,1.0,0.0,0.0,0.0,0.30073349633251834,0.34963325183374083,0.34963325183374083,0.30073349633251834,0.34963325183374083,0.34963325183374083,,,1.4609400361776352,0.04495173411851283,0.30001704338937996,-0.03364057845901698,2.5254258275032044,1.2261504501104354,1.1451019883155822,1.4609400361776352,-1.4609400361776352,0.18935185185185185,409,2160,8.381841659545898,6.278623580932617,13.68499014377594,6.1153964638710026,8.330002057552338,0.5902530461549759,0.866645834594965,0,1.0,1.0,0.985,4.925000000000001,120196780.72865589,1.0,0.0,,,,False,0.0,0.0,0.0
4,80,4.1942079067230225,42,True,False,all_finished,,7.999999999999988,,,,,,,,20,20,409,0.5318281054496765,0.2440844252705574,1.7604842722415888,2.7886144380318e-05,3.1879472732543945,0.5318281054496765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03863999247550967,-0.03863999247550967,0.0523013830184939,0.10321356880944223,0.6906507551670074,0.00017949125918085188,0.0,7.99999999999999,,,2.6645352591003757e-15,1.0,1.0,1.0,0.0,0.0,0.0,0.17114914425427874,0.49877750611246946,0.33007334963325186,0.17114914425427874,0.49877750611246946,0.33007334963325186,,,1.3736272692680358,0.013403054635273293,0.11477998060484727,-0.01502806789552172,2.665414563814799,1.3149319132169088,1.475864401459694,1.3736272692680358,-1.3736272692680358,0.255625,409,1600,7.643523216247559,5.246584892272949,15.230584780375162,5.276770321528117,11.031331952412923,0.42007554074128467,0.8595039766281843,0,1.0,1.0,0.99975,4.998749999999999,117449206.23464625,1.0,0.0,,,,False,0.0,0.0,0.0
5,83,4.383586645126343,42,True,False,all_finished,,8.299999999999986,,,,,,,,20,20,415,0.511544406414032,0.20687983930110931,1.7012868165969846,1.6446228983113542e-05,3.093380928039551,0.511544406414032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03665305677666721,-0.03665305677666721,0.08184008121490347,0.103106192280875,0.6939896672964095,0.00014659628277149532,0.0,8.299999999999986,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.18313253012048192,0.5325301204819277,0.28433734939759037,0.18313253012048192,0.5325301204819277,0.28433734939759037,,,1.2424097975095114,0.02072120565765848,0.11302613249669473,0.0006391412035251658,2.038206140200297,1.0172573586304983,1.741674268245697,1.2424097975095114,-1.2424097975095114,0.25,415,1660,6.7075629234313965,5.62742280960083,17.567789300282797,5.656076097488404,13.258651638031006,0.5868590811888377,0.7821543081353108,0,1.0,1.0,0.999277108433735,4.9963855421686745,115554344.44834578,1.0,0.0,,,,False,0.0,0.0,0.0
6,78,4.211337327957153,42,True,False,all_finished,,7.799999999999988,,,,,,,,20,20,425,0.519501805305481,0.1986628919839859,3.030526745319366,7.614942296640947e-05,4.503194808959961,0.519501805305481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03719968428978553,-0.03719968428978553,0.06277799606323206,0.10713885157751159,0.6994743853807446,4.051774273085268e-05,0.0,7.799999999999987,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.24705882352941178,0.5129411764705882,0.24,0.24705882352941178,0.5129411764705882,0.24,,,1.1875439445177713,0.036983820516616105,0.21487929684420426,-0.004826665731767813,1.70707501967748,0.8463357249895732,1.4208715657393138,1.1875439445177713,-1.1875439445177713,0.2724358974358974,425,1560,5.4557976722717285,4.99420690536499,18.27254695892334,5.164111884435018,15.053460375467937,0.7918546279271443,0.8451821374396483,0,1.0,1.0,0.9987179487179488,4.993589743589744,120976684.8510292,1.0,0.0,,,,False,0.0,0.0,0.0
7,90,4.691423177719116,42,True,False,all_finished,,8.999999999999984,,,,,,,,20,20,420,0.45918723940849304,0.1959613859653473,2.4899417400360075,-0.9999861717224121,3.1743767261505127,0.48140910267829895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03849507596757675,-0.03849507596757675,0.06813240051269495,0.10350937661585502,0.6962921798229216,3.566895327086445e-05,0.0,9.05156149864195,,,0.05156149864196635,0.95,0.95,0.9976190476190476,0.05,0.0,0.0,0.1761904761904762,0.6023809523809524,0.22142857142857142,0.1761904761904762,0.6023809523809524,0.22142857142857142,,,1.164436834199088,0.01841869756047215,0.1320994830025094,-0.009978456416034273,1.5541748659951347,0.7647800803184509,1.559589968408857,1.164436834199088,-1.164436834199088,0.23333333333333334,420,1800,5.777848720550537,5.945470333099365,21.02566103254046,6.156164755140032,17.615613555908205,1.0737916588783265,0.8024063235947064,0,1.0,1.0,0.9988888888888889,4.9944444444444445,114209193.28029418,1.0,0.0,,,,False,0.0,0.0,0.0
8,86,4.666386604309082,42,True,False,all_finished,,8.599999999999985,,,,,,,,20,20,427,0.5119495987892151,0.21016611903905869,1.860740214586258,1.448181956220651e-05,3.1653380393981934,0.5119495987892151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03764476997907773,-0.03764476997907773,0.10175275802612313,0.11418253812061753,0.7290744483470916,0.0002056421023821235,0.0,8.599999999999987,,,1.7763568394002505e-15,1.0,1.0,1.0,0.0,0.0,0.0,0.13348946135831383,0.5995316159250585,0.26697892271662765,0.13348946135831383,0.5995316159250585,0.26697892271662765,,,1.1814754486083985,0.014386110018434314,0.10999163960417112,-0.02048879483093818,1.8848578770955404,0.9195771952470143,1.891244775056839,1.1814754486083985,-1.1814754486083985,0.24825581395348836,427,1720,6.011088848114014,4.509839057922363,23.364305814107258,5.051151363054911,20.178108342488606,1.442066780726115,0.8746501450737317,0,1.0,1.0,0.9956976744186046,4.978488372093023,116341503.5042525,1.0,0.0,,,,False,0.0,0.0,0.0
9,77,4.145914793014526,42,True,False,all_finished,,7.699999999999989,,,,,,,,20,20,419,0.5579324960708618,0.22890619933605194,3.0832464694976807,1.2400770174281206e-05,6.179117202758789,0.5579324960708618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038103963926241,-0.038103963926241,0.08286857604980477,0.11197385289162011,0.7077750414609906,0.00029133544120620204,0.0,7.699999999999989,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.14558472553699284,0.5775656324582339,0.27684964200477324,0.14558472553699284,0.5775656324582339,0.27684964200477324,,,1.0695909837881723,0.02292727428721264,0.25291223706056676,-0.009414443443529309,1.2895406564076741,0.6332166870435079,2.3236611008644106,1.0695909837881723,-1.0695909837881723,0.2720779220779221,419,1540,3.5408847332000732,3.531160831451416,23.841788736979165,4.06236960887909,22.002826944986978,1.5884064555168151,0.7705379197994868,0,1.0,1.0,0.9997402597402598,4.998701298701298,110540334.17645338,1.0,0.0,,,,False,0.0,0.0,0.0
10,73,4.152092218399048,42,True,False,all_finished,,7.29999999999999,,,,,,,,20,20,410,0.5957733392715454,0.26455366611480713,3.0209196567535397,0.001588112092576921,4.619140625,0.5957733392715454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03174423191645374,-0.03174423191645374,0.06869533538818348,0.1281346592133584,0.7218690425157546,0.0002159717071816305,0.0,7.299999999999988,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.11707317073170732,0.6439024390243903,0.23902439024390243,0.11707317073170732,0.6439024390243903,0.23902439024390243,,,0.9945271372795105,0.01642327898880467,0.10503150925040244,-0.009852333734743297,1.285186195373535,0.6307517349720001,2.5621626949310303,0.9945271372795105,-0.9945271372795105,0.2808219178082192,410,1460,3.7391529083251953,3.7528774738311768,26.60489974975586,4.3724992561340335,24.686629180908202,1.8716475534439088,0.7598348641395569,0,1.0,1.0,0.999041095890411,4.995205479452054,108313646.26112564,1.0,0.0,,,,False,0.0,0.0,0.0
