episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,96,9.863959789276123,42,True,False,all_finished,,9.599999999999982,,,,,,,,30,30,622,0.1789388656616211,0.07582780718803406,1.137706845998764,-1.3317068815231323,3.0197842121124268,0.2886030972003937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059201141132248836,-0.059201141132248836,0.10110855102539071,0.06406309344844582,0.5489534288644788,3.6322968508233365e-05,0.0,10.111717980702705,,,0.5117179807027235,0.6,0.6,0.9340836012861736,0.4,0.0,0.0,0.3305227655986509,0.33220910623946037,0.3372681281618887,0.3305227655986509,0.33220910623946037,0.3372681281618887,,,1.5528797388076783,0.016843561102128164,0.18102100007236005,-0.015255963338793001,1.1629945397377015,0.5631355664946817,0.7481917652216825,1.5528797388076783,-1.5528797388076783,0.20590277777777777,593,2880,4.123681545257568,8.044561386108398,4.0870708313855255,7.877286460182884,1.397107841345397,0.10282441248947924,0.43840282545848325,0,1.0,1.0,1.0,5.0,122119349.69842744,1.0,0.43159722222222224,,,,False,0.0,0.0,0.0
2,102,8.974743366241455,42,True,False,all_finished,,10.19999999999998,,,,,,,,30,30,633,0.22149740159511566,0.10839170962572098,1.0144876718521119,-1.2196846008300781,3.059492349624634,0.2894379198551178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052458640017540685,-0.052458640017540685,0.07878682454427163,0.07444457847478927,0.5977109044790264,8.827905782958529e-05,0.0,10.7339204152425,,,0.5339204152425197,0.6333333333333333,0.6333333333333333,0.9462875197472354,0.36666666666666664,0.0,0.0,0.26885245901639343,0.3524590163934426,0.37868852459016394,0.26885245901639343,0.3524590163934426,0.37868852459016394,,,1.5668202551928434,0.010177853667449778,0.12459362084892663,-0.023209688194434752,1.1791941079226407,0.5632537196982991,0.7994619011878967,1.5668202551928434,-1.5668202551928434,0.19934640522875818,610,3060,4.372920989990234,8.040705680847168,5.841479747945612,7.934376907348633,2.9926669120788576,0.2426024000753056,0.5576320856470953,0,1.0,1.0,0.9977777777777779,4.988888888888889,114430364.14190121,1.0,0.1869281045751634,,,,False,0.0,0.0,0.0
3,76,7.013890981674194,42,True,False,all_finished,,7.599999999999989,,,,,,,,30,30,626,0.4235510528087616,0.22191078960895538,2.0774786472320557,-1.2040232419967651,3.255633592605591,0.49853140115737915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041302190077932295,-0.041302190077932295,0.06566572189331063,0.09907427560701443,0.6707514137029639,0.00019145276718113394,0.0,8.151560192108146,,,0.5515601921081572,0.8,0.8,0.9600638977635783,0.2,0.0,0.0,0.26973684210526316,0.32730263157894735,0.4029605263157895,0.26973684210526316,0.32730263157894735,0.4029605263157895,,,1.540848496556282,0.021747637828229926,0.2523677556309849,-0.017156906554009765,1.5440700769424438,0.7517964281141758,0.8027268998324871,1.540848496556282,-1.540848496556282,0.26666666666666666,608,2280,6.614320755004883,7.560138702392578,9.94500937461853,7.524088644981385,5.376325452327729,0.44313962906599047,0.7735637351870537,0,1.0,1.0,0.9998245614035087,4.999122807017544,112142345.03839321,1.0,0.002631578947368421,,,,False,0.0,0.0,0.0
4,82,7.665024518966675,42,True,False,all_finished,,8.199999999999987,,,,,,,,30,30,628,0.26230889558792114,0.20194149762392044,1.1735927760601046,-1.3310790061950684,3.0157179832458496,0.41290614008903503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038377881864222155,-0.038377881864222155,0.17506111462911153,0.09889971819532112,0.6740267485380159,0.0001642472413059803,0.0,8.824088973999016,,,0.6240889739990294,0.5333333333333333,0.5333333333333333,0.9315286624203821,0.4666666666666667,0.0,0.0,0.20100502512562815,0.3936348408710218,0.4053601340033501,0.20100502512562815,0.3936348408710218,0.4053601340033501,,,1.493559389644199,0.012016232578187354,0.17577507042636473,-0.004653008944458432,1.1205595996644762,0.5526396572589874,0.8949847678343456,1.493559389644199,-1.493559389644199,0.2426829268292683,597,2460,3.39663028717041,7.602586269378662,8.540366702609592,7.479331525166829,6.641688431633844,0.5479556037320031,0.5161988317966462,0,1.0,1.0,0.9960162601626016,4.9800813008130085,117999890.04708983,1.0,0.21544715447154472,,,,False,0.0,0.0,0.0
5,79,7.23069953918457,42,True,False,all_finished,,7.899999999999988,,,,,,,,30,30,628,0.22121036052703857,0.15149225294589996,1.0828220605850216,-1.963729977607727,2.078591823577881,0.39475217461586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047824441451060684,-0.047824441451060684,0.4864553356170639,0.09806943829191007,0.6687327831983565,8.640160240150528e-05,0.0,8.276286754608147,,,0.3762867546081594,0.5333333333333333,0.5333333333333333,0.9522292993630573,0.4666666666666667,0.0,0.0,0.22712418300653595,0.37745098039215685,0.3954248366013072,0.22712418300653595,0.37745098039215685,0.3954248366013072,,,1.5403757413228354,0.020126523680260612,0.1749126431842645,-0.014917955299218496,1.016931046379937,0.4904668039745755,0.8194123069445293,1.5403757413228354,-1.5403757413228354,0.2582278481012658,612,2370,2.0434277057647705,8.354816436767578,8.455076185862223,8.35446072684394,7.5646489037407765,0.7667113648520576,0.2525167293225726,0,1.0,1.0,0.9994936708860761,4.99746835443038,113912241.21737581,1.0,0.1839662447257384,,,,False,0.0,0.0,0.0
6,85,7.972637414932251,42,True,False,all_finished,,8.499999999999986,,,,,,,,30,30,615,0.2218400239944458,0.1477748304605484,1.056711173057556,-1.9395960569381714,3.1697990894317627,0.30050545930862427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044156859154794816,-0.044156859154794816,0.04066610336303675,0.08490646602622434,0.6308559924364074,9.23193496240075e-05,0.0,9.256206448872877,,,0.7562064488728915,0.5666666666666667,0.5666666666666667,0.9170731707317074,0.43333333333333335,0.0,0.0,0.22241379310344828,0.44482758620689655,0.33275862068965517,0.22241379310344828,0.44482758620689655,0.33275862068965517,,,1.4738174200057983,0.025301876578790447,0.17718532606959342,-0.002923760958947241,1.0019787205590143,0.4951179590490129,0.9809664487838745,1.4738174200057983,-1.4738174200057983,0.22745098039215686,580,2550,2.1050028800964355,7.698525428771973,9.70929200914171,7.713873619503445,8.651817883385553,1.1111868659655253,0.24285903597871464,0,1.0,1.0,0.9997647058823528,4.998823529411764,119727572.55610237,1.0,0.3941176470588232,,,,False,0.0,0.0,0.0
7,85,7.8057637214660645,42,True,False,all_finished,,8.499999999999986,,,,,,,,30,30,638,0.16298051178455353,0.13772571086883545,1.0739627838134764,-1.3227262496948242,2.0428528785705566,0.31824058294296265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04751812990973987,-0.04751812990973987,0.04803276062011683,0.09697027239145017,0.6551537841558452,8.20428555682831e-05,0.0,9.073945999145502,,,0.5739459991455167,0.4666666666666667,0.4666666666666667,0.9435736677115988,0.5333333333333333,0.0,0.0,0.20550161812297735,0.39967637540453077,0.3948220064724919,0.20550161812297735,0.39967637540453077,0.3948220064724919,,,1.408203050825331,0.026005365653610273,0.23229204308655527,-0.005596308927569124,0.9836587521764967,0.4834166467189789,0.8844942278332181,1.408203050825331,-1.408203050825331,0.24235294117647058,618,2550,0.9923770427703857,8.153572082519531,9.650888919830322,8.090075715382893,9.272429275512696,1.26386501789093,0.11452279134343067,0,1.0,1.0,0.9996862745098039,4.998431372549019,117046683.92169912,1.0,0.1768627450980392,,,,False,0.0,0.0,0.0
8,87,8.525800466537476,42,True,False,all_finished,,8.699999999999985,,,,,,,,30,30,629,-0.07499322295188904,0.000714847759809345,0.8481929957866683,-2.6371843814849854,1.0734769105911255,0.2659889757633209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056569120765189225,-0.056569120765189225,0.09506034851074227,0.08867178874882474,0.6407311499118801,0.00018582600946376917,0.0,10.183695742289222,,,1.4836957422892372,0.23333333333333334,0.23333333333333334,0.7917329093799682,0.7666666666666667,0.0,0.0,0.15660377358490565,0.5169811320754717,0.3264150943396226,0.15660377358490565,0.5169811320754717,0.3264150943396226,,,1.4407228064537048,0.025795421029033604,0.20673002406954766,-0.015079376707144548,1.0508283698558807,0.5074533632397652,0.9820382249355316,1.4407228064537048,-1.4407228064537048,0.20306513409961685,530,2610,-4.008767127990723,7.638268947601318,5.155340142250061,7.9272465324401855,7.198203496932983,1.422699112892151,0.6518967087939381,0,1.0,1.0,1.0,5.0,110410317.71497661,1.0,0.6383141762452101,,,,False,0.0,0.0,0.0
9,89,8.509609937667847,42,True,False,all_finished,,8.899999999999984,,,,,,,,30,30,625,0.11136060208082199,0.05732656270265579,1.0123486995697022,-1.3298875093460083,1.0910919904708862,0.28364643454551697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05243639606661573,-0.05243639606661573,0.05373430252075248,0.09138626019829668,0.6756545603275294,3.3076271450704945e-05,0.0,9.605103429158522,,,0.7051034291585374,0.5,0.5,0.9216,0.5,0.0,0.0,0.17398648648648649,0.44425675675675674,0.38175675675675674,0.17398648648648649,0.44425675675675674,0.38175675675675674,,,1.3877695274353028,0.03888318106997758,0.2984926615655422,-0.010728062223643064,0.8311403274536133,0.4020665671676397,0.9008282589912414,1.3877695274353028,-1.3877695274353028,0.22172284644194756,592,2670,-0.2624174952507019,7.594335556030273,7.587844867706298,8.15013074874878,7.598108186721801,2.2982320094108584,0.16926161594688893,0,1.0,1.0,1.0,5.0,120547342.1154624,1.0,0.6172284644194753,,,,False,0.0,0.0,0.0
10,81,8.120373964309692,42,True,False,all_finished,,8.099999999999987,,,,,,,,30,30,625,0.17093460261821747,0.10140282660722733,1.0668433904647827,-1.3350187540054321,2.030865430831909,0.3380793333053589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046229996151394386,-0.046229996151394386,0.03737592697143563,0.10285042826653508,0.7039696127176278,5.7938257224603474e-05,0.0,8.86260349273681,,,0.7626034927368224,0.5,0.5,0.8992,0.5,0.0,0.0,0.16666666666666666,0.42439862542955326,0.40893470790378006,0.16666666666666666,0.42439862542955326,0.40893470790378006,,,1.4167487462361654,0.029383885596568387,0.23329792204830382,-0.0016863285744976666,0.8256868958473206,0.4083236225777202,0.8431350946426391,1.4167487462361654,-1.4167487462361654,0.23950617283950618,582,2430,1.6570981740951538,7.820902347564697,8.571378877427843,8.54628684785631,7.73441866768731,2.6113501363330416,0.18810652237799433,0,1.0,1.0,0.9992592592592592,4.996296296296297,116554202.69886507,1.0,0.5522633744855961,,,,False,0.0,0.0,0.0
