episode,steps,wall_time,sim_time,reward_mean,reward_total,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_est,episode_time_seconds,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,actor_loss,critic_loss,entropy,approx_kl,clip_frac,grad_norm,active_ratio,value_clip_fraction,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,141,12.582706689834595,14.100000000000001,0.013399011455476284,1.8892605684748425,0.016049712896347046,0.025505973026156425,0.2,0.2,0.5789473684210527,2.500000000000001,2.970000000000001,4,16.1580742073059,14.099999999999966,0.0037074752011702753,0.0,0.0,0.0,16,0.8,0.4044943820224719,0.34831460674157305,0.24719101123595505,0.4044943820224719,0.34831460674157305,0.24719101123595505,0.4956058134826838,0.8581560283687943,6.0,0.49313484433305727,0.8578357696533203,0.0,0.0,1.7468106822127183e-11,0.0,0.2,0.5,0.5,88,72,22.02300289600003,0.007092198581560301,0.0,0.0,0.9368794326241134,0.06312056737588656,0.06312056737588656,0.0,0.0,0.04749976967771848,2.388409008582433,1.5703622500101726,-0.005958098142097394,0.2112786037226518,15.088031450907389,0.06312056737588652,0.21259920919934908,0,True,0.0003,0.0499295,0.0
2,100,8.230859994888306,10.0,0.0008691584807820618,0.08691580436946128,0.0171463911421597,0.024071890860795975,0.1,0.1,0.5178571428571429,3.133333333333335,3.2800000000000016,3,12.720299482345578,9.99999999999998,0.00372468107962089,0.0,0.0,0.0,18,0.9,0.4644808743169399,0.22950819672131148,0.30601092896174864,0.4644808743169399,0.22950819672131148,0.30601092896174864,0.506692620255053,0.57,3.0,0.5111543670917551,0.8934371560811997,0.0,0.0,9.10890547017873e-12,0.0,0.30864197530864196,0.5,0.5,73,85,31.71284596050468,0.01000000000000002,0.0,0.0,0.9085,0.09150000000000003,0.09150000000000003,0.0,0.0,-0.04758457466959953,1.3534718751907349,1.5396677255630493,0.044966649264097214,0.0833333358168602,5.816442489624023,0.0915,0.0416666679084301,0,True,0.0003,0.0498795,0.0
3,200,18.311206817626953,20.0,0.012675613164901733,1.535122690370485,0.02178259612992406,0.024974100291728973,0.05,0.05,0.475,5.699999999999996,5.699999999999996,1,22.43974676132202,20.000000000000014,0.019170835099447784,0.22677671088790485,0.0,0.0,19,0.95,0.40229885057471265,0.2413793103448276,0.3563218390804598,0.40229885057471265,0.2413793103448276,0.3563218390804598,0.5016440644924296,0.305,2.0,0.5027504215682637,0.8675029873847961,0.0,5.83774917512283e-14,5.278749225928747e-12,0.0,0.2926829268292683,0.5,0.5,80,70,12.817241313312374,0.0,1.0,0.0,0.9565,0.04349999999999998,0.04349999999999998,0.0,0.0,0.04477488994598389,0.9746140241622925,1.4484062194824219,0.03144630789756775,0.0,3.6395695209503174,0.0435,0.10000000149011612,0,True,0.0003,0.049779500000000004,0.0
4,200,18.210277318954468,20.0,0.010696002282202244,1.1392004097087565,0.022361908853054047,0.025050245225429535,0.0,0.0,0.45041322314049587,0.0,0.0,0,23.266630172729492,20.000000000000014,0.008346065981619305,0.0,0.0,0.0,20,1.0,0.4576271186440678,0.24858757062146894,0.2937853107344633,0.4576271186440678,0.24858757062146894,0.2937853107344633,0.5037988408412785,0.355,3.0,0.5065553767752864,0.8693627089262009,0.0,7.672280779441589e-13,8.784268451522692e-12,0.0,0.3116883116883117,0.3333333432674408,0.5,72,81,13.27452184919999,0.0,1.0,0.0,0.95575,0.04425000000000001,0.04425000000000001,0.0,0.0,-0.17821814864873886,1.8407235741615295,1.520384520292282,-0.02416288573294878,0.045138888992369175,11.50502359867096,0.04425,0.8087797611951828,0,True,0.0003,0.0496795,0.0
5,200,17.609927892684937,20.0,0.010141720995306969,1.0283441942250549,0.017710159253329038,0.022751271724700928,0.05,0.05,0.5175438596491229,4.3500000000000005,4.3950000000000005,2,22.46102933883667,20.000000000000014,0.004155716341971362,0.0,0.0,0.0,18,0.9,0.4105263157894737,0.25263157894736843,0.3368421052631579,0.4105263157894737,0.25263157894736843,0.3368421052631579,0.5022599980931264,0.28,2.0,0.5038798250525774,0.8651427596807478,0.0,1.959591375885054e-12,7.874262873686089e-12,0.0,0.2087912087912088,0.5,0.5,84,72,14.472267009069968,0.0,1.0,0.0,0.9525,0.04749999999999999,0.04749999999999999,0.0,0.0,0.013789713382720947,1.100895643234253,1.4769302010536194,0.028361810371279716,0.0839160867035389,6.560707449913025,0.0475,0.11538461595773697,0,True,0.0003,0.049579500000000006,0.0
6,186,18.008083820343018,18.6,0.01457397174090147,2.710758452206499,0.025167349725961685,0.025661088526248932,0.0,0.0,0.31223628691983124,0.0,0.0,0,22.214799880981445,18.599999999999994,0.008115795179292583,0.0,0.0,0.0,20,1.0,0.48507462686567165,0.1791044776119403,0.3358208955223881,0.48507462686567165,0.1791044776119403,0.3358208955223881,0.5067862109914523,0.13440860215053763,1.0,0.5117526559069843,0.8796648889780044,0.0,1.83363922969784e-14,3.6154060431212165e-13,0.0,0.28888888888888886,0.3666666686534882,0.5,56,65,10.360610169513517,0.0053763440860215075,0.0,0.0,0.9639784946236559,0.036021505376344076,0.036021505376344076,0.0,0.0,-0.37981387972831726,1.5668652057647705,1.620780110359192,0.034544967114925385,0.09090909361839294,5.333158493041992,0.03602150537634408,0.27272728085517883,0,True,0.0003,0.0494865,0.0
7,200,19.568569660186768,20.0,0.009701844304800034,0.9403688933128014,0.01919687744230032,0.01952330581843853,0.0,0.0,0.46875,0.0,0.0,0,23.3326358795166,20.000000000000014,0.002827411127562411,0.0,0.0,0.0,20,1.0,0.4228571428571429,0.2057142857142857,0.37142857142857144,0.4228571428571429,0.2057142857142857,0.37142857142857144,0.5021400507070357,0.245,2.0,0.50374462065973,0.8693202286958694,0.0,7.428332905387575e-13,5.826641252815179e-12,0.0,0.09210526315789473,0.5,0.5,94,74,14.766069093072163,0.0,1.0,0.0,0.95625,0.043749999999999956,0.043749999999999956,0.0,0.0,0.016576462984085084,1.2132542848587036,1.5593963384628295,-0.005972632020711899,0.08262626379728318,13.005991077423095,0.04375,0.4365656584501266,0,True,0.0003,0.0493865,0.0
8,91,8.101329803466797,9.1,0.00017095397925004363,0.01555685558526686,0.02375286351889372,0.028452040627598763,0.05,0.05,0.4476987447698745,5.4999999999999964,5.4999999999999964,1,11.622002868652341,9.099999999999984,0.013887018893873306,0.0,0.0,0.0,19,0.95,0.4339622641509434,0.16981132075471697,0.39622641509433965,0.4339622641509434,0.16981132075471697,0.39622641509433965,0.5055334477757032,0.5824175824175825,2.0,0.5105123955655322,0.8584085762500763,0.0,5.707991427132965e-15,2.3439394956220605e-12,2.867095684253705e-16,0.16,0.5,0.5,78,69,32.19797246577784,0.010989010989011009,0.0,0.0,0.9126373626373626,0.08736263736263739,0.08736263736263739,0.0,0.0,0.0448368089273572,1.15368190407753,1.3527840077877045,0.018186723231337965,0.08845238294452429,9.113395094871521,0.08736263736263736,0.6078571528196335,0,True,0.0003,0.049341,0.0
9,200,17.709629774093628,20.0,0.006266437005251646,0.25328729915974146,0.02251279754564166,0.029190080240368843,0.0,0.0,0.4297520661157025,0.0,0.0,0,22.842487335205078,20.000000000000014,0.005542267740273013,0.0,0.0,0.0,20,1.0,0.4166666666666667,0.20833333333333334,0.375,0.4166666666666667,0.20833333333333334,0.375,0.5059046721770428,0.27,2.0,0.5116233704272496,0.8791259527206421,0.0,1.443964339645307e-14,6.21931716196511e-12,0.0,0.36363636363636365,0.30833334028720866,0.5,70,70,12.539341167199991,0.0,1.0,0.00025,0.958,0.04200000000000004,0.04200000000000004,0.00025,0.00025,-0.09249323606491089,0.9692275524139404,1.3234569629033406,0.04954025956491629,0.06060606241226196,5.0059731006622314,0.042,0.4467754562695821,0,True,0.0003,0.049241,0.0
10,200,16.55080533027649,20.0,0.013387970626354218,1.6775942172496978,0.019056935049593448,0.024187397211790085,0.1,0.1,0.5630252100840336,2.8500000000000014,3.615000000000002,2,31.377729415893555,20.000000000000014,0.002155842298271705,0.0,0.0,0.0,17,0.85,0.5294117647058824,0.1711229946524064,0.2994652406417112,0.5294117647058824,0.1711229946524064,0.2994652406417112,0.5041708597550169,0.18,1.049999999999983,0.5084430359413297,0.8600266575813293,0.0,0.0,2.390908217936305e-12,0.0,0.2222222222222222,0.5,0.5,71,96,16.48866972365845,0.0,1.0,0.0,0.95325,0.04674999999999996,0.04674999999999996,0.0,0.0,0.18021385371685028,0.9923955202102661,1.2293086051940918,0.04057745262980461,0.0,3.726217746734619,0.04675,0.0,0,True,0.0003,0.049141000000000004,0.0
11,200,17.503536224365234,20.0,0.010692553594708443,1.1385107851093847,0.020978612918406726,0.02249135822057724,0.0,0.0,0.5161290322580645,0.0,0.0,0,22.829540252685547,20.000000000000014,0.0017558696613030125,0.0,0.0,0.0,20,1.0,0.5166666666666667,0.2,0.2833333333333333,0.5166666666666667,0.2,0.2833333333333333,0.5049417181431781,0.285,2.0,0.5101057630739839,0.8649650067090988,0.0,0.0,5.72199319176514e-12,0.0,0.15151515151515152,0.5,0.5,77,93,16.384204281599995,0.0,1.0,0.0,0.955,0.04500000000000004,0.04500000000000004,0.0,0.0,0.1416208729147911,1.5038666009902955,1.3482463598251342,-0.015504859201610089,0.09705128371715546,10.86218843460083,0.045,0.2523718014359474,0,True,0.0003,0.049041,0.0
12,110,9.945180177688599,11.0,0.002807267475873232,0.30879936315375955,0.01951187299564481,0.02146221324801445,0.0,0.0,0.4936708860759494,0.0,0.0,0,12.996912002563477,10.999999999999977,0.007509673241506608,0.0,0.0,0.0,20,1.0,0.5977011494252874,0.11494252873563218,0.28735632183908044,0.5977011494252874,0.11494252873563218,0.28735632183908044,0.5029415339802984,0.32727272727272727,2.0,0.5065632604022886,0.8695046007633209,0.0,2.6349437903935494e-14,8.85412728378332e-13,0.0,0.2641509433962264,0.5,0.5,56,104,27.689412485356815,0.009090909090909111,0.0,0.0,0.9209090909090909,0.0790909090909091,0.0790909090909091,0.0,0.0,-0.28587403893470764,1.6408270597457886,1.318832278251648,0.05733063817024231,0.11764705926179886,12.369820594787598,0.07909090909090909,0.1764705926179886,0,True,0.0003,0.048986,0.0
