source,metric,mean
Ours (MAPPO),steps,63.48133333333333
Ours (MAPPO),elapsed_sec,4.3994225096702575
Ours (MAPPO),seed,42.0
Ours (MAPPO),terminated,0.9586666666666667
Ours (MAPPO),truncated,0.04133333333333333
Ours (MAPPO),time_limit_rate,0.04133333333333333
Ours (MAPPO),episode_time_seconds,6.348133333333331
Ours (MAPPO),mean_cft_est,7.064355336233773
Ours (MAPPO),mean_cft_completed,3.010470501628003
Ours (MAPPO),vehicle_cft_count,20.0
Ours (MAPPO),cft_est_valid,1.0
Ours (MAPPO),deadline_gamma,3.148906170628388
Ours (MAPPO),deadline_seconds,3.5110902573620835
Ours (MAPPO),critical_path_cycles,13242316514.481375
Ours (MAPPO),r_time,-0.010766534188702928
Ours (MAPPO),r_interf,-0.0007674695263616441
Ours (MAPPO),r_risk,-0.0047507527885993295
Ours (MAPPO),r_illegal,-0.000361737310066792
Ours (MAPPO),r_pbrs,0.0
Ours (MAPPO),r_term,0.08934281605544774
Ours (MAPPO),r_step,-0.005150004489547508
Ours (MAPPO),r_total,0.08425390371526749
Ours (MAPPO),abs_ratio_r_time,0.10187845227770798
Ours (MAPPO),abs_ratio_r_energy,0.010255902080910663
Ours (MAPPO),abs_ratio_r_interf,0.006337909663048315
Ours (MAPPO),abs_ratio_r_risk,0.03972582800041707
Ours (MAPPO),abs_ratio_r_illegal,0.002689075955640052
Ours (MAPPO),abs_ratio_r_pbrs,0.0
Ours (MAPPO),abs_ratio_r_term,0.8391128320222757
Ours (MAPPO),I_total_mean,3.3380508191888553e-10
Ours (MAPPO),I_total_p50,0.0
Ours (MAPPO),I_total_p95,6.92935276057356e-10
Ours (MAPPO),I_caused_mean,1.674016319614761e-10
Ours (MAPPO),I_caused_p95,6.947388756203485e-10
Ours (MAPPO),rho_selected_mean,0.8023078356186549
Ours (MAPPO),rho_selected_p10,0.5
Ours (MAPPO),uncertainty_selected_mean,0.19417685130238532
Ours (MAPPO),uncertainty_selected_p90,0.5
Ours (MAPPO),rho_selected_p50,0.9003959705829621
Ours (MAPPO),rho_selected_p95,0.9813035879472891
Ours (MAPPO),rho_selected_lt_0p6_rate,0.24979251499129232
Ours (MAPPO),rho_selected_lt_0p7_rate,0.3091643465841291
Ours (MAPPO),risk_penalty_mean,0.026433000719795575
Ours (MAPPO),chain_tx_total,200.22
Ours (MAPPO),chain_p95_mean,0.0
Ours (MAPPO),chain_pfail_mean,0.0
Ours (MAPPO),chain_risk_cost_total,0.0
Ours (MAPPO),trust_attempts,189.20066666666668
Ours (MAPPO),trust_failures,4.828666666666667
Ours (MAPPO),trust_failure_rate,0.025839530631468544
Ours (MAPPO),trust_retry_count,4.828666666666667
Ours (MAPPO),episode_vehicle_count,20.0
Ours (MAPPO),episode_task_count,20.0
Ours (MAPPO),total_subtasks,239.65066666666667
Ours (MAPPO),reward_mean,0.08425390359433364
Ours (MAPPO),reward_p50,-0.005222372596887568
Ours (MAPPO),reward_p95,0.6536459819743639
Ours (MAPPO),reward_min,-0.144678244382143
Ours (MAPPO),reward_max,1.4158885515332222
Ours (MAPPO),reward_abs_mean,0.11258102033908164
Ours (MAPPO),dT_mean,0.04277746850483544
Ours (MAPPO),cft_prev_rem_mean,1.6066256314057445
Ours (MAPPO),cft_curr_rem_mean,1.5638481629009087
Ours (MAPPO),dCFT_abs_mean,-0.05722253149516525
Ours (MAPPO),dCFT_abs_p95,0.2027629911422729
Ours (MAPPO),dCFT_rem_mean,0.04277746850483544
Ours (MAPPO),dCFT_rem_p95,0.3027629911422729
Ours (MAPPO),dt_used_mean,0.09999999999999869
Ours (MAPPO),implied_dt_mean,0.09999999999999869
Ours (MAPPO),dT_eff_mean,-0.057222531495165235
Ours (MAPPO),dT_eff_p95,0.20276299114227284
Ours (MAPPO),energy_norm_mean,0.033024308527263325
Ours (MAPPO),energy_norm_p95,0.2940498069126112
Ours (MAPPO),t_tx_mean,0.009524620839798022
Ours (MAPPO),reward_step_p95,0.06820373034037701
Ours (MAPPO),mean_cft,7.064355336233773
Ours (MAPPO),delta_cft_rem_mean,0.04277746850483544
Ours (MAPPO),delta_cft_rem_p95,0.3027629911422729
