episode,steps,wall_time,sim_time,reward_mean,reward_total,episode_reward,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_est,episode_time_seconds,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,illegal_action_ratio,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,actor_loss,critic_loss,critic_loss_raw_mean,normalized_value_loss,entropy,approx_kl,clip_frac,grad_norm,active_ratio,actor_update_active_frac,value_clip_fraction,critic_loss_active,critic_loss_inactive,ppo_epochs_executed,num_minibatches_executed,mb_kl_max,mb_kl_p95,early_stop_epoch_idx,early_stop_batch_idx,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,200,8.109941720962524,20.0,-0.03467240557074547,-7.934481293781201,-7.934481293781201,0.0008216276008170059,0.040009550750255585,0.0,0.08633093525179857,0.45161290322580644,0.8136363636363643,1.0949999999999962,22,20.447998046875,20.000000000000014,0.0022085048440427663,0.004087957376325198,0.0008491055238753218,0.055051996430382256,127,0.9136690647482014,0.36153846153846153,0.44529914529914527,0.19316239316239317,0.36153846153846153,0.44529914529914527,0.19316239316239317,0.4974678810744081,0.0,0.0,0.49613785483227163,0.8566685080528259,0.0,0.0,0.0,0.0,0.01443001443001443,0.8799999952316284,0.10000000149011612,34,12,3.0522892396879167,0.045,1.0,0.0,0.0,0.26875,0.73125,0.73125,0.0,0.0,0.000911530169347922,5.073929611841837,5.073929611841837,5.073929818471273,1.5995277166366577,0.026710226006495457,0.1188420370221138,3.3937151710192364,0.73125,0.7303385416666667,0.9151323060194652,5.123127047220866,4.4025545438130695,5,30,0.06021628901362419,0.05291590094566341,-1,-1,0,False,0.0002,0.0,0.0999
2,200,7.911107063293457,20.0,-0.03488454222679138,-7.976908002739572,-7.976908002739572,0.0005708712822524827,0.037584081292152405,0.0,0.09558823529411764,0.3614457831325301,0.8136363636363633,0.9999999999999986,22,21.404800415039062,20.000000000000014,0.0028683518063255605,0.006472876624438481,0.0009820923832998111,0.3294248314201832,123,0.9044117647058824,0.37065637065637064,0.3754826254826255,0.25386100386100385,0.37065637065637064,0.3754826254826255,0.25386100386100385,0.4969022268411936,0.0,0.0,0.4951312013221118,0.8518315106630325,0.0,0.0,0.0,0.0,0.017361111111111112,0.8571428656578064,0.1111111119389534,22,19,2.4001312664164076,0.12000000000000015,1.0,0.0,0.0,0.3525,0.6475,0.6475,0.0,0.0,0.001449000808255126,2.7248092254002887,2.7248092254002887,2.724809265136719,1.6407903512318929,0.011839076389636223,0.11058811265975237,2.171298931042353,0.6475,0.64921875,0.8614236394564311,2.697195879618327,2.971566406885783,5,30,0.03941318392753601,0.033920747134834506,-1,-1,0,False,0.0002,0.0,0.0998
3,200,7.850952625274658,20.0,-0.031330037862062454,-7.266007377291031,-7.266007377291031,0.001904921984532842,0.03477251157164574,0.0,0.09649122807017543,0.38144329896907214,0.7812499999999991,0.9249999999999993,16,21.14200210571289,20.000000000000014,0.003104503720741132,0.0016719865559343204,0.0008353659210320374,-0.11970436648651955,103,0.9035087719298246,0.3530701754385965,0.3991228070175439,0.24780701754385964,0.3530701754385965,0.3991228070175439,0.24780701754385964,0.5025519012540463,0.01,0.0,0.5040627283646507,0.8704939246177673,0.0,0.0,7.884658715485552e-19,0.0,0.015065913370998116,0.8496154069900513,0.125,37,11,2.2830238155061187,0.014999999999999994,1.0,0.0,0.0,0.43,0.5700000000000001,0.5700000000000001,0.0,0.0,-0.004135193768888712,2.553437932332357,2.553437932332357,2.5534380118052167,1.6182353893915813,0.011648271690743665,0.10087431290497383,2.008695094784101,0.57,0.571875,0.8600668247168263,2.7108197609583535,1.4917649189631144,5,30,0.03810423985123634,0.03586505800485611,-1,-1,0,False,0.0002,0.0,0.09970000000000001
4,200,7.448929071426392,20.0,-0.020526589825749397,-5.105318164632026,-5.105318164632026,0.0017272940254770038,0.02627292461693287,0.0,0.11320754716981132,0.4117647058823529,0.9636363636363661,1.3950000000000005,22,21.30640411376953,20.000000000000014,0.0027729162954153535,0.0,0.0009284700907498492,-0.13060019769892073,94,0.8867924528301887,0.37175141242937854,0.37401129943502825,0.2542372881355932,0.37175141242937854,0.37401129943502825,0.2542372881355932,0.4919007663230877,0.0,0.0,0.48669530402149935,0.8566493660211563,0.0,0.0,1.0620656819202432e-18,0.0,0.019267822736030827,0.8544973731040955,0.125,25,13,2.501268204474795,0.05499999999999999,1.0,0.0,0.0,0.446875,0.553125,0.553125,0.0,0.0,-0.005245322446959714,1.7617306311925252,1.7617306311925252,1.7617305994033814,1.3112985094388325,0.012026948786418265,0.0888617937763532,2.14424138267835,0.553125,0.553125,0.784600076948603,1.7687328775723776,1.7237139821052552,5,30,0.03957677632570267,0.030579421296715703,-1,-1,0,False,0.0002,0.0,0.09960000000000001
5,200,8.236037969589233,20.0,-0.03672337904572487,-8.344676096527097,-8.344676096527097,0.00021140837925486244,0.037696145474910736,0.0,0.016666666666666666,0.21951219512195122,0.7333333333333326,0.8799999999999997,3,20.770755767822266,20.000000000000014,0.003146998480450225,0.003286858576148103,0.0009572182223382625,-0.14727721505612137,118,0.9833333333333333,0.3870192307692308,0.34134615384615385,0.27163461538461536,0.3870192307692308,0.34134615384615385,0.27163461538461536,0.4901143605040852,0.0,0.0,0.4842145477111141,0.8626549422740936,0.0,0.0,0.0,0.0,0.028846153846153848,0.800000011920929,0.1428571492433548,15,12,2.1685912521913155,0.02499999999999999,1.0,0.0,0.0,0.48,0.52,0.52,0.0,0.0,-0.008094985224306583,2.670496169726054,2.670496169726054,2.6704962412516275,1.7197791457176208,0.01381256768363528,0.13628146561483542,2.25220205783844,0.52,0.5192708333333333,0.8641376554500312,2.6733943859736127,2.6668130278587343,5,30,0.0640874058008194,0.03379101380705831,-1,-1,0,False,0.0002,0.0,0.0995
6,200,7.762371063232422,20.0,-0.018652241677045822,-4.7304482953448215,-4.7304482953448215,0.04211371950805186,0.03019450232386589,0.0,0.18604651162790697,0.5102040816326531,0.9675675675675681,1.2200000000000135,37,20.726856231689453,20.000000000000014,0.0035043738308736445,0.005633284700558995,104718144531.25116,-0.07958235224336357,105,0.813953488372093,0.38065194532071506,0.3890641430073607,0.2302839116719243,0.38065194532071506,0.3890641430073607,0.2302839116719243,0.4953018306742888,0.0,0.0,0.4926375407236651,0.8646451234817505,0.0,0.0,0.0,0.0,0.0074487895716946,0.8571428656578064,0.125,35,21,2.4249842657504415,0.1800000000000004,1.0,0.0,0.0,0.405625,0.594375,0.594375,0.0,0.0,0.00038499074677626294,1.4334702968597413,1.4334702968597413,1.433470336596171,1.404137170314789,0.009633167007511172,0.06722664684057236,3.779803866147995,0.594375,0.5962239583333333,0.5953398449656864,1.344218953450521,2.1054019411404927,5,30,0.024826107546687126,0.02289795931428671,-1,-1,0,False,0.0002,0.0,0.0994
7,200,7.597316741943359,20.0,-0.018988849595189095,-4.797770099393402,-4.797770099393402,0.011539230402559025,0.02693963050842285,0.0,0.1937984496124031,0.46987951807228917,1.0512820512820527,1.5,39,20.533749103546143,20.000000000000014,0.0016523298396482961,0.006051764394350601,0.0005420182408056798,-0.056535927206277446,104,0.8062015503875969,0.4385499557913351,0.39699381078691426,0.16445623342175067,0.4385499557913351,0.39699381078691426,0.16445623342175067,0.4949089557709522,0.0,0.0,0.4913343928016207,0.864892241358757,0.0,0.0,0.0,0.0,0.011666666666666667,0.8571428656578064,0.10666666775941874,25,17,3.1490712092327806,0.02499999999999999,1.0,0.0,0.0,0.293125,0.7068749999999999,0.7068749999999999,0.0,0.0,-0.0006131169153377414,1.4334163904190063,1.4334163904190063,1.4334163943926492,1.276219133536021,0.006651507083135281,0.07168350766102473,3.3252732137839,0.706875,0.708203125,0.5107722780046363,1.4049725969632467,1.7742509285608927,5,30,0.03404388576745987,0.023657884914427992,-1,-1,0,False,0.0002,0.0,0.0993
8,200,7.713082790374756,20.0,-0.03945103660225868,-8.890207137783817,-8.890207137783817,0.0006522565294289959,0.044413816183805466,0.0,0.06040268456375839,0.3695652173913043,0.7869565217391318,0.9000000000000128,23,20.913227081298828,20.000000000000014,0.002857667607189517,0.00739429120302964,122884316406.25089,-0.07580938220769148,140,0.9395973154362416,0.40716612377850164,0.44869706840390877,0.14413680781758959,0.40716612377850164,0.44869706840390877,0.14413680781758959,0.4974474596377695,0.0,0.0,0.49571900987466583,0.8415233820676802,0.0,0.0,0.0,0.0,0.007342143906020558,0.8571428656578064,0.1111111119389534,22,17,3.0980101261419426,0.004999999999999997,1.0,0.0,0.0,0.2325,0.7675,0.7675,0.0,0.0,-0.0027950088571136195,3.532715328534444,3.532715328534444,3.53271533648173,1.5603057861328125,0.016076850099489094,0.10097356929133336,4.340449557701747,0.7675,0.7677083333333333,0.8385389362772305,3.53650594552358,3.4597675800323486,5,30,0.04393831267952919,0.03237631730735302,-1,-1,0,False,0.0002,0.0,0.09920000000000001
9,200,7.616410970687866,20.0,-0.021106304600834846,-5.221260835990459,-5.221260835990459,0.009386614616960278,0.028209757059812546,0.0,0.1452991452991453,0.4342105263157895,0.9727272727272731,1.2949999999999955,22,20.467166900634766,20.000000000000014,0.0013240754853512465,0.0034223329934538484,0.0005153865931152757,-0.09447094327956425,100,0.8547008547008547,0.3851276359600444,0.4672586015538291,0.14761376248612654,0.3851276359600444,0.4672586015538291,0.14761376248612654,0.49095631807344037,0.0,0.0,0.4857439496724183,0.8481127023696899,0.0,0.0,0.0,0.0,0.005859375,0.8571428656578064,0.125,24,14,2.5983030288468996,0.1600000000000003,1.0,0.0,0.0,0.436875,0.563125,0.563125,0.0,0.0,-0.0048157784030384695,1.8081607381502787,1.8081607381502787,1.8081607540448508,1.3397217512130737,0.007895187113899738,0.07669111825525761,3.4257954080899555,0.563125,0.5641927083333333,0.7214726139480869,1.8400309642155965,1.6127269983291626,5,30,0.05363127589225769,0.027267987467348574,-1,-1,0,False,0.0002,0.0,0.09910000000000001
10,200,8.077443361282349,20.0,-0.03969382122159004,-8.938765083388054,-8.938765083388054,-0.00014893471379764402,0.04007463529706001,0.0,0.04477611940298507,0.3614457831325301,0.8461538461538466,0.9000000000000128,13,20.634368896484375,20.000000000000014,0.003070529278592601,0.007298802011637599,144890761718.75113,0.05419906233809895,128,0.9552238805970149,0.3623481781376518,0.49291497975708504,0.14473684210526316,0.3623481781376518,0.49291497975708504,0.14473684210526316,0.4875217623804929,0.0,0.0,0.4808579288674867,0.8576595962047576,0.0,0.0,0.0,0.0,0.0017761989342806395,0.8816176533699036,0.1111111119389534,18,21,2.530242762507884,0.019999999999999993,1.0,0.0,0.0,0.3825,0.6174999999999999,0.6174999999999999,0.0,0.0,0.002119608223438263,3.801190400123596,3.801190400123596,3.8011905034383138,1.5003267288208009,0.011354334653030188,0.06984588578343391,3.5250950107971826,0.6175,0.616015625,0.8809154501184822,3.9511742115020754,2.605248808860779,5,30,0.029079539701342583,0.02424176102504134,-1,-1,0,False,0.0002,0.0,0.099
