episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,r_time,r_interf,r_risk,r_illegal,r_pbrs,r_term,r_step,r_total,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_risk,abs_ratio_r_illegal,abs_ratio_r_pbrs,abs_ratio_r_term,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,uncertainty_selected_mean,uncertainty_selected_p90,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,risk_penalty_mean,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,top_illegal_reason,top_illegal_reason_count,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,actor_update_active_frac,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,8.109941720962524,42,False,True,time_limit,1.0,20.000000000000014,20.447998046875,0.8136363636363643,8,True,0.18591998726676942,0.9817500000000001,682080225.0532597,-0.03768905352544951,0.0,-0.0016701135568567493,0.0,0.0,-0.3169198550632407,-0.029804209625819103,-0.03467240646890601,0.08807601145062188,7.575532518420141e-05,0.0,0.003902908855438006,0.0,0.0,0.907945324368756,0.0,0.0,0.0,0.0,0.0,0.950156033039093,0.8799999952316284,0.0410764217376709,0.10000000149011612,0.9743589758872986,0.9921875,0.0,0.00535475234270415,0.0035772176925092936,747,0.0,0.0,0.0,693,10,0.01443001443001443,10,8,8,93,-0.03467240557074547,-0.006300623994320631,0.0008216276008170059,-0.19143591821193695,0.15987086296081543,0.040009550750255585,0.15505199643037917,0.8767695557791905,0.7217175593488061,0.05505199643038227,0.6090354919433594,0.15505199643037917,0.709035491943359,0.099999999999997,0.099999999999997,0.055051996430382256,0.609035491943359,0.0022085048440427663,0.004087957376325198,0.0008491055238753218,0.061873638344226586,20.447998046875,0.15505199643037917,0.709035491943359,0.4479980468749858,0.0,0.08633093525179857,0.45161290322580644,0.9136690647482014,0.0,,0,0.26875,0.73125,0.73125,0.0,0.0,0.36153846153846153,0.44529914529914527,0.19316239316239317,0.36153846153846153,0.44529914529914527,0.19316239316239317,0.49613785483227163,0.8566685080528259,1.5995277166366577,0.026710226006495457,0.1188420370221138,0.000911530169347922,5.073929611841837,2.5138835310935974,3.3937151710192364,1.5995277166366577,-1.5995277166366577,0.73125,0.7303385416666667,1170,1600,-0.7067074775695801,0.34091871976852417,-0.6806727747122446,0.32609931627909344,-0.19522801842540502,0.09834684133529663,0.9151323060194652,0,1.0,1.0,0.21107142857142883,1.4775,11246871.969144313,0.854375,0.0,0.1101934973379697,0.005473169071327348,0.115666666409297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.241684607057715e-05,0.0,0.4974678810744081,0.0,0.0,True,-1.0,0.7217175593488061,0.0
2,200,7.911107063293457,42,False,True,time_limit,1.0,20.000000000000014,21.404800415039062,0.8136363636363633,8,True,0.1947795506685508,0.8925000000000001,637796262.2292471,-0.03875010831352638,0.0,-0.0026762344820737394,0.0,0.0,-0.3135594831366928,-0.035285917000285785,-0.034884540013697826,0.09134558555722651,0.00011005257198487408,0.0,0.006308684452583398,0.0,0.0,0.9022356774182052,0.0,0.0,0.0,0.0,0.0,0.939437747001648,0.8571428656578064,0.048103298991918564,0.1111111119389534,0.95652174949646,0.9902388840913773,0.0,0.0,0.006567446514964104,652,0.0,0.0,0.0,576,10,0.017361111111111112,10,8,8,83,-0.03488454222679138,-0.006444483296945691,0.0005708712822524827,-0.2854067087173462,0.09804675728082657,0.037584081292152405,0.4294248314201978,2.0650875945240252,1.635662763103846,0.32942483142018325,0.6228561401367188,0.4294248314201978,0.7228561401367184,0.099999999999997,0.099999999999997,0.3294248314201832,0.6228561401367184,0.0028683518063255605,0.006472876624438481,0.0009820923832998111,0.061873638344226586,21.404800415039062,0.4294248314201978,0.7228561401367184,1.4048004150390483,0.0,0.09558823529411764,0.3614457831325301,0.9044117647058824,0.0,,0,0.3525,0.6475,0.6475,0.0,0.0,0.37065637065637064,0.3754826254826255,0.25386100386100385,0.37065637065637064,0.3754826254826255,0.25386100386100385,0.4951312013221118,0.8518315106630325,1.6407903512318929,0.011839076389636223,0.11058811265975237,0.001449000808255126,2.7248092254002887,1.3392417867978414,2.171298931042353,1.6407903512318929,-1.6407903512318929,0.6475,0.64921875,1036,1600,-0.639959990978241,0.4257572889328003,-0.8558903455734252,0.4321008602778117,-0.3641056388616562,0.10648079067468644,0.8614236394564311,0,1.0,1.0,0.28482142857142767,1.99375,22219563.810140323,0.875,0.0,0.19117462393015205,0.005513570063110823,0.19668819399326293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6685880424121416e-05,0.0,0.4969022268411936,0.0,0.0,True,-1.0,1.635662763103846,0.0
3,200,7.850952625274658,42,False,True,time_limit,1.0,20.000000000000014,21.14200210571289,0.7812499999999991,8,True,0.1860578491798641,0.9307500000000001,622167140.0438657,-0.038603211960287875,-5.112975435821573e-15,-0.0024517804378780244,0.0,0.0,-0.27726273590244044,-0.03603763296211115,-0.031330036886455206,0.1084571349725875,0.0001695272988769664,1.4365091369207644e-14,0.006888366754238954,0.0,0.0,0.8844849709742822,7.51436345606037e-18,0.0,0.0,7.884658715485552e-19,0.0,0.9375341534614563,0.8496154069900513,0.052121371030807495,0.125,0.9615384340286255,0.9895833134651184,0.0,0.001694915254237288,0.006648896262049675,590,0.0,0.0,0.0,531,8,0.015065913370998116,8,8,8,97,-0.031330037862062454,-0.0074930922128260136,0.001904921984532842,-0.17017261683940887,0.09996898472309113,0.03477251157164574,-0.019704366486519378,1.654468453355151,1.674172819841671,-0.11970436648651955,1.5394892692565918,-0.019704366486519378,1.6394892692565914,0.099999999999997,0.099999999999997,-0.11970436648651955,1.5394892692565914,0.003104503720741132,0.0016719865559343204,0.0008353659210320374,0.06568627450980394,21.14200210571289,-0.019704366486519378,1.6394892692565914,1.1420021057128764,0.0,0.09649122807017543,0.38144329896907214,0.9035087719298246,0.0,,0,0.43,0.5700000000000001,0.5700000000000001,0.0,0.0,0.3530701754385965,0.3991228070175439,0.24780701754385964,0.3530701754385965,0.3991228070175439,0.24780701754385964,0.5040627283646507,0.8704939246177673,1.6182353893915813,0.011648271690743665,0.10087431290497383,-0.004135193768888712,2.553437932332357,1.2483102798461914,2.008695094784101,1.6182353893915813,-1.6182353893915813,0.57,0.571875,912,1600,-0.7535689473152161,0.37571826577186584,-0.9357477585474651,0.46679086486498517,-0.5418800622224808,0.12128082066774368,0.8600668247168263,0,1.0,1.0,0.2476785714285715,1.73375,11348683.826574856,0.99625,0.0,0.23900103057739258,0.005440475195701866,0.24444150577309443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.033995138500271e-05,0.0,0.5025519012540463,0.01,0.0,True,-1.0,1.674172819841671,0.0
4,200,7.448929071426392,42,False,True,time_limit,1.0,20.000000000000014,21.30640411376953,0.9636363636363661,8,True,0.1768627354063647,1.1475,845541684.5689183,-0.03180281974629365,-7.993306142078062e-15,-0.0023425827958989316,0.0,0.0,-0.18155205701161883,-0.02371385121998252,-0.020526590823160135,0.1135167263466943,0.0001998524563101461,2.853124198338963e-14,0.00836159599393774,0.0,0.0,0.8779218252030293,7.91694646992564e-18,0.0,0.0,1.0620656819202432e-18,0.0,0.9352174401283264,0.8544973731040955,0.053219906985759735,0.125,0.9545454382896423,0.9870546013116837,0.0,0.0,0.006741245277225971,556,0.0,0.0,0.0,519,10,0.019267822736030827,10,8,8,85,-0.020526589825749397,-0.004459321033209562,0.0017272940254770038,-0.1457178294658661,0.16189493238925934,0.02627292461693287,-0.03060019769891955,0.8903236734643738,0.9209238711632938,-0.13060019769892073,0.5955371856689453,-0.03060019769891955,0.695537185668945,0.099999999999997,0.099999999999997,-0.13060019769892073,0.595537185668945,0.0027729162954153535,0.0,0.0009284700907498492,0.07140522875816994,21.30640411376953,-0.03060019769891955,0.695537185668945,1.306404113769517,0.0,0.11320754716981132,0.4117647058823529,0.8867924528301887,0.0,,0,0.446875,0.553125,0.553125,0.0,0.0,0.37175141242937854,0.37401129943502825,0.2542372881355932,0.37175141242937854,0.37401129943502825,0.2542372881355932,0.48669530402149935,0.8566493660211563,1.3112985094388325,0.012026948786418265,0.0888617937763532,-0.005245322446959714,1.7617306311925252,0.8559504985809326,2.14424138267835,1.3112985094388325,-1.3112985094388325,0.553125,0.553125,885,1600,-0.398968905210495,0.38744115829467773,-0.8965171754360199,0.3853099703788757,-0.6098571519056956,0.1019457682967186,0.784600076948603,0,1.0,1.0,0.19982142857142904,1.39875,11618841.104252463,0.97875,0.0,0.1716058767423342,0.005460556834777209,0.1770664335771115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.599061784493304e-05,0.0,0.4919007663230877,0.0,0.0,True,-1.0,0.9209238711632938,0.0
5,200,8.236037969589233,42,False,True,time_limit,1.0,20.000000000000014,20.770755767822266,0.7333333333333326,8,True,0.18944218759858733,0.918,643262908.2162185,-0.0379965633665071,0.0,-0.0023781573429077292,0.0,0.0,-0.3296743255382954,-0.03755947928805961,-0.03672338048263549,0.09768441943900989,0.00015365090183561676,0.0,0.0061139455464894405,0.0,0.0,0.8960479841126651,0.0,0.0,0.0,0.0,0.0,0.916309654712677,0.800000011920929,0.05892172455787659,0.1428571492433548,0.9523809552192688,0.9878048896789551,0.0,0.00784313725490196,0.007460885681211948,510,0.0,0.0,0.0,416,12,0.028846153846153848,12,8,8,82,-0.03672337904572487,-0.006843953626230359,0.00021140837925486244,-0.26062971353530884,0.04727606847882271,0.037696145474910736,-0.04727721505612312,1.4113647081330587,1.4586419231891798,-0.14727721505612137,0.8394327163696289,-0.04727721505612312,0.939432716369629,0.099999999999997,0.099999999999997,-0.14727721505612137,0.839432716369629,0.003146998480450225,0.003286858576148103,0.0009572182223382625,0.06568627450980394,20.770755767822266,-0.04727721505612312,0.939432716369629,0.7707557678222514,0.0,0.016666666666666666,0.21951219512195122,0.9833333333333333,0.0,,0,0.48,0.52,0.52,0.0,0.0,0.3870192307692308,0.34134615384615385,0.27163461538461536,0.3870192307692308,0.34134615384615385,0.27163461538461536,0.4842145477111141,0.8626549422740936,1.7197791457176208,0.01381256768363528,0.13628146561483542,-0.008094985224306583,2.670496169726054,1.301356452703476,2.25220205783844,1.7197791457176208,-1.7197791457176208,0.52,0.5192708333333333,832,1600,-0.7201481461524963,0.36341309547424316,-1.2983694712320963,0.450581427415212,-0.8020443737506866,0.11257622515161832,0.8641376554500312,0,1.0,1.0,0.37142857142857044,2.6,14081208.270823903,1.0,0.0,0.17929301458925742,0.005435642116015621,0.1847286567052728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.976599197135125e-05,0.0,0.4901143605040852,0.0,0.0,True,-1.0,1.4586419231891798,0.0
6,200,7.762371063232422,42,False,True,time_limit,1.0,20.000000000000014,20.726856231689453,0.9675675675675681,8,True,0.17495235097419715,1.26225,1047908414.7916789,-0.03175900722201262,0.0,-0.0021178253834737443,0.0,0.0,-0.16675511137827356,-0.019767303388967396,-0.018652241476724077,0.09187684905358047,0.0002168664901784837,0.0,0.006126738210645098,0.0,0.0,0.901779546245596,0.0,0.0,0.0,0.0,0.0,0.9422619938850403,0.8571428656578064,0.04954436048865318,0.125,0.9615384340286255,0.9913493275642395,0.0,0.0,0.005753005854785442,589,0.0,0.0,0.0,537,4,0.0074487895716946,4,8,8,98,-0.018652241677045822,-0.003806649358011782,0.04211371950805186,-0.16956454515457153,0.14620725810527802,0.03019450232386589,0.020417647756636886,0.9565178238414372,0.9361001760848011,-0.07958235224336355,0.46222758293151855,0.020417647756636886,0.5622275829315186,0.099999999999997,0.099999999999997,-0.07958235224336357,0.46222758293151867,0.0035043738308736445,0.005633284700558995,104718144531.25116,0.07060629669043726,20.726856231689453,0.020417647756636886,0.5622275829315186,0.7268562316894389,0.0,0.18604651162790697,0.5102040816326531,0.813953488372093,0.0,,0,0.405625,0.594375,0.594375,0.0,0.0,0.38065194532071506,0.3890641430073607,0.2302839116719243,0.38065194532071506,0.3890641430073607,0.2302839116719243,0.4926375407236651,0.8646451234817505,1.404137170314789,0.009633167007511172,0.06722664684057236,0.00038499074677626294,1.4334702968597413,0.6960581064224243,3.779803866147995,1.404137170314789,-1.404137170314789,0.594375,0.5962239583333333,951,1600,-0.20422768592834473,0.4367467164993286,-1.1426051219304403,0.4020020445187887,-0.9071324129899343,0.10108989576498667,0.5953398449656864,0,1.0,1.0,0.3307142857142852,2.315,11594593.606491696,1.0,0.0,0.08722828478024398,0.005461744744538746,0.09269002952478272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.4964090505263e-05,0.0,0.4953018306742888,0.0,0.0,True,-1.0,0.9361001760848011,0.0
7,200,7.597316741943359,42,False,True,time_limit,1.0,20.000000000000014,20.533749103546143,1.0512820512820527,8,True,0.17098751266579187,1.16025,863029364.9918149,-0.03149787401970269,0.0,-0.002290918212064152,0.0,0.0,-0.1780157223631499,-0.011872782606520235,-0.018988850496966986,0.09605027257074422,6.23945477736412e-05,0.0,0.006985973674553442,0.0,0.0,0.8969013592069287,0.0,0.0,0.0,0.0,0.0,0.9452500939369202,0.8571428656578064,0.04428426921367645,0.10666666775941874,0.9722222089767456,0.9929577708244324,0.0,0.0,0.005772392265498638,635,0.0,0.0,0.0,600,7,0.011666666666666667,7,8,8,83,-0.018988849595189095,-0.002669735229574144,0.011539230402559025,-0.16345494985580444,0.13048237562179565,0.02693963050842285,0.04346407279372299,0.8104282431528117,0.7669641703590888,-0.05653592720627747,0.13422012329101562,0.04346407279372299,0.23422012329101527,0.099999999999997,0.099999999999997,-0.056535927206277446,0.13422012329101526,0.0016523298396482961,0.006051764394350601,0.0005420182408056798,0.06880570409982176,20.533749103546143,0.04346407279372299,0.23422012329101527,0.5337491035461284,0.0,0.1937984496124031,0.46987951807228917,0.8062015503875969,0.0,,0,0.293125,0.7068749999999999,0.7068749999999999,0.0,0.0,0.4385499557913351,0.39699381078691426,0.16445623342175067,0.4385499557913351,0.39699381078691426,0.16445623342175067,0.4913343928016207,0.864892241358757,1.276219133536021,0.006651507083135281,0.07168350766102473,-0.0006131169153377414,1.4334163904190063,0.6969518005847931,3.3252732137839,1.276219133536021,-1.276219133536021,0.706875,0.708203125,1131,1600,-0.25690340995788574,0.4441080093383789,-1.225337068239848,0.4119178533554077,-0.9789788444836934,0.08485534812013308,0.5107722780046363,0,1.0,1.0,0.22285714285714314,1.56,18401581.938886236,0.835,0.0,0.10847338295986711,0.005490856663483756,0.1139642396233509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0461114296609266e-05,0.0,0.4949089557709522,0.0,0.0,True,-1.0,0.7669641703590888,0.0
8,200,7.713082790374756,42,False,True,time_limit,1.0,20.000000000000014,20.913227081298828,0.7869565217391318,8,True,0.18734650481326098,0.9435,678671631.0754731,-0.03879170070805989,0.0,-0.0022894176521582824,0.0,0.0,-0.3706603853662711,-0.023849971522919698,-0.03945103568891915,0.0810479429329229,0.0001088635702158375,0.0,0.004783306424696093,0.0,0.0,0.9140598870721652,0.0,0.0,0.0,0.0,0.0,0.9508776068687439,0.8571428656578064,0.04181242361664772,0.1111111119389534,0.9800000190734863,0.9937499761581421,0.0,0.0013736263736263737,0.005031687207520008,728,0.0,0.0,0.0,681,5,0.007342143906020558,5,8,8,92,-0.03945103660225868,-0.005732114426791668,0.0006522565294289959,-0.2780688405036926,0.16469646990299225,0.044413816183805466,0.024190617792309,0.6828117006458487,0.6586210828535403,-0.07580938220769148,0.22125005722045898,0.024190617792309,0.32125005722045863,0.099999999999997,0.099999999999997,-0.07580938220769148,0.22125005722045862,0.002857667607189517,0.00739429120302964,122884316406.25089,0.06119893636185809,20.913227081298828,0.024190617792309,0.32125005722045863,0.9132270812988139,0.0,0.06040268456375839,0.3695652173913043,0.9395973154362416,0.0,,0,0.2325,0.7675,0.7675,0.0,0.0,0.40716612377850164,0.44869706840390877,0.14413680781758959,0.40716612377850164,0.44869706840390877,0.14413680781758959,0.49571900987466583,0.8415233820676802,1.5603057861328125,0.016076850099489094,0.10097356929133336,-0.0027950088571136195,3.532715328534444,1.7401580611864726,4.340449557701747,1.5603057861328125,-1.5603057861328125,0.7675,0.7677083333333333,1228,1600,-0.6752703785896301,0.3962981104850769,-1.6666056791941324,0.38809607227643333,-1.1406976977984111,0.11220748101671536,0.8385389362772305,0,1.0,1.0,0.24053571428571438,1.68375,17582584.838641196,0.8425,0.0,0.2968078525305643,0.005636122742167077,0.30244397527273126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.210499959658054e-05,0.0,0.4974474596377695,0.0,0.0,True,-1.0,0.6586210828535403,0.0
9,200,7.616410970687866,42,False,True,time_limit,1.0,20.000000000000014,20.467166900634766,0.9727272727272731,8,True,0.18315989760723073,1.02,744198261.5814576,-0.03277196336479388,0.0,-0.0020106801006359223,0.0,0.0,-0.19092763853793546,-0.02013540326158743,-0.0211063041799523,0.1048519236920897,5.508477272726993e-05,0.0,0.006433049925460484,0.0,0.0,0.8886599416097226,0.0,0.0,0.0,0.0,0.0,0.9471886157989502,0.8571428656578064,0.0482332743704319,0.125,0.9729729890823364,0.9905660152435303,0.0,0.0018050541516245488,0.005807018373161554,554,0.0,0.0,0.0,512,3,0.005859375,3,8,8,76,-0.021106304600834846,-0.0033064379822462797,0.009386614616960278,-0.18618936836719513,0.28230082988739014,0.028209757059812546,0.005529056720436239,0.8397951455116416,0.8342660887912058,-0.09447094327956423,0.7102680206298828,0.005529056720436239,0.8102680206298829,0.099999999999997,0.099999999999997,-0.09447094327956425,0.7102680206298829,0.0013240754853512465,0.0034223329934538484,0.0005153865931152757,0.061873638344226586,20.467166900634766,0.005529056720436239,0.8102680206298829,0.4671669006347514,0.0,0.1452991452991453,0.4342105263157895,0.8547008547008547,0.0,,0,0.436875,0.563125,0.563125,0.0,0.0,0.3851276359600444,0.4672586015538291,0.14761376248612654,0.3851276359600444,0.4672586015538291,0.14761376248612654,0.4857439496724183,0.8481127023696899,1.3397217512130737,0.007895187113899738,0.07669111825525761,-0.0048157784030384695,1.8081607381502787,0.8791687726974488,3.4257954080899555,1.3397217512130737,-1.3397217512130737,0.563125,0.5641927083333333,901,1600,-0.37513017654418945,0.4150811433792114,-1.4972761631011964,0.38517264525095624,-1.2243236343065897,0.08595986937483152,0.7214726139480869,0,1.0,1.0,0.28910714285714295,2.02375,17241659.255521107,0.875,0.0,0.10488414593568972,0.005547692534523552,0.1104318384702132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.721700556565257e-05,0.0,0.49095631807344037,0.0,0.0,True,-1.0,0.8342660887912058,0.0
10,200,8.077443361282349,42,False,True,time_limit,1.0,20.000000000000014,20.634368896484375,0.8461538461538466,8,True,0.18413515154048354,0.9435,642823590.9356556,-0.03870976152455831,0.0,-0.0022076863053523575,0.0,0.0,-0.3680564397476192,-0.02888181442178315,-0.039693825416940345,0.09296490457279297,0.0001544214718362443,0.0,0.005301953270198702,0.0,0.0,0.9015787206851721,0.0,0.0,0.0,0.0,0.0,0.9542714953422546,0.8816176533699036,0.043758574873209,0.1111111119389534,0.9780193269252777,0.9950000047683716,0.0,0.0,0.005606822203844786,630,0.0,0.0,0.0,563,1,0.0017761989342806395,1,8,8,83,-0.03969382122159004,-0.02642475813627243,-0.00014893471379764402,-0.2196521908044815,0.012125162407755852,0.04007463529706001,0.1541990623380945,1.166396066254018,1.0121970039159225,0.05419906233809902,0.2397022247314453,0.1541990623380945,0.33970222473144496,0.099999999999997,0.099999999999997,0.05419906233809895,0.23970222473144495,0.003070529278592601,0.007298802011637599,144890761718.75113,0.061873638344226586,20.634368896484375,0.1541990623380945,0.33970222473144496,0.6343688964843608,0.0,0.04477611940298507,0.3614457831325301,0.9552238805970149,0.0,,0,0.3825,0.6174999999999999,0.6174999999999999,0.0,0.0,0.3623481781376518,0.49291497975708504,0.14473684210526316,0.3623481781376518,0.49291497975708504,0.14473684210526316,0.4808579288674867,0.8576595962047576,1.5003267288208009,0.011354334653030188,0.06984588578343391,0.002119608223438263,3.801190400123596,1.8802099545796713,3.5250950107971826,1.5003267288208009,-1.5003267288208009,0.6175,0.616015625,988,1600,-0.7185919880867004,0.4095586836338043,-1.9262864152590433,0.38819115261236825,-1.461590298016866,0.08959029987454414,0.8809154501184822,0,1.0,1.0,0.41803571428571423,2.92625,19207219.49226665,0.769375,0.0,0.10427378584856847,0.005585897327167011,0.10985968317573541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.429973092019629e-05,0.0,0.4875217623804929,0.0,0.0,True,-1.0,1.0121970039159225,0.0
