episode,steps,physical_steps,decision_steps,active_decision_ratio,elapsed_sec,seed,terminated,truncated,termination_reason,termination_reason_raw,termination_reason_bucket,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,r_time,r_prog,mean_r_prog,r_interf,r_risk,r_illegal,r_pbrs,r_term,mean_r_term,r_step,mean_cost_power,mean_cost_trust,r_margin,r_margin_raw,r_margin_norm,r_total,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_risk,abs_ratio_r_illegal,abs_ratio_r_pbrs,abs_ratio_r_term,abs_ratio_r_margin,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,uncertainty_selected_mean,uncertainty_selected_p90,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,risk_penalty_mean,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,margin_pre_mean,margin_post_mean,r_margin_abs_mean,r_prog_abs_mean,r_margin_nonzero_rate,margin_valid_count,margin_skip_count,reward_clip_hit_count,reward_clip_hit_rate,abs_ratio_basis,r_prog_on_task_mean,r_margin_on_task_mean,r_time_on_task_mean,r_prog_on_task_abs_mean,r_margin_on_task_abs_mean,r_time_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_margin,abs_ratio_on_task_r_time,abs_ratio_on_task_r_term,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,v2v_link_break_rate,top_illegal_reason,top_illegal_reason_count,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,cost_power_value_loss,cost_trust_value_loss,lambda_power,lambda_trust,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,actor_update_active_frac,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,mode_aux_loss,mode_aux_acc,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,best_mode_compare_rate,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,mode_match_rate,oracle_match_rate,oracle_match_eps_abs_rate,oracle_match_eps_rel_rate,action_regret_mean,action_regret_p50,action_regret_p95,oracle_match_rate_on_task,action_regret_mean_on_task,target_match_within_mode_rate,target_regret_within_mode_mean,oracle_local_chosen_local_rate,oracle_local_chosen_rsu_rate,oracle_local_chosen_v2v_rate,oracle_rsu_chosen_local_rate,oracle_rsu_chosen_rsu_rate,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_local_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,oracle_v2v_chosen_rsu_count,oracle_v2v_chosen_rsu_adv_mean,oracle_v2v_chosen_rsu_ret_mean,oracle_v2v_chosen_rsu_rew_mean,oracle_v2v_chosen_v2v_count,oracle_v2v_chosen_v2v_adv_mean,oracle_v2v_chosen_v2v_ret_mean,oracle_v2v_chosen_v2v_rew_mean,oracle_rsu_chosen_rsu_count,oracle_rsu_chosen_rsu_adv_mean,oracle_rsu_chosen_rsu_ret_mean,oracle_rsu_chosen_rsu_rew_mean,oracle_rsu_chosen_v2v_count,oracle_rsu_chosen_v2v_adv_mean,oracle_rsu_chosen_v2v_ret_mean,oracle_rsu_chosen_v2v_rew_mean,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,15,15,300,20.0,14.7174973487854,42,True,False,terminated_unknown,terminated_unknown,terminated,0.0,1.5000000000000002,,,0,False,,,,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.010974901728332043,nan,0.0,nan,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,20,20,200,-0.010974901728332043,-0.006571111269295216,0.0039944865624420185,-0.0383961983025074,0.014590006321668625,0.012920236214995384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0,0,0,0.0,unified_mainline,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.05,0.05,0.52,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.14,0.5266666666666666,0.3333333333333333,0.14,0.5266666666666666,0.49300654011778533,0.83290376663208,2.282023859024048,-0.0013831815682351588,0.078125,0.016586528159677982,1.9106998920440674,0.01587029583752155,0.010780014377087355,0.0,0.0,0.9396212697029114,10.833376792751313,2.282023859024048,-2.282023859024048,1.0,1.0,300,300,-0.0008177701383829117,0.15374088287353516,-0.07363548576831817,0.10846067517995835,-0.06772825308144093,0.06722952798008919,0.83203125,,,0,0.0,0.0,0.0,0.0,nan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4953376934118569,1.6,5.599999999999998,False,0.0,0.0,0.0
2,5,5,100,20.0,3.0864851474761963,42,True,False,terminated_unknown,terminated_unknown,terminated,0.0,0.5,,,0,False,,,,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.006415653973817825,nan,0.0,nan,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,20,20,135,0.006415653973817825,0.0013298953417688608,0.021590707078576084,-0.002248960779979825,0.02482639066874981,0.007506050169467926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0,0,0,0.0,unified_mainline,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.1,0.1,0.5481481481481482,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.37,0.11,0.52,0.37,0.11,0.52,0.47137134631593075,0.8431142866611481,2.460419273376465,0.003907335270196199,0.06800000071525573,0.00014100875705480576,3.4654391288757322,0.005487773194909095,0.00962418019771576,0.0,0.0,1.6912089347839356,43.563204415649736,2.460419273376465,-2.460419273376465,1.0,1.0,100,100,0.0706939771771431,0.06958179920911789,0.021373634785413743,0.052985720336437225,0.007065782323479652,0.04655904471874237,0.8939999938011169,,,0,0.0,0.0,0.0,0.0,nan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48196394817903637,1.4,5.599999999999999,False,0.0,0.0,0.0
3,28,28,560,20.0,14.348300218582153,42,True,False,terminated_unknown,terminated_unknown,terminated,0.0,2.800000000000001,,,0,False,,,,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.01606106199324131,nan,0.0,nan,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,20,20,269,-0.01606106199324131,-0.01555780740454793,-0.0036208569421432944,-0.04857909306883812,0.01704750955104828,0.01727874204516411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0,0,0,0.0,unified_mainline,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.05,0.05,0.587360594795539,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.3517857142857143,0.11964285714285715,0.5285714285714286,0.3517857142857143,0.11964285714285715,0.5285714285714286,0.5103696243165281,0.8603706717491149,1.865562915802002,0.014550174446776509,0.077734375,0.0038608068600296972,1.8267054677009582,0.0020719729363918304,0.0025755196111276746,0.0,0.0,0.8822262525558472,7.240014991661694,1.865562915802002,-1.865562915802002,1.0,1.0,560,560,-0.15383630990982056,0.14912526309490204,-0.1251518502831459,0.1495921418070793,-0.057079824060201644,0.0612524688243866,0.815625,,,0,0.0,0.0,0.0,0.0,nan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5067217386194638,0.5357142857142857,2.9499999999999957,False,0.0,0.0,0.0
4,20,20,400,20.0,13.505537748336792,42,True,False,terminated_unknown,terminated_unknown,terminated,0.0,2.0000000000000004,,,0,False,,,,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.0193345807492733,nan,0.0,nan,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,20,20,274,-0.0193345807492733,-0.018322869203984737,-0.00759197045117615,-0.045630570501089096,0.013695267029106617,0.020704107359051704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0,0,0,0.0,unified_mainline,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.05,0.05,0.4343065693430657,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.325,0.1575,0.5175,0.325,0.1575,0.5175,0.512069546310576,0.85151506960392,1.947616171836853,0.011160930525511504,0.040625,-0.02059294655919075,0.9313972353935241,0.0014291047817096114,0.001800874271430075,0.0,0.0,0.40776844024658204,8.41695131295586,1.947616171836853,-1.947616171836853,1.0,1.0,400,400,-0.07366777956485748,0.14455227553844452,-0.17479351460933684,0.16608088910579683,-0.159667731821537,0.06355509310960769,0.66953125,,,0,0.0,0.0,0.0,0.0,nan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5081469437596389,1.0,3.1000000000000014,False,0.0,0.0,0.0
5,15,15,300,20.0,11.090394496917725,42,True,False,terminated_unknown,terminated_unknown,terminated,0.0,1.5000000000000002,,,0,False,,,,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.009488998912274837,nan,0.0,nan,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,20,20,206,-0.009488998912274837,-0.008242344483733177,0.005071076424792399,-0.04189484566450119,0.011535925790667534,0.011377120390534401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0,0,0,0.0,unified_mainline,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.05,0.05,0.5679611650485437,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.3,0.19666666666666666,0.5033333333333333,0.3,0.19666666666666666,0.5033333333333333,0.5056632356274695,0.8749673753976819,1.942916202545166,0.005996058322489261,0.0375,0.010095106437802315,1.3774839162826538,0.001976033742539585,0.0023631521966308356,0.0,0.0,0.6621484279632568,16.40543440702705,1.942916202545166,-1.942916202545166,1.0,1.0,300,300,0.0759875476360321,0.08967160433530807,-0.0871508315205574,0.09999676197767257,-0.10773262977600098,0.08443059772253036,0.79765625,,,0,0.0,0.0,0.0,0.0,nan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5039642649392287,1.6666666666666667,5.499999999999995,False,0.0,0.0,0.0
6,6,6,120,20.0,2.3887436389923096,42,True,False,terminated_unknown,terminated_unknown,terminated,0.0,0.6,,,0,False,,,,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.003913945518434048,nan,0.0,nan,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,20,20,131,0.003913945518434048,0.004648630972951651,0.009179146261885762,-0.005347872618585825,0.009318013675510883,0.005696570035070181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0,0,0,0.0,unified_mainline,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.05,0.05,0.648854961832061,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.375,0.08333333333333333,0.5416666666666666,0.375,0.08333333333333333,0.5416666666666666,0.5342083464066187,0.8813654899597168,2.018582272529602,0.004612135328352451,0.03333333451300859,0.004563297098502517,10.58340950012207,0.00218855501152575,0.003566757310181856,0.0,0.0,5.25877628326416,109.934162954573,2.018582272529602,-2.018582272529602,1.0,1.0,120,120,0.08400453627109528,0.08098895847797394,0.010252482444047927,0.03613503724336624,-0.0469111006706953,0.07425135523080825,0.8749999880790711,,,0,0.0,0.0,0.0,0.0,nan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5213802165041367,1.0,4.5,False,0.0,0.0,0.0
7,6,6,120,20.0,2.246664524078369,42,True,False,terminated_unknown,terminated_unknown,terminated,0.0,0.6,,,0,False,,,,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.009092839434742928,nan,0.0,nan,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,20,20,127,0.009092839434742928,0.002309174626134336,0.03457474149763584,-0.002163826720789075,0.04385438933968544,0.009814114309847355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0,0,0,0.0,unified_mainline,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.25,0.25,0.7480314960629921,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.175,0.4083333333333333,0.4166666666666667,0.175,0.4083333333333333,0.47209844472152845,0.8316434979438782,1.9421107769012451,0.005014910007594154,0.04333333447575569,-0.0027907066978514194,1.9483233451843263,0.001544635626487434,0.003995396662503481,0.0,0.0,0.935299015045166,21.101438492711345,1.9421107769012451,-1.9421107769012451,1.0,1.0,120,120,0.04776959866285324,0.08576784282922745,0.04494294002652168,0.06985716372728348,0.019135039113461972,0.05642482340335846,0.7183333158493042,,,0,0.0,0.0,0.0,0.0,nan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48372409275422495,1.0,4.5,False,0.0,0.0,0.0
8,13,13,260,20.0,6.389583587646484,42,True,False,terminated_unknown,terminated_unknown,terminated,0.0,1.3,,,0,False,,,,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.011219555512070656,nan,0.0,nan,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,20,20,196,-0.011219555512070656,-0.009966405108571053,0.006578806298784882,-0.040975142270326614,0.01908324472606182,0.014155440963804722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0,0,0,0.0,unified_mainline,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.05,0.05,0.5306122448979592,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.3769230769230769,0.21923076923076923,0.40384615384615385,0.3769230769230769,0.21923076923076923,0.40384615384615385,0.49943432680986544,0.8366405308246613,1.697325086593628,0.0013223337940871716,0.059375,0.003160800412297249,0.9196154117584229,0.0009057206567376852,0.0011878864839673041,0.0,0.0,0.43006888031959534,10.00544883021812,1.697325086593628,-1.697325086593628,1.0,1.0,260,260,-0.04479201138019562,0.10312020778656006,-0.05992190092802048,0.11886365413665771,-0.05101792551577091,0.047170700132846834,0.675,,,0,0.0,0.0,0.0,0.0,nan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49964754208922385,0.8461538461538461,2.0,False,0.0,0.0,0.0
9,9,9,180,20.0,4.747269868850708,42,True,False,terminated_unknown,terminated_unknown,terminated,0.0,0.8999999999999999,,,0,False,,,,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.0031981030479073524,nan,0.0,nan,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,20,20,182,-0.0031981030479073524,0.0053552016615867615,0.01300029158592224,-0.043756481260061264,0.013712037354707718,0.01389711257070303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0,0,0,0.0,unified_mainline,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.05,0.05,0.510989010989011,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.4111111111111111,0.17777777777777778,0.4111111111111111,0.4111111111111111,0.17777777777777778,0.4111111111111111,0.48616462084904033,0.8014355897903442,1.7444421768188476,0.017063910514116286,0.0766666691750288,-0.0065650571923470125,1.1133182764053344,0.001053702156059444,0.0012906508287414908,0.0,0.0,0.5163775205612182,15.717971657453337,1.7444421768188476,-1.7444421768188476,1.0,1.0,180,180,0.04253107309341431,0.07919370383024216,-0.0014394276309758424,0.08478928357362747,-0.011827041674405337,0.056924816220998764,0.751111114025116,,,0,0.0,0.0,0.0,0.0,nan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49185249894443483,3.6666666666666665,7.799999999999999,False,0.0,0.0,0.0
10,12,12,240,20.0,5.441574573516846,42,True,False,terminated_unknown,terminated_unknown,terminated,0.0,1.2,,,0,False,,,,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00529221398755908,nan,0.0,nan,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,20,20,193,-0.00529221398755908,-0.0006819220434408635,0.010250265244394537,-0.03794495761394501,0.012505730614066124,0.009996139444410801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0,0,0,0.0,unified_mainline,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.1,0.1,0.7098445595854922,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25416666666666665,0.4125,0.3333333333333333,0.25416666666666665,0.4125,0.5108623782871291,0.8588538706302639,1.582124662399292,0.010547259915620088,0.07416666746139526,-0.011044135503470897,0.9193002820014954,0.0008040320011787116,0.001330291945487261,0.0,0.0,0.41803075671195983,9.132647395883271,1.582124662399292,-1.582124662399292,1.0,1.0,240,240,0.0063829622231423855,0.0687113106250763,-0.007641911134123802,0.07447759807109833,-0.012906346470117569,0.05483063757419586,0.5633333206176758,,,0,0.0,0.0,0.0,0.0,nan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5072415855247527,5.5,9.899999999999999,False,0.0,0.0,0.0
