episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,3.649780035018921,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,120,0.1407487690448761,2.481657975295093e-05,1.5049551725387573,-0.9999598264694214,4.582330703735352,0.1598455160856247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09030683279037476,-0.09030683279037476,-0.018415843725205508,0.010203192844986915,0.0,2.2636806801944583e-05,0.0,20.071897983551036,,,0.07189798355102184,0.9,0.9,0.9833333333333333,0.1,0.0,0.0,0.28688524590163933,0.3524590163934426,0.36065573770491804,0.28688524590163933,0.3524590163934426,0.36065573770491804,,,1.6366137488683066,0.02496630944311619,0.38451382726430894,-0.013718042634427547,141.99011875788372,1.9273818862438201,5.584184335072835,1.6366137488683066,-1.6366137488683066,0.0305,122,4000,1.0,1.0,1.0,5.0,111914552.5987343,1.0,0.0,,,,True,-1.0,0.07189798355102184,0.0
2,200,3.624326705932617,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,111,0.1523638367652893,3.212293813703582e-05,1.5027655363082886,-0.8455559611320496,3.271019458770752,0.1608193963766098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09050964331626891,-0.09050964331626891,-0.013867750048637788,0.010518167024478317,0.0,9.289918385423828e-05,0.0,20.046306800842295,,,0.04630680084228089,0.95,0.95,0.972972972972973,0.05,0.0,0.0,0.1926605504587156,0.29357798165137616,0.5137614678899083,0.1926605504587156,0.29357798165137616,0.5137614678899083,,,1.6267951838175456,0.014939357824623585,0.26809176375468574,-0.034621898209055264,38.757819565137225,0.5685141277437409,6.78321219921112,1.6267951838175456,-1.6267951838175456,0.02725,109,4000,1.0,1.0,0.99965,4.99825,103088416.80138057,1.0,0.0,,,,True,-1.0,0.04630680084228089,0.0
3,200,3.660861015319824,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,113,0.11326698213815689,3.6967769119655713e-05,1.5017988681793213,-0.9931159019470215,3.5091137886047363,0.12801815569400787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09125889039039611,-0.09125889039039611,0.017163569867607746,0.011097943164408207,0.0,6.459505089458637e-05,0.0,20.23079366683961,,,0.23079366683959535,0.7,0.7,0.9646017699115044,0.3,0.0,0.0,0.1794871794871795,0.3333333333333333,0.48717948717948717,0.1794871794871795,0.3333333333333333,0.48717948717948717,,,1.500625360806783,0.03324553300781796,0.19393843541542688,0.023325200403730074,111.20239309946696,0.6085503695408503,5.555360609690348,1.500625360806783,-1.500625360806783,0.02925,117,4000,1.0,1.0,1.0,5.0,100448461.2401833,1.0,0.0,,,,True,-1.0,0.23079366683959535,0.0
4,200,3.585768938064575,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,116,0.15997594594955444,0.0,1.5156749486923218,-0.010752997361123562,3.0490269660949707,0.16008348762989044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0903247165679932,-0.0903247165679932,-0.024562643229961663,0.011494312001392245,0.0,0.0001317776412829185,0.0,20.00000000000001,,,0.0,0.95,0.95,1.0,0.05,0.0,0.0,0.13559322033898305,0.5169491525423728,0.3474576271186441,0.13559322033898305,0.5169491525423728,0.3474576271186441,,,1.3648285055160523,0.029937442044417062,0.30567736536264417,0.005713443209727605,31.72528755903244,158477804.10367104,2164642077.915109,1.3648285055160523,-1.3648285055160523,0.0295,118,4000,1.0,1.0,1.0,5.0,109072648.539607,1.0,0.0,,,,True,-1.0,0.0,0.0
5,200,3.5757029056549072,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,127,0.1363629698753357,1.3426707482722122e-05,0.5765480995178223,-0.9110493659973145,4.623764991760254,0.145473450422287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09008531951904297,-0.09008531951904297,-0.012503903508186753,0.014478808079846204,0.0,5.08085144580101e-05,0.0,20.047435569763195,,,0.04743556976318075,0.85,0.85,0.984251968503937,0.15,0.0,0.0,0.047244094488188976,0.6771653543307087,0.2755905511811024,0.047244094488188976,0.6771653543307087,0.2755905511811024,,,1.3863141775131225,0.07709544540382922,0.4038842256863912,0.02301446574429671,78.00612678527833,0.7409854280824463,14.08272723197937,1.3863141775131225,-1.3863141775131225,0.03175,127,4000,1.0,1.0,1.0,5.0,101428254.2950426,1.0,0.0,,,,True,-1.0,0.04743556976318075,0.0
6,200,3.9077579975128174,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,119,0.15276190638542175,0.0,1.5663540363311768,0.0,3.5540685653686523,0.15276190638542175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0910202091932297,-0.0910202091932297,-0.015121905684471519,0.012772945497184992,0.0,6.059915518521207e-05,0.0,20.00000000000001,,,0.0,0.9,0.9,1.0,0.1,0.0,0.0,0.09166666666666666,0.5166666666666667,0.39166666666666666,0.09166666666666666,0.5166666666666667,0.39166666666666666,,,1.289574073155721,0.004961592212675896,0.2193060310681661,0.013665130440300951,24.69865805308024,0.441361047377189,9.484166898727416,1.289574073155721,-1.289574073155721,0.03,120,4000,1.0,1.0,1.0,5.0,109407769.98225784,1.0,0.0,,,,True,-1.0,0.0,0.0
7,200,3.9913389682769775,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,122,0.1717403382062912,0.0,1.5018759965896606,0.0,4.637153625488281,0.1717403382062912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08878707520961764,-0.08878707520961764,0.008075767517089709,0.013324461959302425,0.0,7.090657948371942e-05,0.0,20.00000000000001,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.04918032786885246,0.5491803278688525,0.4016393442622951,0.04918032786885246,0.5491803278688525,0.4016393442622951,,,1.2755281813939412,0.0623750116614004,0.3084061174591382,-0.004848591722548008,17.10805204709371,0.3727464613163223,10.84181321144104,1.2755281813939412,-1.2755281813939412,0.0305,122,4000,1.0,1.0,1.0,5.0,109197129.2183746,1.0,0.0,,,,False,0.0,0.0,0.0
8,200,3.898897886276245,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,119,0.1507282853126526,9.692613275547046e-06,1.549850583076477,-0.9777213931083679,3.099137544631958,0.1605054885149002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09119192707538605,-0.09119192707538605,-0.0429319143295294,0.014183684014715254,0.0,0.00011817005548543671,0.0,20.021648406982433,,,0.021648406982418322,0.95,0.95,0.9831932773109243,0.05,0.0,0.0,0.04132231404958678,0.4380165289256198,0.5206611570247934,0.04132231404958678,0.4380165289256198,0.5206611570247934,,,1.3658486278851827,0.052005938993146025,0.28002864301204683,-0.017701708699266117,49.59475937604904,0.5939239250620206,15.431381112734476,1.3658486278851827,-1.3658486278851827,0.03025,121,4000,1.0,1.0,0.99995,4.999750000000001,116124210.49424618,1.0,0.0,,,,True,-1.0,0.021648406982418322,0.0
9,200,3.9521119594573975,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,111,0.14866384863853455,2.328820846742019e-05,1.5033966302871704,2.328820846742019e-05,3.503682851791382,0.14866384863853455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09008141851425171,-0.09008141851425171,0.0007339891195277171,0.01144705485086888,0.0,9.860930865241143e-05,0.0,20.03730173110963,,,0.03730173110961488,0.9,0.9,0.972972972972973,0.1,0.0,0.0,0.08256880733944955,0.47706422018348627,0.44036697247706424,0.08256880733944955,0.47706422018348627,0.44036697247706424,,,1.0788416568438213,0.07300942447657387,0.4154625075062116,-0.021377065245372553,28.398836018244424,0.4076605726405978,10.680678173700969,1.0788416568438213,-1.0788416568438213,0.02725,109,4000,1.0,1.0,1.0,5.0,111472331.64034307,1.0,0.0,,,,True,-1.0,0.03730173110961488,0.0
10,200,3.911834955215454,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,121,0.15645237267017365,9.521745596430264e-06,1.5052131414413452,9.521745596430264e-06,4.5815958976745605,0.15645237267017365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08978871488571169,-0.08978871488571169,-0.008444333076477538,0.013150873850099743,0.0,0.0002185647582364258,0.0,20.017119693756115,,,0.017119693756100673,0.95,0.95,0.9917355371900827,0.05,0.0,0.0,0.07377049180327869,0.5819672131147541,0.3442622950819672,0.07377049180327869,0.5819672131147541,0.3442622950819672,,,1.1212988583246868,0.023233604410973687,0.24849846988916396,-0.002876744829118252,27.819319324493406,0.36816887207950155,8.791614322662353,1.1212988583246868,-1.1212988583246868,0.0305,122,4000,1.0,1.0,1.0,5.0,119259894.39919719,1.0,0.0,,,,True,-1.0,0.017119693756100673,0.0
